,real_t250,real_t500,real_t750,real_t1000,knn_t250,knn_t500,knn_t750,knn_t1000,knn_sqrt_t250,knn_sqrt_t500,knn_sqrt_t750,knn_sqrt_t1000
0,"[[0.0, 0.0, 0.0, 0.0], [1.3533511176597146, 0.7517928733783705, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.7459234749731642, 0.0], [0.0, 0.0, 1.137362516883437, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.1248299395400291, 0.9152455983448258, 0.0, 0.0], [0.04155040073007139, 0.10928606642592664, 0.0, 0.0], [0.0, 0.0, 0.05871951892189229, 0.13208466011498607]]","[[0.0, 0.0, 0.0, 0.0], [0.43572957286503466, 0.26748663077274654, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.010038573523780665, 0.01790504725986569]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.8989612532858786, 0.0], [0.0, 0.0, 0.38524269662130345, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0544915259870451, 0.744249550192468, 0.0, 0.0], [0.012213073028791493, 0.035074660004261314, 0.0, 0.0], [0.0, 0.0, 0.025946709306208723, 0.07013490111462599]]","[[0.0, 0.0, 0.0, 0.0], [0.3236452798322691, 0.18924598906129234, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.8198674190373305, 0.0], [0.0, 0.0, 0.24296689580690592, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.028021063858336942, 0.7001125429701032, 0.0, 0.0], [0.0, 0.015171931401887592, 0.0, 0.0], [0.0, 0.0, 0.02446063408750617, 0.06718915831766986]]"
1,"[[0.0, 0.0, 0.03999074841491324, 0.0], [0.0, 0.9095951893508843, 0.006371370170662774, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.03807907390723608], [0.0, 0.0, 0.0, 0.0], [0.0, 0.4849149905327866, 0.0, 0.0], [0.0, 0.0, 0.0, 0.8583975772847016]]","[[0.0, 0.0, 0.0, 0.0497676323730216], [0.0, 0.0, 0.0, 0.0], [0.0008687627382357712, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.7761709291379023]]","[[0.16869932810863822, 0.0, 0.0, 1.526268512444102], [0.0, 0.0, 0.2166312404544869, 0.0], [0.8733341627714007, 0.14339640446706914, 0.09307957704292698, 0.0], [0.0, 0.867301737925333, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.783344350620939, 0.0, 0.0], [0.0, 0.0, 0.0, 0.011073956208841985], [0.0, 0.0, 0.0, 0.02175009421564439]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.004094829925805463, 0.33755077557743046, 0.0, 0.0], [0.0, 0.0, 0.0, 0.7436472974151276]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.6819722939493248]]","[[0.0, 0.0, 0.0, 0.8329488894843864], [0.0, 0.0, 0.07711185137160241, 0.0], [0.32896285403469366, 0.00524494869027522, 0.0005894566089033424, 0.0], [0.0, 0.5146122366707153, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.7767121562154579, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.27708831239108667, 0.0, 0.0], [0.0, 0.0, 0.0, 0.7031886884155413]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.6906645845209715]]","[[0.0, 0.0, 0.0, 0.7257513661433656], [0.0, 0.0, 0.06470140434581118, 0.0], [0.25331849932876377, 0.0030378901558182642, 8.402486246790748e-05, 0.0], [0.0, 0.4762103612410935, 0.0, 0.0]]"
2,"[[0.1354742039076238, 0.0, 0.32075546863437127, 0.04529821821850803], [0.32020419353864793, 0.4208084179996258, 0.0, 0.0], [0.0, 0.0, 0.0, 0.9125093462510502], [0.0, 0.0, 0.8023812467447449, 0.0]]","[[0.0, 0.0, 0.004223809298785715, 0.0], [0.0, 0.03478716358961118, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.05672321054682692, 0.4712164007838554, 0.7360771188410291]]","[[0.8713760201371448, 0.0, 0.0, 0.0], [0.0004706711803227953, 0.0, 1.2572572930509542, 0.0], [0.0, 0.0, 0.0, 0.03746746425339785], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.004218180360509687, 0.0, 0.0], [0.0, 0.0, 0.0, -0.0001885035212289653], [0.0, 0.0, 0.7367127589163311, 0.0], [0.0, 0.0, 0.0, 0.028506917301267132]]","[[0.02353608682553491, 0.0, 0.04244369227298695, 0.0], [0.10227916754004815, 0.1368514264400625, 0.0, 0.0], [0.0, 0.0, 0.0, 0.7314915390524781], [0.0, 0.0, 0.634852968831593, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.005935042158554872, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.256053494699734, 0.4469970494298736]]","[[0.7389312268534473, 0.0, 0.0, 0.0], [0.0, 0.0, 0.4362033147069968, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.6537166875438302, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.018726538564274108, 0.0, 0.07361718371806765, 0.0], [0.07138531302853364, 0.12316103885416377, 0.0, 0.0], [0.0, 0.0, 0.0, 0.6711334141245907], [0.0, 0.0, 0.5427809183003143, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.00556386322293727, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.24017715682475752, 0.4198628036170058]]","[[0.6727359825767333, 0.0, 0.0, 0.0], [0.0, 0.0, 0.29694547063806864, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.6544803666557985, 0.0], [0.0, 0.0, 0.0, 0.0]]"
3,"[[0.0, 0.0009409022048849822, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.10206505711724237, 0.8216287082901867, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.08649577990512941, 0.0], [0.0, 0.0, 0.8816464516137498, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.08439374955624392, 0.3602840042816875], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.32651933112322606, 0.0], [0.0, 0.0, 0.0, 1.0449939433632074]]","[[0.7662008271803732, 0.0, 0.0, 0.0], [0.0017823140974895964, 0.0, 0.0, 0.06207187887946179], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.030495155080508127], [0.0, 0.0, 0.0, 0.007657930638437819], [0.0, 0.0, 0.6157754000713761, 0.0], [0.0, 0.0, 0.0, 0.009628674227672959]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.5002451973942028, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.03690682353146416, 0.19950890651132358], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.22476095199424628, 0.0], [0.0, 0.0, 0.0, 0.8700615637479967]]","[[0.7094255287585349, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0048743684848996495, 0.6224278280328921, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.41863628737288877, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.12171847396313021], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.1956760526835533, 0.0], [0.0, 0.0, 0.0, 0.8002077976197859]]","[[0.6937559549849415, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0005570888004202508], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
4,"[[1.4262786304146668, 0.0, 1.1348130114538797, 0.0], [0.7090548831665282, 0.0003481356812926254, 1.1218240557254298, 0.6885309435187504], [0.0, 0.0, 0.0, 0.4875248218683089], [0.0, 0.0, 0.0, 0.0]]","[[0.040484818886431954, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.5413792301267972, 0.024161811734334005, 0.0, 0.0], [0.0, 0.0, 0.0, 0.7593347724360784]]","[[0.9182186730192812, 0.0, 0.0, 0.19672528163597758], [0.0901835528323738, 0.0, 0.2509665836720003, 0.0], [0.0, 0.01454261781076537, 0.0, 0.1352567345025862], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.09901298241254937, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.8110013163681274, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.17288777709682707, 0.0, 0.0, 0.0], [0.06771328803761978, 0.0, 0.13731147041642336, 0.11988513395271912], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.31672104653584293, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.6095993546115819]]","[[0.7266423235129577, 0.0, 0.0, 0.11887213921569695], [0.011162457937293301, 0.0, 0.16893365330660992, 0.0], [0.0, 0.0, 0.0, 0.07032418747112097], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.02890409969111207, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7117951096516597, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.16980285442322787, 0.0, 0.0, 0.0], [0.019697868552150603, 0.0, 0.03337821027347221, 0.06612362381926093], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.25018304757354937, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.6190877721480278]]","[[0.6801925975419401, 0.0, 0.0, 0.08350065104704267], [0.0, 0.0, 0.14655806128012808, 0.0], [0.0, 0.0, 0.0, 0.06439317299214244], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.018915360420992726, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.6886146311852391, 0.0], [0.0, 0.0, 0.0, 0.0]]"
5,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.9261866423273692, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2580280213853487]]","[[0.0, 0.0, 0.8768336755938456, 0.0], [0.7489654043705932, 0.0, 0.0, 1.1240718997947334], [0.0, 0.5093387845344765, 0.0, 0.7267354811458716], [0.0, 0.22961876794080494, 0.16887165833772877, 0.0]]","[[0.0, 0.0, 0.11091631009555286, 0.2069760272956423], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.12847918312818504, 0.4235942827441604, 0.0, 0.6577800945935048]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.01694146935994177, 0.0], [0.0, 0.8156594636111022, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.24285079718334265]]","[[0.0, 0.0, 0.3092279069695072, 0.0], [0.34794738405773923, 0.0, 0.0, 0.44657738756113335], [0.0, 0.2872064856774483, 0.0, 0.21676734333260067], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.04668713919825569, 0.10648956514947114], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0412101028848083, 0.1958015783518136, 0.0, 0.34380449606378993]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.006132967413877169, 0.0], [0.0, 0.764996112460483, 0.0, 0.0], [0.0, 0.0, 0.0, 0.013712296233248815], [0.0, 0.0, 0.0, 0.21266337656431117]]","[[0.0, 0.0, 0.26136575403637746, 0.0], [0.30378730594449715, 0.0, 0.0, 0.3531195231507023], [0.0, 0.2346367971792113, 0.0, 0.1260297319807011], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.01986588743500097, 0.07636504469456191], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0034583178452359193, 0.18702397344672697, 0.0, 0.315380175959618]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
6,"[[0.0, 0.0, 0.0, 0.0], [0.4665196755310216, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 1.0482031582991922, 0.0, 0.6406051531652909]]","[[0.0, 1.7166407796769414, 0.9217361277513818, 0.0], [0.0, 0.0, 0.0, 0.0], [0.8565861240391912, 0.0, 0.617707092437181, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.8262790606415751], [0.611886208657377, 0.0, 0.6777581637304687, 0.0], [0.0, 0.0, 0.0, 0.25670869144911246], [0.0, 0.8138572274344923, 0.0, 0.0]]","[[0.0, 0.4534183135136328, 0.039077525637713925, 0.2832459531871245], [0.6226990874968643, 0.0, 1.1155919040133881, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.2852581087269782, 0.0, 0.0]]","[[0.012067806326869927, 0.0, 0.0, 0.0], [0.14276287723693515, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.41945521368581135, 0.0, 0.17029892301771027]]","[[0.0, 0.6867949101349976, 0.3222681281934462, 0.0], [0.0, 0.0, 0.0, 0.0], [0.2268783448567049, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.33822585690284795], [0.43493738256009445, 0.0, 0.49309570647468465, 0.0], [0.0, 0.0, 0.0, 0.03184150241903908], [0.0, 0.6746042093558192, 0.0, 0.0]]","[[0.0, 0.11895197152782733, 0.0, 0.05981840700030643], [0.3822877090568935, 0.0, 0.7129615270369392, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.11538044665918103, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.11433856098025189, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.3177077955914338, 0.0, 0.11943686724655185]]","[[0.0, 0.5738748345878346, 0.2805046369927151, 0.0], [0.0, 0.0, 0.0, 0.0], [0.17567812954085052, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.28637842373199474], [0.38985935598423815, 0.0, 0.44621525517072513, 0.0], [0.0, 0.0, 0.0, 0.046532399074803936], [0.0, 0.6145336574219069, 0.0, 0.0]]","[[0.0, 0.0988150997085564, 0.0, 0.058616182407417936], [0.3455833238872388, 0.0, 0.6414948675266607, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.1065003755895461, 0.0, 0.0]]"
7,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 1.201492688071803, 0.0, 0.9033372731661089], [0.0, 0.0, 0.0, 1.5792078821709754]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [2.1299246436147037, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.8385361215158688]]","[[0.0, 0.0, 0.0, 0.0], [0.08593280709288013, 0.0, 0.0, 0.17892666999704063], [0.7653131646146012, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.712178308971639, 0.0, 0.0], [1.299362123234534, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.04564768145324543, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.201814357704816, 0.0, 0.14253206861114925], [0.0, 0.0, 0.0, 0.8419117041989076]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.025911429467284076, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.6858003871204464]]","[[0.0, 0.0, 0.0, 0.0], [0.0019899033338949407, 0.005509779101044479, 0.008936969644661709, 0.14142046273020428], [0.4705989271068928, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.630356548774772, 0.0, 0.0], [0.9784760204821777, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0037114606771736854, 0.0890115885655548, 0.0, 0.052747291989916054], [0.0, 0.0, 0.0, 0.7462529137434055]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.6107149924631348]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.09997534088121955], [0.37906333727532165, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.6087523353903074, 0.0, 0.0], [0.9048519330879498, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
8,"[[0.0, 0.9899498190744955, 0.0, 0.0], [0.0, 0.0, 0.0, 1.8866333156888777], [0.0, 0.18831120995724404, 0.0, 0.0], [0.0, 0.0, 0.0, 2.529553120095722]]","[[0.0, 0.0, 0.0, 0.030801068875236412], [0.10108607559753921, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.005742700621135044, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.6942866311089299, 0.0, 0.19552687003225683, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.4703043236465527, 0.0]]","[[0.0, 0.09677226872187536, 0.0, 0.0], [0.0, 0.0, 0.0, 0.9039483734457002], [0.0, 0.0, 0.005130891933866706, 0.0], [0.0, 0.0, 0.0, 1.2618689012659174]]","[[0.0, 0.0, 0.0, 0.0], [0.054889551435460794, 0.0, 0.0, 0.007996846285395811], [0.0, 0.0, 0.0, 0.0], [0.0036918152802940304, 0.011836033412265225, 0.03394598990117915, 0.025146359520374126]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.5939178950249826, 0.0, 0.0691137449863516, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.32587380990349146, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.7097194997075541], [0.0038697666371475853, 0.0, 0.0020964383134586587, 0.0], [0.0, 0.0, 0.0, 1.1478975389852448]]","[[0.0, 0.0, 0.0, 0.0], [0.03636434309726958, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.5499716418464096, 0.0, 0.02452178975478555, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2957747733870636, 0.0]]"
9,"[[0.0, 0.6509126855637878, 0.0, 0.0], [0.0, 0.0, 0.0, 0.6896822667990149], [0.3132736853885674, 0.0, 0.0, 0.0], [1.2717489176476244, 0.226574094682544, 0.0, 0.0]]","[[0.0, 0.07478446911878575, 0.0, 0.0], [0.1197364064742792, 0.4430655020330797, 0.0, 0.17901667762206333], [0.0, 0.0, 0.0, 0.0], [-0.0008713771490314697, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.8732846790919617, 0.0], [0.0, 0.0, 0.0, 0.0], [1.4735882034380183, 0.0, 0.0, 0.4298267551093873], [0.0, 0.0, 0.4948124910010783, 0.15032547780152503]]","[[0.0, 0.2852418074068966, 0.0, 0.19329854880342423], [0.0, 0.11722991923795734, 0.0, 0.0], [0.6665369979845428, 0.0, 0.8713060016366878, 0.0], [0.1463497151850188, 0.0, 0.0, 0.0]]","[[0.0, 0.39930318846358465, 0.0, 0.0], [0.0, 0.0, 0.0, 0.3871158017344701], [0.0, 0.0, 0.0, 0.0], [0.5817607733766643, 0.05635275377103863, 0.0, 0.0]]","[[0.0, 0.0345864565162101, 0.0, 0.0], [0.05673082679529497, 0.3497611150157099, 0.0, 0.13318610605651762], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.4143310794536087, 0.0], [0.0, 0.0, 0.0, 0.0], [0.9023714750045491, 0.0, 0.0, 0.30457915047121553], [0.0, 0.0, 0.14396761726444343, 0.009721336945978713]]","[[0.0, 0.08469269333028061, 0.0, 0.06599294641457025], [0.0, 0.04655436023669674, 0.0, 0.0], [0.3227507669064008, 0.0, 0.4908723477070054, 0.0], [0.06711266138800637, 0.0, 0.0, 0.0]]","[[0.0, 0.3729040629624384, 0.0, 0.0], [0.0, 0.0, 0.0, 0.30558424420652086], [0.0, 0.0, 0.0, 0.0], [0.47348860915609414, 0.03353752412653016, 0.0, 0.0]]","[[0.0, 0.008121871651297796, 0.0, 0.0], [0.041259028633566446, 0.3350998059124402, 0.0, 0.11632598585820461], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.36202108741743916, 0.0], [0.0, 0.0, 0.0, 0.0], [0.7977921599220582, 0.0, 0.0, 0.28683899524426915], [0.0, 0.0, 0.10262632766811097, 1.9265207659783994e-05]]","[[0.0, 0.09099549284399093, 0.0, 0.06618540013331245], [0.0, 0.042099062168618175, 0.0, 0.0], [0.28875461600908175, 0.0, 0.4423607207529603, 0.0], [0.04250324267720623, 0.0, 0.0, 0.0]]"
