real_t250,real_t500,real_t750,real_t1000,knn_t250,knn_t500,knn_t750,knn_t1000,knn_sqrt_t250,knn_sqrt_t500,knn_sqrt_t750,knn_sqrt_t1000
"[[0.0, 0.5940213275915018], [1.3006953740126428, 0.0]]","[[0.8788572458799115, 1.297647168914572], [0.0, 0.0]]","[[0.0, 0.0], [0.45657970746423265, 0.0]]","[[0.0, 0.0], [0.0, 0.736219039436344]]","[[0.0, 0.5115300695865288], [0.7989103882524844, 0.0]]","[[0.316376227250115, 0.5303660298802723], [0.0, 0.0]]","[[0.0, 0.0], [0.43187039005719396, 0.029072149469354422]]","[[0.0, 0.0], [0.0, 0.7126444986752469]]","[[0.0, 0.4549428840583722], [0.6271476438895381, 0.0]]","[[0.24088135063905802, 0.4122165705097391], [0.0, 0.0]]","[[0.0, 0.0], [0.3949209010846107, 0.0]]","[[0.0, 0.0], [0.0, 0.6862002036077409]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.7528329472726878, 0.0], [0.0, 0.0]]","[[0.0, 0.7532766976801735], [1.007658826113135, 0.0]]","[[0.01275662353841646, 0.005705018006097545], [0.039571329149801174, 0.0]]","[[0.0038817869462739545, 0.0], [0.015632076569799758, 0.0019292095624897725]]","[[0.7070085965640339, 0.0], [0.0, 0.0]]","[[0.0, 0.7121024906086229], [0.9145455932321227, 0.0]]","[[0.03580916169078846, 0.0036834135376820278], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.670298112337464, 0.0], [0.0, 0.0]]","[[0.0, 0.6844094083633311], [0.851961793912948, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7815489750062478]]","[[0.007963842709352291, 0.0], [0.0, 0.9419919185034409]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7175725964576283]]","[[0.0, 0.0], [0.0, 0.8623102409945961]]","[[0.006761358864400424, 0.010485302163007495], [0.02230542795911506, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7069808172953166]]","[[0.0, 0.0], [0.0, 0.8524635245749129]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.02451476004541749], [0.0, 0.0]]","[[0.0, 0.6949141879147137], [0.0, 0.0]]","[[0.0, 0.04565697663296648], [0.0, 0.0]]","[[0.002681116790678582, 0.015333300852681824], [0.0, 0.0]]","[[0.0012734401019817883, 0.03198207703435541], [0.017276220395902674, 0.01750275677808905]]","[[0.0, 0.6244665228175801], [0.0, 0.0]]","[[0.0, 0.007092886792711898], [0.0, 0.002839609914464427]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.006894816677312506], [0.0, 0.0]]","[[0.0, 0.5188871983813145], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.09478348152457144, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.3391473139392117], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.05731201444846416, 0.0]]","[[0.006548470735770551, 0.004662728268645474], [0.01255672618823581, 0.0]]","[[0.0, 0.3147587155409986], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.04445035483386259, 0.0]]","[[0.0, 0.0017288893609161058], [0.013077170214172443, 0.0]]","[[0.0, 0.2919247375382073], [0.0, 0.0]]"
"[[0.8283230128017295, 0.46725124743691787], [0.0, 0.0]]","[[0.0, 1.488431437300252], [0.6874297430123986, 0.0]]","[[0.014235863184987183, 0.0], [0.0, 0.9282373555365417]]","[[0.0, 0.68787571979622], [1.1863466732595673, 0.0]]","[[0.5157144747223904, 0.23425089673668553], [0.0, 0.0]]","[[0.0, 1.0751155281745532], [0.6094405258067126, 0.0]]","[[0.0, 0.0], [0.0, 0.8361577165301319]]","[[0.0, 0.6699279627080653], [1.0786749628849563, 0.0]]","[[0.45976840975937483, 0.15917134731880755], [0.0, 0.0]]","[[0.0, 0.8224690900244571], [0.5794513763072139, 0.0]]","[[0.0, 0.0], [0.0, 0.815937522860492]]","[[0.0, 0.6186023294794656], [0.9128845793745634, 0.0]]"
"[[0.5636577171075616, 0.0], [0.0, 0.0]]","[[0.0, 1.3438936336128435], [0.571339372197545, 0.0]]","[[0.5652312761299838, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0025636337251261766, 0.0]]","[[0.4399009034767964, 0.0], [0.009153066876586931, 0.0067198441290880285]]","[[0.0, 0.9809583156348906], [0.5615940996056717, 0.0]]","[[0.557376995728032, 0.0012339458764145724], [0.0, 0.0]]","[[0.015510276311382413, 0.004797166240911054], [0.0, 0.0019748001223615507]]","[[0.45699464440705845, 0.0], [0.0, 0.0]]","[[0.0, 0.7984954378484442], [0.5298770745283389, 0.0]]","[[0.522350731859822, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.6150458657278065, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.7496030381014545, 0.5152870569110135], [0.0, 0.0]]","[[0.0, 0.610170659202604], [1.0442506231834816, 0.0]]","[[0.6401774312196868, 0.004132251959564476], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.5087142118375799, 0.29621149515475154], [0.0, 0.0]]","[[0.0, 0.559411524345826], [0.9207855067124445, 0.0]]","[[0.5669527879646672, 0.0], [0.0, 0.015062029497872251]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.45812976442214365, 0.2598257547965914], [0.0, 0.0]]","[[0.0, 0.5290649292955146], [0.8209629270849962, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.08955134945936835, 0.0]]","[[0.0, 0.08184667379872647], [0.0, 0.0]]","[[0.0, 0.076793766990007], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.00023884100929226577, 0.0070695726641050085], [0.08339357313572617, 0.0]]","[[0.007905654056127184, 0.08238025360820074], [0.0, 0.01835106213571712]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.07598782187258632, 0.0]]","[[0.0, 0.06501743884438049], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.7121036618994853]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.835764139511683, 0.0], [0.0, 0.0]]","[[0.804870428032036, 1.1181443625589889], [0.0, 0.0]]","[[0.0, 0.0], [0.030104618565498512, 0.7188186982964994]]","[[0.020433091643985928, 0.027686447457300162], [0.04454361025382906, 0.021978960011959096]]","[[0.8325506929648459, 0.010828468401658454], [0.0, 0.0]]","[[0.36013907824546815, 0.5588349168964041], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.6528926713658413]]","[[0.0059430036510869306, 0.0], [0.005554421408289617, 0.0]]","[[0.7534399490805307, 0.0], [0.0, 0.0]]","[[0.3105041920438353, 0.4767496837444859], [0.0, 0.0]]"
"[[0.0, 0.5429234489673395], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7871210969006958]]","[[0.0, 1.5056120227198753], [0.7614141750471377, 0.0]]","[[0.87933688819287, 0.727189363685143], [0.0, 0.0]]","[[0.0, 0.40498306883085705], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7695007437754039]]","[[0.0, 1.1121192547554364], [0.7171873724234121, 0.0]]","[[0.4847627223999924, 0.3736412236833088], [0.0, 0.0]]","[[0.0, 0.3288406454976285], [0.04780845483762648, 0.0]]","[[0.0, 0.0], [0.0, 0.7147925754441963]]","[[0.0, 0.8799174879409483], [0.6323218507735267, 0.0]]","[[0.4270978806242412, 0.3332830250229429], [0.0, 0.0]]"
"[[0.0, 0.375438053486655], [0.0, 0.0]]","[[0.0, 0.0], [1.5746478504711252, 0.7315608931253548]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.906253484172689, 0.1448960349495687], [0.0, 0.0]]","[[0.03260924457800803, 0.31999863619927493], [0.0, 0.0]]","[[0.0, 0.0], [0.5474235244402196, 0.19419916466230358]]","[[0.00883427004092919, 0.0], [0.007074356930348681, 0.0]]","[[0.774303965025354, 0.11513672995748235], [0.0, 0.0]]","[[0.0, 0.27873473140610244], [0.0, 0.0]]","[[0.0, 0.0], [0.3490106389470873, 0.12488865858307514]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.7471937864813144, 0.09260162702449948], [0.0, 0.0]]"
"[[0.6530022049458146, 0.7607429895352946], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.8215254438534021]]","[[0.0, 0.0], [0.00026127154296453703, 0.0]]","[[0.0, 0.0], [0.0, 0.822156191942981]]","[[0.26566771783788945, 0.3457122339523361], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7803769134953547]]","[[0.0, 0.0], [0.0, 0.011217270623483268]]","[[0.0, 0.0], [0.010771467768561797, 0.8241082771004962]]","[[0.22064023876938144, 0.3034706997353332], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7508205069219]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7863051121209554]]"
"[[0.0, 0.004397638423547394], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.8471835473055528]]","[[0.0, 0.0], [0.39566994045672355, 0.0]]","[[0.0, 0.003536864711563637], [0.0, 0.0]]","[[0.0, 0.01656450118880002], [0.0, 0.0006639066232715452]]","[[0.0, 0.023410905773654442], [0.0, 0.876618737209185]]","[[0.0, 0.0], [0.3758541667399047, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7831768360753134]]","[[0.0, 0.0], [0.34602485546150724, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 1.402614611612435], [0.6327082076239449, 0.0]]","[[0.0, 1.27288935244696], [0.6330780668026041, 0.0]]","[[0.727760627939786, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.9923408174290621], [0.5127398558667227, 0.0]]","[[0.0, 1.0055716137275401], [0.6175119805606465, 0.0]]","[[0.6871191919849008, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.8130368418579909], [0.4439235868748131, 0.0]]","[[0.0, 0.8530477481035261], [0.5183206648432649, 0.0]]","[[0.6752523531265773, 0.0], [0.0, 0.0]]"
"[[0.9702167546621995, 1.5779972294463354], [0.0, 0.0]]","[[0.0, 0.8085519208297236], [0.7441668266046823, 0.0]]","[[0.0, 0.0], [0.0, 0.7882217469663138]]","[[0.7287990281779857, 0.0], [0.0, 0.0]]","[[0.28506690741091334, 0.5024548727824829], [0.0, 0.0]]","[[0.0, 0.7446801708564993], [0.6617804881004528, 0.0]]","[[0.0, 0.0], [0.0, 0.7601934152877196]]","[[0.72396086925768, 0.0], [0.0, 0.0025533298155861967]]","[[0.0913354310602085, 0.2536896628840571], [0.0, 0.0]]","[[0.0, 0.6880630506509909], [0.6543064188376223, 0.0]]","[[0.0, 0.0], [0.0, 0.7362767551509796]]","[[0.6675411175549968, 0.0], [0.0, 0.0]]"
