real_t250,real_t500,real_t750,real_t1000,knn_t250,knn_t500,knn_t750,knn_t1000,knn_sqrt_t250,knn_sqrt_t500,knn_sqrt_t750,knn_sqrt_t1000
"[[1.033338808234976, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [1.2101390760146298, 0.757750993115565]]","[[0.9351269272032491, 0.5370056927442599], [0.0, 0.0]]","[[0.8427151860901924, 0.0], [0.0, 0.0]]","[[0.9218853142868015, 0.0], [0.0, 0.013379692788744072]]","[[0.0, 0.0], [0.5356308274381059, 0.26997848379469264]]","[[0.6163305293184722, 0.2909116257152143], [0.0, 0.0]]","[[0.8044410742843738, 0.0], [0.0, 0.0]]","[[0.9501717134578758, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.48187265546182445, 0.26120123972540055]]","[[0.5505380998401737, 0.23691784292310986], [0.0, 0.0]]","[[0.7755479546516555, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.8349229464009958]]","[[0.8414449177847908, 0.0], [0.0, 0.3280489295810885]]","[[0.0, 0.6454222124008936], [0.0, 0.0]]","[[0.0, 0.4179128526539797], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7947545034246958]]","[[0.7675830007462328, 0.0], [0.0, 0.2980940099108605]]","[[0.0, 0.5922690892746884], [0.0, 0.0]]","[[0.0, 0.3871467654652105], [0.025398911635868483, 0.006297586333877215]]","[[0.0, 0.0], [0.0, 0.7161009214541912]]","[[0.7143993537402763, 0.0], [0.0, 0.25243354517188815]]","[[0.0, 0.5042551973958959], [0.0, 0.0]]","[[0.0, 0.349859148437197], [0.0, 0.0]]"
"[[0.8267414995308243, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.20435135966605295], [0.0, 0.0]]","[[0.0, 1.1618926143673887], [0.7280783128665419, 0.0]]","[[0.7767229013126683, 0.0], [0.0006359461112971898, 0.03289136793685507]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.2272455682730606], [0.016168055027399077, 0.011422313816624502]]","[[0.0, 0.9880664966095104], [0.6557458043995072, 0.0]]","[[0.699698590929379, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.17467369004385808], [0.0, 0.0]]","[[0.0, 0.8625706057387177], [0.5890419918786094, 0.0]]"
"[[0.7066804804815928, 0.9675053453309539], [0.0, 0.0]]","[[0.0, 0.0], [0.775708897074243, 0.8796865938829626]]","[[0.0, 0.23040308645001925], [0.0, 0.0]]","[[0.0, 0.0], [0.03126693457546868, 0.0]]","[[0.2550081340847471, 0.45535051953146144], [0.0, 0.0]]","[[0.0, 0.0], [0.39966436860320215, 0.45110986427995026]]","[[0.0, 0.1716406694114527], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.19069507038798422, 0.3198839741396168], [0.0, 0.0]]","[[0.0, 0.0], [0.3068666649225327, 0.3668627110657682]]","[[0.0, 0.18114557722064523], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [1.0812354076133999, 0.769932466992506]]","[[0.8709090181091054, 2.452972183521263], [0.0, 0.0]]","[[0.0, 0.481048587638916], [0.0, 0.0]]","[[0.848330061624022, 0.07874577998672634], [0.0, 0.0]]","[[0.0, 0.0], [0.49281247410481954, 0.3471906378918332]]","[[0.13696000926307828, 0.12128537575527419], [0.0, 0.0]]","[[0.0, 0.41801114799380773], [0.01749218118541068, 0.0]]","[[0.7547696117169291, 0.0719782838886302], [0.0, 0.004758017233950234]]","[[0.0, 0.0], [0.3447098862795206, 0.2552009886730969]]","[[0.052931107878636016, 0.0], [0.0, 0.0]]","[[0.0, 0.4179866728888996], [0.0, 0.0]]","[[0.7255554767919433, 0.05699091802768525], [0.0, 0.0]]"
"[[0.0013289593832243225, 0.0], [0.0, 0.6118085121661957]]","[[0.0, 0.7274261886443484], [0.8980704373466063, 0.0]]","[[0.8354285101466956, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.8960940159980451]]","[[0.0, 0.0], [0.0, 0.5607135927255122]]","[[0.0, 0.6799570502513664], [0.7583312380568691, 0.0]]","[[0.7913580947310894, 0.0], [0.0, 0.008768175817472221]]","[[0.0, 0.0], [0.0, 0.8617989091277095]]","[[0.0, 0.0], [0.0, 0.5191248164363089]]","[[0.0, 0.6086567778165086], [0.703485732490247, 0.0]]","[[0.7552607854578752, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.8300136962695457]]"
"[[0.0, 0.0], [0.41670764539473865, 0.0]]","[[1.0143684342992296, 0.0], [0.0, 0.0]]","[[0.97785930894831, 0.0], [0.0, 0.0]]","[[0.0, 0.667579192538126], [1.2183767106521, 0.0]]","[[0.0, 0.0], [0.4186212526593, 0.04006229648067947]]","[[0.9583449721516295, 0.0], [0.0, 0.0]]","[[0.9509708057988913, 0.014020002190153345], [0.0, 0.0]]","[[0.0, 0.6077896416331127], [1.0453908851513547, 0.0]]","[[0.0, 0.0], [0.34725891803817616, 0.004849528154037101]]","[[0.8870689476998047, 0.0], [0.0, 0.0]]","[[0.9094955596081714, 0.0], [0.0, 0.0]]","[[0.0, 0.5834289634542769], [0.8979179729690849, 0.0]]"
"[[0.0, 0.24815647880545338], [0.0, 0.0]]","[[0.0, 0.0], [0.3930447465325641, 0.0]]","[[0.7298417069614137, 0.0], [0.0, 0.4357524378047779]]","[[0.0, 0.0], [0.0, 0.91114207693988]]","[[0.015639478829958676, 0.23429789678619414], [0.024641622625466292, 0.0]]","[[0.0, 0.010504692837290623], [0.3726969172044071, 0.0003897857787106616]]","[[0.7357274239850088, 0.0], [0.0, 0.4269464857382014]]","[[0.00638317012883737, 0.0], [0.010402615763947926, 0.8895457122274623]]","[[0.007035292990318715, 0.2252358325236559], [0.0, 0.0]]","[[0.0, 0.0], [0.341032249490497, 0.0]]","[[0.6519496601611882, 0.0], [0.0, 0.39017432620676673]]","[[0.0, 0.0], [0.00014753824470122996, 0.8653222693546051]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.07439549024290085], [0.0, 0.0]]","[[0.8586273422482654, 0.0], [0.0, 0.017904330673062248]]","[[0.0, 1.0906623934063313], [0.56609952211347, 0.0]]","[[0.025614092804869888, 0.0], [0.0, 0.11790059708362559]]","[[0.06022615432749457, 0.11918684550325212], [0.019359336428696895, 0.043201501449633806]]","[[0.7819179210360158, 0.0], [0.0, 0.0]]","[[0.0, 0.9605456718270224], [0.5692677803795115, 0.0]]","[[0.0, 0.0], [0.02695336814401576, 0.02609960990043105]]","[[0.0, 0.06726425458273487], [0.0, 0.028515336742998523]]","[[0.7917522348456175, 0.0], [0.0, 0.0]]","[[0.0, 0.8373641024438809], [0.5160960065388878, 0.0]]"
"[[0.0, 0.006658585125954072], [0.0, 0.0]]","[[0.7331665806960239, 0.0], [0.0, 0.22848819682567464]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7565342845836377]]","[[0.10492835452064775, 0.0], [0.04538870336748918, 0.019082077705239037]]","[[0.6424089695507377, 0.0], [0.0, 0.19080685259886793]]","[[0.037098383630282034, 0.00786734580506369], [0.028634629745701395, 0.026340115836569603]]","[[0.029200652798229195, 0.013001277835340512], [0.0060387071159692446, 0.7503078094604871]]","[[0.0, 0.010735547853908988], [0.0, 0.032958282727776886]]","[[0.5952104289792878, 0.0], [0.0, 0.15793967626552943]]","[[0.0, 0.0], [0.0004951631988414448, 0.0027710509256886552]]","[[0.0, 0.0], [0.0, 0.7006851167493875]]"
"[[0.0, 0.7687312763517267], [0.0, 0.0]]","[[0.0, 1.11777690016557], [0.0, 0.0]]","[[0.0, 0.0], [0.5078234520161461, 0.0]]","[[0.0, 0.0], [0.45583030203938785, 0.0]]","[[0.0, 0.5801408061326461], [0.01140498029763163, 0.0]]","[[0.0, 0.737499903715385], [0.0, 0.0]]","[[0.0, 0.0], [0.45470999723726524, 0.0]]","[[0.0, 0.008126219497988451], [0.42442832636620575, 0.0016543232784641821]]","[[0.0, 0.45462884067058285], [0.0, 0.0]]","[[0.0, 0.5029406525247427], [0.0, 0.0]]","[[0.0, 0.0], [0.38804726496321235, 0.0]]","[[0.0, 0.0], [0.373888984882878, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.030139481109937496], [0.0, 0.0]]","[[0.0, 0.9202951752326712], [0.6594443462577915, 0.0]]","[[0.0, 0.85833664096886], [0.7249497407924085, 0.0]]","[[0.00815358916951834, 0.0], [0.026161398312081818, 0.0]]","[[0.0, 0.0], [0.0026069169002678376, 0.04982713596355098]]","[[0.0, 0.8146748654983467], [0.6128490705925402, 0.0]]","[[0.0, 0.8244804044135081], [0.7100300850338673, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.7814533346025866], [0.5876846363369406, 0.0]]","[[0.0, 0.7616278542959812], [0.6487162967377565, 0.0]]"
"[[0.0, 0.0], [1.2077459241910955, 0.8911013403682223]]","[[0.9274538701919716, 0.0], [0.0, 0.1326217019627005]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.7826393628357198, 1.2478941114967832], [0.0, 0.0]]","[[0.0, 0.0], [0.43448540243226397, 0.27410471846549905]]","[[0.8972347788823594, 0.006944028464215534], [0.0, 0.057384957946004414]]","[[0.01169722380648623, 0.022731365092702654], [0.0, 0.00283035282632192]]","[[0.29713619590113177, 0.5826389474991777], [0.0, 0.0]]","[[0.0, 0.0], [0.4015040832752013, 0.22701301234085572]]","[[0.8212783886502181, 0.0], [0.0, 0.04970005247517575]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.25157947806287323, 0.4807611349139592], [0.0, 0.0]]"
"[[0.047559546076777634, 0.0], [0.0, 0.8216193017497843]]","[[0.8745868183784932, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [3.7403383224352016, 0.8354401539605723]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0164244048320737, 0.00891122519219341], [0.0, 0.7351283597089072]]","[[0.8821012702754693, 0.0087546945344895], [0.0, 0.01676832167839161]]","[[0.0, 0.0], [0.0, 0.014387794659952546]]","[[0.009584996516944558, 0.03566862371793558], [0.026494569641904296, 0.010364881953723296]]","[[0.025125324616293375, 0.0], [0.0, 0.7073914642446619]]","[[0.808959607430964, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.006228864717512403]]","[[0.0, 0.008784865851397986], [0.0, 0.0]]"
"[[0.7253166309014085, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.8226126144547464, 0.0], [0.0, 0.006956462671362248]]","[[0.7203651382506333, 0.0], [0.0, 0.0]]","[[0.025693675794942285, 0.012038001372916845], [0.0018751122802806344, 0.0]]","[[0.04228172594564394, 0.009422063674469206], [0.03827760684137949, 0.004028236314517398]]","[[0.7813570128977938, 0.0], [0.0, 0.0]]","[[0.6313530708394481, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.011051645326875989, 0.009386408430645256], [3.8041416012641196e-05, 0.0]]","[[0.7534836746786538, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.9275261047183994]]","[[0.8874936150271517, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.5672660453792491, 0.0]]","[[0.0, 0.004365540774870758], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.8717050381070883]]","[[0.8065924351372034, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.5305919073803042, 0.0]]","[[0.0, 0.02841966837452074], [0.0, 0.010648837017013354]]","[[0.0, 0.0], [0.0, 0.8471397136671298]]","[[0.7721661823687505, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.47219781706530967, 0.0]]"
"[[0.8660089818535986, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7798590868447278]]","[[0.0, 0.5820578947419697], [1.2192496518808262, 0.0]]","[[0.8594867618977589, 0.011811251894561874], [0.0, 0.0]]","[[0.0, 0.0], [0.05082338612903298, 0.0]]","[[0.00372871768311687, 0.0], [0.0, 0.778179582561247]]","[[0.0, 0.6007530884083633], [1.030194881849062, 0.0]]","[[0.7702229464246246, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.03885226337755661, 0.0]]","[[0.0, 0.0], [0.0, 0.7078528704433373]]","[[0.0, 0.572422416138486], [0.8778723835241145, 0.0]]"
"[[0.0, -0.004957162989492823], [0.0, 0.0]]","[[0.0, 0.6921643968476124], [1.0801528717701305, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.7736303352999231, 0.0]]","[[0.0, 0.0], [0.009758997695500997, 0.03246541843301598]]","[[0.0, 0.5601902375286062], [0.8995034290673386, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.00829104843044821], [0.6751792031968098, 0.004216190549239128]]","[[0.0, 0.0], [0.0, 0.002747207397564147]]","[[0.0, 0.5750505437904383], [0.807010917041065, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.5889672992483226, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7647912142690672]]","[[0.0, 0.0], [0.045158950077369524, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.021382676086593718, 0.008306991065432078], [0.0934686295751317, 0.07871269485378227]]","[[0.001142720814173011, 0.0], [0.0, 0.7540543725289965]]","[[0.009191909788304734, 0.00402352735979849], [0.009549841558224541, 0.0]]","[[6.901160395930036e-06, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.6807318715706469]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.0, 0.6980741759034698], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.876471175283046, 0.0], [0.0, 0.0]]","[[0.6894494427696539, 0.0], [0.0, 0.0]]","[[0.001212008866642017, 0.5171700892459895], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.86564204574256, 0.019303772689215626], [0.0006288231640674584, 0.010144742831308892]]","[[0.6863956278379353, 0.0222461241822372], [0.0, 0.0]]","[[0.0, 0.3932630206048545], [0.0, 0.0]]","[[0.005831591743588804, 0.0], [0.0, 0.0]]","[[0.8241102171884862, 0.0], [0.0, 0.0]]","[[0.6285311513525592, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.1882402895188556], [0.0, 0.0]]","[[0.0, 0.30423330944127425], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.1378668572226539], [0.0, 0.0]]","[[0.0, 0.2375450917270261], [0.020898228949123743, 0.015425125561723374]]","[[0.0, 0.0], [0.004272850224052748, 0.0]]","[[0.0006502167696820878, 0.014548554641242384], [0.0, 0.0]]","[[0.0, 0.11966960117142032], [0.0, 0.0]]","[[0.0, 0.23333468487554665], [0.0, 0.0]]","[[0.0, 0.0], [0.0030006673229049435, 0.0015081298261493035]]"
"[[0.9947602631275289, 0.0], [0.0, 0.023941471344983912]]","[[0.0, 1.6369589050322741], [0.7629218501397511, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.5507791076696165], [2.242800778447671, 0.0]]","[[0.9893691857248104, 0.0], [0.0, 0.0]]","[[0.0, 1.0205907295529986], [0.7430472755628458, 0.0]]","[[0.027925876764579298, 0.0], [0.0, 0.0]]","[[0.0, 0.45173311189239657], [0.6391955919000751, 0.0]]","[[0.9221092922193042, 0.0], [0.0, 0.0]]","[[0.0, 0.7503860520064193], [0.6659491613149088, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.3940056688225867], [0.3072808634816119, 0.0]]"
"[[0.0, 0.8577044646943359], [0.8562659941252749, 0.0]]","[[0.0, 0.060534363649732886], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [1.5113957184878768, 0.8718488287028625]]","[[0.0, 0.8194519088206801], [0.7447162257101975, 0.0]]","[[0.019608823705396412, 0.11378117729501054], [0.04920041229434563, 0.045380125683911775]]","[[0.028535855069568652, 0.02640107712480459], [0.0, 0.01396249434721984]]","[[0.0, 0.0], [0.6474948981105129, 0.27411016169589797]]","[[0.0, 0.6895794526207253], [0.6782796949550054, 0.0]]","[[0.0, 0.04231800783511089], [0.0, 0.0033134482778621813]]","[[0.0, 0.0], [0.0, 0.007689900705245766]]","[[0.0, 0.0], [0.4852917674934626, 0.2001395220314119]]"
"[[0.0, 0.28842598740771885], [0.0, 0.0]]","[[0.0, 0.14634781395759675], [0.0, 0.0]]","[[0.0, 0.0], [0.0035036259204245085, 0.0]]","[[0.7100439361376044, 0.0], [0.0, 0.0]]","[[0.007046991337228802, 0.15498701636642379], [0.0, 0.0]]","[[0.029210396841488212, 0.15008914742858004], [0.0, 0.0]]","[[0.0, 0.0], [0.011051207138977295, 0.0]]","[[0.6997292175936902, 0.0], [0.0, 0.0]]","[[0.0, 0.23222243085720728], [0.0, 0.0]]","[[0.0, 0.09737612495634995], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.6423479730628495, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.7575940831248898]]","[[0.7785316721246153, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.576306036407098], [1.6852960662371403, 0.0]]","[[0.0, 0.0], [0.007181545083655103, 0.7463980737783665]]","[[0.7497113580900749, 0.0], [0.0, 0.0]]","[[0.0, 0.027155278131634264], [0.006572543601546802, 0.009412920318959196]]","[[0.0, 0.5078479065521843], [1.0628643042789268, 0.0]]","[[0.0, 0.0], [0.013101566820527355, 0.7721618121175238]]","[[0.707241299133659, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.46550159400234536], [0.7833001332667539, 0.0]]"
"[[0.8225040156812525, 0.0], [0.0, 0.0]]","[[0.8246195112332095, 0.0], [0.0, 0.14329736709924623]]","[[0.833418337406472, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.7398012816689669, 0.032317664378501136], [0.0, 0.0]]","[[0.7584513006664818, 0.015689832731156716], [0.0, 0.17911595538408442]]","[[0.847450472634454, 0.05554988482999521], [0.03607516233154195, 0.010704605553394194]]","[[0.0, 0.0030963200228839353], [0.026724888540242495, 0.013481387497126997]]","[[0.7051114415995977, 0.0], [0.0, 0.0]]","[[0.7523006705425384, 0.0], [0.0, 0.07575263114778094]]","[[0.7813340749735292, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.6920319442083233, 0.3359381298470805], [0.0, 0.0]]","[[0.7135068076561766, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.7605336843636887, 0.0], [0.0, 0.0]]","[[0.4504318584550918, 0.1210725759637089], [0.0, 0.01794105085276013]]","[[0.6638358506178843, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.708061136830326, 0.0], [0.0, 0.0]]","[[0.4223078509788873, 0.15811047271171502], [0.0, 0.0]]","[[0.6440356867971396, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.705505996761061, 0.0], [0.0, 0.0]]"
"[[0.7209300823181364, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.11007019848153869, 0.0]]","[[0.79541407697992, 0.0], [0.0, 0.0]]","[[0.6444459526798298, 0.0], [0.024123894052941682, 0.0]]","[[0.03383109901461828, 0.004550071525859699], [0.009481194292352965, 0.0]]","[[0.008724421345911072, 0.01698768541981909], [0.09312807496531883, 0.0]]","[[0.7747284063839119, 0.026858184073087297], [0.0, 0.0]]","[[0.6338456780661431, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.07588982808342021, 0.0]]","[[0.738916527057335, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.935427615489935]]","[[0.0, 1.0108964295766285], [0.7247710020252135, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.009071287061059908, 0.8727626327149577]]","[[0.0, 0.84397107233083], [0.6721017865373355, 0.0]]","[[0.0, 0.0], [0.014109965389721058, 0.0]]","[[0.018969606695863374, 0.010244937348529945], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7769413594775325]]","[[0.0, 0.7748804422358507], [0.6109168304318278, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.0, 1.0618996004801802], [0.5451214558811438, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.832908351094708, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.7889167047850733, 0.0]]","[[0.0, 0.8216748648316436], [0.4790155277417866, 0.0]]","[[0.0, 0.0], [0.028657591141680466, 0.019414813872901684]]","[[0.8142442974463905, 0.03150049874231101], [0.0, 0.02380076932651228]]","[[0.0, 0.0], [0.6734502566929362, 0.0]]","[[0.0, 0.618362723834054], [0.35684164196399165, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.7565992396621108, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.5669803364337132, 0.0]]"
"[[0.0, 0.0], [1.1642257888124048, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.12667101992110336, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.7213537400971277, 0.0]]","[[0.007749717988508202, 0.042762752600939084], [0.0, 0.0]]","[[0.0, 0.0], [0.08331725007570073, 0.0]]","[[0.0, 0.0], [0.0, 0.00767053576364327]]","[[0.0, 0.0], [0.442931665369134, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.07903236275211478, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.0, 0.0], [0.0, 0.9745119497483443]]","[[0.860872215118147, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7864085494382973]]","[[0.0, 0.0], [0.20869803676645032, 0.0]]","[[0.028993068203538305, 0.0], [0.0, 0.8195514422444851]]","[[0.8253348987542584, 0.00823338014255735], [0.0, 0.0]]","[[0.0112356457843859, 0.007953482485704315], [0.0, 0.7421664234809437]]","[[0.0, 0.0], [0.23044839837071876, 0.01446225630695489]]","[[0.0, 0.0], [0.0, 0.870163449949667]]","[[0.7890719898461488, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7033952320144063]]","[[0.0, 0.0], [0.20892198007044824, 0.0]]"
"[[0.0, 0.022922888273314852], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.8786325764817909]]","[[0.0, 0.0], [0.03903685609592196, 0.016833406730269264]]","[[0.01753369887607499, 0.0], [0.005121898890160813, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.858263982459174]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0008372452938449532], [0.003479415394769851, 0.0023136840730117745]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.826165199424703]]"
"[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [1.0901245377662243, 0.800298487528218]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7591618863536268]]","[[0.0, 0.0], [4.84417967951318e-06, 0.0]]","[[0.0, 0.0], [0.5181171171995166, 0.3015495084594511]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.009397600171864825, 0.7547978139745828]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.3942389160159134, 0.23750470822872685]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7123542653530114]]"
"[[0.0, 0.0], [0.09688772401279769, 0.0]]","[[0.8792704541689544, 0.0], [0.0, 0.1362292720456796]]","[[0.0, 0.025473954976131474], [0.0, 0.0]]","[[0.0, 0.0], [0.28479972485257005, 0.0]]","[[0.0, 0.05804242767333722], [0.07911973893570211, 0.0]]","[[0.9133416032374119, 0.0], [0.0, 0.18423539783574538]]","[[0.0014233619231251737, 0.00794900246097235], [0.0, 0.0]]","[[0.0, 0.0], [0.28403681025309896, 0.0]]","[[0.0, 0.0], [0.07955877689892471, 0.00573830671428361]]","[[0.8049728952015197, 0.0], [0.0, 0.10196467592929301]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.23533756786144178, 0.0]]"
"[[0.0, 0.546388768127648], [1.8845873041239207, 0.0]]","[[1.03829772911555, 1.9653442345073433], [0.0, 0.0]]","[[0.8345090332658046, 0.0], [0.0, 0.0]]","[[0.7793071001251527, 0.0], [0.0, 0.0]]","[[0.0, 0.42081625853027177], [0.6068048426510168, 0.0]]","[[0.21741623390361772, 0.4996430824542739], [0.0, 0.0]]","[[0.8232055259384057, 0.019635700176904587], [0.0, 0.0]]","[[0.8026981375106025, 0.02881240777929273], [0.0, 0.0]]","[[0.0, 0.3728359011475229], [0.2873328151094153, 0.0]]","[[0.13803239482887517, 0.25685370324279216], [0.0, 0.0]]","[[0.7869765246713033, 0.0], [0.0, 0.0]]","[[0.72713454865357, 0.0], [0.0, 0.0]]"
"[[0.8188316818762887, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.8178488314489533]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.8630745977498817, 0.06933839024935887], [0.0, 0.0]]","[[0.023531706998391917, 0.025059491664494577], [0.013994278879159253, 0.791597219499215]]","[[0.0, 0.0], [0.012399073066821939, 0.0]]","[[0.0, 0.0039016059621818935], [0.01550069221741724, 0.0]]","[[0.6970130658569047, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.7485835323479314]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[0.0, 0.040598131322024465], [0.0, 0.0]]","[[0.0, 0.5081341075720582], [1.636168333679004, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.006358007776130832], [0.0, 0.028305615466488878]]","[[0.0, 0.45031889003764397], [0.8355290244037269, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.37706318939379446], [0.5809314208543487, 0.0]]","[[0.0, 0.0], [0.006174035674871589, 0.014981650747031143]]","[[0.0, 0.0], [0.0, 0.0]]"
