,real_t250,real_t500,real_t750,real_t1000,knn_t250,knn_t500,knn_t750,knn_t1000,knn_sqrt_t250,knn_sqrt_t500,knn_sqrt_t750,knn_sqrt_t1000
82,"[[0.17005605864919493, 0.0, 0.0], [0.5052741156138264, 0.0, 0.0], [0.0, 0.0, 0.6328253858129017]]","[[0.9624740691035719, 0.0, 0.0], [0.07836808037893991, 1.9318176064837125e-05, 0.0], [0.0, 0.6436695077213843, 0.0001387459491198987]]","[[0.0, 0.0, 0.0], [0.025233476273182034, 0.0, 0.08709948393727249], [0.0, 0.0, 0.0]]","[[0.17193809786811437, 0.020180704077583593, 0.0], [0.0, 0.8161767261289808, 0.0], [0.0, 0.0, 0.0]]","[[0.10726636726759545, 0.0, 0.0], [0.3540156691116708, 0.0, 0.0], [0.0, 0.0, 0.5626463141379486]]","[[0.8367154205654805, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.3580247836766676, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.03649111699428055], [0.0, 0.0, 0.0]]","[[0.14785442229485513, 0.0, 0.0], [0.0, 0.7459935694967483, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.25386245209943475, 0.0, 0.0], [0.0, 0.0, 0.5297426530554413]]","[[0.8288771561455293, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.2698977322253411, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.043438224536897836], [0.0, 0.0, 0.0]]","[[0.12825071937443147, 0.0, 0.0], [0.0, 0.7090623253166254, 0.0], [0.0, 0.0, 0.0]]"
83,"[[0.0, 0.0, 0.0], [0.013442251907056446, 0.0, 0.0], [0.0, 0.0, 0.6711687800132097]]","[[0.0, 0.09754068203149571, 0.0], [0.0, 0.3305515129026906, 0.9310288850914253], [0.5676133676576716, 0.0, 0.30511953027860134]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.010791161887197457], [0.07699976293393357, 0.010421752312982509, 0.9332050233033039]]","[[0.5321258621106046, 0.6216994947334612, 0.1756267159289513], [0.594693824698684, 0.5854546170785591, 0.2134095046540406], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.5790057197617348]]","[[0.0, 0.0, 0.0], [0.0, 0.06881283939079041, 0.4148057008532095], [0.19815274288691062, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.005748939320445536, 0.0, 0.789357195424308]]","[[0.2649099952115431, 0.34336752782533797, 0.07471671795105526], [0.4943650765334925, 0.4964770378187142, 0.16928258939743698], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.49539157824037927]]","[[0.0, 0.0037044051684401906, 0.0], [0.0, 0.08178985790047816, 0.36526485006157094], [0.2043236496096861, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.7489744627296919]]","[[0.21865591339316204, 0.29601883479877555, 0.040716025042661426], [0.45003288772238625, 0.4553483560529207, 0.13170668039688252], [0.0, 0.0, 0.0]]"
84,"[[0.0, 0.0, 0.0], [0.004956811964069582, 0.7474980116123314, 0.3601181843056423], [0.0, 0.0, 0.0]]","[[0.6958827594911189, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.4177907592889249], [0.7253285754635355, 1.394447635825898, 0.0], [0.0, 1.7996933635374817, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.43035018215005905, 0.06225558484256519, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.451128808360285, 0.21058306330075796], [0.0, 0.0, 0.0]]","[[0.6800792697769407, 0.0, 0.010424516156305678], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.1444533175725899], [0.5000938078588146, 0.11784907475263283, 0.0], [0.0, 0.47768252436576963, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.375362626873496, 0.049343663931630366, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.37538872986977323, 0.13837387198469764], [0.0, 0.0, 0.0]]","[[0.6147159357143158, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.09673442300740999], [0.44872026815659066, 0.0, 0.0], [0.0, 0.2571268523852427, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.3282642675115542, 0.012543306152983507, 0.0]]"
85,"[[0.0, 0.0, 0.6313924174964811], [0.0006665076739981172, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.014650811269613399, 0.6643182386963813], [0.9127208271773272, 1.0013338879864546, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.10604456991954446, 0.0], [0.0, 0.0, 0.0], [0.28832489843487846, 0.8296134158499983, 0.0]]","[[0.0, 0.0032556610000079238, 0.2444182856106424], [0.0, 0.01430904343030649, 0.0], [0.0, 0.0, 1.0437058759085107]]","[[0.0, 0.0, 0.47150127608676407], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.17866426804154298], [0.30400332163618166, 0.3458944548601542, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.21834411612071394, 0.5536398297358543, 0.0]]","[[0.0, 0.0, 0.14622560808701154], [0.0, 0.0, 0.0], [0.0, 0.0, 0.9472850425245847]]","[[0.0, 0.0, 0.3865605421829273], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.1169455467395339], [0.28630188561491793, 0.3299712619192503, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.19484926250378565, 0.45412918400209806, 0.0]]","[[0.0, 0.0, 0.11268110768774209], [0.0, 0.0, 0.0], [0.0, 0.0, 0.8743538744571347]]"
86,"[[0.7144032468279949, 2.18324967277839, 0.0], [0.0, 0.0, 0.0], [0.0, 1.198342686455743, 0.0]]","[[0.0, 0.0, 0.0], [0.02016147526783423, 0.0, 0.0], [0.3714472407772512, 0.0, 0.0]]","[[0.0, 0.0, 1.2314003763688093], [0.0, 0.0, 0.8240061484169139], [1.7532379974316858, 0.0, 0.0]]","[[0.3587767396069679, 0.05548750594132279, 0.0], [0.0, 0.8854893592245966, 0.0], [0.21570272335778828, 0.0, 0.0]]","[[0.16515440931741537, 0.18949093314612697, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.2648692808760632, 0.0, 0.0]]","[[0.0, 0.0, 0.6092556040095094], [0.0, 0.0, 0.18396180722134686], [1.3626191379769044, 0.0, 0.0]]","[[0.28169482791419914, 0.0, 0.0], [0.0, 0.8168139459841052, 0.0], [0.13971951326856252, 0.0, 0.0]]","[[0.110981843860045, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.22370638293423012, 0.0, 0.0]]","[[0.0, 0.0, 0.5473102174105338], [0.0, 0.0, 0.04953532301478], [1.2288238497373742, 0.0, 0.0]]","[[0.2329341013926177, 0.0, 0.0], [0.0, 0.7722243464781136, 0.0], [0.09512166755635837, 0.0, 0.0]]"
87,"[[0.0, 0.0, 0.0], [0.0, 0.7412442598176675, 0.0], [0.0, 0.0, 0.0]]","[[0.3859232233351623, 0.0, 0.1245924507527288], [0.0, 0.3566542512987954, 0.628456995803398], [0.0, 0.26921463381994093, 0.0]]","[[0.8910223129895792, 0.0, 0.0], [0.0, 0.08813571007282436, 0.0], [0.0016538681168327622, 0.0, -0.002876041168606615]]","[[0.0, 0.16466615915174218, 0.8286150095890195], [0.0, 0.0, 0.0], [0.8968939332385152, 0.6493353722409989, 0.0]]","[[0.0, 0.0, 0.02071602512567798], [0.012932715405744174, 0.6658064934331785, 0.0], [0.03200286163670858, 0.0038172943318323885, 0.007055652413041253]]","[[0.2583562516847405, 0.0, 0.010234860373556972], [0.0, 0.13367966868613929, 0.362457931698488], [0.0, 0.10578366935560093, 0.0]]","[[0.8432135871406288, 0.0, 0.0], [0.0, 0.04974002253110081, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.37234000172954007], [0.0, 0.0, 0.0], [0.7138079115458051, 0.49536577283997774, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.5645326773119098, 0.0], [0.0, 0.0, 0.0]]","[[0.25201101370083034, 0.0, 0.0], [0.0, 0.12013149980689461, 0.3449959032014087], [0.0, 0.10050322039578508, 0.0]]","[[0.7745313791309721, 0.0, 0.0], [0.0, 0.027470864513199758, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.3351226862157682], [0.0, 0.0, 0.0], [0.6382609242813854, 0.4449151084998233, 0.0]]"
88,"[[0.0035736500107299515, 0.0, 0.0], [0.035494941838693936, 0.0, 0.037488701988850966], [0.0, 0.43252019623477, 0.8976510836696929]]","[[0.7740451394076087, 1.6409833156032487, 0.04752645126063398], [0.0, 0.0, 0.0], [0.0, 0.11282386963760432, 0.0]]","[[0.0, 0.13103219921293227, 0.0], [0.0, 0.0, 0.0], [0.0, 0.07856568046200407, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.2712482250131031, 0.5300173580522697]]","[[0.19265986200626337, 0.511410289876069, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.10099994578902138, 0.0], [0.0, 0.0, 0.0], [0.0, 0.01957690535531277, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.1487695502088506, 0.4463481386170615]]","[[0.15860977042711902, 0.36030072612770936, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.1036494677519361, 0.0], [0.0, 0.0, 0.0], [0.0, 0.02331839486163247, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
89,"[[0.0, 0.0, 0.0], [0.0, 1.0805625586230578, 0.8869698345848709], [0.0, 0.8667913622415917, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, -0.0013634864657303427], [0.0, 0.0, 0.8992561592082402]]","[[0.5965783928069299, 0.0, 0.0], [0.3398500009951681, 0.0, 0.0], [0.0, 0.2203242897170198, 0.7996539653215774]]","[[0.0, 0.12584010245176713, 0.0], [0.0, 0.940125388309, 0.0], [0.0, 0.0, 0.020205976242962193]]","[[0.0, 0.0, 0.0], [0.0, 0.6788021152459085, 0.6509397163955921], [0.0, 0.46029256470392077, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.8023572154165145]]","[[0.43414675906589745, 0.0, 0.0], [0.15627590466005578, 0.0, 0.0], [0.0, 0.11079126882672582, 0.5529254804206053]]","[[0.0, 0.056091439990045615, 0.0], [0.0, 0.8678066405578323, 0.0], [0.0, 0.0, 0.003738381555132013]]","[[0.0, 0.0, 0.0], [0.0, 0.589407614605102, 0.5692515556554142], [0.0, 0.35308432953367225, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.7517541929660495]]","[[0.41085241309353127, 0.0, 0.0], [0.10143740494990378, 0.0, 0.0], [0.0, 0.11530416855241171, 0.5272149402053634]]","[[0.0, 0.0406804966875702, 0.0], [0.0, 0.8275666094760257, 0.0], [0.0, 0.0, 0.0]]"
90,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.24273744973449765], [0.0, 0.0, 0.9400913201539057]]","[[0.9410142116140809, 0.0, 0.0], [0.0, 0.0, 0.0], [0.14867148482920034, 0.0, 0.0]]","[[0.0, 0.0, 0.051245235923936636], [0.0, 0.0, 0.0], [0.0, 0.42379457627712963, 0.0]]","[[0.23867461957375452, 0.0, 0.0], [0.945092624151304, 0.10381715548825918, 0.44826647947445414], [0.0, 0.25017178830176956, 0.12230694429381879]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.1067524253916089], [0.0, 0.0, 0.7470379944838867]]","[[0.8565825017104751, 0.0, 0.0], [0.0, 0.0, 0.0], [0.04172349530268269, 0.0, 0.0]]","[[0.0, 0.0, 0.019590608013097026], [0.0, 0.0, 0.026919005316144787], [0.0, 0.3632168891283612, 0.0]]","[[0.0, 0.0, 0.0], [0.5315325013807997, 0.04437747937553505, 0.24013989032614871], [0.0, 0.06295274534690834, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.06941153211133926], [0.0, 0.0, 0.7639428500837024]]","[[0.7900831725897602, 0.0, 0.0], [0.0, 0.0, 0.0], [0.03262093534652308, 0.0, 0.0]]","[[0.0, 0.0, 0.007230802013769901], [0.0, 0.0, 0.0], [0.0, 0.2960825396883772, 0.0]]","[[0.0, 0.0, 0.0], [0.43804123151782487, 0.014073647626406496, 0.20228049574384308], [0.0, 0.03682710458879621, 0.0]]"
91,"[[0.0, 0.0, 0.12435679656057917], [0.9966686393566745, 0.5528937652172894, 0.0], [0.0023459649233798416, 0.5998219008285223, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.9565681211927933, 0.0], [0.0, 0.2096705000093858, 0.0]]","[[0.0, 0.0, 1.1090748416032632], [0.0, 0.1678168409682326, 0.35747403994354165], [0.9101920145328799, 0.0, 0.0]]","[[0.04446813808733155, 0.0, 0.37118623342912654], [0.0, 0.803679720555544, 0.6080007074570497], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.6592610545953113, 0.19756655784715524, 0.0], [0.0, 0.3316073561385288, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.8050781223423297, 0.0], [0.0, 0.06513491871541567, 0.0]]","[[0.0, 0.0, 0.7673794615538814], [0.0, 0.09698636395572902, 0.13179303846542623], [0.6904272569844658, 0.0, 0.0]]","[[0.0, 0.0, 0.25999493111015837], [0.0, 0.5214081676670735, 0.3095286153095306], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.01207808222761286], [0.5427743626765693, 0.11193553006455305, 0.0], [0.0, 0.21557361495199562, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.7635394065467582, 0.0], [0.0, 0.09196603481303811, 0.0]]","[[0.0, 0.0, 0.6678388834413354], [0.0, 0.05348617667132924, 0.06242358572430605], [0.6723660549052324, 0.0, 0.0]]","[[0.0, 0.0, 0.21514612154656299], [0.0, 0.5025509486089557, 0.29294101035930575], [0.0, 0.0, 0.0]]"
92,"[[0.0, 0.0, 1.035015624683282], [0.45574048359038866, 0.0, 0.0], [0.0, 1.488295880876137, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.5340079508841655], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.47600228921608845], [0.0, 0.0, 0.0], [0.0, 0.0, 1.2895200250133598]]","[[0.9366557626403813, 0.6802603687575202, 0.0], [0.0, 0.0, 0.0], [0.026673088165035868, 0.0, 0.0]]","[[0.0, 0.0, 0.509891019396068], [0.31117734969071004, 0.0, 0.0], [0.0, 0.9637467444289826, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.4281050849209422], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.28027839661537346], [0.0, 0.0, 0.0], [0.0, 0.0, 1.0834760119288502]]","[[0.500269091361722, 0.32961079484484257, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.36293071511642966], [0.22123892518864224, 0.0, 0.0], [0.0, 0.7778337427100701, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.3743724072135657], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.1918353849731359], [0.0, 0.0, 0.0], [0.0, 0.0, 1.0069239470116127]]","[[0.43292247151391255, 0.2846786152260859, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
93,"[[0.005823211111386528, 0.0, 0.2193734242847366], [0.0, 0.8094977196362302, 0.0], [0.12076170490259301, 0.010611777053075038, 0.12049824410279038]]","[[0.0, 0.0, 0.0], [0.09508350451950057, 0.8274731311862198, 0.0], [0.003122120469942321, 0.03998161056887041, 0.0]]","[[0.0, 0.0, 0.0], [0.972250895869876, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.96756961514123, 0.0, 0.0], [0.043545483289745134, 0.6168783579304031, 0.0]]","[[0.0, 0.0, 0.1487837710976742], [0.0, 0.7949742513912371, 0.0], [0.01860318205463284, 0.0, 0.021670366162882083]]","[[0.0, 0.0, 0.008243944294423856], [0.013458846627902837, 0.6641750636624829, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.6503752049407583, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.787536785524706, 0.0, 0.0], [0.0, 0.41087610377699124, 0.0]]","[[0.0, 0.0, 0.07370544515589078], [0.0, 0.6905947475044195, 0.0], [0.08438247206483215, 0.0, 0.0012909192657897038]]","[[0.0, 0.0, 0.0], [0.0, 0.6584207986148735, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.5223446923341942, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.7286070498710687, 0.0, 0.0], [0.0, 0.3241111425166082, 0.0]]"
94,"[[0.0, 0.0, 0.02901093620291209], [-0.0014403863781095546, 0.0, 0.0], [0.5166494486169152, 0.0, 0.6169844656557125]]","[[0.0, 0.0, 0.24747864333476788], [0.0, 1.84123718954726, 0.0], [0.0, 1.1171167769246202, 0.0]]","[[0.0255881194465166, 0.0, 0.0], [1.6748333927410564e-05, 0.0, -0.0004943233409088885], [0.0, 0.40324899262198116, 0.8325185312935662]]","[[0.0, 0.0, 0.0], [0.0, 0.013816708805732162, 0.48631826826119273], [0.05846153460591832, 0.5602696653645751, 0.22902504458536546]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.25268788392466857, 0.0, 0.3011903561696138]]","[[0.0, 0.0, 0.13734444664151158], [0.0, 1.1747975166183673, 0.0], [0.0, 0.5105576813014844, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.239522704054262, 0.5533246463963193]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.35117094571211904], [0.004399849681332675, 0.3711108895442484, 0.12432765969113342]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.23779130770899146, 0.0, 0.3286183511553097]]","[[0.0, 0.0, 0.10643392388261827], [0.0, 1.0259108734191407, 0.0], [0.0, 0.32754538151337387, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.18852570919767622, 0.49901977976409817]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.3195962830901242], [0.0, 0.3570988282648598, 0.0893297138202499]]"
95,"[[0.0, 0.0, 1.831166922456269], [0.0, 2.4981108532413945, 0.0], [0.0, 1.9581919200290825, 0.0]]","[[0.0, 2.789670250959721, 0.6949795744458228], [1.321184631952643, 2.402841327821261, 0.0], [2.009169917966479, 0.0, 0.0]]","[[0.0, 0.0, 0.42039125308221476], [0.0, 0.0, 0.0061392399082708295], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.021243970312271175, 0.0], [0.0, 1.1929851810771797, 0.8459637843400992]]","[[0.0, 0.0, 0.0], [0.0, 1.6539843349808376, 0.0], [0.0, 1.1445692579142308, 0.0]]","[[0.0, 1.0773699510922718, 0.32243026725827423], [0.0, 0.1470784444076347, 0.0], [0.04468985159527245, 0.0, 0.0]]","[[0.0, 0.0, 0.32592671754588926], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.5039519757321786, 0.28995835300277584]]","[[0.048370637560299086, 0.0, 0.0], [0.0, 1.5237994645714803, 0.0], [0.0, 0.9633195747940396, 0.0813854899264185]]","[[0.0, 0.8632484657545451, 0.19623635473142673], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.29367262097169483], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.41198463883798475, 0.2414602212124083]]"
96,"[[0.0, 0.0, 0.0], [0.013021813704992972, 0.0, 0.0], [0.0, 0.0, 0.7663053616230185]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.1722241368474117], [0.0, 0.0, 0.9026628063804765]]","[[0.0, 0.0, 0.30880179743541186], [0.8088999080982815, 0.0, 0.8178549184067849], [1.202370023850798, 0.8722520884412687, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.6643330734668047]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.1004981295779243], [0.0, 0.0, 0.8260774410661031]]","[[0.0, 0.0, 0.012063713830118741], [0.10361100832710285, 0.0, 0.30985183631717933], [0.6708973198330475, 0.554848259790488, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.646458705417427]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.05745193698034067], [0.0, 0.0, 0.7586590005670503]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.2642015776872827], [0.5373673230505218, 0.46772984155378994, 0.0]]"
97,"[[0.9270774418681734, 0.0, 0.0], [0.0, 0.008328494796758169, 0.0], [0.34981747540322794, 0.03684989469797232, 0.0]]","[[0.0, 1.217638995469857, 0.0], [0.0, 1.9018725986959584, 0.0], [0.0, 0.0, 0.0]]","[[0.015590951000032943, 0.015753218763485392, 0.37591057881992457], [0.0, 0.816380528587285, 0.09986871086744215], [0.0, 0.0, 0.0]]","[[0.0, 1.032856586461991, 0.0], [0.0, 0.0, 1.973846247858469], [0.0, 1.809552094160199, 2.9507861351631774]]","[[0.8055138534691769, 0.010679901276604337, 0.0], [0.0, 0.0, 0.0], [0.1724468906280668, 0.013596321722255871, 0.0]]","[[0.0, 0.33872195851024506, 0.0], [0.0, 1.0086639899154677, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.2467510199749207], [0.0, 0.6834773973663161, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.08814059965790025, 0.0], [0.0, 0.0, 0.5842961147135822], [0.0, 0.3366898723608236, 1.5800095499068865]]","[[0.6904704478949596, 0.0, 0.0], [0.0, 0.013015361077424384, 0.0], [0.13711835169717101, 0.013219940314641698, 0.0]]","[[0.0, 0.15540523376827792, 0.0], [0.0, 0.8536273416547903, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.21991209711279866], [0.0, 0.6367508408161549, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.38781623933041304], [0.0, 0.31565414522970286, 1.4213773543031267]]"
98,"[[0.0, 0.0, 0.08856387789390609], [0.16327197656139605, 0.0, 0.48919095065827617], [0.0, 0.7664402920232961, 0.0]]","[[0.0, 0.0, 0.0], [0.08029760280645287, 1.147357712192497, 0.0], [0.07673479947646213, 0.46675146117392236, 0.0]]","[[0.8258569548615889, 0.9704299408577441, 0.0], [0.012855668083575127, 0.0, 0.0], [0.0, 1.2348394121180017, 0.22166158233191258]]","[[0.0, 0.0, 0.0], [0.5099682152434231, 0.0, 0.0], [0.7856922563397178, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.16577992766130784, 0.0, 0.34569883274926794], [0.0, 0.4724083574545676, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.9313827902802005, 0.0], [0.02655446279832155, 0.2641558690538926, 0.0]]","[[0.49123911185155866, 0.1606623097346179, 0.0], [0.0, 0.0, 0.0], [0.0, 0.4022539233767046, 0.07098354783781868]]","[[0.0, 0.0, 0.0], [0.2273887071369287, 0.0, 0.0], [0.5205357514079384, 0.0, 0.0]]","[[0.0, 0.0, 0.0009390528858710403], [0.09738187293629663, 0.0, 0.3194803049110297], [0.0, 0.42667593771566753, 0.0]]","[[0.0, 0.0, 0.0], [0.007643599023347004, 0.8687531027410099, 0.0], [0.00836354950620821, 0.18349129262180044, 0.0]]","[[0.44907857252616307, 0.08493851141200741, 0.0], [0.0, 0.0, 0.0], [0.0, 0.25524134990571357, 0.056499974446686356]]","[[0.0, 0.0, 0.0], [0.16499171611042815, 0.0, 0.0], [0.4078298721760572, 0.0, 0.0]]"
99,"[[0.357982130271111, 0.0, 0.026687041655192454], [0.05858724051146277, 0.0, 0.0], [0.0, 0.0, 0.7502843044544317]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.5598570123148013, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 5.0539309869873], [0.0, 0.0, 5.771266722041827]]","[[0.0, 0.4325440154949, 0.0], [0.0, 0.0, 0.6807318276677944], [0.0, 1.512224371908286, 0.0]]","[[0.28123492420835555, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.6118559413340661]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.43358276038412136, 0.0]]","[[0.10432228876802904, 0.10307203351113782, 0.0], [0.10296187104134111, 0.10009399911278467, 0.0], [0.0, 0.0, 0.5046699440833672]]","[[0.0, 0.04940880856308762, 0.0], [0.0, 0.0, 0.5957629649373108], [0.0, 0.9440470616916102, 0.0]]","[[0.2871502092234075, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.5805456340987276]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.376495299427919, 0.0]]","[[0.12009102959515862, 0.11965949659834955, 0.0], [0.11973678984860593, 0.11922746470785259, 0.0], [0.0, 0.0, 2.907037207861916]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.5603143412150519], [0.0, 0.7773736537178425, 0.0]]"
