coefficients,di_exact,knn_subset_cor,knn_subset_mi,knn_subset_pc
"[[['', 'tanh'], ['', 'log']]]","[[0.0, 0.0], [0.9727647922851717, 1.6735942220597104]]","[[0.0, 0.0], [0.4964825121405365, 1.3043995283025225]]","[[0.0, 0.0], [0.4964825121405365, 0.8739982140465962]]","[[0.0, 0.0], [0.4964825121405365, 1.3043995283025225]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.02840755782585169], [0.0068905640028766495, 0.0]]","[[0.0, 0.02840755782585169], [0.0068905640028766495, 0.0]]","[[0.0, 0.02840755782585169], [0.0068905640028766495, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.018784813631209894], [0.008462297085537914, 0.02438942334362441]]","[[0.0, 0.018784813631209894], [0.008462297085537914, 0.0]]","[[0.0, 0.018784813631209894], [0.008462297085537914, 0.02438942334362441]]"
"[[['', 'log'], ['sigm', '']]]","[[0.0, 0.10402817838305482], [1.4662728566689287, 0.0]]","[[0.0, 0.10176517706712512], [0.5100755886590861, 0.03744229793906805]]","[[0.0, 0.10176517706712512], [0.5100755886590861, 0.03744229793906805]]","[[0.0, 0.10176517706712512], [0.5100755886590861, 0.03744229793906805]]"
"[[['tanh', ''], ['', '-0.520']]]","[[0.71556788151252, 0.0], [0.0, 0.15257542540553146]]","[[0.6933421785274264, 0.0], [0.0, 0.140744136489473]]","[[0.6933421785274264, 0.0], [0.0, 0.140744136489473]]","[[0.6933421785274264, 0.0], [0.0, 0.140744136489473]]"
"[[['cos', ''], ['', 'sigm']]]","[[0.25018027566336043, 0.0], [0.0, 0.016472476753735362]]","[[0.2181316508778426, 0.01100739128027412], [0.0, 0.0]]","[[0.2181316508778426, 0.01100739128027412], [0.0, 0.0]]","[[0.2181316508778426, 0.01100739128027412], [0.0, 0.0]]"
"[[['', '**0.430'], ['', 'tanh']]]","[[0.0, 0.0], [1.0186789385163233, 0.6635397830175281]]","[[0.0, 0.01204783291796405], [0.487660409939919, 0.3484672721488775]]","[[0.0, 0.01204783291796405], [0.487660409939919, 0.3484672721488775]]","[[0.0, 0.01204783291796405], [0.487660409939919, 0.3484672721488775]]"
"[[['', ''], ['', 'log']]]","[[0.0, 0.0], [0.0, 1.4808766242126004]]","[[0.0, 0.0], [0.011235717747895727, 1.2430235224611537]]","[[0.0, 0.0], [0.011235717747895727, 1.2430235224611537]]","[[0.0, 0.0], [0.011235717747895727, 1.2430235224611537]]"
"[[['', ''], ['0.299', '']]]","[[0.0, 0.0584917781237578], [0.0, 0.0]]","[[0.0, 0.05298091403938959], [0.051312418549443926, 0.04092764501307864]]","[[0.0, 0.05298091403938959], [0.051312418549443926, 0.04092764501307864]]","[[0.0, 0.05298091403938959], [0.051312418549443926, 0.04092764501307864]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.012650910168297906, 0.014643165457645373]]","[[0.0, 0.0], [0.012650910168297906, 0.014643165457645373]]","[[0.0, 0.0], [0.012650910168297906, 0.014643165457645373]]"
"[[['', ''], ['', 'sigm']]]","[[0.0, 0.0], [0.0, 0.027883693010167847]]","[[0.0, 0.0], [0.0004498092862629346, 0.07726999559531239]]","[[0.0, 0.0], [0.0004498092862629346, 0.07726999559531239]]","[[0.0, 0.0], [0.0004498092862629346, 0.07726999559531239]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.050694972653682654]]","[[0.003365677810101903, 0.0], [0.0, 0.050694972653682654]]","[[0.0, 0.0], [0.0, 0.050694972653682654]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0015332344001031573, 0.0], [0.0, 0.019722481755762387]]","[[0.0015332344001031573, 0.0], [0.0, 0.019722481755762387]]","[[0.0015332344001031573, 0.0], [0.0, 0.019722481755762387]]"
"[[['', 'tanh'], ['sin', '']]]","[[0.0, 0.7284207278667688], [0.7470096970664172, 0.0]]","[[0.009696284931741638, 0.7062064553032849], [0.7290272744594599, 0.0]]","[[0.009696284931741638, 0.7062064553032849], [0.7290272744594599, 0.0]]","[[0.009696284931741638, 0.7062064553032849], [0.7290272744594599, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.02521675317762336, 0.02500941888870287]]","[[0.0, 0.0], [0.02521675317762336, 0.02500941888870287]]","[[0.0, 0.0], [0.02521675317762336, 0.02500941888870287]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.032722895151505595, 0.0], [0.0, 0.0]]","[[0.032722895151505595, 0.0], [0.0, 0.0]]","[[0.032722895151505595, 0.0], [0.0, 0.0]]"
"[[['', 'sigm'], ['', '']]]","[[0.0, 0.0], [0.02881536659689186, 0.0]]","[[0.0, 0.0], [0.0016711370872404194, 0.026531372451728708]]","[[0.0, 0.0], [0.0016711370872404194, 0.0]]","[[0.0, 0.0], [0.0016711370872404194, 0.026531372451728708]]"
"[[['sin', ''], ['', '']]]","[[0.7199290095448106, 0.0], [0.0, 0.0]]","[[0.6631699001475523, 0.0], [0.0, 0.0]]","[[0.6631699001475523, 0.0], [0.0, 0.0]]","[[0.6631699001475523, 0.0], [0.0, 0.0]]"
"[[['0.509', ''], ['tanh', '']]]","[[0.15492951694100823, 0.3558255935004402], [0.0, 0.0]]","[[0.13950081978197706, 0.3137407621312144], [0.007927100910070518, 0.0]]","[[0.17443011515987009, 0.3137407621312144], [0.007927100910070518, 0.0]]","[[0.13950081978197706, 0.3137407621312144], [0.007927100910070518, 0.0]]"
"[[['', '**0.201'], ['', '']]]","[[0.0, 0.0], [1.0511691696662944, 0.0]]","[[0.0, 0.005138169545339325], [0.6222895701143847, 0.0]]","[[0.0, 0.005138169545339325], [0.6222895701143847, 0.0]]","[[0.0, 0.005138169545339325], [0.6222895701143847, 0.0]]"
"[[['', ''], ['sin', '']]]","[[0.0, 0.31289745252942386], [0.0, 0.0]]","[[0.001753403098612942, 0.3131205333474891], [0.0, 0.0]]","[[0.006700383421421488, 0.3131205333474891], [0.0, 0.0]]","[[0.001753403098612942, 0.3131205333474891], [0.0, 0.0]]"
"[[['', ''], ['', 'sin']]]","[[0.0, 0.0], [0.0, 0.8035336368576136]]","[[0.0, 0.0], [0.01791120493590934, 0.790133608392737]]","[[0.0, 0.0], [0.01791120493590934, 0.790133608392737]]","[[0.0, 0.0], [0.01791120493590934, 0.790133608392737]]"
"[[['', '**0.044'], ['cos', '']]]","[[0.0, 0.28597718033633496], [0.5624314118627536, 0.0]]","[[0.0, 0.226665215262389], [0.1201030360079287, 0.0]]","[[0.0, 0.226665215262389], [0.1201030360079287, 0.0]]","[[0.0, 0.226665215262389], [0.1201030360079287, 0.0]]"
"[[['sigm', ''], ['', 'tanh']]]","[[0.026697405510558506, 0.0], [0.0, 0.6809465508621435]]","[[0.03091624406627234, 0.0], [0.0, 0.6778923697864561]]","[[0.03091624406627234, 0.0], [0.0, 0.6778923697864561]]","[[0.03091624406627234, 0.0], [0.0, 0.6778923697864561]]"
"[[['sigm', ''], ['', '-0.061']]]","[[0.03104684477395924, 0.0], [0.0, 0.003986048119531617]]","[[0.037268002280223776, 0.0], [0.0, 0.0]]","[[0.03167667503565636, 0.0], [0.0, 0.0]]","[[0.037268002280223776, 0.0], [0.0, 0.0]]"
