coefficients,di_exact,knn_subset_cor,knn_subset_mi,knn_subset_pc
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.01817850669652125, 0.0], [0.0, 0.006574535992368406]]","[[0.01817850669652125, 0.0], [0.0, 0.006574535992368406]]","[[0.01817850669652125, 0.0], [0.0, 0.006574535992368406]]"
"[[['sigm', ''], ['', '']]]","[[0.024676441003609415, 0.0], [0.0, 0.0]]","[[0.027658677706461195, 0.0], [0.00074051094806879, 0.0]]","[[0.027658677706461195, 0.0], [0.00074051094806879, 0.0]]","[[0.027658677706461195, 0.0], [0.00074051094806879, 0.0]]"
"[[['**0.115', ''], ['', '']]]","[[0.013093754089124292, 0.0], [0.0, 0.0]]","[[0.016419199609091384, 0.015540879770054068], [0.007630831379170835, 0.0]]","[[0.016419199609091384, 0.015540879770054068], [0.007630831379170835, 0.0]]","[[0.016419199609091384, 0.015540879770054068], [0.007630831379170835, 0.0]]"
"[[['', ''], ['**0.243', '']]]","[[0.0, 0.9961650026429162], [0.0, 0.0]]","[[0.0, 0.563250025435868], [0.0, 0.0]]","[[0.0, 0.563250025435868], [0.0, 0.0]]","[[0.0, 0.563250025435868], [0.0, 0.0]]"
"[[['cos', ''], ['', '']]]","[[0.27802835757198946, 0.0], [0.0, 0.0]]","[[0.295322526335665, 0.0], [0.0, 0.0]]","[[0.295322526335665, 0.0], [0.0, 0.0]]","[[0.295322526335665, 0.0], [0.0, 0.0]]"
"[[['**0.181', ''], ['', '-0.148']]]","[[0.024440754857970936, 0.0], [0.0, 0.009359600587842945]]","[[0.0, 0.0], [0.021516446618777902, 0.033951742206530494]]","[[0.0, 0.0], [0.021516446618777902, 0.02313070500946685]]","[[0.0, 0.0], [0.021516446618777902, 0.033951742206530494]]"
"[[['', 'sigm'], ['', '']]]","[[0.0, 0.0], [0.03978803266347334, 0.0]]","[[0.0, 0.0], [0.0, 0.0030512771389009322]]","[[0.02222346865398138, 0.0], [0.0, 0.0030512771389009322]]","[[0.0, 0.0], [0.0, 0.0030512771389009322]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.031277045567109515, 0.0], [0.0, 0.0]]","[[0.031277045567109515, 0.0], [0.0, 0.0]]","[[0.031277045567109515, 0.0], [0.0, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.014729622774798622], [0.003322810410585712, 0.0]]","[[0.0, 0.014729622774798622], [0.003322810410585712, 0.0]]","[[0.0, 0.014729622774798622], [0.003322810410585712, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.029349724549125277, 0.010943926883010806], [0.042752485837610724, 0.0]]","[[0.0, 0.010943926883010806], [0.042752485837610724, 0.0]]","[[0.029349724549125277, 0.010943926883010806], [0.042752485837610724, 0.0]]"
"[[['', 'cos'], ['', '']]]","[[0.0, 0.0], [0.005502735077295566, 0.0]]","[[0.0, 0.0], [0.008623043632913201, 0.0]]","[[0.0, 0.0], [0.008623043632913201, 0.0]]","[[0.0, 0.0], [0.008623043632913201, 0.0]]"
"[[['', ''], ['cos', '']]]","[[0.0, 0.00588399709280619], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.022438645752947912]]","[[0.0, 0.0], [0.0, 0.022438645752947912]]","[[0.0, 0.0], [0.0, 0.022438645752947912]]"
"[[['sin', ''], ['', '']]]","[[0.7626521076642159, 0.0], [0.0, 0.0]]","[[0.7661742579110857, 0.01590984182137348], [0.0, 0.0]]","[[0.7661742579110857, 0.01590984182137348], [0.0, 0.0]]","[[0.7661742579110857, 0.01590984182137348], [0.0, 0.0]]"
"[[['', ''], ['tanh', '']]]","[[0.0, 0.32972160182130744], [0.0, 0.0]]","[[0.0, 0.2653905358086933], [0.0, 0.0]]","[[0.0, 0.2653905358086933], [0.0, 0.0]]","[[0.0, 0.2653905358086933], [0.0, 0.0]]"
"[[['', ''], ['tanh', '']]]","[[0.0, 0.3291340257780555], [0.0, 0.0]]","[[0.01894997930451645, 0.3158674586125344], [0.0, 0.0]]","[[0.01894997930451645, 0.3158674586125344], [0.0, 0.0]]","[[0.01894997930451645, 0.3158674586125344], [0.0, 0.0]]"
"[[['**0.826', ''], ['', '']]]","[[1.520479875514366, 0.0], [0.0, 0.0]]","[[1.2169568470410672, 0.011642921601300307], [0.0, 0.0]]","[[1.2169568470410672, 0.011642921601300307], [0.0, 0.0]]","[[1.2169568470410672, 0.011642921601300307], [0.0, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0012601171172692744, 0.0]]","[[0.0, 0.0], [0.0012601171172692744, 0.0]]","[[0.0, 0.0], [0.0012601171172692744, 0.0]]"
"[[['sigm', ''], ['', 'cos']]]","[[0.032228284329949126, 0.0], [0.0, 0.2505249150028655]]","[[0.04081464629617324, 0.0], [0.0, 0.22598152012693473]]","[[0.04081464629617324, 0.0], [0.0, 0.22598152012693473]]","[[0.04081464629617324, 0.0], [0.0, 0.22598152012693473]]"
"[[['', ''], ['sigm', '']]]","[[0.0, 0.024915975876784718], [0.0, 0.0]]","[[0.0, 0.015719295097594503], [0.0, 0.0]]","[[0.0, 0.015719295097594503], [0.0, 0.0]]","[[0.0, 0.015719295097594503], [0.0, 0.0]]"
"[[['', ''], ['sin', '']]]","[[0.0, 0.34379808219069685], [0.0, 0.0]]","[[0.014386044447115292, 0.29542949361147347], [0.0, 0.0]]","[[0.014386044447115292, 0.29542949361147347], [0.0, 0.0]]","[[0.014386044447115292, 0.29542949361147347], [0.0, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0003553919298173115], [0.0, 0.0]]","[[0.0, 0.0003553919298173115], [0.0, 0.0]]","[[0.0, 0.0003553919298173115], [0.0, 0.0]]"
"[[['log', ''], ['', '']]]","[[1.5307581021794676, 0.0], [0.0, 0.0]]","[[1.27567543718733, 0.007835124468059668], [0.0, 0.0]]","[[1.27567543718733, 0.007835124468059668], [0.0, 0.0]]","[[1.27567543718733, 0.007835124468059668], [0.0, 0.0]]"
"[[['', ''], ['-0.150', '']]]","[[0.0, 0.01747924916662296], [0.0, 0.0]]","[[0.0, 0.01839412246237695], [0.027694157939229264, 0.0]]","[[0.0, 0.01839412246237695], [0.027694157939229264, 0.0]]","[[0.0, 0.01839412246237695], [0.027694157939229264, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.014844933623949804]]","[[0.0, 0.0], [0.0, 0.014844933623949804]]","[[0.0, 0.0], [0.0, 0.014844933623949804]]"
"[[['log', ''], ['', 'tanh']]]","[[1.57562300643774, 0.0], [0.0, 0.6685209221893218]]","[[1.279819811512791, 0.0], [0.0, 0.6644646059501925]]","[[1.279819811512791, 0.0], [0.0, 0.6644646059501925]]","[[1.279819811512791, 0.0], [0.0, 0.6644646059501925]]"
"[[['', '-0.158'], ['', '']]]","[[0.0, 0.0], [0.005839379575263844, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.00759566666989913, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.022870163991052538], [0.0, 0.0]]","[[0.032319256901687674, 0.022870163991052538], [0.0, 0.0]]","[[0.0, 0.022870163991052538], [0.0, 0.0]]"
"[[['', 'log'], ['tanh', '']]]","[[0.0, 0.6530091891672829], [1.5002813397051384, 0.0]]","[[0.0, 0.5881850999792817], [0.7040296968086163, 0.0]]","[[0.0, 0.5881850999792817], [0.7040296968086163, 0.0]]","[[0.0, 0.5881850999792817], [0.7040296968086163, 0.0]]"
"[[['', 'log'], ['', '']]]","[[0.0, 0.0], [1.4837260034147957, 0.0]]","[[0.0, 0.0], [0.23175418679207013, 0.0]]","[[0.0, 0.0], [0.23175418679207013, 0.0]]","[[0.0, 0.0], [0.23175418679207013, 0.0]]"
"[[['', 'log'], ['sin', '']]]","[[0.0, 0.7299839599796015], [1.4126480541270938, 0.0]]","[[0.0, 0.6348501997948198], [0.67905775606017, 0.0]]","[[0.0, 0.6348501997948198], [0.67905775606017, 0.0]]","[[0.0, 0.6348501997948198], [0.67905775606017, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[['', 'cos'], ['', '']]]","[[0.0, 0.0], [0.0006110225485594799, 0.0]]","[[0.006418644654435339, 0.01606434566691459], [0.0, 0.0]]","[[0.006418644654435339, 0.01606434566691459], [0.0, 0.0]]","[[0.006418644654435339, 0.01606434566691459], [0.0, 0.0]]"
"[[['sigm', ''], ['', '']]]","[[0.02458075493477105, 0.0], [0.0, 0.0]]","[[0.017500342138844122, 0.0], [0.004878061490472035, 0.02097995124337111]]","[[0.017500342138844122, 0.0], [0.004878061490472035, 0.02097995124337111]]","[[0.017500342138844122, 0.0], [0.004878061490472035, 0.02097995124337111]]"
"[[['sin', ''], ['', '']]]","[[0.7127759033964944, 0.0], [0.0, 0.0]]","[[0.6768106559176916, 0.0], [0.0, 0.0]]","[[0.6768106559176916, 0.0], [0.0, 0.0]]","[[0.6768106559176916, 0.0], [0.0, 0.0]]"
"[[['cos', ''], ['', '']]]","[[0.23728189305462313, 0.0], [0.0, 0.0]]","[[0.2209255272483435, 0.011141892982847039], [0.008401298378040468, 0.0]]","[[0.2209255272483435, 0.011141892982847039], [0.008401298378040468, 0.0]]","[[0.2209255272483435, 0.011141892982847039], [0.008401298378040468, 0.0]]"
"[[['', ''], ['-0.659', '']]]","[[0.0, 0.20039578603317698], [0.0, 0.0]]","[[0.0, 0.2052217350174022], [0.022500646186274387, 0.0022453888646691397]]","[[0.0, 0.2052217350174022], [0.022500646186274387, 0.0022453888646691397]]","[[0.0, 0.2052217350174022], [0.022500646186274387, 0.0022453888646691397]]"
"[[['tanh', ''], ['', '']]]","[[0.6354321833454324, 0.0], [0.0, 0.0]]","[[0.5844793669132665, 0.0], [0.0, 0.0]]","[[0.5844793669132665, 0.0], [0.0, 0.0]]","[[0.5844793669132665, 0.0], [0.0, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.01112648829423188]]","[[0.0, 0.0], [0.0, 0.01112648829423188]]","[[0.0, 0.0], [0.0, 0.01112648829423188]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.012351961955517594, 0.016325859815558404]]","[[0.0, 0.0], [0.012351961955517594, 0.016325859815558404]]","[[0.0, 0.0], [0.012351961955517594, 0.016325859815558404]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0013414980509287714, 0.019537143738504632], [0.0, 0.0]]","[[0.0013414980509287714, 0.019537143738504632], [0.0, 0.0]]","[[0.0013414980509287714, 0.019537143738504632], [0.0, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.009693707127040744], [0.002779553767302506, 0.0]]","[[0.0, 0.009693707127040744], [0.002779553767302506, 0.0]]","[[0.0, 0.009693707127040744], [0.002779553767302506, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0005643550777532858, 0.0], [0.0, 0.0]]","[[0.0005643550777532858, 0.0], [0.0, 0.018412834719909864]]","[[0.0005643550777532858, 0.0], [0.0, 0.0]]"
"[[['cos', ''], ['', 'cos']]]","[[0.2726502883560316, 0.0], [0.0, 0.2368688018557528]]","[[0.2543797940704098, 0.0], [0.0, 0.24714474199623612]]","[[0.26517577341537574, 0.0], [0.0, 0.24714474199623612]]","[[0.2543797940704098, 0.0], [0.0, 0.24714474199623612]]"
"[[['', 'log'], ['', '']]]","[[0.0, 0.0], [1.4571910182773882, 0.0]]","[[0.0, 0.0], [0.22065494249681117, 0.030690021814543136]]","[[0.0, 0.0], [0.22065494249681117, 0.030690021814543136]]","[[0.0, 0.0], [0.22065494249681117, 0.030690021814543136]]"
"[[['', 'sigm'], ['', '**0.775']]]","[[0.0, 0.0], [0.2404778892514587, 1.2805789269588768]]","[[0.0, 0.0], [0.12459567154547599, 0.6838305214285941]]","[[0.0, 0.0], [0.12459567154547599, 0.6838305214285941]]","[[0.0, 0.0], [0.12459567154547599, 0.6838305214285941]]"
"[[['', ''], ['**0.943', '']]]","[[0.0, 0.38280675430802524], [0.0, 0.0]]","[[0.0, 0.36152044150094415], [0.01229415734302539, 0.011597634005613974]]","[[0.0, 0.36152044150094415], [0.01229415734302539, 0.011597634005613974]]","[[0.0, 0.36152044150094415], [0.01229415734302539, 0.011597634005613974]]"
"[[['', 'sigm'], ['', '']]]","[[0.0, 0.0], [0.029329208862047363, 0.0]]","[[0.0, 0.0], [0.031907496742666255, 0.0]]","[[0.0, 0.0], [0.031907496742666255, 0.0]]","[[0.0, 0.0], [0.031907496742666255, 0.0]]"
"[[['cos', ''], ['sin', '']]]","[[0.2460433581221506, 0.3075152450951447], [0.0, 0.0]]","[[0.20139676626896616, 0.24486441847073753], [0.0, 0.0]]","[[0.26210702982289397, 0.24486441847073753], [0.0, 0.0]]","[[0.20139676626896616, 0.24486441847073753], [0.0, 0.0]]"
"[[['', ''], ['', 'tanh']]]","[[0.0, 0.0], [0.0, 0.6265102108945243]]","[[0.005971235033172411, 0.0], [0.0, 0.5897253656726207]]","[[0.005971235033172411, 0.0], [0.0, 0.5897253656726207]]","[[0.005971235033172411, 0.0], [0.0, 0.5897253656726207]]"
"[[['', ''], ['sin', '']]]","[[0.0, 0.28661047146409535], [0.0, 0.0]]","[[0.0, 0.28836733586873664], [0.01603133509959937, 0.0072097908791797565]]","[[0.0, 0.28836733586873664], [0.01603133509959937, 0.0072097908791797565]]","[[0.0, 0.28836733586873664], [0.01603133509959937, 0.0072097908791797565]]"
"[[['tanh', ''], ['', '']]]","[[0.6242200935886216, 0.0], [0.0, 0.0]]","[[0.6156143596683646, 0.0], [0.0, 0.0]]","[[0.6156143596683646, 0.0], [0.0, 0.0]]","[[0.6156143596683646, 0.0], [0.0, 0.0]]"
"[[['-0.752', ''], ['**0.505', '']]]","[[0.42671237786039273, 0.8916136115103436], [0.0, 0.0]]","[[0.28210316865495383, 0.5410660686959313], [0.0, 0.0]]","[[0.28210316865495383, 0.5410660686959313], [0.0, 0.0]]","[[0.28210316865495383, 0.5410660686959313], [0.0, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0015114425274829588, 0.00937638249980975], [0.0066824520985033714, 0.002929737947316496]]","[[0.0015114425274829588, 0.00937638249980975], [0.0066824520985033714, 0.002929737947316496]]","[[0.0015114425274829588, 0.00937638249980975], [0.0066824520985033714, 0.002929737947316496]]"
"[[['cos', ''], ['', '']]]","[[0.20318994283565006, 0.0], [0.0, 0.0]]","[[0.16167086845423612, 0.03468566533799934], [0.03293020547764466, 0.0]]","[[0.16167086845423612, 0.03468566533799934], [0.03293020547764466, 0.0]]","[[0.16167086845423612, 0.03468566533799934], [0.03293020547764466, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.016463669360419226]]","[[0.0, 0.0], [0.0, 0.016463669360419226]]","[[0.0, 0.0], [0.0, 0.016463669360419226]]"
"[[['sin', ''], ['sin', '']]]","[[0.7817760732197989, 0.7788534938486272], [0.0, 0.0]]","[[0.359925730368706, 0.39449067325666975], [0.0, 0.0]]","[[0.359925730368706, 0.39449067325666975], [0.0, 0.0]]","[[0.359925730368706, 0.39449067325666975], [0.0, 0.0]]"
"[[['', ''], ['', '0.455']]]","[[0.0, 0.0], [0.0, 0.0857315510251532]]","[[0.012562445080372428, 0.02726507351435602], [0.0, 0.04427208199321372]]","[[0.012562445080372428, 0.02726507351435602], [0.0, 0.04427208199321372]]","[[0.012562445080372428, 0.02726507351435602], [0.0, 0.04427208199321372]]"
"[[['sin', ''], ['', '']]]","[[0.8812974953502267, 0.0], [0.0, 0.0]]","[[0.8506734913993533, 0.0], [0.0, 0.0]]","[[0.8506734913993533, 0.0], [0.0, 0.0]]","[[0.8506734913993533, 0.0], [0.0, 0.0]]"
"[[['', '0.015'], ['sin', '']]]","[[0.0, 0.30683538971246643], [-0.00018378103694417279, 0.0]]","[[0.015776138296630687, 0.29807786145360265], [0.0, 0.0]]","[[0.015776138296630687, 0.29807786145360265], [0.0, 0.0]]","[[0.015776138296630687, 0.29807786145360265], [0.0, 0.0]]"
"[[['', ''], ['**0.395', '']]]","[[0.0, 0.8053747414634161], [0.0, 0.0]]","[[0.008757825692748663, 0.6190009014760087], [0.0, 0.0]]","[[0.008757825692748663, 0.6190009014760087], [0.0, 0.0]]","[[0.008757825692748663, 0.6190009014760087], [0.0, 0.0]]"
"[[['', ''], ['', 'sin']]]","[[0.0, 0.0], [0.0, 0.7305405144191003]]","[[0.0, 0.0006586689062587448], [0.0013062054605604031, 0.6949786903978261]]","[[0.0, 0.0006586689062587448], [0.0013062054605604031, 0.6949786903978261]]","[[0.0, 0.0006586689062587448], [0.0013062054605604031, 0.6949786903978261]]"
"[[['', 'sigm'], ['', '']]]","[[0.0, 0.0], [0.018230260365630573, 0.0]]","[[0.009516728941049305, 0.0], [0.009257694083704698, 0.0]]","[[0.0, 0.0], [0.009257694083704698, 0.0]]","[[0.009516728941049305, 0.0], [0.009257694083704698, 0.0]]"
"[[['', ''], ['', 'cos']]]","[[0.0, 0.0], [0.0, 0.2500995997139901]]","[[0.0, 0.0], [0.036441720679199215, 0.2444601303108175]]","[[0.0, 0.0], [0.036441720679199215, 0.2444601303108175]]","[[0.0, 0.0], [0.036441720679199215, 0.2444601303108175]]"
"[[['', 'cos'], ['-0.757', '']]]","[[0.0, 0.36122970653367886], [0.23686917146688066, 0.0]]","[[0.0, 0.3334834660933373], [0.23077386753424797, 0.0]]","[[0.0, 0.3334834660933373], [0.23077386753424797, 0.0]]","[[0.0, 0.3334834660933373], [0.23077386753424797, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.004285254361520664, 0.0], [0.027649821562054023, 0.02360415800268298]]","[[0.0, 0.0], [0.027649821562054023, 0.02360415800268298]]","[[0.004285254361520664, 0.0], [0.027649821562054023, 0.02360415800268298]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.036488602544494986], [0.003072598382701398, 0.0]]","[[0.0, 0.036488602544494986], [0.003072598382701398, 0.0]]","[[0.0, 0.036488602544494986], [0.003072598382701398, 0.0]]"
"[[['', ''], ['sigm', '']]]","[[0.0, 0.030426560149419732], [0.0, 0.0]]","[[0.0008962706880140043, 0.05871442138435848], [3.262849416496105e-05, 0.013193988775390133]]","[[0.008804729333687377, 0.05871442138435848], [3.262849416496105e-05, 0.0]]","[[0.0008962706880140043, 0.05871442138435848], [3.262849416496105e-05, 0.013193988775390133]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.025624599803745287], [0.004410755327189944, 0.0]]","[[0.0, 0.025624599803745287], [0.004410755327189944, 0.0]]","[[0.0, 0.025624599803745287], [0.004410755327189944, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.017304436180517718, 0.008545616153989731]]","[[0.0, 0.0], [0.017304436180517718, 0.03135199843624913]]","[[0.0, 0.0], [0.017304436180517718, 0.008545616153989731]]"
"[[['log', ''], ['', 'log']]]","[[1.5942724405176223, 0.0], [0.0, 1.4991808136992317]]","[[1.2858697153214493, 0.0], [0.0, 1.237548697943744]]","[[1.2858697153214493, 0.0], [0.0, 1.237548697943744]]","[[1.2858697153214493, 0.0], [0.0, 1.237548697943744]]"
