coefficients,di_exact,knn_subset_cor,knn_subset_mi,knn_subset_pc
"[[[0.0, 0.0, 0.7866458893667332, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5368433416789569, 0.9250454682886707], [-0.5080951721786848, 0.0, 0.0, -0.1241044565176629, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.19941644016026686], [0.0, 0.0, 0.0, 0.0, 0.0], [0.21094709977416284, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.30958552435379155, 0.026077474698370077], [0.0, 0.0, 0.0, 0.42492380026965154, 0.0]]","[[0.017077358982723456, 0.0, 0.013812594577932285, 0.0, 0.15568152473101174], [0.0, 0.01681594514162356, 0.009614616490439236, 0.0, 0.0], [0.22370338614285248, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2789286567479935, 0.0], [0.0, 0.0, 0.010189464908054191, 0.3918315278354866, 0.0]]","[[0.017077358982723456, 0.0, 0.013812594577932285, 0.0, 0.1781553467889023], [0.0, 0.0, 0.009614616490439236, 0.0, 0.0], [0.22370338614285248, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2789286567479935, 0.0], [0.0, 0.005932957796785594, 0.010189464908054191, 0.3918315278354866, 0.0]]","[[0.017077358982723456, 0.0, 0.013812594577932285, 0.0, 0.15568152473101174], [0.0, 0.01681594514162356, 0.009614616490439236, 0.0, 0.0], [0.22370338614285248, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2789286567479935, 0.0], [0.0, 0.0, 0.010189464908054191, 0.3918315278354866, 0.0]]"
"[[[0.0, 0.0, -0.5068697046066046, 0.0, 1.397422878023521], [0.0, 0.4078064471316885, 0.7022905140675934, 0.0, 0.0], [0.0, 0.0, 0.11677234463619877, 0.0, 0.19004298061671301], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.12342001477377158, 0.0, 0.0, 0.0], [0.123532633781723, 0.21086860310263428, 0.007663453575878294, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.535290332489401, 0.0, 0.005374877260041885, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.11483557694157488, 0.0, 0.0, 0.01017848969931149], [0.06483117449534313, 0.19565161437499387, 0.012699698913849571, 0.0, 0.0], [0.0, 0.0, 0.0, 0.017865632515819185, 0.0], [0.4290432969310339, 0.0, 0.0, 0.0, 0.0010746801274309633]]","[[0.0, 0.0, 0.0, 0.015055258736944533, 0.0], [0.0, 0.11483557694157488, 0.0, 0.0, 0.01017848969931149], [0.06483117449534313, 0.19565161437499387, 0.03162151980463381, 0.010638921215010571, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.4290432969310339, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.11483557694157488, 0.0, 0.0, 0.01017848969931149], [0.06483117449534313, 0.19565161437499387, 0.012699698913849571, 0.0, 0.0], [0.0, 0.0, 0.0, 0.017865632515819185, 0.0], [0.4290432969310339, 0.0, 0.0, 0.0, 0.0010746801274309633]]"
"[[[0.0, 1.0195681402283288, 0.0, 0.0, 0.0], [0.0, 0.0, -0.171632970604299, 0.0, 0.0], [0.0, 1.6244908735121306, 0.0, 0.0, -0.41101644735598186], [0.0, 0.0, -1.1042642411058077, 0.0, 0.0], [0.0, -1.037342274668274, 0.0, -0.43034207653222356, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.39377200891370767, 0.0, 0.6832997473665559, 0.0, 0.36770542357271707], [0.0, 0.08078714539498084, 0.0, 1.0484546083096986, 0.0], [0.0, 0.0, 0.0, 0.0, 0.4433995644587423], [0.0, 0.0, 0.28316251966478573, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.2681129128028726, 0.0, 0.2730351930158748, 0.0, 0.1520935956570886], [0.0, 0.0, 0.0, 0.5241266067436631, 0.0], [0.0, 0.0, 0.0, 0.0, 0.2797711623969679], [0.0, 0.0, 0.022099520262751197, 0.0, 0.0]]","[[0.005007351025145544, 0.0, 0.0, 0.0, 0.0], [0.36466112705563064, 0.0, 0.47664425195913773, 0.0, 0.2023928973633127], [0.0, 0.06902119340083405, 0.0, 0.5241266067436631, 0.0], [0.0, 0.0, 0.0, 0.0, 0.3053152017093229], [0.0, 0.0, 0.04279891255870271, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.2681129128028726, 0.0, 0.27303519301587476, 0.0, 0.1520935956570885], [0.0, 0.0, 0.0, 0.5241266067436631, 0.0], [0.0, 0.0, 0.0, 0.0, 0.279771162396968], [0.0, 0.0, 0.022099520262751214, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0], [-0.290820256585088, -0.15669162225446107, -0.34503716078358104, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 2.549467254315318, 0.0, 0.4834116529476235, 0.0]]]","[[0.0, 0.04327544104627401, 0.0, 0.0, 0.0], [0.0, 0.0025335173101863366, 0.0, 0.0, 1.0953606714633524], [0.0, 0.044806645534666595, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.10482070416209498], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.019307072556762832, 0.0, 0.008145442506029036, 0.0, 0.7174578279518782], [0.0, 0.016834951765204758, 0.003420894361563973, 0.0, 0.0], [0.00972354683374507, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.034569789822202004, 0.0, 0.01399226547749842, 0.0], [0.019307072556762832, 0.007843103284164958, 0.008145442506029036, 0.0034801261882088123, 0.7676446736417276], [0.0, 0.05541290763130765, 0.003420894361563973, 0.017542601897735093, 0.0], [0.00972354683374507, 0.005102479443517317, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.019307072556762832, 0.0, 0.008145442506029036, 0.0, 0.7174578279518782], [0.0, 0.016834951765204758, 0.003420894361563973, 0.0, 0.0], [0.00972354683374507, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.7523073872539681, 0.0, 0.20098370814421324, 0.0], [0.0, 0.0, 0.0, 0.0, 0.2835354453440427], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.9757474133436634, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.3604628785841115, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.011843153870466706, 0.0, 0.0, 0.3319490797590001], [0.0, 0.0, 0.07478838448017464, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.3064308179751195, 0.0, 0.0, 0.0], [0.005793052032947433, 0.0, 0.0003662475242108153, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0332230746310783, 0.3436179908849357], [0.0, 0.0, 0.06694255621944471, 0.0, 0.0]]","[[0.0, 0.010541907201123434, 0.0, 0.0, 0.0], [0.004971013364501655, 0.32453225302415317, 0.0, 0.0013756768526252921, 0.0], [0.005793052032947433, 0.0, 0.0003662475242108153, 0.0, 0.0], [0.027177800846206034, 0.02413790112484797, 0.0, 0.006741044402322584, 0.3436179908849357], [0.015445986871300861, 0.0, 0.06694255621944471, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.30643081797511945, 0.0, 0.0, 0.0], [0.005793052032947433, 0.0, 0.0003662475242108153, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0332230746310783, 0.3436179908849357], [0.0, 0.0, 0.06694255621944471, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0], [-1.1232657112268403, 0.0, 0.0, -1.588445831028132, 0.0], [1.6578709333315353, 0.0, 0.6766270726178707, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.3801028935780404, 0.6700954221093816, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7449280593979021, 0.0, 0.0], [0.0, 0.5976356895015005, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.20249275132792843, 0.41794324939452276, 0.0, 0.0], [0.003938462596753159, 0.0, 0.0, 0.0, 0.010860476769659934], [0.0, 0.0, 0.501637832726951, 0.0, 0.0], [0.0, 0.3893875364787449, 0.0, 0.0, 0.0011126996456663413], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.20249275132792843, 0.559034815669614, 0.0, 0.0], [0.003938462596753159, 0.0, 0.0, 0.0, 0.010860476769659934], [0.0, 0.0, 0.6200767022631649, 0.0, 0.0], [0.0, 0.3893875364787449, 0.0, 0.0, 0.0011126996456663413], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.20249275132792843, 0.41794324939452276, 0.0, 0.0], [0.003938462596753159, 0.0, 0.0, 0.0, 0.010860476769659934], [0.0, 0.0, 0.501637832726951, 0.0, 0.0], [0.0, 0.3893875364787449, 0.0, 0.0, 0.0011126996456663413], [0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.5992390491898313, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.1355822193604297, 0.10867930415249337], [0.0, 0.0, 1.3500206855531904, 0.0, -0.21658980380174275], [-0.6105594319541058, 0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.13515266810479357], [0.0, 0.17746255380130285, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5336309131632073, 0.0], [0.0, 0.0, 0.027964666563940577, 0.0, 0.0], [0.0, 0.0, 0.013490079578996594, 0.0352897480746251, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.17935305464879897], [0.0, 0.1454710345135961, 0.0, 0.0, 0.0], [0.0, 0.0038877073871999633, 0.0, 0.4304506125572541, 0.0], [0.0016586767918329904, 0.0, 0.0, 0.0, 0.0], [0.010693846769873632, 0.0, 0.0, 0.0, 0.034473298376167597]]","[[0.0, 0.0, 0.0, 0.0, 0.17935305464879897], [0.0, 0.18445756348710257, 0.0, 0.0, 0.0], [0.0, 0.0005173695884775316, 0.0, 0.4780102475258478, 0.0], [0.0016586767918329904, 0.0, 0.004948642904387742, 0.0, 0.0], [0.010693846769873632, 0.0, 0.0022853014864628748, 0.0, 0.034473298376167597]]","[[0.0, 0.0, 0.0, 0.0, 0.17935305464879897], [0.0, 0.14547103451359616, 0.0, 0.0, 0.0], [0.0, 0.0038877073871999633, 0.0, 0.4304506125572541, 0.0], [0.0016586767918329904, 0.0, 0.0, 0.0, 0.0], [0.010693846769873632, 0.0, 0.0, 0.0, 0.034473298376167597]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.8823750967766403, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5044828074733394, 0.4330170316160998], [0.0, 0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.2848842424465501, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.14800761013444994, 0.0], [0.0, 0.0, 0.0, 0.07616315088318937, 0.0]]","[[0.0, 0.0, 0.009326837845083669, 0.0, 0.0], [0.034972804290962146, 0.011741166814508664, 0.0, 0.0, 0.0], [0.007089509394351578, 0.2616664380607514, 0.0, 0.0, 0.00019166608936321234], [0.005252381445562625, 0.0, 0.0, 0.12985533566715632, 0.0], [0.006741879819689645, 0.0, 0.0, 0.06241641954610464, 0.0]]","[[0.0, 0.0, 0.009326837845083669, 0.0, 0.0], [0.034972804290962146, 0.011741166814508664, 0.0, 0.0, 0.02608532085547095], [0.007089509394351578, 0.2616664380607514, 0.0, 0.0, 0.00019166608936321234], [0.005252381445562625, 0.0, 0.0, 0.128139545898265, 0.018151638421071002], [0.006741879819689645, 0.0, 0.0, 0.06241641954610464, 0.0]]","[[0.0, 0.0, 0.009326837845083669, 0.0, 0.0], [0.034972804290962146, 0.011741166814508664, 0.0, 0.0, 0.0], [0.007089509394351578, 0.2616664380607514, 0.0, 0.0, 0.00019166608936321234], [0.005252381445562625, 0.0, 0.0, 0.12985533566715632, 0.0], [0.006741879819689645, 0.0, 0.0, 0.06241641954610464, 0.0]]"
"[[[-0.6740195597114532, -3.286407210477763, 0.0, -0.3766610415593521, 0.0], [0.0, 0.0, 0.0, 0.7039330191843607, 0.0], [0.0, -0.6657804610443153, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 2.4171775929371666], [0.0, 0.0, 0.0, 0.0, 0.0]]]","[[1.7786262093314154, 0.0, 0.0, 0.0, 0.0], [1.9407716944863622, 0.0, 0.48217023087670347, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.3435778656783734, 0.7112565962907424, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.9355771826447695, 0.0]]","[[0.28497876839332914, 0.0, 0.0, 0.0, 0.0], [0.6653976717938607, 0.0, 0.347213384238619, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.687306446893992, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5594283098069882, 0.0]]","[[0.6970008938425433, 0.0, 0.0, 0.0, 0.0], [0.8769867345105024, 0.0, 0.3968545284456427, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.687306446893992, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.7364073496330014, 0.0]]","[[0.2849787683933292, 0.0, 0.0, 0.0, 0.0], [0.6653976717938609, 0.0, 0.347213384238619, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.687306446893992, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5594283098069882, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0], [-1.3775716422361384, 0.0, 1.2822952935485603, 0.0, 1.6925210281260967], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -0.4065483831732145, -0.8662764562678886], [0.0, 0.0, 0.0, 0.0, 0.7290767101527661]]]","[[0.0, 0.5447015420470294, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.4369284893817095, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.16218866986631333, 0.0], [0.0, 0.9798710219195534, 0.0, 0.4556526806187761, 0.36195724592173717]]","[[0.0, 0.17167008113475757, 0.0, 0.0, 0.0], [0.0004171436391658512, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1068669280057227, 0.01767892819753379, 0.0, 0.0], [0.0002125096417855844, 0.0, 0.010298003587389295, 0.01367169610248489, 0.0], [0.0, 0.3628151702420216, 0.0, 0.2369954551022771, 0.18519284093756996]]","[[0.0, 0.17167008113475757, 0.0, 0.0, 0.0], [0.007554933965058123, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1068669280057227, 0.01767892819753379, 0.0, 0.0], [0.0, 0.0, 0.010298003587389295, 0.13437790919735956, 0.0], [0.013218089227473378, 0.36281517024202165, 0.0, 0.38152372464911827, 0.18519284093756996]]","[[0.0, 0.17167008113475768, 0.0, 0.0, 0.0], [0.0004171436391658512, 0.0, 0.0, 0.0, 0.0], [0.0, 0.10686692800572264, 0.01767892819753379, 0.0, 0.0], [0.0002125096417855844, 0.0, 0.010298003587389295, 0.013671696102484891, 0.0], [0.0, 0.3628151702420217, 0.0, 0.2369954551022771, 0.1851928409375699]]"
