coefficients,di_exact,knn_subset_cor,knn_subset_mi,knn_subset_pc
"[[[-0.5143717578455397, -0.3569622224611881, 0.0, 0.0], [0.0, 0.0, 0.0, 0.13551319938767994], [0.0, 1.1570182889528309, -0.7581833334163636, 0.0], [0.0, 0.0, 0.0, 0.0]]]","[[0.17473126618385798, 0.0, 0.0, 0.0], [0.0556383816552637, 0.0, 0.43251426565339607, 0.0], [0.0, 0.0, 0.7111874522737227, 0.0], [0.0, 0.0071693816726851375, 0.0, 0.0]]","[[0.11002549531385526, 0.0, 0.0, 0.0], [0.0, 0.0, 0.30757075413085344, 0.0], [0.0, 0.0, 0.5676038898044315, 0.0], [0.0, 0.0, 0.0, 0.0013319661244213126]]","[[0.16608754039783535, 0.0, 0.0, 0.0], [0.039086404513781155, 0.0, 0.3522862878043001, 0.0], [0.0, 0.0, 0.6182637919547587, 0.0], [0.0, 0.0, 0.0, 0.0013319661244213126]]","[[0.11002549531385529, 0.0, 0.0, 0.0], [0.0, 0.0, 0.30757075413085344, 0.0], [0.0, 0.0, 0.5676038898044314, 0.0], [0.0, 0.0, 0.0, 0.0013319661244213126]]"
"[[[-0.15967451202923347, 0.0, 0.0, 0.0], [0.0, 0.8640067163466733, 0.0, 0.0], [-0.7511534408100308, 0.0, 0.8693820336075013, 0.0], [0.0, 0.0, 0.0, 0.0]]]","[[0.004784315080341603, 0.0, 0.2008921029184293, 0.0], [0.0, 0.6601985546033897, 0.0, 0.0], [0.0, 0.0, 0.7754019134565111, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.007927111559836032, 0.0, 0.13288395117531127, 0.02855667711786773], [0.0, 0.655339981994304, 0.0, 0.018059750719111946], [0.0, 0.0, 0.66370813661753, 0.005686262837597985], [0.0, 0.0, 0.0, 0.0]]","[[0.007927111559836032, 0.0, 0.1683040519187281, 0.02855667711786773], [0.0, 0.655339981994304, 0.0, 0.018059750719111946], [0.0, 0.0, 0.5605087818550875, 0.005686262837597985], [0.0, 0.0, 0.0, 0.0]]","[[0.007927111559836032, 0.0, 0.13288395117531127, 0.02855667711786773], [0.0, 0.655339981994304, 0.0, 0.018059750719111946], [0.0, 0.0, 0.6637081366175299, 0.005686262837597985], [0.0, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.2448406521508753, 0.0], [0.0, -0.7586960098416752, 0.0, -0.3444018688877114], [1.183063280658479, 0.0, -0.2309078826428844, 0.0]]]","[[0.0, 0.0, 0.0, 0.42526995135580803], [0.0, 0.0, 0.25987655010781374, 0.0], [0.0, 0.04084687201337374, 0.0, 0.05326921918412961], [0.0, 0.0, 0.11669407070129946, 0.0]]","[[0.01691656704650418, 0.0, 0.0, 0.30874450950033033], [0.0, 0.013173139247341011, 0.19291258935155353, 0.0], [0.0, 0.060874700089892216, 0.0, 0.0], [0.0, 0.0, 0.040595353848064314, 0.0]]","[[0.01691656704650418, 0.0, 0.0, 0.37963837342021484], [0.0, 0.0, 0.19291258935155353, 0.0], [0.0, 0.031009200952395476, 0.0, 0.0], [0.0, 0.0, 0.040595353848064314, 0.0]]","[[0.01691656704650418, 0.0, 0.0, 0.30874450950033033], [0.0, 0.013173139247341011, 0.19291258935155353, 0.0], [0.0, 0.060874700089892216, 0.0, 0.0], [0.0, 0.0, 0.040595353848064314, 0.0]]"
"[[[-0.11991339418854968, 0.0, 0.0, 0.0], [0.0, -0.21997358697884764, 0.0, 0.0], [0.0, -1.0747779611113495, 0.7722917994423484, 0.0], [0.0, 0.0, 0.0, 0.0]]]","[[0.004844303517683034, 0.0, 0.0, 0.0], [0.0, 0.019170791080747263, 0.41872243849009877, 0.0], [0.0, 0.0, 0.6635465956166045, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.004482654652723874, 0.008185749318021381, 0.3766713716100024, 0.0], [0.0001243961801234134, 0.0, 0.6145736807422112, 0.00552150673285218], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.013830404471809544], [0.004482654652723874, 0.02021188339002489, 0.3766713716100024, 0.0007924626129981131], [0.0001243961801234134, 0.0, 0.6145736807422112, 0.00552150673285218], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.004482654652723874, 0.008185749318021381, 0.3766713716100024, 0.0], [0.0001243961801234134, 0.0, 0.6145736807422112, 0.00552150673285218], [0.0, 0.0, 0.0, 0.0]]"
"[[[-0.45627859991168235, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7374539305931171, 1.2440328965868426], [0.0, 0.0, 0.0, 0.0]]]","[[0.12421840986869233, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7077697561683735, 0.0], [0.0, 0.0, 0.45220961799867165, 0.0]]","[[0.1509522893488038, 0.011420438295916087, 0.0, 0.04794591323948195], [0.0, 0.0, 0.0, 0.032261536104444544], [0.0, 0.00812596761522598, 0.6847789696299549, 0.03114477408205165], [0.0010841041901365996, 0.0, 0.3857489167330215, 0.0]]","[[0.1509522893488038, 0.011420438295916087, 0.0, 0.04794591323948195], [0.0, 0.0, 0.0, 0.032261536104444544], [0.0, 0.00812596761522598, 0.6847789696299549, 0.03114477408205165], [0.0010841041901365996, 0.0, 0.3857489167330215, 0.0]]","[[0.1509522893488038, 0.011420438295916087, 0.0, 0.04794591323948195], [0.0, 0.0, 0.0, 0.032261536104444544], [0.0, 0.00812596761522598, 0.6847789696299549, 0.03114477408205165], [0.0010841041901365996, 0.0, 0.3857489167330215, 0.0]]"
"[[[0.5886844083573576, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.1796501501754727, 0.45642463417890594]]]","[[0.2251842116740579, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.01473234874719183], [0.0, 0.0, 0.0, 0.09559135883042962]]","[[0.21953358054905248, 0.030865858276642403, 0.0488631531862359, 0.0], [0.0, 0.0, 0.0388483353756863, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.04520165194471499, 0.06017362191166003]]","[[0.25634157054024664, 0.030865858276642403, 0.0488631531862359, 0.0], [0.0, 0.0, 0.0388483353756863, 0.0], [0.0, 0.02248899976116408, 0.0, 0.0374432721330395], [0.0, 0.019844816066872745, 0.04520165194471499, 0.1364473105697036]]","[[0.21953358054905248, 0.030865858276642403, 0.0488631531862359, 0.0], [0.0, 0.0, 0.0388483353756863, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.04520165194471499, 0.06017362191166]]"
"[[[0.0, 0.0, 0.0, 0.0], [1.383060844018654, 0.0, 1.5319862166404552, 0.0], [0.25065342620288084, 0.0, -0.22029880141634176, 0.0], [0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.5428868336002922, 0.01835612189667699, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.6436888815924073, 0.028200752015800155, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.009104894091902632, 0.3148303185268098, 0.02004845179649973, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.42156293091119235, 0.036910626242857375, 0.0], [0.0, 0.0, 0.0, 0.007255886477154576]]","[[0.009104894091902632, 0.3148303185268098, 0.02004845179649973, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.42156293091119235, 0.023449820778672883, 0.0], [0.0, 0.0, 0.013693079700287075, 0.0]]","[[0.009104894091902632, 0.3148303185268098, 0.02004845179649973, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.42156293091119235, 0.036910626242857375, 0.0], [0.0, 0.0, 0.0, 0.007255886477154576]]"
"[[[0.0, -0.8639522293581084, 1.1826792998389632, 0.0], [0.0, 0.736535316248943, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.6292812849584657, 0.0]]]","[[0.0, 0.0, 0.0, 0.0], [0.4953730477509666, 0.3695553998846669, 0.0, 0.0], [0.41288197661689513, 0.0, 0.0, 0.13866155406607333], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.2984587304159159, 0.2870653902881749, 0.01634632946748583, 0.0], [0.28850005525236405, 0.0, 0.0, 0.1224536734645005], [0.0, 0.0, 0.012407866920990376, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.2984587304159159, 0.2870653902881749, 0.01634632946748583, 0.0], [0.28850005525236405, 0.0, 0.0, 0.1224536734645005], [0.0, 0.0, 0.012407866920990376, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.2984587304159159, 0.2870653902881749, 0.01634632946748583, 0.0], [0.28850005525236405, 0.0, 0.0, 0.1224536734645005], [0.0, 0.0, 0.012407866920990376, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, -0.2116081534742821, 0.0, -0.5958935851968543]]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.01627245417651105], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2269235774396006]]","[[0.0, 0.01951220426371957, 0.0, 0.0], [0.0, 0.006086666687380874, 0.007589897008729631, 0.010859980029388414], [0.0, 0.0023102958116823446, 0.0, 0.0], [0.0, 0.0, 0.010235199890013202, 0.24652984168340839]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.027767128772029154, 0.007589897008729631, 0.010859980029388414], [0.0, 0.03160657597026382, 0.0, 0.00868077890957474], [0.0, 0.0, 0.010235199890013202, 0.2014658289596817]]","[[0.0, 0.01951220426371957, 0.0, 0.0], [0.0, 0.006086666687380874, 0.007589897008729631, 0.010859980029388414], [0.0, 0.0023102958116823446, 0.0, 0.0], [0.0, 0.0, 0.010235199890013202, 0.24652984168340839]]"
"[[[0.0, 0.0, 0.0, 0.0], [0.0, 0.12234023887243357, 0.19052931009371804, 0.0], [0.0, -0.8167404284437959, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0073807727503360085, 0.299825157634044, 0.0], [0.0, 0.030393797179558427, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.020622733690205654, 0.005140976356029534, 0.256568073450276, 0.0], [0.034484935645523865, 0.04231211099562199, 0.0, 0.0], [0.0019851928523781765, 0.0, 0.0, 0.027922025082887415]]","[[0.0, 0.011539620827446265, 0.0, 0.0], [0.020622733690205654, 0.0, 0.256568073450276, 0.0], [0.034484935645523865, 0.04231211099562199, 0.0, 0.0], [0.0019851928523781765, 0.000515513836200751, 0.0, 0.027922025082887415]]","[[0.0, 0.0, 0.0, 0.0], [0.020622733690205654, 0.005140976356029534, 0.256568073450276, 0.0], [0.034484935645523865, 0.04231211099562199, 0.0, 0.0], [0.0019851928523781765, 0.0, 0.0, 0.027922025082887415]]"
