coefficients,di_exact,knn_sqrt,knn_sqrt_2,knn_sqrt_4
"[[['cos', '', ''], ['', '', ''], ['tanh', '', 'sigm']]]","[[0.2435969344885674, 0.0, 0.26762043860373713], [0.0, 0.0, 0.0], [0.0, 0.0, 0.025704267199522995]]","[[0.16261111062663913, 0.0, 0.1789799558837178], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.17925395951477543, 0.0, 0.21187846060266996], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.19889401841097876, 0.0, 0.21865743988352362], [0.0, 0.0, 0.02876947853645672], [0.0, 0.0, 0.0]]"
"[[['', 'log', 'tanh'], ['', '', ''], ['', '', '']]]","[[0.0, 0.0, 0.0], [1.5029005776161197, 0.0, 0.0], [0.3424372027498495, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.1191916031384399, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.25325596791608057, 0.0, 0.0], [0.0, 0.0, 0.0]]"
"[[['', '', 'sin'], ['**0.959', '', 'sigm'], ['', 'tanh', '']]]","[[0.0, 0.4394419126292139, 0.0], [0.0, 0.0, 0.0822981598134242], [0.21012433216915943, 0.017526091053440242, 0.0]]","[[0.0, 0.32398926450854526, 0.0], [0.0, 0.0, 0.014555628620889717], [0.12377353185640022, 0.0, 0.0]]","[[0.0, 0.3611702378860046, 0.0], [0.0, 0.0, 0.02110074275109341], [0.1320352405507101, 0.0, 0.0]]","[[0.0, 0.402052133006006, 0.03320034090715345], [0.0, 0.0, 0.07302446400938757], [0.1708921064740947, 0.0, 0.0]]"
"[[['-0.160', '', '-0.326'], ['cos', '', 'log'], ['', 'log', 'sin']]]","[[0.044542177055981264, 0.18743678061991223, 0.0], [0.0, 0.0, 1.4784954679806865], [0.6066841014696652, 1.54560124946684, 1.0106602295562759]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.42372023291015176], [0.32258768777529473, 0.6725924690413302, 0.22915900696545713]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.5894693877090692], [0.3894170256457765, 0.8146477316234391, 0.3390458729486387]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.7073722260643367], [0.41676187875777476, 0.918696136581425, 0.4085337060024884]]"
"[[['', '', ''], ['', 'tanh', ''], ['sin', 'sin', '']]]","[[0.0, 0.0, 0.3186346104114337], [0.0, 0.6476570296134808, 0.6993224047743284], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.15185896962757256], [0.0, 0.3920499443971073, 0.34354711469643595], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.2148284245288357], [0.0, 0.41651672096866454, 0.3925794282463541], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.23855719269492956], [0.005264461516110178, 0.467542172137123, 0.4465241943217208], [0.006317579408738711, 0.0, 0.0]]"
"[[['-0.332', '', 'sin'], ['sigm', '', ''], ['', '', '0.220']]]","[[0.09661402537324398, 0.05309283730072703, 0.0], [0.0, 0.0, 0.0], [0.33756884292664235, 0.0, 0.02335488783138371]]","[[0.024499360586556163, 0.02250235392422401, 0.0], [0.0, 0.0, 0.0], [0.2292181726772082, 0.0, 0.0]]","[[0.05556764912053721, 0.04665899519431654, 0.0], [0.0, 0.0, 0.0], [0.26900528837432236, 0.0, 0.009281470777867252]]","[[0.020246356255865437, 0.019175851568380482, 0.0], [0.0, 0.0, 0.0], [0.30160760991901825, 0.0, 0.03349119048029274]]"
"[[['', 'cos', 'log'], ['', '', ''], ['', '', '']]]","[[0.0, 0.0, 0.0], [0.015513280150112807, 0.0, 0.0], [1.5043446382683996, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.13284484429180674, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.011051510295145355], [0.32488467931277065, 0.0, 0.0]]"
"[[['', 'sin', 'cos'], ['', '', ''], ['', '', '']]]","[[0.0, 0.0, 0.0], [0.35929052601228356, 0.0, 0.0], [0.024658009303397854, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.28325543244272683, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.3012701395019122, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.017858939914962603], [0.33473409531387505, 0.0, 0.0], [0.02007452894796853, 0.0, 0.0]]"
"[[['log', '', 'sin'], ['', '', ''], ['', '**0.277', 'sigm']]]","[[1.6461462723457052, 0.0, 0.0], [0.0, 0.0, 0.965363553138559], [0.8043811637771103, 0.0, 0.16070414290973298]]","[[0.7000634712552686, 0.0, 0.0], [0.0, 0.0, 0.2036450066732552], [0.2349107520085773, 0.0, 0.0]]","[[0.8397013927182184, 0.0, 0.0], [0.0, 0.0, 0.29633313850152115], [0.31234566761867494, 0.0, 0.0]]","[[0.9468901260730641, 0.0, 0.0], [0.0, 0.0, 0.40878501621929964], [0.3933345567417074, 0.0, 0.0]]"
"[[['', '', 'sin'], ['', 'tanh', ''], ['', '', 'cos']]]","[[0.0, 0.0, 0.0], [0.0, 0.6706980577742955, 0.0], [0.37473350444681386, 0.0, 0.3014486522902817]]","[[0.0, 0.0, 0.0], [0.0, 0.5831361244151946, 0.0], [0.22199612236151534, 0.0, 0.19526515288476737]]","[[0.0, 0.0, 0.0], [0.0, 0.6033541264245811, 0.0], [0.2484490558305018, 0.0, 0.22130174164113955]]","[[0.0, 0.0, 0.0], [0.0, 0.6200322552496031, 0.0], [0.24869695118685892, 0.0, 0.2149502924922137]]"
