coefficients,di_exact,knn_sqrt,knn_sqrt_2,knn_sqrt_4
"[[['', 'sigm', '', '0.176'], ['', '', '', '**0.520'], ['tanh', '', '', ''], ['0.337', 'sin', '', '']]]","[[0.0, 0.0, 0.12352225980442175, 0.051879095666188035], [0.025722631788442377, 0.0, 0.0, 0.14917545232650278], [0.0, 0.0, 0.0, 0.0], [0.011234306554212465, 0.13490130163352057, 0.0, 0.0]]","[[0.0, 0.0, 0.05888971448995437, 0.0], [0.0, 0.0, 0.0, 0.08806656150716496], [0.0, 0.0, 0.0, 0.0], [0.0, 0.08024842996970226, 0.0, 0.0]]","[[0.0, 0.0, 0.07144409331309107, 0.009586028734748425], [0.010323972644984277, 0.0, 0.0, 0.11812681335994205], [0.0, 0.0, 0.0, 0.0], [0.004226409479643237, 0.12886475490382113, 0.0, 0.0]]","[[0.004136869406116458, 0.0, 0.0987760327625596, 0.023754400271041712], [0.0039353257683786115, 0.0, 0.0, 0.11233843258455464], [0.0, 0.0, 0.0, 0.0], [0.0, 0.12887031322519127, 0.0, 0.0]]"
"[[['', '', '-0.102', 'tanh'], ['', '-0.168', '', ''], ['', 'log', 'sin', ''], ['', '', '0.073', 'log']]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.00751919708302245, 1.4739842466905173, 0.0], [0.10763562459740363, 0.0, 0.9375478032754054, 0.06289159548939692], [0.9758761198037342, 0.0, 0.0, 1.606752408016941]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.16457760170968555, 0.0], [0.3461255731998969, 0.0, 0.0, 0.5346466439523686]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.09287700369205384, 0.0], [0.4148246859495999, 0.0, 0.0, 0.6487990803903821]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0404248932717044, 0.0], [0.43949247886154896, 0.0, 0.0, 0.7274481764507801]]"
"[[['', '', '', ''], ['', 'cos', '', ''], ['', '', '', 'sigm'], ['', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.22242672044034503, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.039649431243647726, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.15622227909652334, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.1725796346915379, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.00029381364980061916, 0.0, 0.0], [0.0, 0.17968179873547724, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.01419227947330847, 0.013652159223276174]]"
"[[['', 'log', '', ''], ['**0.333', '', '', 'cos'], ['sigm', '', '', '0.043'], ['sin', 'log', '', '']]]","[[0.0, 1.300241952443524, 0.22861756819028894, 0.8744353555919551], [1.4773506201793483, 0.0, 0.0, 1.433750577847467], [0.0, 0.0, 0.0, 0.0], [0.0, 0.7840863885665709, 0.017060439331503238, 0.0]]","[[0.0, 0.21919049905830754, 0.0, 0.04493057728849148], [0.41902573522903225, 0.0, 0.0, 0.37042535715215746], [0.0, 0.0, 0.0, 0.0], [0.0, 0.08074977165258261, 0.0, 0.0]]","[[0.0, 0.2540871499986062, 0.0005942275138795155, 0.09203602710757572], [0.500849392479447, 0.0, 0.0, 0.4355148841842269], [0.0, 0.0, 0.0, 0.0], [0.0, 0.09701749066148795, 0.0, 0.0]]","[[0.0, 0.2824105231110998, 0.005322833638317048, 0.1782105462363502], [0.575372945442482, 0.0, 0.0, 0.5440032414747569], [0.0, 0.0, 0.0, 0.0], [0.0, 0.1460514755057135, 0.0, 0.0]]"
"[[['cos', '', '', ''], ['', '', '', ''], ['', 'tanh', '', ''], ['', '', '', '']]]","[[0.23540648265920286, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3343842510473247, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.17687508697433504, 0.0, 0.0, 0.0], [0.0, 0.0, 0.21053252975461778, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.19103049764110466, 0.0, 0.0, 0.0], [0.0, 0.0, 0.24053254440871377, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.18984186539709702, 0.004883467699053022, 0.0, 0.0], [0.0, 0.0, 0.28332637751516987, 0.0], [0.0, 0.0, 0.0, 0.0], [0.009793381822017846, 0.0, 0.0, 0.0054509101379828255]]"
"[[['', '', '', ''], ['log', 'sin', '', ''], ['', '', '', ''], ['', '', '', '']]]","[[0.0, 1.553759509294386, 0.0, 0.0], [0.0, 0.9293533673975859, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.04723613793991469, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.17485076176640466, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.013748167809475543, 0.0, 0.0, 0.0]]"
"[[['', '', 'cos', 'cos'], ['', '', '', ''], ['', '', '', 'sigm'], ['', '', '**0.164', '']]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.18297704753777538, 0.0, 0.0, 0.043909402786356], [0.23846487215887036, 0.0, 0.027764779751758898, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.08986693899404509, 0.0, 0.0, 0.0], [0.14886939656174525, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.11662455233733977, 0.0, 0.0, 0.00907490081640499], [0.17119771218404145, 0.0, 0.007387381329065142, 0.0]]","[[0.0, 0.013970124427155374, 0.0, 0.013582726507948574], [0.0, 0.0, 0.0, 0.0], [0.1553602937074666, 0.0, 0.0, 0.019902506859478523], [0.20023294340948825, 0.007261683587707129, 0.025089100070310746, 0.0026800407917261866]]"
"[[['sigm', '', '', 'log'], ['', 'cos', '', 'tanh'], ['tanh', '', '', ''], ['', 'cos', 'sin', '']]]","[[0.229701256723927, 0.0, 0.9718171116743353, 0.0], [0.0, 0.7569810635804204, 0.0, 0.7801613732077797], [0.0, 0.0, 0.0, 0.9419673974785171], [1.4330335753588421, 0.8850718589059335, 0.0, 0.0]]","[[0.0, 0.0, 0.43086407386337233, 0.0], [0.0, 0.2269254802037698, 0.0, 0.2047420831346479], [0.0, 0.0, 0.0, 0.43060786170709764], [0.4352715976115081, 0.3562840191763431, 0.0, 0.0]]","[[0.0, 0.0, 0.4792768244722682, 0.0], [0.0, 0.2852947016497545, 0.0, 0.2558710275700452], [0.0, 0.0, 0.0, 0.4862812534518984], [0.5289277011573144, 0.4106699295553391, 0.0, 0.0]]","[[0.0, 0.0, 0.5343068880621655, 0.0], [0.0, 0.3335235951423621, 0.0, 0.3328920030336231], [0.0, 0.0, 0.0, 0.5250419301745415], [0.6139833282449395, 0.4583773448998582, 0.0, 0.0]]"
"[[['sin', '', 'cos', ''], ['', '', '', ''], ['', '', '', 'log'], ['', 'log', '', 'tanh']]]","[[0.2249365032260324, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.4772058830920498], [0.5689267381879305, 0.0, 0.0, 0.0], [0.0, 0.0, 0.5672679274349868, 0.007417078378969021]]","[[0.04180393167019875, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.36529284795387984, 0.0, 0.0, 0.0], [0.0, 0.0, 0.43898077257953194, 0.0]]","[[0.08262404688157572, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.4243653584676832, 0.0, 0.0, 0.0], [0.0, 0.0, 0.48394017606962475, 0.0]]","[[0.11220106435089185, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.09667129397833225], [0.46684861676519185, 0.0, 0.0, 0.0], [0.0, 0.0, 0.5281956166220261, 0.0]]"
"[[['', '', '', ''], ['', '**0.595', '', ''], ['', '', '', ''], ['**0.178', '', '', '**0.609']]]","[[0.0, 0.0, 0.0, 1.1287417646775455], [0.0, 0.6421965043850194, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.4747312284927454]]","[[0.0, 0.0, 0.0, 0.24744972484994163], [0.0, 0.26082593245677993, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.7092162207292468]]","[[0.0, 0.0, 0.0, 0.3338678890692596], [0.0, 0.2722765135387589, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.8470060307264952]]","[[0.0, 0.0, 0.0, 0.43934866509155823], [0.0, 0.32286167488208006, 0.0, 0.0], [0.0, 0.0, 0.009240598167567228, 0.0], [0.0, 0.0, 0.0, 0.9774648940705403]]"
