coefficients,di_exact,knn_subset_pairwise
"[[['', '', '', '', 'sigm', ''], ['', '-0.169', '', '', 'sigm', 'tanh'], ['**0.405', 'log', '', '0.094', '', ''], ['tanh', '', '', '', 'cos', '**0.461'], ['', 'sin', '', '**0.790', '', ''], ['', '', '**0.804', 'sigm', '', '']]]","[[0.0, 0.0, 0.0919931322674234, 0.14279086311800532, 0.0, 0.0], [0.0, 0.010141805897954348, 0.18670422815536175, 0.0, 0.016762092526356014, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.32673459623359097], [0.0, 0.0, 0.012407167877327391, 0.0, 0.38280730536107044, 0.03792489106419051], [0.004356905213237252, 0.010917702995600072, 0.0, 0.37986465837263866, 0.0, 0.0], [0.0, 0.0049037739191761355, 0.0, 0.08006284345378924, 0.0, 0.0]]","[[0.0, 0.0, 0.07250220389412912, 0.06019637233579692, 0.0, 0.0], [0.017153458661604018, 0.006071234645653532, 0.1709038646159935, 0.0, 0.0, 0.00041256183608687967], [0.01133140213086169, 0.0, 0.0, 0.0, 0.0011784919198340486, 0.33350173706665226], [0.038312012228046116, 0.0, 0.0, 0.012144422817276195, 0.35990103757161235, 0.027645914687872326], [0.02919145785759668, 0.00014806404993624895, 0.006268628623143942, 0.20879918806183675, 0.0, 0.0], [0.018769372732784156, 0.0, 0.01421729253163684, 0.0, 0.0, 0.00963411382446463]]"
"[[['', '', '', '', '', ''], ['', 'cos', '', '', '', '**0.721'], ['log', '', '', '', '', '**0.744'], ['', '', '', '', '', ''], ['', 'sin', '', '', '', ''], ['log', '', 'tanh', '', '**0.103', '']]]","[[0.0, 0.0, 1.5021047703830386, 0.0, 0.0, 1.474793668565035], [0.0, 0.7319858769541135, 0.0, 0.0, 0.9979731443880363, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0035529045264843327], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.3032052580914988], [0.0, 1.2035451811504418, 1.2345230414765962, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.00026268514527645197, 7.910444394519265e-05, 0.0], [0.0, 0.13735354373420255, 0.014665969707649986, 0.0, 0.8644319898502926, 0.0], [0.001015934853516713, 0.22813775348050844, 0.0514121999010411, 0.0, 0.06244218385670876, 0.0], [0.023711012142995064, 0.0, 0.0, 0.00461934605390306, 0.0, 0.0], [0.02011366499412509, 0.0, 0.0, 0.0, 0.013672036216141575, 0.2632176320581726], [0.013370884756658574, 0.9929648112169427, 0.21283048941077587, 0.0, 0.0, 0.0]]"
"[[['', '', '', 'cos', '', ''], ['', '', '', '', 'log', ''], ['', '', '', '', '', ''], ['', '', '0.065', 'sin', 'tanh', ''], ['', '', '', '', '', ''], ['', '', '', '', 'cos', 'sin']]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -0.002028406224722756, 0.0, 0.0], [0.2803768896767847, 0.0, 0.0, 0.899182574964326, 0.0, 0.0], [0.0, 1.4920603462341133, 0.0, 0.32455317460559957, 0.0, 0.01685121276801967], [0.0, 0.0, 0.0, 0.0, 0.0, 0.06774130857449447]]","[[0.048235680364130375, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.1979921436643617, 0.0, 0.013467408355412032, 0.6688949865729927, 0.00619504204395048, 0.0], [0.0, 0.21942476042275028, 0.0, 0.2635810002831703, 0.0, 0.01837842672527283], [0.0, 0.0, 0.0, 0.0, 0.015387626914602917, 0.06335497701683872]]"
"[[['', '', '', '', '', ''], ['', 'log', 'tanh', '', '', '**0.167'], ['', 'sigm', '', '', '', ''], ['', '', 'cos', '**0.644', 'sigm', ''], ['', '0.150', '', '', 'log', '0.359'], ['', '', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.5210671168601202, 0.35809375075957817, 0.0, 0.2853882963283089, 0.0], [0.0, 0.364026675328412, 0.0, 0.22865766125138604, 0.0, 0.0], [0.0, 0.0, 0.0, 0.1489958198009414, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2523046201114935, 1.574031006193304, 0.0], [0.0, 1.1414677524216135, 0.0, 0.0, 0.07488651092780052, 0.0]]","[[0.0030717168860220326, 0.0, 0.029645246883573912, 0.0, 0.0, 0.00786827490883022], [0.0, 0.5245709923772005, 0.3214100753419549, 0.0, 0.0, 0.0], [0.02421957284445053, 0.008950072320954947, 0.0, 0.08999573147974753, 0.0, 0.0036294826413996524], [0.0, 0.0, 0.019440348920639942, 0.02443405360384346, 0.0, 0.0029925458268748434], [0.0, 0.0, 0.0, 0.09165255138967957, 1.0452242397278473, 0.0], [0.006941920113407332, 0.32180952794155343, 0.02440787339126344, 0.0, 0.0, 0.002079253153010631]]"
"[[['', '', 'sin', '', '0.216', 'sin'], ['', '', '', '', '', ''], ['', '', '', '', 'log', ''], ['cos', 'sin', '0.317', '', '', ''], ['', '', '', 'tanh', '', 'tanh'], ['sigm', 'cos', '', 'cos', '', '']]]","[[0.0, 0.0, 0.0, 0.7184219119539434, 0.0, 0.07673177240709825], [0.0, 0.0, 0.0, 0.3441704828875938, 0.0, 0.020426132690197354], [0.6754127929121395, 0.0, 0.0, 0.20566786213974686, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.6643567905520402, 0.36059536812565207], [0.07117119929234153, 0.0, 0.8048322445783026, 0.0, 0.0, 0.0], [0.32777581219218277, 0.0, 0.0, 0.0, 0.001248971448061072, 0.0]]","[[0.02048706916085914, 0.016177293237449493, 0.0, 0.33213660226127334, 0.0, 0.01261769844588869], [0.0, 0.0, 0.0, 0.09810319037842002, 0.0, 0.0], [0.35579823377403985, 0.03001454287687835, 0.02663630808286115, 0.006376921739671812, 0.0, 0.0], [0.0, 0.02632595711071264, 0.0, 0.0, 0.5918683489109349, 0.2813820187257136], [0.08954609954075987, 0.01641865001476318, 0.5651704035188654, 0.0, 0.0, 0.0], [0.13449609334212287, 0.02618988923697507, 0.027527086417612687, 0.00981281367533038, 0.0, 0.0]]"
"[[['**0.668', '', '', '0.096', '', 'log'], ['sin', '', 'log', 'tanh', '', ''], ['sin', '', '', '', '', 'log'], ['', 'sigm', 'tanh', '', '', ''], ['', '', '', '', '', ''], ['', '', '', '', '', '']]]","[[0.7613888357390795, 0.8557523534256789, 0.8334589278997603, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2720463753566944, 0.0, 0.0], [0.0, 1.4614442483655272, 0.0, 0.5882022826169094, 0.0, 0.0], [0.016282370913116063, 0.6729647247744107, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.5111714870570427, 0.0, 1.5004108454108969, 0.0, 0.0, 0.0]]","[[0.11466136548324465, 0.35169213517878883, 0.027663608660092924, 0.1347378319498828, 0.0, 0.0], [0.0, 0.08797714965987241, 0.0, 0.11544361948020188, 0.0, 0.0], [0.0, 0.45512713810463756, 0.06244481043087451, 0.41491523384506807, 0.0, 0.0], [0.0, 0.05012138769823344, 0.0, 0.04663358023872595, 0.010945893374912332, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.1988967352927857, 0.0, 0.11538900033819444, 0.0, 0.008615363474703859, 0.0024991187522158957]]"
"[[['', '', '', '', '', ''], ['', '', '', '', 'sin', '**0.938'], ['', 'tanh', '', '', '', ''], ['', 'sigm', '', 'tanh', 'tanh', ''], ['', 'tanh', '', '', '', '-0.110'], ['', '', '0.017', 'cos', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.8286882520742793, 0.16398457826514443, 0.8666957790559127, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.0008002678298004738], [0.0, 0.0, 0.0, 0.4340420517254191, 0.0, 0.9772533219531429], [0.0, 0.8535147816947715, 0.0, 0.7525484384663453, 0.0, 0.0], [0.0, 1.0331045501456635, 0.0, 0.0, 0.03632375927448242, 0.0]]","[[0.0, 0.0, 0.0, 0.009668285838322504, 0.0, 0.0], [0.018349269588787055, 0.06535209395872515, 0.7467243097633282, 0.08317770592888678, 0.7539528957794901, 0.11408730527002724], [0.0020445633214675302, 0.03739788956042453, 0.005013119764837798, 0.3320918082567259, 0.02712919031174952, 0.03458126416706784], [1.9685235126749253e-05, 0.03687303873709329, 0.003465115855380635, 0.2406539234682116, 0.0433506850683759, 0.753915176939308], [0.010310475575211886, 0.05043289761773773, 0.0, 0.5812471827854193, 0.0, 0.011126493724789525], [0.020302975092080403, 0.22896235920341831, 0.013438256113898057, 0.01595493525603149, 0.0, 0.13663427438556228]]"
"[[['', 'cos', '', '', '', ''], ['', '', '', '', '', 'sigm'], ['', '', '', 'tanh', '0.085', ''], ['', '', '0.196', '', 'log', ''], ['', '', 'log', 'sigm', '-0.337', ''], ['', '', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.13933465690517838, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.08656117840476427, 1.270829572777017, 0.0], [0.0, 0.0, 0.8265647107809521, 0.0, 0.2493302948395762, 0.0], [0.0, 0.0, 0.040137611103409084, 1.563960904787323, 0.4938308242660906, 0.0], [0.0, 0.035530299712419056, 0.0, 0.0, 0.0, 0.0]]","[[0.010672324248349675, 0.02550155496367347, 0.0, 0.0, 0.0, 0.0], [0.16251169512994051, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 3.277686280730365e-05, 0.05240021724733261, 0.0, 0.5733866354110325, 0.0], [0.0, 0.0, 0.6253362544879737, 0.04034504684246505, 0.045156611611833174, 0.0], [0.0, 0.005708595065737764, 0.03179744949695032, 0.729687699947686, 0.07276303849515466, 0.0], [0.0, 0.02091231331710722, 0.0, 0.0, 0.0, 0.01014126266249001]]"
"[[['', '', '0.154', '', '', ''], ['', 'cos', '', '**0.035', '', ''], ['', '', '', '', '', ''], ['', '', '', '', '', ''], ['', '', '**0.652', 'sin', '', 'sigm'], ['', 'cos', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.8008853688887724, 0.0, 0.0, 0.0, 0.8205484062055408], [0.010389707096611493, 0.0, 0.0, 0.0, 0.5334465442971551, 0.0], [0.0, 1.3703708575675064, 0.0, 0.0, 0.30199095948805266, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1064192514461132, 0.0]]","[[0.017296748788400956, 0.0, 0.01131258618780761, 0.021301240778278892, 0.0, 0.0], [0.0, 0.6292195959144498, 0.0, 0.0, 0.016973478149219345, 0.581043522877108], [0.0, 0.0, 0.0, 0.008841140427537737, 0.3192182587854173, 0.0], [0.003383909875592319, 0.4685938745456243, 0.004322450861111402, 0.0, 0.1271504948094746, 0.0], [0.0, 0.0, 0.01595317570882307, 0.03772051177304366, 0.0, 0.02848177751449464], [0.0, 0.0, 0.018851626775874628, 0.001560684090274782, 0.026659753089069753, 0.07921933045688549]]"
"[[['', '', '', '0.242', '0.167', ''], ['', 'log', '', '', '', 'tanh'], ['', '**0.896', '', '', '', ''], ['tanh', 'tanh', '', 'sin', '', ''], ['', 'sin', '', '', '', ''], ['', '', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.4801695576801295, 0.0, 0.0], [0.0, 1.5640731316751484, 1.5181290957069502, 0.9463993134619172, 0.9797976734768398, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.2756281771281204, 0.0, 0.0, 0.7345049825396631, 0.0, 0.0], [0.08060106599487621, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.3429635509858777, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.19694878778840835, 0.0, 0.0], [0.02234371333457933, 1.021800006811282, 0.7720736379510872, 0.463409682559359, 0.7460763774980645, 0.0], [0.23644512040949178, 0.0, 0.5551683314443335, 0.2944753217559359, 0.2624056589287723, 0.0], [0.363960397637726, 0.0, 0.0, 0.22110901076299577, 0.03650768678995075, 0.0], [0.2039511705690064, 0.0, 0.023138171548817803, 0.13714879304702768, 0.10273163169608199, 0.0], [0.0, 0.09535942711244659, 0.0, 0.0, 0.0, 0.023121543787781]]"
