coefficients,di_exact,knn_subset_cor,knn_subset_mi,knn_subset_pc
"[[['cos', '', '', 'sigm', '', 'tanh', ''], ['', '', '', '', '', '', ''], ['', '', '', '**0.477', '', 'sin', '**0.778'], ['', '', '', '', '', 'log', '**0.978'], ['', '', '', '', '0.007', '', '**0.761'], ['**0.975', 'cos', 'cos', '', '', '', 'log'], ['sin', '', '**0.255', 'tanh', '', '', '-0.108']]]","[[0.6596209047820805, 0.0, 0.0, 0.0, 0.0, 0.8008519343598404, 0.19404111030157814], [0.0, 0.0, 0.0, 0.0, 0.0, 0.013501869340890621, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.7449834840197276, 0.02819219964404992], [6.670752767660091e-05, 0.0, 0.06674975540108559, 0.0, 0.0, 0.0, 1.9819353632916303e-05], [0.0, 0.0, 0.0, 0.0, -0.00015529345491028425, 0.0, 0.0], [-0.0003464059638574727, 0.0, 0.8304675528230859, 0.24636883381591287, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2537803270550139, 0.4813959533135359, 0.24052342233793755, 0.09524070324627058, 0.013513572406423563]]","[[0.34072804820830244, 0.0, 0.0, 0.0, 0.0, 0.3239858244501218, 0.06966354693600246], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.36864552381798343, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.4749346550990466, 0.10050150377230117, 0.0, 0.0, 0.0], [0.0, 0.0, 0.05448643440284785, 0.20677692770361433, 0.09606666506564197, 0.0, 0.0]]","[[0.36018489617200633, 0.0, 0.0, 0.0, 0.0, 0.45722804373841064, 0.17547680412628477], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.41525307875945067, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.4922104789261337, 0.1367780360850818, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0592630773057646, 0.34002827356323045, 0.1844126254938969, 0.0, 0.00219184771679602]]","[[0.34072804820830266, 0.0, 0.0, 0.0, 0.0, 0.32398582445012214, 0.06966354693600253], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.36864552381798343, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.47493465509904653, 0.10050150377230117, 0.0, 0.0, 0.0], [0.0, 0.0, 0.054486434402847866, 0.2067769277036143, 0.09606666506564192, 0.0, 0.0]]"
"[[['', 'log', 'tanh', 'tanh', '', '', 'log'], ['', '', '', '', '', '', ''], ['', '', '', '', '', '', ''], ['', '0.390', 'cos', '', 'tanh', '-0.014', ''], ['', '', 'sin', '', '', '', ''], ['0.277', '', '', 'cos', '', '', 'tanh'], ['', '', '', '', '', 'tanh', 'cos']]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.6413579026740498, 0.0], [1.5239976086042673, 0.0, 0.0, 0.06486321039662027, 0.0, 0.0, 0.0], [0.31654908453999875, 0.0, 0.0, 0.005177156931421452, 0.34766119325587097, 0.0, 0.0], [0.2820634534651817, 0.0, 0.0, 0.0, 0.0, 0.5207021757170563, 0.0], [0.0, 0.0, 0.0, 0.4822199569504896, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0010479894960689778, 0.0, 0.0, 0.7292869420653499], [1.3270566675896518, 0.0, 0.0, 0.0, 0.0, 0.713721882163433, 0.7399758463655797]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.23243111591820853, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.25519429069623484, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.23093512692049922, 0.0], [0.0, 0.0, 0.0, 0.23329109747072005, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3567341532280414], [0.1109958947668103, 0.0, 0.0, 0.0, 0.0, 0.2758142664721574, 0.353716091485321]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.24142928024967658, 0.0], [0.0, 0.0023078641735813673, 0.0, 0.00762168639895009, 0.0, 0.0, 0.0], [0.0, 0.0, 0.022587548858245595, 0.0, 0.3257977897350862, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.22088113394316533, 0.0], [0.0, 0.0, 0.0, 0.44165038766932563, 0.0, 0.0, 0.0], [0.0, 0.011633061374348918, 0.0, 0.0, 0.0, 0.0, 0.3623569762682739], [0.077504756037637, 0.0, 0.0, 0.0, 0.0, 0.2624624985334466, 0.3771030169257657]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.23243111591820867, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.25519429069623484, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.2309351269204995, 0.0], [0.0, 0.0, 0.0, 0.23329109747072013, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3567341532280412], [0.11099589476681017, 0.0, 0.0, 0.0, 0.0, 0.2758142664721573, 0.35371609148532096]]"
"[[['', '', '', '', '', '', ''], ['sigm', '', 'sigm', '', '**0.966', 'sigm', ''], ['', '', '', '', '0.104', '', ''], ['tanh', '', '0.157', '', '', '**0.004', 'tanh'], ['sigm', '', '', '', '', '', '**0.901'], ['', '', '', '', '', '', ''], ['', '', '', 'cos', '-0.028', '', 'sin']]]","[[0.0, 0.02885817147904951, 0.0, 0.31593123098439563, 0.021406353159898632, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.030739410983730994, 0.0, 0.005819400647096342, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9434699329482014], [0.0, 1.144934905341035, 0.05073431974345265, 0.0, 0.0, 0.0, 0.0010872948714501906], [0.0, 0.022437164768633444, 0.0, 1.4021662927304381, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.6499177987085515, 1.0880454139863844, 0.0, 0.6862064011428195]]","[[0.0, 0.0, 0.0, 0.03448654438940368, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5215668468145401], [0.0, 0.5392411136921104, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.21322433039210598, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.10938219851683595, 0.7134825078525132, 0.0, 0.24288783024765728]]","[[0.0, 0.0, 0.0, 0.062356147148223726, 0.0, 0.0, 0.0], [0.012055933157251987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.03858589728416003, 0.0, 0.001824181117433243, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7419204099632378], [0.0, 0.4462534737090899, 0.060843923334713265, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2609276540809343, 0.0, 0.0, 0.0], [0.02191614228255424, 0.0, 0.0, 0.15783783057283496, 0.7256126899142424, 0.0, 0.4283826265793708]]","[[0.0, 0.0, 0.0, 0.03448654438940358, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.52156684681454], [0.0, 0.5392411136921101, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.21322433039210595, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.10938219851683598, 0.713482507852513, 0.0, 0.24288783024765723]]"
"[[['', '', '', '', '', '', ''], ['log', '', '', 'cos', '**0.511', '', 'cos'], ['', '', '**0.215', '', '**0.697', '', ''], ['', '', '', '', '', '', ''], ['', '', '', '', '', '', ''], ['', '', 'cos', '', '', '', ''], ['tanh', '', 'tanh', '', '', '-0.019', 'sigm']]]","[[0.0, 1.4886035428902216, 0.0, 0.0, 0.0, 0.0, 0.3420324167065668], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.393935319054406, 0.0, 0.0, 0.5740650632415513, 1.1527914688771335], [0.0, 0.011803119794542634, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.6815612883413551, 0.5854274813870197, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0005687577990076608], [0.0, 0.8041148366228748, 0.0, 0.0, 0.0, 0.0, 0.2811202492995585]]","[[0.0, 0.0, 0.0, 0.0, 0.025513842976167673, 0.0, 0.1088018968441014], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.034506599493368116, 0.0, 0.0, 0.5127541673886258, 0.14892842949026427], [0.0008041909116318811, 0.0, 0.0, 0.02180310110692785, 0.0027658692428644094, 0.0, 0.0], [0.008156289090903856, 0.0, 0.18237781387372629, 0.0, 0.0, 0.0, 0.0], [0.0037771243144646793, 0.0, 0.0, 0.02157855202709202, 0.015305197405938728, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.008710713423348072, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21653902435161498], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.034506599493368116, 0.0, 0.0, 0.5127541673886258, 0.21710662221796437], [0.0008041909116318811, 0.0, 0.0, 0.0, 0.0027658692428644094, 0.0, 0.0], [0.008156289090903856, 0.0, 0.18237781387372629, 0.00406504603098968, 0.0, 0.0, 0.0], [0.0037771243144646793, 0.0, 0.0, 0.02157855202709202, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.002151542153060071, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.025513842976167673, 0.0, 0.10880189684410137], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.034506599493368095, 0.0, 0.0, 0.5127541673886258, 0.14892842949026433], [0.0008041909116318811, 0.0, 0.0, 0.02180310110692785, 0.0027658692428644094, 0.0, 0.0], [0.008156289090903856, 0.0, 0.18237781387372626, 0.0, 0.0, 0.0, 0.0], [0.0037771243144646793, 0.0, 0.0, 0.02157855202709202, 0.015305197405938728, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.008710713423348072, 0.0, 0.0]]"
"[[['0.072', '', 'sin', '-0.033', '', '', ''], ['', '', 'cos', '**0.913', 'log', 'log', ''], ['', '', '', '', '', '', '**0.159'], ['', 'cos', '', '', '**0.062', '', 'cos'], ['sigm', '', '', '', 'tanh', '', ''], ['log', 'cos', '', '', '', '', ''], ['', '', '', '', '', '', '']]]","[[0.03001488817845703, 0.0, 0.0, 0.0, 0.16798015365628263, 1.154944660398435, 0.0], [0.0, 0.0, 0.0, 0.8267894629088964, 0.0, 0.795211166006545, 0.0], [1.060064021157095, 0.1772777823004941, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0037831353796177634, 0.7899732600114914, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.3225566998581642, 0.0, 0.0011985418747481797, 0.053066217332779275, 0.0, 0.0], [0.0, 1.4111784513835317, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.1465246789485075, 0.02130824818312194, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.1271551772409467, 0.23688871612782028, 0.007040458196409769], [0.0, 0.0, 0.0, 0.5904548939101979, 0.0, 0.2369870700824845, 0.0], [0.8177223217709959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.15864153558510274, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.024769748583702275, 0.0, 0.0, 0.019351324722459717, 0.0, 0.010753860497396685], [0.0, 0.45428799546864124, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.596538668701524, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.17653909105856813, 0.29855808998390376, 0.007040458196409769], [0.0, 0.0, 0.0, 0.6326208415576713, 0.0, 0.26583208364306377, 0.0], [0.8177223217709959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.14525750114271543, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.018759519228418873, 0.0, 0.0, 0.03580244700626671, 0.0, 0.010753860497396685], [0.0, 0.43765589237218333, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.4743672941608637, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.1271551772409467, 0.23688871612782028, 0.007040458196409769], [0.0, 0.0, 0.0, 0.5904548939101979, 0.0, 0.23698707008248457, 0.0], [0.8177223217709959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.15864153558510272, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.02476974858370231, 0.0, 0.0, 0.019351324722459706, 0.0, 0.010753860497396685], [0.0, 0.4542879954686411, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.596538668701524, 0.0, 0.0, 0.0, 0.0]]"
"[[['', '', 'cos', '', '-0.029', '', ''], ['tanh', '', '', 'log', 'log', '', ''], ['', '', '', '', 'log', '', 'cos'], ['', '', 'cos', '', '', '-0.144', ''], ['', '', 'sigm', 'log', '', '', 'cos'], ['', '', '', '-0.253', '', '', ''], ['', '**0.383', 'tanh', 'cos', '', '', '']]]","[[0.0, 0.7226366696253329, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4009333061985438], [0.8675926345517618, 0.0, 0.0, 0.8776397642003683, 0.3564515826275044, 0.0, 1.0280749830715372], [0.0, 1.332726560870517, 0.0, 0.0, 1.356524571365257, 0.16437654790036144, 0.30788116853710795], [0.013633359581966846, 1.491486862647154, 1.4799343050448845, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.015581065986246014, 0.0, 0.0, 0.0], [0.0, 0.0, 0.9976748791563986, 0.0, 1.0451806809559723, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3352340619677552], [0.2296515323495157, 0.0, 0.007820538765339159, 0.2393789880420862, 0.0, 0.0, 0.2785445609931351], [0.0, 0.01663626497992629, 0.0, 0.0, 0.07437931634804994, 0.003841337705025307, 0.0], [0.0, 0.2998719291920192, 0.319146684932716, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.18554481602779488, 0.0, 0.219178298408732, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.308333842380306], [0.39257598390595155, 0.0, 0.0, 0.3977965614753541, 0.0, 0.0, 0.25248903191577543], [0.0, 0.0, 0.0, 0.0, 0.0897348004406029, 0.0, 0.0], [0.0, 0.2752046967612879, 0.4230448798749295, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.20492542121324103, 0.0, 0.2574581422295763, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3352340619677553], [0.22965153234951544, 0.0, 0.007820538765339212, 0.23937898804208632, 0.0, 0.0, 0.27854456099313524], [0.0, 0.016636264979926322, 0.0, 0.0, 0.07437931634804988, 0.0038413377050252884, 0.0], [0.0, 0.2998719291920192, 0.319146684932716, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.18554481602779482, 0.0, 0.219178298408732, 0.0, 0.0]]"
"[[['cos', '', 'sigm', 'log', '', 'tanh', ''], ['', '', '', '-0.128', '', '', ''], ['0.165', 'sin', '', '', '', '', ''], ['', '**0.753', '', '', '', '', 'cos'], ['', '', '', '', '', '**0.926', ''], ['', '', '', '', '', '', ''], ['', '', '', '', '', '', '']]]","[[0.763944495212948, 0.0, 0.17924142019463765, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3243005785107587, 0.459305560864849, 0.0, 0.0, 0.0], [0.06864671576009393, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.1189288009894203, 0.013816127097532755, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.34273425610802927, 0.0, 0.0, 0.0, 0.37795498050960286, 0.0, 0.0], [0.0, 0.0, 0.0, 0.007366325141627365, 0.0, 0.0, 0.0]]","[[0.26369210724547654, 0.0, 0.03539458686980332, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.17592672419706792, 0.24928796178513207, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.4002086834127271, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.05891659607574555, 0.0, 0.0, 0.0, 0.37568799672372993, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.2865676595145333, 0.0, 0.04982513260771982, 0.0, 0.0, 0.0, 0.0], [0.0, 0.037205067311333134, 0.23403061124032645, 0.42722411617442824, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.4470522607639065, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.08966833427938231, 0.0, 0.0, 0.0, 0.37568799672372993, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03161509904210165]]","[[0.26369210724547654, 0.0, 0.035394586869803284, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.17592672419706787, 0.24928796178513202, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.40020868341272703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.058916596075745516, 0.0, 0.0, 0.0, 0.37568799672372993, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[['log', '', '**0.164', '', '', 'log', '0.007'], ['sigm', '', '0.162', 'tanh', 'cos', '', ''], ['', '', '', '', '', '', ''], ['', 'log', '0.213', '', 'cos', 'sigm', ''], ['', '', '', '', 'cos', '-0.120', ''], ['', 'sigm', '', 'tanh', '', 'cos', '-0.128'], ['', '', '', '', '', '', '']]]","[[1.4761761340697395, 0.3590512236724631, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.19563722732334934, 0.0, 0.013457274279543213, 0.0], [1.1071493828588395, 0.008656018320238676, 0.0, 0.027127988063357308, 0.0, 0.0, 0.0], [0.0, 0.004216230985510989, 0.0, 0.0, 0.0, -0.0029603563853778277, 0.0], [0.0, 0.18364264448649345, 0.0, 0.17952534894747887, 0.16816080810671108, 0.0, 0.0], [0.4298210695592651, 0.0, 0.0, 0.03187973214937665, 0.02517683225289303, 0.6688441769582322, 0.0], [-7.176754564072644e-06, 0.0, 0.0, 0.0, 0.0, 0.01116350354252504, 0.0]]","[[0.47369038751955167, 0.21448253388328137, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.09656465950672179, 0.0, 0.0, 0.0], [0.1840609629144174, 0.0, 0.006216491438482455, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.07295558238093773, 0.0, 0.0754297923740771, 0.06182594212795152, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.46733799711647356, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016485466177493448]]","[[0.5895698196062058, 0.20634719799193216, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.038807332544065966, 0.0037816950456143208, 0.0, 0.0], [0.31173339031353603, 0.0, 0.006216491438482455, 0.0, 0.0043749640973588366, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0058077429535269435, 0.0], [0.0, 0.04763509851815983, 0.0, 0.07515155598285936, 0.14629848137468243, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.03878849741257283, 0.6160228759060299, 0.0], [0.0, 0.0, 0.0, 0.0, 0.011554243056621899, 0.012151172883932755, 0.007029694742303491]]","[[0.4736903875195515, 0.21448253388328137, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.09656465950672188, 0.0, 0.0, 0.0], [0.18406096291441723, 0.0, 0.006216491438482455, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.07295558238093769, 0.0, 0.07542979237407708, 0.0618259421279516, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.46733799711647356, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016485466177493448]]"
"[[['', '', '', '', '', '', ''], ['', 'log', '', '', '', '', ''], ['', '', '', '', '', '', ''], ['sigm', '', 'sin', '**0.925', '', 'cos', ''], ['0.014', '', '', 'tanh', '', 'sin', ''], ['', '**0.049', '', '', '', '', 'cos'], ['', '', '**0.831', '', '', '', 'log']]]","[[0.0, 0.0, 0.0, 0.02164574161755651, -0.0009874863055977416, 0.0, 0.0], [0.0, 1.6349526032000434, 0.0, 0.0, 0.0, 1.362873066508073, 0.0], [0.0, 0.0, 0.0, 0.3434332758655533, 0.0, 0.0, 0.42775785630235463], [0.0, 0.0, 0.0, 1.2968652199666977, 2.1990934870849853e-05, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.8662642529822038, 1.0791411935455568, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.8592523432268312, 1.5429767843716617]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.298482150859655, 0.0, 0.0, 0.0, 0.36699721036334876, 0.0], [0.0, 0.0, 0.0075608399369013635, 0.0009565315391961469, 0.001618097580511533, 0.0, 0.051411826868171466], [0.0, 0.0, 0.0, 0.8004947257396505, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.33608367723628857, 0.45607369972410755, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.31968870712849146, 0.6687547558805005]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.298482150859655, 0.0, 0.0, 0.0, 0.3491304812526921, 0.0], [0.0, 0.0, 0.009355744939533662, 0.08265835764809411, 0.0, 0.0, 0.051411826868171466], [0.003382449122998782, 0.0, 0.0, 0.9481830075901699, 0.0, 0.0, 0.0], [0.007638308191760523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.4600377434032674, 0.6533251993368797, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.23065953345738233, 0.6687547558805005]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.298482150859655, 0.0, 0.0, 0.0, 0.36699721036334876, 0.0], [0.0, 0.0, 0.0075608399369013635, 0.0009565315391962121, 0.0016180975805114841, 0.0, 0.051411826868171466], [0.0, 0.0, 0.0, 0.8004947257396506, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.3360836772362885, 0.45607369972410755, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.31968870712849146, 0.6687547558805005]]"
"[[['', 'sigm', '', 'sin', 'cos', 'sigm', ''], ['', '', '', '', '', '', ''], ['', 'sigm', '', '', 'sin', '', ''], ['', '', '', '', '', '', ''], ['', 'tanh', 'log', '-0.149', 'log', '', ''], ['', '**0.284', '', '', 'sigm', '', ''], ['', '', '', '', '', 'log', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.028661514528452215, 0.0, 0.033204556222542765, 0.0, 0.2975823267311954, 0.951533043924259, 0.0], [0.0, 0.0, 0.0, 0.0, 1.525523776405789, 0.0, 0.0], [0.3463066698044079, 0.0, 0.0, 0.0, 0.0049370473635565815, 0.0, 0.0], [1.085112545932238, 0.0, 1.029589184459222, 0.0, 1.597548071796883, 0.3395982497569356, 0.0], [0.17687688304163593, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4697743276359774], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.008979647169306364, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.1607205706156004, 0.0], [0.0, 0.0, 0.0, 0.0, 0.20571982915304118, 0.0, 0.0], [0.0666152416440348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.6367755555903293, 0.0, 0.673790160463265, 0.0, 0.3224277776202627, 0.0, 0.0], [0.0, 0.0, 0.0, 0.001185114464919233, 0.0, 0.0, 0.37272800313356114], [0.0, 0.0, 0.0, 0.004416547838888316, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.008979647169306364, 0.0, 0.0, 0.0], [0.0, 0.00013899522219921527, 0.0, 0.0, 0.0, 0.2543276234174921, 0.0], [0.0, 0.0, 0.0, 0.0, 0.2141356199878179, 0.0, 0.0], [0.07577057392486397, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.5934376389104007, 0.0, 0.8145359481740253, 0.0, 0.321267115219788, 0.0, 0.0], [0.0, 0.0, 0.0, 0.001185114464919233, 0.0, 0.0, 0.7869474712851555], [0.0, 0.0, 0.0, 0.004416547838888316, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.008979647169306364, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.1607205706156004, 0.0], [0.0, 0.0, 0.0, 0.0, 0.2057198291530412, 0.0, 0.0], [0.06661524164403475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.6367755555903293, 0.0, 0.6737901604632651, 0.0, 0.3224277776202627, 0.0, 0.0], [0.0, 0.0, 0.0, 0.001185114464919233, 0.0, 0.0, 0.372728003133561], [0.0, 0.0, 0.0, 0.004416547838888316, 0.0, 0.0, 0.0]]"
