coefficients,di_exact,kde,knn_sqrt,knn_sqrt_2,knn_sqrt_4
"[[[-0.616833755151275, 0.0], [-0.3048466058308347, 0.0]]]","[[0.22290170841583054, 0.05301207437187453], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.17623885210322188, 0.020966629008994524], [0.0, 0.0]]","[[0.19116249571135377, 0.027994223275411987], [0.0, 0.0]]","[[0.2013954857567815, 0.05798148098172909], [0.0, 0.017143584888769017]]"
"[[[0.49478601173012493, 0.0], [0.0, -0.18390160601271716]]]","[[0.13327240600311793, 0.0], [0.0, 0.027284045638289043]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.08765846621883007, 0.0], [0.0, 0.010735162913594535]]","[[0.09847390190739824, 0.0], [0.0, 0.01063153227514609]]","[[0.12568185544805557, 0.035258121438204226], [0.0, 0.01603380091202865]]"
"[[[0.0, 0.22164103796411702], [-0.6651827786978048, 0.0]]]","[[0.0, 0.22237604908261172], [0.04673525276201295, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.18338609102101033], [0.04604684144536835, 0.0]]","[[0.0, 0.19083885642380927], [0.07408916679675974, 0.001597869417965721]]","[[0.0, 0.1854678157149315], [0.07024510821152805, 0.03746280123368617]]"
"[[[0.5391407553262485, 0.0], [0.0, 0.0]]]","[[0.1603449725871026, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.1242110864875306, 0.0], [0.0, 0.0]]","[[0.12762255012964022, 0.0036165228904665773], [0.0, 0.0]]","[[0.19731861582258797, 0.0360810573826894], [0.027339316814872238, 0.0]]"
"[[[0.3146953753115528, 0.0], [-0.6004699609010264, 0.0]]]","[[0.036999547776808105, 0.1829674625355501], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.019537012611138493, 0.15171130507592484], [0.0, 0.0]]","[[0.03915187883205861, 0.15889946869313587], [0.0, 0.0]]","[[0.009496770219629528, 0.16703704273699216], [0.0, 0.0]]"
"[[[0.0, 0.0], [0.0, -0.7074659933168325]]]","[[0.0, 0.0], [0.0, 0.41273553894073867]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.38315072197440064]]","[[0.0, 0.0], [0.0, 0.37457675927417994]]","[[0.0, 0.0], [0.0, 0.3260938661306789]]"
"[[[0.0, 0.0], [0.0, -0.25287112889986413]]]","[[0.0, 0.0], [0.0, 0.02884971425935272]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.022527816389783517], [0.02454793729207789, 0.07276178285291011]]","[[0.06916041243572692, 0.04343063525710858], [0.013950728771239176, 0.057440400729842085]]"
"[[[0.0, 0.0], [0.0, 0.428254884031741]]]","[[0.0, 0.0], [0.0, 0.10858624933453342]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.09077870140901263]]","[[0.0, 0.018011252522537182], [0.02458604130021776, 0.1348679799470252]]","[[0.0, 0.05956076838549933], [9.952229199353116e-05, 0.15325699683340227]]"
"[[[0.0, 1.0826277715154127], [0.0, 0.19279976611119956]]]","[[0.0, 0.0], [0.39829599475644883, 0.01958928547930138]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.3590397292237188, 0.002811869437391351]]","[[0.0, 0.01204026668717195], [0.3672273548383983, 0.011858452040536259]]","[[0.006691256403158974, 0.03202802850425381], [0.4320263601693852, 0.027413953461820323]]"
"[[[-0.5075856083916012, 0.0], [0.0, 0.0]]]","[[0.14314013596791206, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.12480752045946296, 0.0], [0.0, 0.0]]","[[0.1593759574729701, 0.0005000866404223287], [0.0, 0.0]]","[[0.21545642967271705, 0.026604970447367187], [0.0386839011424989, 0.01737532214243854]]"
"[[[0.0, -0.8725098696265927], [0.0, -0.4304534051471277]]]","[[0.0, 0.0], [0.3267180049028894, 0.10166562671925033]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.246331186124019, 0.04937273189630435]]","[[0.0, 0.0012213845206268156], [0.2760531269030973, 0.06803196662100053]]","[[0.043838890874146635, 0.06475509180719331], [0.2861698246337707, 0.09207929031422941]]"
"[[[0.0, 0.4592025831019274], [0.0, 0.2090435917828495]]]","[[0.0, 0.0], [0.09481791263748496, 0.017974379297693417]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0625936800524199, 0.004346898790009003]]","[[0.02287483475682253, 0.044744283952891484], [0.08599336267500755, 0.023173918855281903]]","[[0.006074094403648504, 0.0], [0.06621342098255042, 0.016640205128890646]]"
"[[[0.0, 0.0], [0.0, -0.17671527694418201]]]","[[0.0, 0.0], [0.0, 0.009209731124841775]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.002818602825694567], [0.0, 0.0]]","[[0.019727143179350672, 0.001322859856547525], [0.0024935244966055896, 0.03701452660779569]]"
"[[[-0.7583640096693512, 0.0], [0.0, 0.0]]]","[[0.38751172609077567, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.3659623714478467, 0.0], [0.0, 0.0]]","[[0.4044716366360847, 0.03640987165936232], [0.0, 0.01453073295148708]]","[[0.38030835553685827, 0.03525146524346108], [0.0007966737228053917, 0.03525582414626768]]"
"[[[0.0, 0.0], [0.0, 0.4313355663838108]]]","[[0.0, 0.0], [0.0, 0.11096857343159382]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0799547701242726]]","[[0.007845364919591707, 0.02550875612563679], [0.0, 0.08084755522339424]]","[[0.029709763945729484, 0.04106548814730266], [0.015857292058484164, 0.0859300089428558]]"
"[[[0.0, -0.31268262019384657], [0.0, 0.3603289722604541]]]","[[0.0, 0.0], [0.03927249571728902, 0.07501557711103517]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.023502125466314975, 0.043393868406547825]]","[[0.0, 0.0], [0.04930335174300957, 0.056870818835048964]]","[[0.0070830040343046324, 0.038384074731533616], [0.08131219586727755, 0.07993396644485092]]"
"[[[0.0, 1.283029881869877], [-0.5396027023920947, 0.0]]]","[[0.0, 0.39134221910172146], [0.7220166936412755, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.3600002962669959], [0.604269769813362, 0.0]]","[[0.0, 0.3765431114426422], [0.6803434105373434, 0.0]]","[[0.0, 0.37870785403748375], [0.7369622166498969, 0.0]]"
"[[[0.0, 0.0], [0.0, -0.5163603437225954]]]","[[0.0, 0.0], [0.0, 0.15166422306127744]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.12362864320058181]]","[[0.00896928794129248, 0.0], [0.0, 0.13710472760752238]]","[[0.01167559138067797, 0.04381609221157869], [0.0, 0.1611291624989027]]"
"[[[0.2776000776252117, 0.0], [1.8653019210189257, 0.0]]]","[[0.04575373414773815, 0.7995116334594381], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.022155947670705986, 0.5406193299040936], [0.0, 0.0]]","[[0.0357774205394426, 0.6546215323386226], [0.0, 0.0]]","[[0.04912404916584396, 0.7573136475602471], [0.0, 0.0]]"
"[[[0.7697194670577403, 0.0], [0.0, 0.0]]]","[[0.39021399989062644, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.35086719046206283, 0.0], [0.0, 0.0]]","[[0.3852792781969534, 0.0], [0.0, 0.0]]","[[0.3933521895015942, 0.0], [0.0, 0.0]]"
"[[[0.49325319309631843, 0.0], [0.0, 0.0]]]","[[0.11720748546773567, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.09821977745862556, 0.0], [0.0, 0.0]]","[[0.09538031809137883, 0.0], [0.0003107867030489653, 0.0]]","[[0.08966248417664487, 0.0], [0.0, 0.0]]"
"[[[-0.49832015245140016, 0.0], [0.0, 0.0]]]","[[0.13822623361728356, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.10975604627087754, 0.0], [0.0, 0.0]]","[[0.15292614676925217, 0.0], [0.009850771845431464, 0.0]]","[[0.13629989431979245, 0.0], [0.03745034883784765, 0.03367083484670596]]"
"[[[0.0, -1.5528401885295071], [0.0, 0.2738728310600735]]]","[[0.0, 0.0], [0.6700201228720392, 0.0462234983363367]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.5231453995860882, 0.018040442657226863]]","[[0.0, 0.005061464418816925], [0.6150780933672877, 0.03440552681856427]]","[[0.0, 0.007879702377169192], [0.6362944469642284, 0.06881294772163613]]"
"[[[-0.46383778065510073, 0.0], [0.0, 0.0]]]","[[0.09019856354619935, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.07405385718540988, 0.0], [0.0, 0.0]]","[[0.07399907806912524, 0.0], [0.0, 0.0]]","[[0.07844323617944238, 0.03355915317894983], [0.0, 0.0]]"
"[[[0.0, 0.0], [0.0, -0.293385617800975]]]","[[0.0, 0.0], [0.0, 0.05848283930842479]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.028521806049429617]]","[[0.0, 0.0], [0.0, 0.02233536965670937]]","[[0.017563006098415934, 0.0], [0.004695792037277449, 0.04260296027957556]]"
"[[[0.15180022254563297, 0.0], [2.6192593034098794, 0.0]]]","[[0.016422752254627155, 1.0239585407928833], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.631468669087774], [0.0, 0.0]]","[[0.01647074430396821, 0.8012953609883509], [0.007310012097501515, 0.0]]","[[0.014621559255416467, 0.9153609578782393], [0.03783463026682216, 0.0]]"
"[[[-0.8825333708523501, 0.0], [0.0, 0.0]]]","[[0.6606854796570056, 0.0], [0.0, 0.0]]","[[0.06055547577092885, 0.0], [0.0, 0.0]]","[[0.618599584027639, 0.0], [0.0, 0.0]]","[[0.6591770079947916, 0.0], [0.0, 0.0]]","[[0.6517918414840262, 0.0], [0.00708036663217398, 0.00988642556571208]]"
"[[[0.0, 0.0], [0.0, -0.13679761441261354]]]","[[0.0, 0.0], [0.0, 0.0035248686981274755]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.004477468223993338, 0.0]]","[[0.001032250092241687, 0.009587529727775207], [0.0, 0.0]]","[[0.0, 0.0], [0.009877759705971467, 0.0]]"
