coefficients,di_exact,knn_subset_cor,knn_subset_mi,knn_subset_pc
"[[['cos', '**0.777', ''], ['log', '', '-0.783'], ['', '', '']]]","[[0.7870921516111924, 1.484335412297832, 0.0], [1.4075986466585495, 0.0, 0.0], [0.0, 0.1995062284331598, 0.0]]","[[0.437945950749736, 0.7346158276639114, 0.0], [1.1137393012387518, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.437945950749736, 0.7485204435536772, 0.0], [1.1137393012387518, 0.0, 0.0], [0.0, 0.0, 0.015962512849815504]]","[[0.437945950749736, 0.7346158276639114, 0.0], [1.1137393012387518, 0.0, 0.0], [0.0, 0.0, 0.0]]"
"[[['', '', ''], ['', 'tanh', ''], ['tanh', '', 'cos']]]","[[0.0, 0.0, 0.3156509453223733], [0.0, 0.6412519511627515, 0.0], [0.0, 0.0, 0.3365765772305386]]","[[0.0, 0.0, 0.2977740145803238], [0.0030749685483832698, 0.6271702174588889, 0.0], [0.0, 0.0, 0.27799027837083845]]","[[0.0, 0.0, 0.2977740145803238], [0.0030749685483832698, 0.6106855492784353, 0.0], [0.0, 0.0, 0.27799027837083845]]","[[0.0, 0.0, 0.2977740145803238], [0.0030749685483832698, 0.6271702174588889, 0.0], [0.0, 0.0, 0.27799027837083845]]"
"[[['', 'log', ''], ['', '', ''], ['', '', '']]]","[[0.0, 0.0, 0.0], [1.4959679833866566, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.007781659791101079, 0.0], [0.12750227821432922, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.007781659791101079, 0.0], [0.20986785353363965, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.007781659791101079, 0.0], [0.12750227821432922, 0.0, 0.0], [0.0, 0.0, 0.0]]"
"[[['sigm', 'sigm', ''], ['', 'log', 'sin'], ['', '', 'sigm']]]","[[0.03274353658792864, 0.0, 0.0], [0.29676352210461465, 1.595943489087926, 0.0], [0.0, 0.2552258291998427, 0.013759889887584422]]","[[0.014635868328797787, 0.0, 0.0], [0.26011705972111204, 0.9308513306944094, 0.0], [0.0, 0.008125880074583395, 0.0]]","[[0.014635868328797787, 0.0, 0.0], [0.26011705972111204, 1.067712667457109, 0.0], [0.0, 0.040208467247940916, 0.0]]","[[0.014635868328797787, 0.0, 0.0], [0.26011705972111204, 0.9308513306944092, 0.0], [0.0, 0.008125880074583395, 0.0]]"
"[[['-0.114', '', ''], ['', 'log', 'tanh'], ['sin', '', '']]]","[[0.009024098410609251, 0.0, 0.3039012506418516], [0.0, 1.6064764230538962, 0.0], [0.0, 0.4658539968801889, 0.0]]","[[0.0, 0.0, 0.27042037676188024], [0.0, 1.0487306569871337, 0.0], [0.017047831489223137, 0.17221740307949193, 0.00852329927665729]]","[[0.0, 0.0, 0.27042037676188024], [0.0, 1.0487306569871337, 0.0], [0.017047831489223137, 0.17221740307949193, 0.00852329927665729]]","[[0.0, 0.0, 0.27042037676188024], [0.0, 1.0487306569871337, 0.0], [0.017047831489223137, 0.17221740307949193, 0.00852329927665729]]"
"[[['', '', ''], ['', '', ''], ['', '**0.777', '']]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.4476141360305928], [0.0, 0.0, 0.0]]","[[0.0, 0.004783141233398796, 0.0], [0.026484662265610335, 0.0, 0.38443298690499855], [0.029493930979304733, 0.003374823198301896, 0.0]]","[[0.0, 0.004783141233398796, 0.0], [0.026484662265610335, 0.0, 0.4293407157072274], [0.029493930979304733, 0.003374823198301896, 0.0]]","[[0.0, 0.004783141233398796, 0.0], [0.026484662265610335, 0.0, 0.38443298690499855], [0.029493930979304733, 0.003374823198301896, 0.0]]"
"[[['tanh', '', '0.136'], ['', '', 'tanh'], ['', 'log', '']]]","[[0.5055424697918254, 0.0, 0.0], [0.0, 0.0, 1.4054282147980595], [0.13256893579045897, 0.6743938343943043, 0.0]]","[[0.34684763435076227, 0.0, 0.0], [0.0, 0.0, 0.5628481098512456], [0.011203833624073053, 0.5535932241073332, 0.0]]","[[0.42175072632164934, 0.0, 0.0], [0.0, 0.0, 0.7308473893206913], [0.060043454700333204, 0.642404164224, 0.0]]","[[0.34684763435076216, 0.0, 0.0], [0.0, 0.0, 0.5628481098512456], [0.011203833624073053, 0.5535932241073332, 0.0]]"
"[[['**0.366', 'sin', ''], ['tanh', '', ''], ['', '', '']]]","[[0.01952106477434992, 0.004377667964992531, 0.0], [0.14596021461344702, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.05258863629588637, 0.017241682784679222], [0.10447936467499055, 0.027880333834736135, 0.0], [0.0, 0.0, 0.0003788931733781394]]","[[0.008139234383022147, 0.05258863629588637, 0.0], [0.13458490286986716, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.05258863629588637, 0.017241682784679222], [0.10447936467499055, 0.027880333834736135, 0.0], [0.0, 0.0, 0.0003788931733781394]]"
"[[['', '', 'sin'], ['', '', '**0.369'], ['log', '', '']]]","[[0.0, 0.0, 1.4379613977391459], [0.0, 0.0, 0.0], [0.7796810232944891, 1.0437586117324222, 0.0]]","[[0.0, 0.0, 0.4233280465475274], [0.0, 0.0, 0.0], [0.688864574555591, 0.7204438062417317, 0.0]]","[[0.0, 0.0, 0.4233280465475274], [0.0, 0.0, 0.0], [0.688864574555591, 0.767620102879845, 0.0]]","[[0.0, 0.0, 0.4233280465475274], [0.0, 0.0, 0.0], [0.688864574555591, 0.7204438062417317, 0.0]]"
"[[['', '', ''], ['', '', ''], ['sin', 'tanh', '']]]","[[0.0, 0.0, 0.3038516048371215], [0.0, 0.0, 0.2914399613520093], [0.0, 0.0, 0.0]]","[[0.009615377570028717, 0.0, 0.25571798381011585], [0.0, 0.0, 0.22057838931382506], [0.0, 0.0014030946603016538, 0.0]]","[[0.004964578706050102, 0.003907344665727056, 0.25571798381011585], [0.0, 0.0, 0.22057838931382506], [0.0, 0.0014030946603016538, 0.0]]","[[0.009615377570028717, 0.0, 0.25571798381011585], [0.0, 0.0, 0.22057838931382506], [0.0, 0.0014030946603016538, 0.0]]"
"[[['tanh', '', 'tanh'], ['', '', ''], ['tanh', '', '']]]","[[0.014275602231092425, 0.0, 0.02832616039443726], [0.0, 0.0, 0.0], [0.12741646373459714, 0.0, 0.0]]","[[0.010956089241093092, 0.013511503279676674, 0.028916191422250954], [0.0, 0.0, 0.0], [0.10554584834121249, 0.004357060352136264, 0.0013361697432201823]]","[[0.010956089241093092, 0.013511503279676674, 0.028916191422250954], [0.0, 0.0, 0.0], [0.10554584834121249, 0.004357060352136264, 0.0013361697432201823]]","[[0.010956089241093092, 0.013511503279676674, 0.028916191422250954], [0.0, 0.0, 0.0], [0.10554584834121249, 0.004357060352136264, 0.0013361697432201823]]"
"[[['tanh', '**0.951', ''], ['', '-0.230', ''], ['**0.838', '', '-0.398']]]","[[0.7776320181703423, 0.0, 0.9878570650909698], [0.42283013395342306, 0.024767778303765454, 0.0], [0.0, 0.0, 0.3111616878001121]]","[[0.4431746892892071, 0.0, 0.6577584485150995], [0.2858957025923585, 0.009112257953936175, 0.0], [0.0, 0.0, 0.10377541945232338]]","[[0.4431746892892071, 0.0, 0.7178391743127167], [0.2858957025923585, 0.009112257953936175, 0.0], [0.0, 0.0, 0.13679051945143753]]","[[0.44317468928920706, 0.0, 0.6577584485150995], [0.2858957025923585, 0.009112257953936175, 0.0], [0.0, 0.0, 0.10377541945232337]]"
"[[['', '', 'tanh'], ['', '', 'sigm'], ['', '', '']]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.31422188282518704, 0.03458473041370286, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.019787323832004235, 0.017982309295144154], [0.316235879466263, 0.0490125216304139, 0.0]]","[[0.0, 0.032607613845541984, 0.0], [0.0, 0.0, 0.017982309295144154], [0.24355755169506346, 0.0490125216304139, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.019787323832004235, 0.017982309295144154], [0.316235879466263, 0.0490125216304139, 0.0]]"
"[[['', '', 'log'], ['', 'cos', ''], ['sigm', '', '']]]","[[0.0, 0.0, 0.11488779541122056], [0.0, 0.2730502035173218, 0.0], [1.4772012094318614, 0.0, 0.0]]","[[0.0, 0.0, 0.04419355061535776], [0.0, 0.24762555170558204, 0.0], [0.42267251512292664, 0.002051730062189067, 0.0]]","[[0.0, 0.0, 0.08749198705515676], [0.0, 0.24762555170558204, 0.0], [0.42267251512292664, 0.002051730062189067, 0.0]]","[[0.0, 0.0, 0.04419355061535776], [0.0, 0.24762555170558204, 0.0], [0.42267251512292664, 0.002051730062189067, 0.0]]"
