coefficients_t100,di_exact_t100,kde_exp_t100,kde_gaus_t100,knn_sqrt_t100,knn_sqrt_2_t100,knn_sqrt_4_t100,coefficients_t250,di_exact_t250,kde_exp_t250,kde_gaus_t250,knn_sqrt_t250,knn_sqrt_2_t250,knn_sqrt_4_t250,coefficients_t500,di_exact_t500,kde_exp_t500,kde_gaus_t500,knn_sqrt_t500,knn_sqrt_2_t500,knn_sqrt_4_t500,coefficients_t1000,di_exact_t1000,kde_exp_t1000,kde_gaus_t1000,knn_sqrt_t1000,knn_sqrt_2_t1000,knn_sqrt_4_t1000,coefficients_t2500,di_exact_t2500,kde_exp_t2500,kde_gaus_t2500,knn_sqrt_t2500,knn_sqrt_2_t2500,knn_sqrt_4_t2500,coefficients_t5000,di_exact_t5000,kde_exp_t5000,kde_gaus_t5000,knn_sqrt_t5000,knn_sqrt_2_t5000,knn_sqrt_4_t5000,coefficients_t10000,di_exact_t10000,kde_exp_t10000,kde_gaus_t10000,knn_sqrt_t10000,knn_sqrt_2_t10000,knn_sqrt_4_t10000
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.08648427053395298, 0.0], [0.0, 0.0]]","[[0.1369532613546892, 0.0], [0.0, 0.0]]","[[['', ''], ['-0.706', '']]]","[[0.0, 0.23537812119967952], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.17668219954638295], [0.016950955771363668, 0.0]]","[[0.0, 0.15781628472750414], [0.024919230452599583, 0.0]]","[[0.0, 0.3390607308589986], [0.046109037250056, 0.10668510100881029]]","[[['', ''], ['', 'cos']]]","[[0.0, 0.0], [0.0, 0.2585871953173223]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.23349174373691367]]","[[0.0, 0.0], [0.0, 0.23402136524741216]]","[[0.056248609717687026, 0.0], [0.0419746351695488, 0.2883316426359405]]","[[['log', ''], ['', '**0.138']]]","[[1.599900205945915, 0.0], [0.0, 0.013268678793183199]]","[[0.4895235485491643, 0.0], [0.0, 0.0]]","[[0.760775667508737, 0.0], [0.0, 0.0]]","[[1.038644214505133, 0.0], [0.0, 0.0]]","[[1.1827007373714966, 0.01640741397496267], [0.0, 0.0]]","[[1.2863319791603156, 0.06138327876485104], [0.0, 0.05898994558213107]]","[[['sin', ''], ['', '']]]","[[0.8070261721351735, 0.0], [0.0, 0.0]]","[[0.21857535578460963, 0.0], [0.0, 0.0]]","[[0.49284079026434957, 0.0], [0.0, 0.0]]","[[0.7904806573967466, 0.0], [0.0, 0.0]]","[[0.8028396350055869, 0.0], [0.015437318273543148, 0.01670651850659267]]","[[0.811407474061599, 0.015331775040212303], [0.03851395331889811, 0.0447684871623956]]","[[['', 'sin'], ['', '']]]","[[0.0, 0.0], [0.3303571749121324, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.05986211323355137, 0.0]]","[[0.0, 0.0025381665462258516], [0.31550062072668056, 0.0032143649081246848]]","[[0.0, 0.010788455854966407], [0.3300237078996233, 0.008580631250667591]]","[[0.006890238521254367, 0.01169661861861654], [0.3421338238257499, 0.016151045338253445]]","[[['', 'sigm'], ['**0.941', '']]]","[[0.0, 0.3525633673848377], [0.04845984103250276, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.11346462679688761], [0.0, 0.0]]","[[0.006860899619924331, 0.34960426649564924], [0.05514180482785388, 0.0]]","[[0.012724643427771413, 0.36191230070647484], [0.06443893840009145, 0.00982527629922951]]","[[0.024780870851428993, 0.36878581253695486], [0.07324367832563337, 0.016277401032210516]]"
"[[['tanh', ''], ['', '']]]","[[0.5942285641209282, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.13315991157022966, 0.0], [0.0, 0.0]]","[[0.4613497927095858, 0.0], [0.0, 0.024868961124895006]]","[[0.37587805538486857, 0.0], [0.0, 0.06577602639654513]]","[[0.3768959105752599, 0.020655187309574382], [0.020724391612010173, 0.1307599058907899]]","[[['log', ''], ['**0.697', '']]]","[[1.800035252726806, 1.4556981188703617], [0.0, 0.0]]","[[0.16748680571848198, 0.15794991375025916], [0.0, 0.0]]","[[0.4438610572978906, 0.4160857938910148], [0.0, 0.0]]","[[0.3580015493440812, 0.4687650613735702], [0.0, 0.0]]","[[0.48638183497611487, 0.5786917535611474], [0.0, 0.0]]","[[0.6796683802518787, 0.6322474800388637], [0.0, 0.003508003652832594]]","[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.016803725461928255], [0.00887069840805435, 0.02915231645678008]]","[[0.0, 0.010880288013367882], [0.03318988649458405, 0.05074377891983764]]","[[['log', ''], ['', '']]]","[[1.6290008648527476, 0.0], [0.0, 0.0]]","[[0.4847724141488831, 0.0], [0.0, 0.0]]","[[0.7576511063037729, 0.0], [0.0, 0.0]]","[[1.050720458962975, 0.0], [0.0, 0.0]]","[[1.195224160026003, 0.009276875319410228], [0.0, 0.0]]","[[1.29121397700865, 0.04342282027406096], [0.0, 0.0]]","[[['cos', ''], ['**0.022', '']]]","[[0.23994217647877636, 0.27782609600815655], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.03333662214223947, 0.0], [0.0, 0.0]]","[[0.22614143005358994, 0.009606967709690812], [0.0, 0.0]]","[[0.25170940905390404, 0.03855116539004042], [0.0010779629999379222, 0.0]]","[[0.28248154559009336, 0.07592527939962777], [0.016257783507691737, 0.0016007306094753722]]","[[['', 'sigm'], ['**0.494', '']]]","[[0.0, 0.19337127372813154], [0.035096439544478164, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.17489964064239083], [0.03769960009669895, 0.0]]","[[0.0011934360116046692, 0.1809532771214953], [0.044935933803596, 0.0026289814988065194]]","[[0.013549895416281297, 0.19121419231907172], [0.04742171367726719, 0.005572162083824262]]","[[['', 'tanh'], ['-0.974', '']]]","[[0.0, 0.8127844933739308], [0.7310845967044387, 0.0]]","[[0.0, 0.26089652248529666], [0.2367725390315297, 0.0]]","[[0.0, 0.571787319607356], [0.525434917946936, 0.0]]","[[0.0, 0.795733895158354], [0.7139373838353382, 0.0]]","[[0.006814743361783536, 0.8138362330574547], [0.7317123825805204, 0.0]]","[[0.015422410477978803, 0.8211603234211438], [0.7376145219379342, 0.011899074804827301]]"
"[[['', ''], ['', 'sigm']]]","[[0.0, 0.0], [0.0, 0.01362577284184167]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.031860772266919905, 0.05086427764246385], [0.0, 0.0]]","[[0.22602250566931611, 0.2486437429800306], [0.0884093751661033, 0.10752464066643513]]","[[['', '**0.134'], ['', '']]]","[[0.0, 0.0], [1.2136738732275894, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.05245549741826373, 0.0]]","[[0.0, 0.0], [0.3425885426928822, 0.0]]","[[0.0, 0.0], [0.48769754818381783, 0.0]]","[[0.0, 0.0], [0.5791168492315419, 0.0]]","[[['', 'sin'], ['', 'log']]]","[[0.0, 0.0], [1.003941677395622, 1.5740492309502931]]","[[0.0, 0.0], [0.15596845920719113, 0.24213468172591318]]","[[0.0, 0.0], [0.4328628343419109, 0.5110004885597376]]","[[0.0, 0.0], [0.56869868496979, 0.5437170334044921]]","[[0.0, 0.0], [0.6773232710291649, 0.8075855549563361]]","[[0.0, 0.0], [0.6489227948994857, 0.9226458708852588]]","[[['', ''], ['', 'log']]]","[[0.0, 0.0], [0.0, 1.5725973293882398]]","[[0.0, 0.0], [0.0, 0.4708042305329559]]","[[0.0, 0.0], [0.0, 0.7336882603361332]]","[[0.0, 0.0], [0.0, 1.0152474315184303]]","[[0.0, 0.0], [0.0, 1.1549983014566005]]","[[0.026022140571515574, 0.0], [0.0, 1.291042928075896]]","[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0008682835663222564], [0.0018934861474339804, 0.010545093327089963]]","[[0.0, 0.0], [0.0, 0.0]]","[[['', ''], ['', 'sigm']]]","[[0.0, 0.0], [0.0, 0.0248057780630889]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.000821489184312708, 0.0010999159066971108], [0.0, 0.024291845791361313]]","[[0.014440084222356523, 0.005704042778683958], [0.0075563779653807775, 0.03578928513570933]]","[[0.008008794745503473, 0.0051654798532124345], [0.0071563516922729786, 0.03666911938485857]]","[[['sigm', ''], ['', '']]]","[[0.028422609224011713, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.03532501454611651, 0.006540169551778289], [0.004483707257059889, 0.003440038115523824]]","[[0.040375378339189964, 0.012454199605840132], [0.007486159852919964, 0.007608761490110306]]","[[0.03515495399874015, 0.005794641520185086], [0.009149934095690976, 0.006960629029328724]]"
"[[['', 'cos'], ['', '']]]","[[0.0, 0.0], [0.010343372315848243, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.004857455226909094, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[['log', ''], ['', '']]]","[[1.5445912773005923, 0.0], [0.0, 0.0]]","[[0.36691597855045527, 0.0], [0.0, 0.0]]","[[0.598871865552268, 0.0], [0.0, 0.0]]","[[0.8496863265932072, 0.0], [0.0, 0.0]]","[[0.9785962349894632, 0.0], [0.0, 0.0]]","[[1.130332739725812, 0.04370569545638698], [0.0, 0.025965435926371575]]","[[['', ''], ['tanh', '']]]","[[0.0, 0.28812196430526377], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0034271486451355874, 0.23547703566934022], [0.0, 0.0]]","[[0.0, 0.23334040211273904], [0.0013334272487570348, 0.0]]","[[0.0, 0.2565739659345305], [0.0, 0.0]]","[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.001755959908545209]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[['', 'sigm'], ['', '']]]","[[0.0, 0.0], [0.024332178457336456, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.02723657897180311, 0.0]]","[[0.014777151570939541, 0.004196152720163258], [0.048390621536777485, 0.00015722778901642245]]","[[0.019261376126940212, 0.0], [0.055967631878309616, 0.0005079931373684716]]","[[['sigm', ''], ['0.029', '']]]","[[0.029927959759525738, 0.00042170621206334734], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.03132115251686944, 0.0], [0.00552688798037158, 0.0]]","[[0.03403498720764724, 0.011825733138664267], [0.011413260953433459, 0.018693216861936708]]","[[0.03692632118061335, 0.02127557795127386], [0.012299187086054606, 0.02465717029229027]]","[[['', ''], ['', 'tanh']]]","[[0.0, 0.0], [0.0, 0.6591675725398913]]","[[0.0, 0.0], [0.0, 0.1760464423324442]]","[[0.0, 0.0], [0.0, 0.4442676226544332]]","[[0.0, 0.0], [0.00464409509171917, 0.6518394056413064]]","[[0.004370410456034165, 0.0034863350475846065], [0.008651053444398022, 0.6584413728789801]]","[[0.008494494583992962, 0.00942912534777242], [0.00985262381202246, 0.6616270406898749]]"
"[[['-0.166', ''], ['', '']]]","[[0.018734192658435993, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0486104791376593, 0.056029001966000844], [0.0, 0.0]]","[[0.0, 0.00874961632816488], [0.04391861682910904, 0.10477783146023681]]","[[['tanh', ''], ['', '']]]","[[0.6051044306977148, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.15994312475261316, 0.0], [0.0, 0.0]]","[[0.4974525971801597, 0.0], [0.0, 0.0]]","[[0.6203429597524953, 0.013338730365526531], [0.004279947658779031, 0.0]]","[[0.6182247751720296, 0.0], [0.0, 0.0]]","[[['', 'sin'], ['cos', '']]]","[[0.0, 0.24232336796931547], [0.32203464210305005, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.017405507163927508, 0.0]]","[[0.0, 0.19486027891364174], [0.24231095814577328, 0.0]]","[[0.019101459383673552, 0.24309121374598816], [0.2720359001228053, 0.0]]","[[0.0, 0.14080067077576564], [0.2735595932334258, 0.0]]","[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.003117251520584267]]","[[0.0, 0.0], [0.0, 0.0]]","[[['cos', ''], ['', '']]]","[[0.2334479744595244, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.019257754692872546, 0.0], [0.0, 0.0]]","[[0.2187835424525532, 0.0019314782671991627], [0.0, 0.009375549119039721]]","[[0.22423032091698075, 4.026529956205642e-05], [0.012735067400886238, 0.018523191079389347]]","[[0.24002908797112021, 0.0], [0.03426954816656721, 0.026789105430147744]]","[[['tanh', ''], ['', '']]]","[[0.6648237050366063, 0.0], [0.0, 0.0]]","[[0.1458782552712514, 0.0], [0.0, 0.0]]","[[0.41144615804794377, 0.0], [0.0, 0.0]]","[[0.6510452912562122, 0.0024288181198974346], [0.0, 0.0]]","[[0.6686625618732305, 0.006864610026383954], [0.005623100318879733, 0.0024532758582230087]]","[[0.6778611604412877, 0.01949629688179181], [0.015871139478636623, 0.017126532310339643]]","[[['', '**0.527'], ['', '']]]","[[0.0, 0.0], [0.6891033305881046, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.24114036040706888, 0.0]]","[[0.0, 0.004499561638898403], [0.6309877866401756, 0.00014263361359212462]]","[[0.0, 0.010915398215265064], [0.6593488408012985, 0.008935456601901919]]","[[0.01496197911396944, 0.021006143395552526], [0.6709787078448036, 0.009912777841489527]]"
"[[['sigm', ''], ['', 'cos']]]","[[0.0033275211769234216, 0.0], [0.0, 0.25621151767858763]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.1862651825590162]]","[[0.0, 0.0], [0.0, 0.11956947875493922]]","[[0.010878359702210887, 0.0], [0.0, 0.0]]","[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.00023986791541682448]]","[[0.09940659222696412, 0.08717751568890716], [0.1615406948811835, 0.11694169007019214]]","[[['sigm', ''], ['log', '']]]","[[0.02986922701730922, 0.7052342142977914], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.04855005630360576], [0.0, 0.0]]","[[0.0, 0.39430006724924865], [0.0, 0.0]]","[[0.012972875084989718, 0.48300866450250524], [0.0, 0.0]]","[[0.03571058579171531, 0.5224273561541437], [0.0013587160158338152, 0.0]]","[[['', ''], ['', 'sin']]]","[[0.0, 0.0], [0.0, 0.8091646143597974]]","[[0.0, 0.0], [0.0, 0.1799464044655406]]","[[0.0, 0.0], [0.0, 0.4378145061762455]]","[[0.0, 0.0], [0.0, 0.7309978464094669]]","[[0.013351873944738501, 0.00935941536460854], [0.008148861904729281, 0.8044087567532038]]","[[0.061407424105799045, 0.06050996140882393], [0.04472895497520929, 0.8593621838674289]]","[[['', 'sin'], ['', '**0.112']]]","[[0.0, 0.0], [0.12708806219691318, 0.005362600055184312]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.11834504195865622, 0.0023473450608931445]]","[[0.008367077181747881, 0.008267339560554346], [0.1270034700233172, 0.014041453259269717]]","[[0.03380846566175139, 0.039619560426803875], [0.14218800268360818, 0.041532713298493465]]","[[['sigm', ''], ['', '']]]","[[0.022433678957333385, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.021877818671767493, 0.0015015504446980106], [0.0, 0.0002913822438674612]]","[[0.032950665224501886, 0.01195717849299721], [0.006751777358813125, 0.010535415327727761]]","[[0.031206489310331546, 0.022671174770060143], [0.016109478243900386, 0.017577164913886566]]","[[['', ''], ['0.085', '']]]","[[0.0, 0.003021071079579034], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.007621305012905654, 0.014350166161964294], [0.008473299484515723, 0.010780597068280794]]","[[0.010842225754918259, 0.01716408868566746], [0.009972004982229185, 0.014162535105511095]]","[[0.010664561766052632, 0.013963857952616164], [0.014609986861807521, 0.012208561538340832]]"
"[[['', ''], ['cos', '']]]","[[0.0, -0.0001753540341503465], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.009591434990137713]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.07319405327897655, 0.014736033209309567]]","[[['sigm', ''], ['0.166', '']]]","[[0.014028631789690278, 0.004162413955664546], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.009613011757203497, 0.03809783781933442], [0.020327666393099807, 0.059899204363813865]]","[[0.046880824497870906, 0.07575148235396267], [0.05457498532066733, 0.05985388946243324]]","[[0.05468691702800284, 0.0], [0.020420172073380354, 0.0]]","[[['', ''], ['', 'sigm']]]","[[0.0, 0.0], [0.0, 0.00602971611333571]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.014008895564761736]]","[[0.0, 0.0], [0.0, 0.0]]","[[['', ''], ['sigm', '']]]","[[0.0, 0.03270671807824404], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.01879273122058362], [0.0, 0.0]]","[[0.016559547768989602, 0.04258497634202928], [0.0, 0.010012248032530998]]","[[0.0, 0.0], [0.0, 0.0028622566986632333]]","[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.010026133099310547, 0.008353202318218162], [0.021933515674888104, 0.01180114747269517]]","[[0.028690727038888548, 0.01567163434345048], [0.021552185398072413, 0.012737300594832619]]","[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0002342301681922364, 0.0], [0.0, 0.0]]","[[0.01149658163395789, 0.00971908305983871], [0.008494306824645149, 0.0061380797889383]]","[[0.008572887290835728, 0.01078935201385843], [0.004133194616777161, 0.007500033031516292]]","[[['0.388', ''], ['', '']]]","[[0.0840828721747476, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.08958431776306819, 0.008360026373500981], [0.0035373985241664214, 0.005147556089504123]]","[[0.09127415730777866, 0.008359687085297655], [0.005698443014613157, 0.007658553694843622]]","[[0.09336013505974403, 0.007444857826376199], [0.01311038724295067, 0.0122148558765741]]"
"[[['', 'cos'], ['', '']]]","[[0.0, 0.0], [0.010047242678160614, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.002482238039981481, 0.03555674386182973], [0.07707510060674988, 0.021691241074854782]]","[[0.18459497197498204, 0.37236523604066], [0.2565888593748378, 0.567928198606171]]","[[['tanh', ''], ['', '-0.701']]]","[[0.5142916327774387, 0.0], [0.0, 0.2952247586007791]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.11853532258448425, 0.0], [0.0, 0.0]]","[[0.4321245545218418, 0.0], [0.0, 0.21123788184374437]]","[[0.381982905909602, 0.0], [0.0, 0.21017435102205478]]","[[0.4538135935170928, 0.0], [0.08212109372352112, 0.3044543637594739]]","[[['', 'sin'], ['', '']]]","[[0.0, 0.0], [0.2977122672687627, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.23830501015438055, 0.0]]","[[0.0, 0.0], [0.22797702811345533, 0.0]]","[[0.0033063226639408042, 0.06327113073340904], [0.2903204675066595, 0.012591897542162117]]","[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.003371261045424745, 0.0], [0.0025283340963139565, 0.010588941923054134]]","[[0.00772747015127327, 0.000865409034767279], [0.014872351235376087, 0.03099601306730551]]","[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0031790818680137176], [0.005163633081309492, 0.0]]","[[0.03777883230292467, 0.031014744771875335], [0.020389737250947056, 0.0026138674454553867]]","[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0013820893811712616, 0.0], [0.008317830154702608, 0.005256134838346129]]","[[0.014800656402000206, 0.01190586774609169], [0.016628369763429615, 0.012346814979762623]]","[[0.020909739834358065, 0.016692154805215038], [0.013884064998251322, 0.015960073228838925]]","[[['', ''], ['', 'sin']]]","[[0.0, 0.0], [0.0, 0.7746960748146319]]","[[0.0, 0.0], [0.0, 0.2642022402696706]]","[[0.0, 0.0], [0.0, 0.541416010094099]]","[[0.0, 0.0], [0.002169196192568617, 0.754344663815862]]","[[0.002436799855730772, 0.0027106575479515465], [0.007949387784352512, 0.7632822236634063]]","[[0.008299078314569712, 0.01016065065927196], [0.0109462319241241, 0.7698562078054279]]"
"[[['', ''], ['', 'sin']]]","[[0.0, 0.0], [0.0, 0.5773416372710306]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.15075232359905683]]","[[0.0, 0.0], [0.0, 0.39850883202209747]]","[[0.0, 0.0], [0.0, 0.35108801207699203]]","[[0.0, 0.09232136268604069], [0.0, 0.2450437795176809]]","[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.02638246920689847, 0.09022390014103088], [0.10800282869758816, 0.06614058365579199]]","[[['', ''], ['', '0.400']]]","[[0.0, 0.0], [0.0, 0.063419057188818]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.024906349072008553]]","[[0.039585132596324075, 0.0], [0.0, 0.11922998518490252]]","[[['', ''], ['', 'sin']]]","[[0.0, 0.0], [0.0, 0.7889661928394825]]","[[0.0, 0.0], [0.0, 0.15694951372700758]]","[[0.0, 0.0], [0.0, 0.4154973428340214]]","[[0.0, 0.0], [0.0, 0.6979258466430732]]","[[0.0, 0.0], [0.0, 0.7354450329969203]]","[[0.0, 0.0], [0.0, 0.7834255298882835]]","[[['', ''], ['log', '']]]","[[0.0, 1.4920119220761694], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.05394887499909056], [0.0, 0.0]]","[[0.0, 0.13981436536978498], [0.0, 0.0]]","[[0.0, 0.352400813441832], [0.0, 0.0]]","[[0.0, 0.550142311692517], [0.0, 0.0]]","[[['', 'log'], ['', '']]]","[[0.0, 0.0], [1.545393928792219, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.08595412530631047, 0.0]]","[[0.0, 0.0], [0.24374536439285396, 0.0]]","[[0.0, 0.0], [0.45557528161854716, 0.0]]","[[0.0, 0.0], [0.6575915513417689, 0.007813813254516576]]","[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.010283551551169326, 0.005504510400761772], [0.00878881276969182, 0.005222475413960535]]","[[0.01429815956195613, 0.01210177452766232], [0.01683629056402803, 0.014023543003395674]]","[[0.021785881096643988, 0.02475341435695591], [0.017636815739809457, 0.014647767390817851]]"
