coefficients,di_exact,knn_subset_pairwise
"[[[0.0, 0.8157476945568646, 0.8639185117419412], [0.0, 0.0, 0.25966234668456945], [0.0, 1.398680214398557, 0.0]]]","[[0.0, 0.0, 0.0], [0.3400529714315948, 0.0, 0.6265436731682177], [0.6492828489803574, 0.1039042697485426, 0.0]]","[[0.11762864223138252, 0.014307998924682182, 0.03545747123178065], [0.0647318371086947, 0.005810968724784084, 0.5488362665609687], [0.3342707388850363, 0.08902924044746639, 0.03244691435839444]]"
"[[[0.0, 0.0, 0.0], [0.0, 0.0, -1.2329127125740587], [0.0, 0.42099198022127415, 0.7491952779367913]]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.31865824134579024], [0.0, 0.7065660877167477, 0.39956488144033736]]","[[0.019909945224512955, 0.0, 0.0], [0.0, 0.05012909757039978, 0.22715187230452166], [0.0, 0.5908746952240662, 0.16563304470658397]]"
"[[[-0.8281046338275301, 0.0, 0.0], [0.0, -0.505718651423255, 0.0], [0.0, 0.0, 0.0]]]","[[0.6544208623375409, 0.0, 0.0], [0.0, 0.17158731697998025, 0.0], [0.0, 0.0, 0.0]]","[[0.650216617584089, 0.0, 0.016478449398847805], [0.0, 0.14229359619295906, 0.005460964032498519], [0.0, 0.0, 0.0]]"
"[[[0.3688457890137085, 0.0, 0.0], [-0.5940255183428265, 0.0, -0.7635049995403737], [-0.5076586089223099, 0.0, 0.0]]]","[[0.08185439887350943, 0.17034023320681882, 0.12427050526062369], [0.0, 0.0, 0.0], [0.0, 0.30808684349516247, 0.0]]","[[0.05334210327911271, 0.03165508240507341, 0.09488327312940714], [0.0, 0.0, 0.0], [0.013408812775195263, 0.17508572509938608, 0.005611103993766986]]"
"[[[0.0, 0.0, 0.0], [0.0, -0.35525360820805896, 0.0], [0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0], [0.0, 0.05845320006201293, 0.0], [0.0, 0.0, 0.0]]","[[0.0043626273750031995, 0.0, 0.0046660856117147955], [0.0, 0.08276462083867164, 0.0], [0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, -0.27322576308062324]]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.04387316080463974]]","[[0.0, 0.0055475283542567875, 0.004942720094932403], [0.008072808189444005, 0.0, 0.0], [0.031740368701941385, 0.009612068171852619, 0.06349065967503234]]"
"[[[0.0, 0.0, 0.0], [-0.7960977012552999, 0.0, 0.14564820758902475], [0.0, 1.2166158496559047, 0.0]]]","[[0.0, 0.22628912274021867, 0.0], [0.0, 0.0, 0.640080512702817], [0.0, 0.03454458894250835, 0.0]]","[[0.0, 0.22077548720194315, 0.007162144914123371], [0.04304748562407764, 0.0, 0.5815431779614362], [0.013130659944344205, 0.017094702308541276, 0.0]]"
"[[[0.0, 0.0, 0.0], [0.0, 0.7377758123059658, 0.0], [0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0], [0.0, 0.40474095582686964, 0.0], [0.0, 0.0, 0.0]]","[[0.010507180564694886, 0.0, 0.0], [0.007062001924096552, 0.4038811798803492, 0.0], [0.0, 0.0, 0.0]]"
"[[[0.1307461959658448, 0.0, -0.13217701605240562], [0.0, 0.0, 0.0], [1.2286850219349197, 0.0, -0.6652919026274323]]]","[[0.01097446458257365, 0.0, 0.4788008355862333], [0.0, 0.0, 0.0], [0.030342521653104977, 0.0, 0.4790719400648485]]","[[0.0, 0.0267258940405443, 0.4038809312533239], [0.0201136331669365, 0.0, 0.0], [0.04381294275430011, 0.01199991684190814, 0.17182782520446424]]"
"[[[0.0, -0.37286355764193374, 0.0], [-1.0182757685781114, 0.0, 0.0], [-0.12004984204081381, 0.0, 0.0]]]","[[0.0, 0.4484117404637127, 0.0011125584280204947], [0.12790715428226546, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0029422767521587482, 0.41560505154918964, 0.0], [0.10024044420487926, 0.0, 0.0], [0.0, 0.0, 0.0]]"
"[[[-0.21063782564401443, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.46317405411869644, -0.816815875788519, 0.0]]]","[[0.029537866654319886, 0.0, 0.1050787860618747], [0.0, 0.0, 0.2606223270407223], [0.0, 0.0, 0.0]]","[[0.0, 0.005378482360972602, 0.0469022395862851], [0.0425372258865406, 0.0, 0.19034260103483616], [0.01494215376194394, 0.0, 0.0]]"
"[[[0.627277763755404, -0.8070288986063391, 0.0], [0.0, 0.0, 0.2645506081040815], [0.0, 0.0, 0.0]]]","[[0.3075752274367729, 0.0, 0.0], [0.23468504142318203, 0.0, 0.0], [0.0, 0.04262587520027255, 0.0]]","[[0.20388217801043637, 0.0, 0.0], [0.2292683815643076, 0.008881852351901136, 0.0], [0.0, 0.02863698774416942, 0.013824526941068253]]"
"[[[0.0, 0.0, 0.0], [0.0, -0.2786981863521062, 0.0], [0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0], [0.0, 0.0428423439318534, 0.0], [0.0, 0.0, 0.0]]","[[0.019918343535793658, 0.0, 0.0], [0.0, 0.04343550521187291, 0.01495213008515518], [0.0, 0.0, 0.003289069028022677]]"
"[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, -0.4911796842420722]]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.15618178986851167]]","[[0.0026838405569522593, 0.0, 0.003917221514555235], [0.00097542173302647, 0.0, 0.0], [0.0, 0.0, 0.1420303120870707]]"
"[[[-0.16573180882376978, 0.0, 0.0], [0.0, 0.3882494688397931, 0.0], [0.0, 0.0, 0.0]]]","[[0.01800854462622215, 0.0, 0.0], [0.0, 0.0978603489101586, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.03328337792775228], [0.0, 0.10386510674196194, 0.03160555092048166], [0.004898854483408323, 0.0, 0.0]]"
"[[[-0.34286583586234237, 0.0, 0.13565746692391703], [0.48373499693726824, 0.0, 0.0], [-0.9050861841536476, 0.0, 0.0]]]","[[0.04806077970019132, 0.10085925321306687, 0.31936981562093275], [0.0, 0.0, 0.0], [0.020890564562768436, 0.0, 0.0]]","[[0.004435667045808555, 0.14230186135926426, 0.29432616533143413], [0.027667604086289495, 0.0, 0.0], [0.02770602917941415, 0.03662776383844667, 0.015210537002509517]]"
"[[[0.0, -0.2639846867065823, 0.0], [2.0226252149483788, 0.0, -1.109066104097491], [0.0, 0.0, -0.444000776883692]]]","[[0.0, 0.9810460672087891, 0.0], [0.2631056410262839, 0.0, 0.0], [0.0, 0.46645885912159013, 0.10955342854812446]]","[[0.03426252101192031, 0.5039860606489237, 0.0], [0.18259080847392006, 0.0, 0.0], [0.0, 0.06781389490213598, 0.12077159312816485]]"
"[[[0.0, 0.0, -0.11745763859848114], [0.0, 0.0, 0.0], [0.0, 0.9939583312823278, -0.3644905453551423]]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.38286222419282184], [0.01371828628877146, 0.0, 0.1489330705848222]]","[[0.00043388041449106526, 0.0, 0.006579312938407382], [0.0, 0.004006574463883978, 0.3684554048698485], [0.0, 0.0, 0.04491721431109242]]"
"[[[0.7122167193266814, 0.0, 0.0], [1.3413969645222128, 0.0, 0.0], [0.0, 0.0, -0.5612552105403854]]]","[[0.3707521422359152, 0.7640888139984968, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.1675792732020479]]","[[0.35867931183216395, 0.4741196035790389, 0.0], [0.0, 0.2282070629328375, 0.0], [0.0, 0.0, 0.12983147902837072]]"
"[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.6429659088626127, 0.0, -0.5331813468045224]]]","[[0.0, 0.0, 0.1935628510989571], [0.0, 0.0, 0.0], [0.0, 0.0, 0.21218275174477427]]","[[0.0, 0.010545260319011136, 0.16150599266930463], [0.0, 0.0, 0.0], [0.0034760134519767993, 0.0, 0.14113476708496048]]"
"[[[0.0, -0.23358567810876862, 0.0], [1.0160198245909633, 0.0, 0.27760714418308796], [-1.0520282006797081, -0.954733108401662, 0.0]]]","[[0.0, 0.3811963545801081, 0.38381196915736043], [0.08070770256670332, 0.0, 0.6446083657648508], [0.0, 0.18240194827728434, 0.0]]","[[0.0, 0.3336722483386435, 0.169260987454288], [0.0731528684071667, 0.0, 0.4083625999729108], [0.02212540245043679, 0.1735191877287779, 0.013519262312041695]]"
"[[[0.0, 0.0, 0.0], [-0.4319674776739585, 0.0, 1.032942429213135], [-0.4704550576096646, 0.477013581990854, 0.0]]]","[[0.0, 0.08932697865107271, 0.11056660334872577], [0.0, 0.0, 0.27775122813902037], [0.0, 0.5562826576020111, 0.0]]","[[0.006876969753464785, 0.018390296553783367, 0.0593675626721718], [0.0, 0.0, 0.21630713615669503], [0.0, 0.49472270969266413, 0.03519176883131689]]"
"[[[0.0, 0.0, 0.0], [0.6473772064812634, 0.0, 0.0], [0.0, 1.7342668189864918, -0.15694607352494502]]]","[[0.0, 0.15322263350640533, 0.0], [0.0, 0.0, 0.8239806362193935], [0.0, 0.0, 0.05741023696346833]]","[[0.0, 0.15351158249771668, 0.0], [0.007707857341289143, 0.0, 0.725447077282581], [0.015628767650708614, 0.0, 0.0]]"
"[[[-0.8915347607161848, 0.0, 0.0], [0.0, 0.0, -2.2208103046136976], [0.0, 0.0, 0.0]]]","[[0.7454293319418329, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.9505541283371773, 0.0]]","[[0.7434560934224324, 0.0, 0.0], [0.0, 0.02364030578984315, 0.0018221770352719415], [0.0, 0.7873007924116807, 0.0]]"
"[[[0.0, 0.0, -0.2639195513575303], [0.0, 0.0, 0.0], [0.7799986612215375, 0.0, -0.21388311984820937]]]","[[0.0, 0.0, 0.2675917117404282], [0.0, 0.0, 0.0], [0.050001240498046946, 0.0, 0.04595341511954801]]","[[0.0, 0.007782948321330905, 0.25595813156784697], [0.02280433252007094, 0.0, 0.0], [0.07089328747765154, 0.007661344761212959, 0.016615359707683335]]"
"[[[-0.6262980270163427, -0.22392900726378787, 0.0], [0.0, 0.0, 0.0], [0.0, 0.9337019361360646, 0.6926381331089855]]]","[[0.2433548125932434, 0.0, 0.0], [0.014318049299480945, 0.0, 0.3151847229089482], [0.0, 0.0, 0.5247859154349962]]","[[0.22431720142239178, 0.008875585495963895, 0.002371298049522374], [0.02157829026494686, 0.0, 0.2843694528056532], [0.004263513983791009, 0.0, 0.32920535192310707]]"
"[[[0.0, 0.0, 0.0], [0.0, 0.0, -1.7715422633967577], [0.0, 0.0, -0.17938524367585504]]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.7177644855702563, 0.019220684142280862]]","[[0.0033010017429458806, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.6406497972633803, 0.032980399003076935]]"
"[[[0.0, 0.0, 0.0], [-0.3164073728026768, 0.7124263309936133, 0.0], [0.34506938449095836, 0.0, 0.0]]]","[[0.0, 0.04423843138826447, 0.06201641480697885], [0.0, 0.3894523381319637, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.02600627683935624, 0.03408142400914575], [0.0, 0.3233714569572039, 0.0], [0.017373855613626355, 0.039389484088315815, 0.014317314016368508]]"
"[[[0.0, 0.0, 0.22729176860182296], [0.0, 0.0, 0.0], [-1.2595706795771726, 0.0, 0.0]]]","[[0.0, 0.0, 0.4695003535433353], [0.0, 0.0, 0.0], [0.07095366747796536, 0.0, 0.0]]","[[0.0, 0.0026430943765137762, 0.4363841687601082], [0.009063804429025284, 0.0, 0.0], [0.0714325222752874, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.795593223469821]]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.5448863870702135]]","[[0.004167299882605214, 0.0, 0.0], [0.0, 0.03978901530525596, 0.0], [0.0, 0.0, 0.558856037228269]]"
