coefficients,di_exact,knn_subset_pairwise
"[[['', '', '', '', '', '', ''], ['', '', '', '', '-0.239', '0.012', ''], ['**0.299', '', '', '', '', '', ''], ['', 'tanh', 'sin', '', '', '-0.115', ''], ['**0.953', 'sin', '', 'log', '**0.269', '', ''], ['', '', '', '', '', '', ''], ['', 'log', '', 'sin', 'sigm', '', '']]]","[[0.0, 0.0, 0.959087078223633, 0.0, 0.3694922277144458, 0.0, 0.0], [0.0, 0.0, 0.0, 0.48524952993230397, 0.5372719758094953, 0.0, 1.460698297658671], [0.0, 0.0, 0.0, 0.9502703315309602, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.5412564864949128, 0.0, 0.8937977637796902], [0.0, 0.5108707959015606, 0.0, 0.0, 0.9601805468566142, 0.0, 0.2081281630075151], [0.0, 0.0006268605150231621, 0.0, 0.008995600977182735, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.009566130773151596, 0.0, 0.6395107442187543, 0.0, 0.0, 0.02433077489141314, 0.0], [0.0, 0.047179631642997495, 0.0, 0.12347103316323149, 0.031386233389681134, 0.005677974296238062, 0.2811816017132111], [0.0, 0.0, 0.012411283510736521, 0.5137625946311773, 0.0, 0.006551203200773919, 0.0], [0.0, 0.0, 0.0, 0.0, 0.4277288497238059, 0.0, 0.08765500761582487], [0.0, 0.41387698229995395, 0.0, 0.0, 0.10210388484455324, 0.0, 0.0], [0.008046953626039082, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.028557521731924815, 0.0, 0.0, 0.015591537268189466, 0.0, 0.03990849968863552]]"
"[[['', '', '', '', 'sigm', '', '**0.100'], ['', '', '', '', '', '', ''], ['', 'sigm', '', '-0.227', '', '', ''], ['sin', '', '', '', '', '', ''], ['', '0.242', '0.149', '', 'cos', '', ''], ['', '', '', '', '', '', ''], ['', '', '', '', '', 'sin', '']]]","[[0.0, 0.0, 0.0, 0.9134414059082339, 0.0, 0.0, 0.0], [0.0, 0.0, 0.04489636789055771, 0.0, 0.025972144831778347, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.016889062542414016, 0.0, 0.0], [0.0, 0.0, 0.15516143955219708, 0.0, 0.0, 0.0, 0.0], [0.026032637570915694, 0.0, 0.0, 0.0, 0.2969331564699947, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32930420992101983], [1.2454489458777667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0364620586797577, 0.0006048661555442604, 0.009891826819634292, 0.7565732467250221, 0.0, 0.0, 0.012324722068462093], [0.0, 0.0, 0.07359425811537791, 0.0, 0.0, 0.0, 0.0], [0.0, 0.00937775150730215, 0.0, 0.028688235363168432, 0.0, 0.0, 0.0010909946046550592], [0.0, 0.0, 0.15624524753976213, 0.0, 0.0, 0.0, 0.0057515781631122176], [0.0, 0.0, 0.03053839310963496, 0.0, 0.31788799061465756, 0.013612981834548982, 0.0], [0.0, 0.0, 0.004333567806116095, 0.0, 0.0, 0.0, 0.30934282561136783], [0.5804611745987599, 0.0, 0.029467854682701054, 0.02727013951252787, 0.0, 0.0, 0.0]]"
"[[['', '', '', '', '', '', '**0.038'], ['', '', '', '', '', '', ''], ['', '', '', '', '', '', ''], ['', '', '', '', 'log', 'cos', ''], ['', 'cos', '', '', '', '', ''], ['', '', '', '', 'sigm', '**0.741', '**0.589'], ['', '', '', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.01624395659074721, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.46646528025055645, 0.0, 0.02143401050687002, 0.0], [0.0, 0.0, 0.0, 0.25403053371784956, 0.0, 0.4584804441708089, 0.0], [1.3230703780600437, 0.0, 0.0, 0.0, 0.0, 0.6094691182131851, 0.0]]","[[0.020731140645736064, 0.0, 0.0, 0.018474932629265358, 0.01763805278286697, 0.0, 0.015913444274297042], [0.0, 0.029026954461779286, 0.0, 0.0, 0.025417581341744714, 0.0, 0.03680155275054317], [0.0, 0.0, 0.003910892452417132, 0.0, 0.013021553232125936, 0.0, 0.01291211390282893], [0.0, 0.0, 0.0, 0.011779242339738127, 0.0, 0.0, 0.020364565230826016], [0.0, 0.0, 0.00043421913718018026, 0.26410813509634207, 0.0, 0.0, 0.028826896307975795], [0.0, 0.0, 0.006254040177698164, 0.12947429946136985, 0.02091438384126751, 0.22382346008220969, 0.015048346190320791], [0.5054574682818378, 0.0, 0.0, 0.0, 0.02905909714622596, 0.4864808438671935, 0.0]]"
"[[['', '', '', '', 'sin', '', 'sigm'], ['', '', '', '', '', '', ''], ['', '', '', '', '', 'cos', 'tanh'], ['', '**0.410', '-0.014', 'log', '', 'sin', ''], ['sin', '', '-0.011', '', '', '', '0.090'], ['', '', '0.073', '', '**0.672', '', ''], ['**0.532', '**0.810', '', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.022546290181571563, 0.0, 0.12314875303747383], [0.0, 0.0, 0.0, 0.8245256377395682, 0.0, 0.0, 0.4538166872420567], [0.0, 0.0, 0.0, -0.0004122366614274267, 0.0002923450727709328, 0.00939538768345361, 0.0], [0.0, 0.0, 0.0, 1.5433252030423237, 0.0, 0.0, 0.0], [0.1290708562321877, 0.0, 0.0, 0.0, 0.0, 0.21410793670537637, 0.0], [0.0, 0.0, 0.37369239138743693, 0.12957143623411765, 0.0, 0.0, 0.0], [0.026890855298746776, 0.0, 0.1318918313154462, 0.0, 0.011709683940884213, 0.0, 0.0]]","[[0.0, 0.001358143212557756, 0.0, 0.0, 0.052346016994083665, 0.0, 0.04282512076882759], [0.006150461302866432, 0.0, 0.0, 0.39362995740434054, 0.018044518272918163, 0.020010034071384856, 0.3387228453723614], [0.008822671653886345, 0.0, 0.006824461636563258, 0.0, 0.008207421554403545, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5916851056870301, 0.0, 0.0, 0.0], [0.1374790845093478, 0.0, 0.0, 0.0, 0.0, 0.2168585252523654, 0.0], [0.0, 0.0, 0.2737073521255211, 0.0, 0.02357209987074072, 0.0, 0.025078645096504412], [0.024252057833286267, 0.003338956773629756, 0.025915030136523708, 0.0, 0.03177758357936427, 0.00584090617307713, 0.0]]"
"[[['', 'sigm', '', 'cos', '', '', ''], ['', 'log', '0.348', 'tanh', '', '', '-0.116'], ['', '-0.128', '', 'tanh', '-0.082', 'log', ''], ['sigm', '', 'tanh', '', '', '', ''], ['', '', 'sigm', '**0.053', '', '', ''], ['', '', 'sigm', '**0.437', '', '', 'sigm'], ['', '', 'cos', 'log', 'log', '', '**0.769']]]","[[0.0, 0.0, 0.0, 0.05799822763049767, 0.0, 0.0, 0.0], [0.09460015655975226, 0.8811894016469166, 0.05722645568322008, 0.0, 0.0, 0.0, 0.0], [0.0, 0.05007422823045622, 0.0, 0.013710636050747719, 0.011868976325319788, 0.016664739312155483, 0.38230019927297876], [0.3666953434612772, 0.006563894848847221, 0.015527230449933148, 0.0, 0.00024197367993829762, 0.0627919159475067, 0.1896165319673536], [0.0, 0.0, 0.003910518868811781, 0.0, 0.0, 0.0, 0.15525522825383167], [0.0, 0.0, 0.06403987412226068, 0.0, 0.0, 0.0, 0.0], [0.0, 0.01717042314188696, 0.0, 0.0, 0.0, -2.4892800198030472e-05, 0.35772112379329696]]","[[0.011240702273219811, 0.0, 0.034437649280347836, 0.04474464063584814, 0.028801082305630003, 0.0, 0.0], [0.01612037803111369, 0.5341704326404384, 0.058119160205216264, 0.002099400881992879, 0.0015465405029412452, 0.0, 0.02105147824498623], [0.004148849473353385, 0.015212060056688263, 0.0, 0.022081375160151653, 0.032567466465136995, 0.038458448986515764, 0.20991219815639514], [0.2833368217425281, 0.0, 0.04539853157294402, 0.0, 0.0, 0.058893707325903384, 0.07293797808437853], [0.0005376457796536164, 0.0, 0.043194033989208645, 0.0, 0.0, 0.0, 0.04065220802548836], [0.0, 0.0, 0.08999638697075679, 0.010515679119715743, 0.0, 0.010086517196927419, 0.0], [0.0, 0.0, 0.004139294875321794, 0.023282429834649003, 0.004675898030619224, 0.0010601875100420372, 0.10428544016535576]]"
"[[['', '-0.072', '', 'cos', '', 'cos', 'cos'], ['', '', 'sigm', '', 'log', '', ''], ['tanh', '', '**0.924', 'sigm', '', '', '-0.030'], ['', '', '**0.289', '', '', '', ''], ['log', 'cos', '', '', '', '', 'sigm'], ['', 'cos', '', 'tanh', '', 'sin', '**0.088'], ['', '', '', '', 'sigm', '', '']]]","[[0.0, 0.0, 0.7526374506413039, 0.0, 1.4919277258650798, 0.0, 0.0], [0.04569319217748967, 0.0, 0.0, 0.0, 0.8098130073518787, 0.7852374737002616, 0.0], [0.0, -8.149405354630503e-05, 1.0522356235297463, 0.022532093086272135, 0.0, 0.0, 0.0], [0.32020031238495095, 0.0, 0.007935794275173986, 0.0, 0.0, 0.014859804074027635, 0.0], [0.0, 1.5595375145953094, 0.0, 0.0, 0.0, 0.0, 0.29558960299721887], [0.8613657285604729, 0.0, 0.0, 0.0, 0.0, 0.8150847869435057, 0.0], [0.18414166436092916, 0.0, 0.0025842094319025225, 0.0, 0.041927858582601125, 0.6890429733549559, 0.0]]","[[0.012287958016156118, 0.0, 0.6392153775174328, 0.02856687798708273, 0.3500499040828568, 0.007171584756611639, 0.020347326882150577], [0.0, 0.023186701046972867, 0.0, 0.0, 0.07835358746754909, 0.5085065344889386, 0.0], [0.0, 0.0, 0.4739188984884534, 0.02660322246922581, 0.0, 0.0, 0.023544569796242823], [0.06784009334371169, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020045919627629256], [0.0, 0.8521718825314737, 0.0, 0.0, 0.0, 0.0, 0.2799598091893402], [0.43513566567179646, 0.0, 0.0023227325032469204, 0.0, 0.0, 0.2646319693287547, 0.012507940411613976], [0.04353222804707505, 0.0, 0.0, 0.004080391306802496, 0.0, 0.15948446873403582, 0.0]]"
"[[['', '', '', '', '', '', ''], ['', '', 'log', '', 'sin', 'sigm', 'sin'], ['', 'sigm', '', '', '', '', ''], ['', '', '', '', '', '', ''], ['-0.035', '', 'tanh', '', '', '', ''], ['', '**0.503', 'cos', 'log', '0.130', '', ''], ['', '', '', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, -0.0006296048780470764, 0.0, 0.0], [0.0, 0.0, 0.2614604291334728, 0.0, 0.0, 1.3139127586994008, 0.0], [0.0, 1.4277199325930345, 0.0, 0.0, 0.3081812195713624, 0.15464227823975163, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.536159151901227, 0.0], [0.0, 0.5233783485730861, 0.0, 0.0, 0.0, 0.010442078829385974, 0.0], [0.0, 0.28902475709976155, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.35383107408447345, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.005088089300492166, 0.0, 0.03983147661837818], [0.0, 0.025622383386094797, 0.23114139788747648, 0.0, 0.0, 0.35014199746971986, 0.02047889930775218], [0.0, 0.42195768282352913, 0.02776634454994023, 0.004850342129793238, 0.29123187178595794, 0.0, 0.03602610343629828], [0.0018061734537834515, 0.0, 0.0, 0.0, 0.0, 0.0, 0.028138215660705162], [0.0091806203319299, 0.0, 0.030969076969400763, 0.0, 0.0, 0.06166856905381487, 0.04946394903757758], [0.0, 0.17837557081640912, 0.0, 0.0, 0.006438451370716553, 0.0, 0.03898542262137214], [0.0073214823596314755, 0.0, 0.0, 0.0014636699375831477, 0.0061797943895593324, 0.0, 0.0]]"
"[[['sin', '**0.292', '', '', '', '', 'tanh'], ['', '', '', '', '', '-0.037', ''], ['', 'cos', '', '', 'log', 'tanh', 'sigm'], ['', '', '', 'sigm', '', '', ''], ['', 'log', 'log', '', 'tanh', '', ''], ['', 'cos', 'sigm', '', '', '', ''], ['', 'sin', '', '', '', 'tanh', '']]]","[[0.47641486563734714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.9251103477268711, 0.0, 0.0060377795302820805, 0.0, 1.5309616682634772, 0.013873622122928997, 0.33804074806316187], [0.0, 0.0, 0.0, 0.0, 0.7022507375318572, 0.04766248148103313, 0.0], [0.0, 0.0, 0.0, 0.01763848152970532, 0.0, 0.0, 0.0], [0.0, 0.0, 1.2527399319441221, 0.0, 0.3779118053056054, 0.0, 0.0], [0.0, 0.0006263777356228226, 0.006085708274302205, 0.0, 0.0, 0.0, 0.001977758858553433], [0.19992542573082026, 0.0, 0.05631777121002974, 0.0, 0.0, 0.0, 0.0]]","[[0.19440812070649596, 0.020184351204225685, 0.06758505930470923, 0.010654449625510268, 0.0, 0.0, 0.0], [0.4974953992970504, 0.0, 0.0, 0.024656843558945773, 0.12845985144252603, 0.004241576940569046, 0.3181153861846502], [0.0, 0.014002976778439737, 0.0, 0.008339931283527792, 0.027936716945973616, 0.030368087943226544, 0.0], [0.0, 0.018511063374179893, 0.0, 0.0, 0.0, 0.0, 0.01395287205936895], [0.0, 0.0, 0.9471399608347186, 0.0, 0.025830152560882728, 0.0, 0.003500262114812534], [0.0, 0.025701847384390263, 0.0, 0.013353949663016474, 0.0, 0.0, 0.012437776266167978], [0.06079614588512653, 0.015984735310105986, 0.07150741841533448, 0.03175794712837361, 0.0, 0.0, 0.0]]"
"[[['', '', '', 'cos', 'log', '', 'sin'], ['', '', '', '', '', '**0.354', 'tanh'], ['**0.466', 'tanh', '', '', '', '', ''], ['**0.241', '', '', '', '', '', ''], ['', 'log', 'sigm', 'sigm', 'sigm', '', ''], ['', '', '', '', '', '', ''], ['', '', '', '', 'cos', 'cos', '']]]","[[0.0, 0.0, 1.0244459544996627, 0.9433226587330302, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7757235895555298, 0.0, 1.5142531372900392, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.19213438425653237, 0.0, 0.0], [0.354317381063558, 0.0, 0.0, 0.0, 0.1459380294469254, 0.0, 0.0], [1.2955204190586702, 0.0, 0.0, 0.0, 0.2279673005396929, 0.0, 1.0395397377879805], [0.0, 0.9136515985796957, 0.0, 0.0, 0.0, 0.0, 0.017388324311934288], [0.6259828720950107, 0.6129809411546076, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.03008182429753496, 0.3676526244004331, 0.3801287245882418, 0.0, 0.00010285187775874758, 0.0], [0.0, 0.0, 0.4377722187065956, 0.0, 0.6353105195771559, 0.01141684531026931, 0.0], [0.055888767933871014, 0.0, 0.0, 0.0, 0.0013369939229146293, 0.022682325092684016, 0.12373015387079683], [0.01825212698022717, 0.0, 0.0, 0.0013261207010412418, 0.0, 0.034844985638245125, 0.0], [0.3988543939785884, 0.0, 0.0014326918574210617, 0.0, 0.013369431945207214, 0.006565392792212413, 0.8972191905377824], [0.0, 0.37414863239962226, 0.0, 0.0, 0.0, 0.0, 0.0], [0.06243798156274202, 0.23805841939440514, 0.10401234063793013, 0.14236154053314287, 0.0, 0.022252412153672043, 0.0]]"
"[[['', '', '', '', '', '', ''], ['sin', 'tanh', '', '', 'log', '', '**0.556'], ['cos', '', '**0.189', '', 'log', '', ''], ['', '', '', '', '', '', ''], ['', '', '', '', '', 'cos', 'sigm'], ['', '', 'cos', 'sigm', '', 'sin', 'tanh'], ['', '-0.061', '', 'sin', '', 'tanh', 'log']]]","[[0.0, 0.31421975554273374, 0.01241000459661658, 0.0, 0.0, 0.0, 0.0], [0.0, 1.092736378945526, 0.0, 0.0, 0.0, 0.0, 0.06950133703822911], [0.0, 0.0, 1.365566059333127, 0.0, 0.0, 1.0572910152116177, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.034343289532514504, 0.3690402635125546], [0.0, 1.5515275650098723, 1.5218580562409671, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0873178453362176, 0.9598564082993237, 0.9580355465323545], [0.0, 1.4154401120812086, 0.0, 0.0, 0.31548423617074306, 1.047333359856527, 1.4765690724839582]]","[[0.0, 0.0, 0.0, 0.006914917025727063, 0.0, 0.0, 0.0], [0.0, 0.11450373269185193, 0.0, 0.0, 0.0, 0.06419973311276306, 0.0], [0.0, 0.0, 0.3375649545566724, 0.0, 0.0, 0.3271486396874158, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05646835400987756], [0.0, 0.17174294307424048, 0.6828756288395756, 0.0, 0.001931444494367839, 0.0, 0.0], [0.0, 0.025646011160598496, 0.0, 0.0, 0.6817420912448331, 0.2869465146256101, 0.1624915949121479], [0.0, 0.21937101841375573, 0.0, 0.0, 0.0227550976344582, 0.26143011167812213, 0.548836648096139]]"
