coefficients,di_exact,knn_subset_pairwise
"[[['sigm', '', '', 'sin', '', '', '', '', ''], ['sin', '', '0.019', '', '', '', '', '', ''], ['', '', '**0.384', 'sin', '', 'sin', '-0.195', 'sigm', ''], ['**0.368', '', '', '', '**0.930', '', '', 'sin', 'sin'], ['', '0.041', 'sigm', '0.048', '', '', '', '', ''], ['', '', 'cos', 'sin', 'tanh', '', '', '', ''], ['', '', '0.025', '', '', '', '', '', ''], ['', '', 'cos', 'sin', '', '', '', 'tanh', ''], ['', '', '', '', '', '', '', '', '']]]","[[0.04154839978702321, 0.16597616295091017, 0.0, 0.22405274903815917, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.0010859399815193048, 0.0, 0.0, 0.0, 0.0], [0.0, -0.00046478454206626675, 0.12365021311311383, 0.0, 0.010344454683639783, 0.3787148780817218, 0.0029419796021284304, 0.4044164292496156, 0.0], [0.5040863091973167, 0.0, 0.5290006188159864, 0.0, 0.010314609952752367, 0.5345473581940706, 0.0, 0.5357099429482554, 0.0], [0.0, 0.0, 0.0, 0.31205940776607693, 0.0, 0.08280046250752768, 0.0, 0.0, 0.0], [0.0, 0.0, 0.5368371138438383, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.023665735785601077, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.11749335662100856, 0.7535002810532785, 0.0, 0.0, 0.0, 0.70786556146244, 0.0], [0.0, 0.0, 0.0, 0.3592684279325048, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.06761334445394156, 0.11275159038398604, 0.11665203599401427, 0.08610599268321063, 0.0, 0.003857568371808521, 0.009781258067184731, 0.04960412039039472, 0.0], [4.122680704044435e-05, 0.009275436909605885, 0.00041188388774316385, 0.0, 0.0, 0.0, 0.01852116326363022, 0.011345407773965881, 0.0], [0.014933954621729991, 0.007912819267548341, 0.09889350203304834, 0.06673775926504365, 0.0, 0.095225489736524, 0.0, 0.1473717616030796, 0.0], [0.38422601908624454, 0.02564769078967746, 0.22709155958311586, 0.05074774613613248, 0.0, 0.29713924742839554, 0.008956160437973421, 0.2730614410777921, 0.0], [0.0, 0.0, 0.0, 0.020314414993934476, 0.01855770448721848, 0.0, 0.00801432900407817, 0.0, 0.0], [0.0, 0.028348347102533547, 0.31192274077087523, 0.09166394907512763, 0.0, 0.05418180645857565, 0.00745086890529903, 0.05398369542039363, 0.0011118758919612414], [0.0, 0.0, 0.0027494656163505413, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008513025494220316], [0.061250896408187455, 0.010338153078087104, 0.05534724799302471, 0.3417582589955804, 0.0, 0.0454144761355516, 0.02140032314801057, 0.25288829506379223, 0.0], [0.0, 0.0, 0.0, 0.077404307456414, 0.0, 0.0, 0.028348680442536488, 0.0, 0.0018458060917782861]]"
"[[['', '', '', '', '', '', 'sin', 'tanh', '**0.324'], ['', '', '', 'cos', 'cos', 'sin', '', '', ''], ['', '', '', 'tanh', '', 'sin', '', 'sin', ''], ['', '-0.070', '', '', '', '', '', '', ''], ['log', '', '', '', '', 'sigm', '', '', ''], ['', '', '', '', 'cos', '', 'sin', '', '0.016'], ['', 'sigm', '', '', '', '', 'log', 'cos', ''], ['', '', '', '', '**0.800', '', '', '', ''], ['', '0.002', 'cos', '', '', '', '', 'tanh', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.8408157688204347, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.019092020704890814, 0.0, 0.0, 0.07211769633453002, 0.0, 0.00025522149256737656], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7093369976804292], [0.0, 0.019253429481354542, 0.31177299352473115, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.6559435986796426, 0.0, 0.0, 0.0, 0.6788368696156496, 0.0, 0.8922837581733061, 0.0], [0.0, 0.7154779914415141, 0.7105003583072673, 0.0, 0.14936400510951348, 0.0, 0.0, 0.0, 0.0], [0.870993542439142, 0.0, 0.0, 0.0, 0.0, 0.8006044501709166, 1.358524943176653, 0.0, 0.0], [0.4303834936915287, 0.0, 0.40093678057824295, 0.0, 0.0, 0.0, 0.6150092860977453, 0.0, 0.4148997212698163], [0.6957238189287616, 0.0, 0.0, 0.0, 0.0, -0.0008262221823601021, 0.0, 0.0, 0.0]]","[[0.13116838456159216, 0.018204833566114798, 0.08350041661016792, 0.004124656830291514, 0.5219566835793886, 0.0794803741184643, 0.0, 0.009629101173602711, 0.0], [0.0, 0.07098944763885913, 0.0, 0.022386217586782452, 0.010789929695052033, 0.08097698852495248, 0.11317388161719968, 0.09438472398297468, 0.2142249158506048], [0.0, 0.0062648122468296165, 0.014751786186583068, 0.0, 0.0, 0.1009970224795401, 0.0, 0.10920390219218337, 0.5861882780751677], [0.0, 0.004104396683269418, 0.0753486526330697, 0.0, 0.0, 0.007464990532903634, 0.0, 0.0, 0.009279543452576576], [0.0, 0.3077104967147224, 0.0, 0.0, 0.024094881277104237, 0.3067708864123766, 0.0, 0.6045992799430022, 0.09977951659116788], [0.0, 0.3062413510902276, 0.3325070766386111, 0.0, 0.2187347781789312, 0.0, 0.0752996221015842, 0.0028468911707975595, 0.04657542159378289], [0.27774024364415073, 0.0, 0.0, 0.0, 0.03502595070296445, 0.28766331232284886, 0.5573942921858518, 0.0, 0.0], [0.032447334138619804, 0.05005796842512372, 0.08465173734406986, 0.0, 0.0, 0.04099210383444643, 0.4171346084806391, 0.021163423799548317, 0.12804777539560516], [0.040878493111396526, 0.0, 0.0, 0.008200882719998023, 0.00453054153007865, 0.010287588423907758, 0.0, 0.0, 0.0]]"
"[[['', '**0.325', '', '', '', 'sigm', '-0.136', '', ''], ['', '', 'tanh', '', '', '', '', '', ''], ['', '', '-0.169', '-0.008', '0.066', '', 'sin', '', 'tanh'], ['', '', '', 'cos', '', '', '', '', 'sin'], ['', '', 'sin', '', '', 'cos', '', '', ''], ['tanh', '', '', 'sigm', '', 'sin', '**0.418', '', ''], ['cos', '', '', '', 'tanh', '**0.689', '', '-0.120', ''], ['', 'cos', '', '', '', '', 'tanh', '', 'cos'], ['', 'sigm', '', '', '', '', '', '**0.801', 'sin']]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.762123564844792, 0.8176740301921614, 0.0, 0.0], [1.0032027940681782, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25956907919431893, 0.07856559368218498], [0.0, 0.751027416084131, 0.10769231259416134, 0.0, 0.7814289711955623, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.0009529074005452738, 0.7645184603123881, 0.0, 0.13165173243790967, 0.0, 0.0, 0.0], [0.0, 0.0, 0.02321246021939505, 0.0, 0.0, 0.0, 0.8779642049034627, 0.0, 0.0], [0.2711772615178931, 0.0, 0.0, 0.0, 0.9602099716618316, 1.0889004684601573, 1.5374425197863797, 0.0, 0.0], [0.3352252115038765, 0.0, 1.0896356300469776, 0.0, 0.0, 1.2985453867490118, 0.0, 0.9401869761771338, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05763861798847123, 0.0, 0.9243082128874586], [0.0, 0.0, 0.22569387924697412, 0.5783318493687679, 0.0, 0.0, 0.0, 0.8193972205138813, 0.5645441424557561]]","[[0.18141913612859792, 0.11856516540665206, 0.09270819903833687, 0.0, 0.10561357707214335, 0.40803476285806956, 0.12191900451314386, 0.04296063573227064, 0.0640198986941986], [0.5045944772059141, 0.0, 0.13711354010472437, 0.0, 0.024403061375517354, 0.0, 0.08616490044276266, 0.025047913330718947, 0.029212908404155368], [0.034838373058072254, 0.6482386251276453, 0.06258621077652553, 0.0, 0.21351818278517457, 0.0940693413728975, 0.18905774016517413, 0.01360670386476523, 0.025425035580891615], [0.0, 0.0, 0.0, 0.46464057746988785, 0.003550266371486083, 0.0, 0.0009646032931396096, 0.0, 0.009361723118421829], [0.1658687993604813, 0.06176592082621339, 0.052340982376374086, 0.0, 0.12281588698138024, 0.02427988063422239, 0.3039229052487293, 0.01955817774663455, 0.07003703500337595], [0.24161219750259263, 0.12991130889485564, 0.30212535254566397, 0.0, 0.44064684302908974, 0.8034618104937541, 0.46340813690490534, 0.019326286407071264, 0.11754915108871355], [0.18468433453219332, 0.05744009062575266, 0.8325460384916301, 0.0, 0.23456136032184846, 0.4010542738433306, 0.5526985963128783, 0.1176331111393103, 0.01997160414446934], [0.0, 0.010689855192330754, 0.005059934433021554, 0.0, 0.041717619614484946, 0.0, 0.07268548568903563, 0.08482980133580488, 0.705977913379105], [0.0, 0.01866943509721461, 0.012838962379583468, 0.4311678161750202, 0.05217469451656703, 0.0, 0.013764545662280511, 0.18158608344027036, 0.15519969565836178]]"
"[[['', '', '', '', '', '', '', '', ''], ['', '', '', '', 'log', '', '', '', ''], ['log', '**0.465', 'sigm', '', '', 'tanh', '', '', 'sigm'], ['', '', 'tanh', '', '', '**0.531', '**0.769', 'sin', 'log'], ['', '', 'tanh', '', '', '-0.161', '', '', ''], ['', '', '', '', '', '', '', '', ''], ['', 'sigm', '', '', '', '', 'cos', '**0.344', ''], ['', 'sigm', '', '', '', '', '', '**0.597', ''], ['cos', '', 'tanh', '', '', 'sigm', '', 'sigm', '']]]","[[0.0, 0.0, 1.5181047345583303, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021513924757947233], [0.0, 0.0, 1.0512605997885498, 0.0, 0.0, 0.0, 0.17128240373819464, 0.15619507142816216, 0.0], [0.0, 0.0, 0.243656421516371, 0.7829049032552247, 0.8151666591547834, 0.0, 0.0, 0.0, 0.8547972450980085], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.2991447205743345, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2872756462988374, 0.6433726721225564, 0.006228947103187298, 0.0, 0.0, 0.0, 0.01975592078342462], [0.0, 0.0, 0.0, 0.6231501032915274, 0.0, 0.0, 0.8124331797630409, 0.0, 0.0], [0.0, 0.0, 0.0, 0.07813340465622351, 0.0, 0.0, 0.05030100217144128, 0.1654278238478361, 0.020547737320682692], [0.0, 0.0, 0.04804072462160647, 0.49659693385753334, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.011990690445876214, 0.0115467311057817, 0.0, 0.0, 0.019318258626300572], [0.0, 0.006889238937636321, 0.19545268335530452, 0.0, 0.0, 0.0, 0.048805156074665325, 0.10873990145477569, 0.006479999977570708], [0.0, 0.0, 0.0, 0.20483605503911198, 0.6123682168129819, 0.0, 0.0, 0.0, 0.6521048669428678], [0.013064840303070212, 0.0, 0.0, 0.0, 0.0, 0.020689356999553574, 0.0, 0.0, 0.013033877567041087], [0.03244259912301268, 0.6437953069037933, 0.0, 0.05383896490327087, 0.0, 0.0, 0.0, 0.0, 0.0], [0.008852092197638026, 0.0, 0.0, 0.10732399198066749, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0005955587771159352, 0.0, 0.0020566761855474775, 0.22997100622338787, 0.0, 0.0, 0.6809339465918269, 0.0, 0.004053748074639131], [0.008684177514743152, 0.0, 0.0, 0.03460860426247391, 0.034225990242905104, 0.019582800544194607, 0.0, 0.13048163842678898, 0.04868139146436927], [0.020262760382792715, 0.15825659287080585, 0.0, 0.06971562093919483, 0.0, 0.01494028329172683, 0.0, 0.0, 0.0]]"
"[[['', '', 'log', '-0.085', '', 'log', '', '', ''], ['', '', '', '', '', '', '', '', ''], ['', 'tanh', '', 'tanh', '', '-0.224', '', 'tanh', ''], ['sigm', '-0.023', '', '', '', '', '', '0.051', 'log'], ['', '', '', '', '', '', '', '', ''], ['', '', '', '', '', 'sin', 'tanh', 'tanh', 'sigm'], ['0.131', '', '0.013', '**0.831', 'log', '', '', '', ''], ['', '', '', '', 'sigm', '', 'tanh', 'sigm', ''], ['', '', '', '', '**0.360', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.23534358981882644, 0.0, 0.0, 0.1556595018536946, 0.0, 0.0], [0.0, 0.0, 0.3398106065054838, -0.0003045843215906059, 0.0, 0.0, 0.0, 0.0, 0.0], [1.4594135903934362, 0.0, 0.0, 0.0, 0.0, 0.0, -8.808652034454692e-05, 0.0, 0.0], [0.036998310406015734, 0.0, 0.7461598457417308, 0.0, 0.0, 0.0, 1.2338546942536248, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4924259051560937, 0.01255475770520064, 0.8432303765599005], [1.0818843647422745, 0.0, 0.13744652740453675, 0.0, 0.0, 0.46416080071084914, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.15705601249582865, 0.0, 0.14561260100176737, 0.0], [0.0, 0.0, 0.38158899075235325, 0.00023912829865512062, 0.0, 0.3920247844635962, 0.0, 0.019910023375579903, 0.0], [0.0, 0.0, 0.0, 1.351744797071378, 0.0, 0.13483470892338273, 0.0, 0.0, 0.0]]","[[0.018842095246201934, 0.0, 0.007579958997916009, 0.03190815651925014, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.034170406076817345, 0.05691389750848151, 0.0, 0.018775096802941066, 0.0, 0.0, 0.0, 0.0013228043480108696], [0.3749759805511186, 0.0, 0.0, 0.0, 0.010728247269591583, 0.009103948023272284, 0.0, 0.059453245171614925, 0.0], [0.0, 0.0, 0.38624259281991546, 0.0, 0.0, 0.0, 0.2236224779089629, 0.0, 0.0], [0.0, 0.0, 0.0004328694745777237, 0.0, 0.0, 0.0, 0.0, 0.016141257836859785, 0.6218833901106238], [0.07525156070440057, 0.0, 0.01974213956286732, 0.0, 0.0, 0.21892927642724946, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.029311528205083363, 0.0, 0.0, 0.0, 0.10046864615284748, 0.0], [0.0, 0.0, 0.10757609654844581, 0.0, 0.00912556524583653, 0.2377305727026874, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5066879809696123, 0.008849117100046827, 0.07700667672898766, 0.0, 0.013106497223915018, 0.012830562133309277]]"
"[[['', '', '', '', '', '', '', '', ''], ['', 'sigm', 'log', 'cos', '', 'sigm', '', 'sigm', ''], ['', '', '', '', '', '', '', '', ''], ['', 'log', '', '', '', 'tanh', '**0.637', 'sin', ''], ['sin', '', 'log', '', 'cos', '', '', '', 'sin'], ['', '', '', '', '', '', '', '', ''], ['', '', '', '', '-0.046', '', '', '', ''], ['', '', '', '', '', '', '', 'cos', ''], ['', '', '', '', '', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.33894214507189, 0.0, 0.0, 0.0, 0.0], [0.0, 0.32858753102495925, 0.0, 1.4945236213118704, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.5267677500969126, 0.0, 0.0, 1.5017591153545387, 0.0, 0.0, 0.0, 0.0], [0.0, 0.8823337080430749, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.062637785765438, 0.0, 0.016252659503049532, 0.0, 0.0], [0.0, 0.028810043710111564, 0.0, 0.31198517659432273, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5652598397584163, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.03227508164859589, 0.0, 0.27749962911475856, 0.0, 0.0, 0.0, 0.24757157196959892, 0.0], [0.0, 0.0, 0.0, 0.0, 0.3030236444240242, 0.0, 0.0, 0.0, 0.0]]","[[0.007169482636128891, 0.0, 0.0, 0.0, 0.0, 0.008072798523805883, 0.02806109904538595, 0.0, 0.022995976830982152], [0.0, 0.0, 0.0, 0.43966958860209426, 0.0, 0.0, 0.006064855862301484, 0.0, 0.0], [0.0, 0.07113553885211932, 0.006336317731570996, 0.0, 0.04653254548288331, 0.002850480490305187, 0.001045954586304875, 0.0, 0.0], [0.0, 0.13359605997168286, 0.0, 0.009322782789300064, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.002261305716905658, 0.0, 0.03967474577201347, 0.23162262968370628, 0.0, 0.019207449049170666, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00901012861424936, 0.0, 0.021516679411237315], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011782167344994423, 0.00655581129942687], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020130319501642933, 0.22511374354587146, 0.006359166375212061], [0.01025549021301743, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017461210887244952, 0.004590613826636143, 0.0]]"
"[[['', '', '', '', 'cos', '', '', '', ''], ['', '**0.575', 'sigm', 'log', '', '', '', 'tanh', ''], ['', '**0.462', '', '', 'log', '', '', '', ''], ['', '', 'sigm', '', '', '', '', '', ''], ['cos', '', '**0.757', '', '', '', '', '', ''], ['', '', '', '', '', '', '', '', ''], ['', 'tanh', '', '', 'sin', '', 'log', '**0.746', ''], ['', '', 'sigm', '', '', '', '', '', ''], ['', '', '', '', '', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.25549054545679867, 0.0, 0.0, 0.0, 0.0], [0.0, 0.20189691803065246, 0.10781899606093481, 0.0, 0.0, 0.0, 0.02427478939124447, 0.0, 0.0], [0.0, 0.003769013733808054, 0.0, 0.005558409323687613, 0.23777809709044614, 0.0, 0.0, 0.008135601246565101, 0.0], [0.0, 0.5346790782727968, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.12289567575358125, 0.0, 0.1212698946563639, 0.0, 0.0, 0.0, 0.42930865199120544, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11908921644713456, 0.0, 0.0], [0.0, 0.11375674618711011, 0.0, 0.0, 0.0, 0.0, 0.2336240494606894, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.00428303968510231, 0.0, 0.01914191578321624, 0.0, 0.12037312662109854, 0.0, 0.0, 0.003325677953205575, 0.0], [0.003758163056292785, 0.06203152276153626, 0.060097730248888794, 0.0, 0.0, 0.0, 0.0, 0.001077002995777351, 0.0], [0.002593918791881736, 0.002197244073879617, 0.0, 0.0, 0.07192386385054227, 0.0046156675444188324, 0.0, 0.0, 0.0], [0.00434030383853059, 0.3445383575382115, 0.017241370060529934, 0.0, 0.0, 0.0016006406890645994, 0.0, 0.0, 0.0], [0.09412734381385429, 0.0, 0.11469720338860492, 0.004070126983155078, 0.010442813751677443, 0.0, 0.24821761978834334, 0.0, 0.0], [0.0010237792724135495, 0.0, 0.007675590485969104, 0.008746910115246913, 0.009434830194302326, 0.009952388305715335, 0.0, 0.0, 0.0], [0.013466535938753571, 0.008258921407791869, 0.01628470946881268, 0.0, 0.0, 0.002339159205218503, 0.059482281393293444, 0.0, 0.0], [0.0, 0.047613132568419016, 0.01766294405946444, 0.0072330952372488275, 0.0, 0.0, 0.0638178372168779, 0.0018776676619013137, 0.0], [0.0, 0.0, 0.0034979716640343252, 0.0, 0.0, 0.012941884401806096, 0.0, 0.014441676347838658, 0.003926277519056465]]"
"[[['', '', 'tanh', '', '', '0.145', 'log', '', ''], ['', 'log', 'cos', '0.072', '', '', '', '', '-0.032'], ['', 'cos', '', '**0.092', '', 'sin', '**0.929', 'sigm', ''], ['cos', '', '', '', '', '', '', 'cos', ''], ['', '', '', '', '', '', '', '', ''], ['', '', '', '', '', '', 'log', 'log', ''], ['', '', '', '', '-0.097', '', '', '', ''], ['tanh', '', '', '', '', '', '', '', ''], ['cos', 'sigm', '', 'tanh', '', '', '', '', '']]]","[[0.0, 0.0, 0.0, 1.0131157580521268, 0.0, 0.0, 0.0, 0.3890402010613203, 1.0391048109439982], [0.0, 1.509827990570908, 0.8271568467435025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30117897278415073], [1.002624647618532, 0.9278725060158092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.014625026771642655, 1.18523722980007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.751975899931493], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007775459167729327, 0.0, 0.0], [0.24406122323356302, 0.0, 0.9617862440780351, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.5396808338349326, 0.0, 0.37404817256536393, 0.0, 0.0, 1.5229948671563702, 0.0, 0.0, 0.0], [0.0, 0.0, 0.05036578902055261, 0.2603640659334666, 0.0, 0.969514362771304, 0.0, 0.0, 0.0], [0.0, 0.008154144515366725, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.08145776380075292, 0.7404853596523058, 0.0, 0.0, 0.0, 0.3017198194325177, 0.49442702079225515], [0.0003731452904761402, 0.5974004411150188, 0.15361617456685203, 0.0, 0.0, 0.0029929416600569603, 0.0, 0.0005947689215401454, 0.0], [0.15052444237392285, 0.3825587966842753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04963412393454416], [0.0, 0.0, 0.2824091585436176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11529305690466046], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014752261810017545, 0.0, 0.0], [0.0, 0.0, 0.2502026537418449, 0.1489875927991193, 0.0, 0.0012899863263656326, 0.0, 0.07202200854680169, 0.07554331582864098], [0.0, 0.0, 0.0, 0.0, 0.0034649814810732557, 0.055794261634142875, 0.0002557009663986799, 0.007304849227410626, 0.0], [0.0, 0.0, 0.0, 0.030288373565233066, 0.0, 0.08398508708957227, 0.0, 0.0, 0.0], [0.0, 0.0, 0.15496037512400723, 0.0, 0.0, 0.011575151540709828, 0.01334521644649128, 0.0, 0.06976022879346089]]"
"[[['', '', '', '', '', 'log', '', '', ''], ['', '', '', '', '', '', '', '', ''], ['', '', '', '', '', '', '0.026', '', ''], ['', '', '', 'cos', '', '', '', '0.091', 'sin'], ['sigm', '', '', '', '', '', '', '', 'tanh'], ['', '', '', '', 'cos', 'sin', '', 'tanh', 'log'], ['', '', '', '', '', '', '', '', ''], ['', '', '', '', 'cos', '', '', '', ''], ['', '', 'sin', '', '', '', 'log', '**0.254', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.23529108523358477, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3209044964223246], [0.0, 0.0, 0.0, 0.5657129423557071, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.2761357269178583, 0.0, 0.2644099620133212, 0.0], [1.3496501087500334, 0.0, 0.0, 0.0, 0.0, 0.9347631763384044, 0.0, 0.0, 0.0], [0.0, 0.0, -0.000699085434673511, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4991671792142205], [0.0, 0.0, 0.0, 0.011368004011123667, 0.0, 0.2421653594213532, 0.0, 0.0, 0.23172432252100877], [0.0, 0.0, 0.0, 0.9177633083157531, 0.7507371640898493, 1.6007782669433506, 0.0, 0.0, 0.0]]","[[0.025635575215898737, 0.0010624487867264948, 0.0, 0.0, 0.05993889290275101, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.013185005520894607, 0.0, 0.0, 0.0, 0.03917362003435918, 0.0, 0.0], [0.0, 0.022714202184205584, 0.0, 0.0, 0.0, 0.0, 0.035487258633213004, 0.0, 0.0], [0.03159929749133034, 0.021964115467827422, 0.0, 0.18812192883931736, 0.012836946510877944, 0.0, 0.004977839944440604, 0.04932841730786456, 0.0], [0.13401860919080869, 0.002059453060522852, 0.0, 0.0, 0.0, 0.0015611959131930865, 0.013408797558426633, 0.1918850071089795, 0.0], [0.8241239021729946, 0.0, 0.0, 0.0, 0.0, 0.08275715223981572, 0.0, 0.0, 0.0], [0.0, 0.024172098991003116, 0.0200480381809654, 0.0, 0.008188666672006325, 0.0, 0.0, 0.0, 0.12445324436496956], [0.0, 0.001246801184889408, 0.0057504180649955725, 0.0, 0.011660601874637404, 0.0, 0.02778018743404649, 0.0021619965319457394, 0.0], [0.0, 0.0, 0.0, 0.7035170441420806, 0.5310020015453188, 0.7861783120207728, 0.0, 0.0, 0.0]]"
"[[['sigm', '', 'tanh', '', '', '', '', '', 'sin'], ['', '', '', '', 'log', '', '', 'sigm', ''], ['', 'cos', '', '', 'tanh', '', '', '', '-0.048'], ['', '', '', '', '', '', '', '', ''], ['', '', '', '0.060', '', '', 'cos', '', ''], ['', '', '', '', '', 'sin', '', '', ''], ['', '', '', 'cos', '', 'log', '', '', ''], ['log', 'cos', 'tanh', '', 'sin', '**0.971', '', '', ''], ['', '**0.557', '', 'sigm', '', '', '**0.197', '', 'cos']]]","[[0.09017908991498486, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9081174684757439, 0.0], [0.0, 0.0, 0.5108669924828273, 0.0, 0.0, 0.0, 0.0, 0.5150994782070156, 1.1351783113112452], [0.45240868977572596, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47318950573089197, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0009979914580104058, 0.0, 0.028557836744039455, 0.0, 0.02537209195252975], [0.0, 1.2707153826303277, 0.5663507470431026, 0.0, 0.0, 0.0, 0.0, 0.6570718822848701, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.8167168606560814, 1.483422117401911, 0.9334799939369264, 0.0], [0.0, 0.0, 0.0, 0.0, 0.7040891445141229, 0.0, 0.0, 0.0, 1.3536031085538525], [0.0, 0.11159523183799877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.9074118736462227, 0.0, 0.02641350191468436, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0517771960631133]]","[[0.04427078597447887, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01733995136001312, 0.11463071103320487, 0.0], [0.0, 0.0, 0.17354776503243172, 0.0, 0.0, 0.0, 0.0, 0.07644309385488708, 0.36919753389904536], [0.12649102812114557, 0.0, 0.036942748835308424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.011628846838077016, 0.0, 0.0, 0.0, 0.0], [0.011875899377531814, 0.617864620003048, 0.22633221756860528, 0.0, 0.0, 0.0, 0.0, 0.16280202452078782, 0.0], [0.0, 0.0, 0.0, 0.0, 0.04664041820988632, 0.7504533395902769, 0.4287804956274638, 0.1365246218518288, 0.06494820368621881], [0.0, 0.0, 0.0, 0.0, 0.50069019995812, 0.0, 0.19440339685298041, 0.05339909550504251, 0.3752657572009642], [0.014126770884994791, 0.03426592123011316, 0.0, 0.0, 0.0008203098739595882, 0.0, 0.015615084180808906, 0.19263292032861312, 0.018054069241262686], [0.5467096949544445, 0.0, 0.0, 0.0, 0.010359519968571724, 0.0, 0.0, 0.03221896664120122, 0.2125785883311187]]"
