coefficients,di_exact,knn_subset_cor,knn_subset_mi,knn_subset_pc
"[[[0.5797281288590557, 0.0], [0.0, 0.0]]]","[[0.21307771949942314, 0.0], [0.0, 0.0]]","[[0.22924683029238832, 0.013076379565711624], [0.0, 0.0]]","[[0.23685284050350136, 0.013076379565711624], [0.0, 0.0]]","[[0.22924683029238832, 0.013076379565711624], [0.0, 0.0]]"
"[[[0.4804438429861174, 0.0], [0.0, 0.0]]]","[[0.13057299416897614, 0.0], [0.0, 0.0]]","[[0.08532063391480892, 0.019101551165865968], [0.027533051961214482, 0.0]]","[[0.08532063391480892, 0.019101551165865968], [0.027533051961214482, 0.0]]","[[0.08532063391480892, 0.019101551165865968], [0.027533051961214482, 0.0]]"
"[[[-0.5465162337694904, 0.0], [0.0, 0.0]]]","[[0.15905022505410027, 0.0], [0.0, 0.0]]","[[0.16541759833013014, 0.0], [0.0, 0.0]]","[[0.16541759833013014, 0.0], [0.0, 0.0]]","[[0.16541759833013014, 0.0], [0.0, 0.0]]"
"[[[0.0, 1.3342873125277799], [0.0, -0.21043518784905133]]]","[[0.0, 0.0], [0.5313488211225217, 0.01759794396505674]]","[[0.0, 0.0], [0.4477345126079478, 0.0032163323817080923]]","[[0.0, 0.0], [0.4477345126079478, 0.0]]","[[0.0, 0.0], [0.4477345126079478, 0.0032163323817080923]]"
"[[[-0.7621612335184318, 0.0], [0.0, 0.0]]]","[[0.45519633089683936, 0.0], [0.0, 0.0]]","[[0.4326936723885312, 0.0009740134591841933], [0.0, 0.0]]","[[0.4326936723885312, 0.0009740134591841933], [0.0, 0.0]]","[[0.4326936723885312, 0.0009740134591841933], [0.0, 0.0]]"
"[[[0.0, 0.0], [0.0, 0.7374528920844957]]]","[[0.0, 0.0], [0.0, 0.40671961411711954]]","[[0.0, 0.0029412091663923155], [0.024517989818654072, 0.4311023614064079]]","[[0.0, 0.0029412091663923155], [0.024517989818654072, 0.4311023614064079]]","[[0.0, 0.0029412091663923155], [0.024517989818654072, 0.4311023614064079]]"
"[[[0.4176081055769151, 0.0], [-0.2470902584094554, 0.0]]]","[[0.08924088571364087, 0.03352646520088034], [0.0, 0.0]]","[[0.039212393956946846, 0.04800573358172437], [0.04055916143819117, 0.03632172897190338]]","[[0.039212393956946846, 0.04800573358172437], [0.04055916143819117, 0.03632172897190338]]","[[0.039212393956946846, 0.04800573358172437], [0.04055916143819117, 0.03632172897190338]]"
"[[[0.0, -0.9157869412652085], [0.0, 0.7377866556396434]]]","[[0.0, 0.0], [0.49977559587156906, 0.40784916058277115]]","[[0.040835442218359816, 0.0002679784987846554], [0.3614541423797728, 0.2969379852406715]]","[[0.040835442218359816, 0.0002679784987846554], [0.3614541423797728, 0.2969379852406715]]","[[0.040835442218359816, 0.0002679784987846554], [0.3614541423797728, 0.2969379852406715]]"
"[[[0.5506368393466918, 0.0], [0.0, 0.0]]]","[[0.1829775644565208, 0.0], [0.0, 0.0]]","[[0.1811239473346334, 0.015266709969134769], [0.0, 0.0]]","[[0.1811239473346334, 0.015266709969134769], [0.0, 0.0]]","[[0.1811239473346334, 0.015266709969134769], [0.0, 0.0]]"
"[[[0.0, -0.7617738535883142], [-0.7961948737096259, 0.0]]]","[[0.0, 0.44526551439703066], [0.48566933717862765, 0.0]]","[[0.0, 0.4404937435099585], [0.4661109556044391, 0.0]]","[[0.0, 0.4404937435099585], [0.4661109556044391, 0.0]]","[[0.0, 0.4404937435099585], [0.4661109556044391, 0.0]]"
