coefficients,di_exact,knn_sqrt,knn_sqrt_2,knn_sqrt_4
"[[[0.0, -0.26281296683940475, 0.0], [0.7028651215022647, 0.0, 0.7292216135389885], [0.0, 0.3161409749804907, 0.0]]]","[[0.0, 0.2664726293838078, 0.0], [0.0764041629054715, 0.0, 0.08613101662986641], [0.0, 0.24460748226620174, 0.0]]","[[0.0, 0.1482177662945071, 0.0], [0.038376514852545895, 0.0, 0.03495033980355405], [0.0, 0.1263961923117194, 0.0]]","[[0.0, 0.18789924265795013, 0.0], [0.03067661902622221, 0.0, 0.04686997980790838], [0.0, 0.1627877297392595, 0.0]]","[[0.0, 0.23238922315986632, 0.0], [0.06786107669363287, 0.0, 0.05769897398195242], [0.0, 0.21585485034754015, 0.0]]"
"[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.1336873426775422, -0.17422182386141163]]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.00490079196989422], [0.0, 0.0, 0.013154408624199322]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.005369184173659686]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.009114344908841098, 0.0, 0.019255700683026997]]"
"[[[-0.1269283955664112, 0.0, -1.341691435126721], [-0.4472929686707702, 0.0, 0.0], [0.0, 0.0, 0.0]]]","[[0.027103915106793858, 0.2622531605256939, 0.0], [0.0, 0.0, 0.0], [0.5400575117240025, 0.0, 0.0]]","[[0.0, 0.20157900727513048, 0.0], [0.0, 0.0, 0.0], [0.3776580935935723, 0.0, 0.0]]","[[0.0, 0.23471818916737083, 0.0], [0.0, 0.0, 0.0], [0.4355979210007207, 0.0, 0.0]]","[[0.0, 0.2430894631855925, 0.0], [0.0, 0.0, 0.009112372835371163], [0.4959451781651296, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, -0.5884524492292157]]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.26955122786650054]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.23254061961123976]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.2396456583769357]]","[[0.005703583766517518, 0.028730323408952853, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.25771051747923135]]"
"[[[0.19224139842835633, 0.0, -0.26183848593117326], [0.0, 0.0, 0.0], [2.0299564574708264, -0.5046286983010405, 0.0]]]","[[0.03407802744896569, 0.0, 1.070579712482449], [0.0, 0.0, 0.10962096197393296], [0.2115213202858355, 0.0, 0.0]]","[[0.0, 0.0, 0.6612245067950207], [0.0, 0.0, 0.0], [0.12044814855761167, 0.0, 0.0]]","[[0.0, 0.0, 0.7767968795571503], [0.0, 0.0, 0.0], [0.1600657619080296, 0.0, 0.0]]","[[0.0009462594806236792, 0.0, 0.8649260204578433], [0.0, 0.0, 0.0], [0.1810401871987422, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.4011496889001836, 0.3448064642030487]]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.060618564209699036], [0.0, 0.0, 0.07183440591209045]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.01527061851622892], [0.0, 0.0, 0.036287747310230066]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.035614612662322104], [0.0, 0.0, 0.05604837705780397]]","[[0.0017251818540696432, 0.0, 0.0], [0.0, 0.0, 0.059541469310390505], [0.0, 0.0, 0.07169887030778056]]"
"[[[0.2733543477066353, 0.0, 0.44139105424733416], [0.0, 0.0, -0.9384326598378279], [0.0, 0.0, 0.0]]]","[[0.04898759475511876, 0.0, 0.0], [0.0, 0.0, 0.0], [0.08094564151505153, 0.32397615861345214, 0.0]]","[[0.013565191604627148, 0.0, 0.0], [0.0, 0.0, 0.0], [0.040888967040386595, 0.26057015071840045, 0.0]]","[[0.026951985932696543, 0.0, 0.0], [0.0, 0.0, 0.0010924965561194765], [0.058232237240678913, 0.3031564272591453, 0.00040362646022323905]]","[[0.0005130253016139111, 0.0, 0.0], [0.0, 0.0, 0.0], [0.03465479173915021, 0.2768804032283483, 0.0]]"
"[[[0.0, -2.555690258331545, 0.10059878671756675], [0.0, 0.0, 0.0], [0.0, 2.101617684486708, -0.7665452337956791]]]","[[0.0, 0.0, 0.0], [0.9909509651159251, 0.0, 0.8669110179091011], [0.06828258492816217, 0.0, 1.088957152990588]]","[[0.0, 0.0, 0.0], [0.3163429108995063, 0.0, 0.27133623701218135], [0.0, 0.0, 0.3350820101976691]]","[[0.0, 0.0, 0.0], [0.4836960551282917, 0.0, 0.4115353609390527], [0.0, 0.0, 0.4570469335130452]]","[[0.0, 0.0, 0.0], [0.6285358776661044, 0.0, 0.555295428718637], [0.0, 0.0, 0.5796506233330477]]"
"[[[0.40311156380468727, 0.0, 1.1006220271963145], [-0.44080525465393533, 0.0, -2.024249042028404], [0.0, 0.0, 0.0]]]","[[0.1798538823166674, 0.1919710934583438, 0.0], [0.0, 0.0, 0.0], [0.41185360723202613, 0.7958874627263428, 0.0]]","[[0.004416372715908817, 0.0, 0.0], [0.0, 0.0, 0.0], [0.26750676500648124, 0.48005497246241974, 0.0]]","[[0.02365907430269939, 0.0, 0.0], [0.0, 0.0, 0.0], [0.311417395190829, 0.5743784636567612, 0.0]]","[[0.03394791081148962, 0.0, 0.0], [0.0, 0.0, 0.0], [0.3248438411168648, 0.6545609053220681, 0.0]]"
"[[[0.0, 0.0, 0.0], [0.0, 0.28810450703176677, 1.1742318419792748], [1.6516584064447888, 0.0, 0.0]]]","[[0.0, 0.0, 0.6723600381784476], [0.0, 0.17772847201233524, 0.0], [0.0, 0.9245528161606256, 0.0]]","[[0.0, 0.0, 0.3532681898250811], [0.0, 0.011492119863171916, 0.0], [0.0, 0.7454049349027573, 0.0]]","[[0.0, 0.0, 0.4567456291634834], [0.0, 0.03947379016557738, 0.0], [0.0, 0.7943614381315748, 0.0]]","[[0.0, 0.0, 0.5354374649507595], [0.0, 0.08001367588927584, 0.0], [0.0, 0.8367409347650803, 0.0]]"
"[[[0.0, 0.347273136167521, 0.0], [1.1107899869244886, 0.46113719120979085, 0.0], [0.0, 0.0, 0.0]]]","[[0.0, 0.5268846687745334, 0.0], [0.2690961995962229, 0.3555352435377948, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.3391720981678841, 0.0], [0.18550675510376735, 0.18753600811299576, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.3783911024464209, 0.0], [0.223373375319852, 0.24689998919665615, 0.0], [0.0, 0.0, 0.0]]","[[0.00499651493843575, 0.45624903455421884, 0.012855878408934297], [0.28207369316405917, 0.314872500002391, 0.012420231114296014], [0.0, 0.012328326636005374, 0.0]]"
"[[[0.32395436915651965, 0.0, 0.0], [0.0, 0.2681423545752638, -0.3850720967630631], [0.0, 0.0, 0.0]]]","[[0.06009784024060301, 0.0, 0.0], [0.0, 0.042732340730672363, 0.0], [0.0, 0.04625704092254202, 0.0]]","[[0.027459150267600735, 0.0, 0.0], [0.0, 0.002443579882973671, 0.0], [0.0, 0.023826154935646993, 0.0]]","[[0.037718463794753326, 0.0, 0.004151702315247319], [0.0, 0.02529501195158564, 0.0], [0.0, 0.014822430023453874, 0.0]]","[[0.08402147491870797, 0.0, 0.02043255160328492], [0.0014726299560412963, 0.002165585048807082, 0.009666519986007907], [0.0, 0.017134594374660653, 0.0]]"
"[[[-0.20308836126831867, 0.0, 2.179246990804056], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]]","[[0.13929056393530526, 0.0, 0.0], [0.0, 0.0, 0.0], [0.884624299225623, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.5203285119188161, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.6404766066397283, 0.0, 0.0]]","[[0.0, 0.0, 0.028392618626838773], [0.0, 0.0, 0.01963725908164748], [0.7331634905864384, 0.0, 0.0]]"
