coefficients,di_exact,knn_sqrt,knn_sqrt_2,knn_sqrt_4
"[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.35338780267651165, 0.0, 0.0, 0.0, 0.0, 0.7522389944172236], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.512751141611996, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2878324436418374, -1.2442475230460113, 0.0, 0.0], [0.0, 0.16742272406188083, 0.0, 0.0, 1.5439813421914583, 0.0]]]","[[0.0, 0.05667032916729399, 0.0, 0.12879863715702264, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.07180455948132229], [0.0, 0.0, 0.0, 0.0, 0.04832072518984436, 0.0], [0.0, 0.0, 0.0, 0.0, 0.5616990318528498, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0390381982321182], [0.0, 0.8968680421481383, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.03356623756647064, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.24668937175782407, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.6378778282567718], [0.0, 0.7185489041398624, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.005882579640629271, 0.0, 0.057968335778358984, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.2931935718964518, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.7091774213134393], [0.0, 0.7667127087275608, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.016202241302147757, 0.0, 0.07575674632000416, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0050391175674872534, 0.0, 0.3607932456865297, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.8097499272610418], [0.0, 0.7920218657801434, 0.0, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, 1.252787248532485, 0.0, 0.0, -0.9455048022452839], [0.0, 0.34876582561145336, 0.0, 0.0, 1.5891898225524026, 0.0], [0.0, 0.519216741859115, 0.0, 0.0, 0.6230983242664437, 0.0], [0.0, 0.0, 0.0, 0.0, 0.5102926126828493, 0.0], [0.44360299234212, 0.0, -0.4151445176347204, 0.0, 0.0, 0.17607538914267226], [0.0, 0.0, 0.0, 0.2190982981469739, -0.3996158826559313, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.53627969336598, 0.0], [0.0, 0.33099993428486835, 0.5845265369516295, 0.0, 0.0, 0.0], [0.9371740858185627, 0.0, 0.0, 0.0, 0.22331161192778276, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.03725138743828539], [0.0, 1.074590480032886, 0.3761297572021707, 0.30263116430585807, 0.0, 0.19458087974195282], [0.44018608450561214, 0.0, 0.0, 0.0, 0.036366611489018555, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.26029205767398944, 0.0], [0.0, 0.0, 0.1515187051969596, 0.0, 0.0, 0.0], [0.2780201713054355, 0.0, 0.0, 0.0, 0.017201046855705268, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.4820148618780808, 0.12500276290485696, 0.1339951426080517, 0.0, 0.05382867676085956], [0.04774692101597961, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.2943197008469022, 0.0], [0.0, 0.0, 0.1689636438454611, 0.0, 0.0, 0.0], [0.317582179590168, 0.0, 0.0, 0.0, 0.03291697239915661, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.5719977094476912, 0.16899139652067047, 0.16895684985826728, 0.0, 0.09475311792969847], [0.07719300971313585, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.29480785611918214, 0.0], [0.0, 0.0, 0.176367523280745, 0.0, 0.0, 0.0], [0.3497968155363979, 0.0, 0.0, 0.0, 0.04614026352149102, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.5971576429711526, 0.1716567290462141, 0.16193540352275038, 0.0, 0.07906858289245816], [0.10763339580683683, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, -0.3684309584362029, -0.8616760833636987, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.35235891234521316, 0.33624461946190065, 0.0, 0.9965030392082386], [0.0, 0.0, 0.0, -0.2972015378476106, 0.0, 0.0], [1.2286084637356878, -0.5458066667239692, -0.5437484951861682, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -0.675146015655686, -0.5443270285590008, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.7549638460102481, 0.0], [0.0, 0.0, 0.0, 0.0, 0.11273719454614405, 0.0], [0.2716790517013083, 0.0, 0.25634176227541755, 0.0, 0.43886688955674386, 0.0], [0.2741639255718372, 0.0, 0.06069761602244982, 0.04744956643223528, 0.0, 0.21007234079288656], [0.0, 0.0, 0.0, 0.0, 0.0, 0.534642680091336], [0.0, 0.0, 0.7534065995530382, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.36172248647047206, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.1256497651453931, 0.0, 0.04735803010987898, 0.0, 0.1564375463625418, 0.0], [0.0907081071147664, 0.0, 0.0, 0.0, 0.0, 0.058625251218070176], [0.0, 0.0, 0.0, 0.0, 0.0, 0.3139241042440144], [0.0, 0.0, 0.4553536635895705, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.4120560744126163, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.15742655903425248, 0.0, 0.058442973176149174, 0.0, 0.18270510898460013, 0.0], [0.12716046656990362, 0.0, 0.0, 0.0070188803219530475, 0.0, 0.07657537723397367], [0.0, 0.0, 0.0, 0.0, 0.0, 0.34756507158441863], [0.0, 0.0, 0.5095617365140084, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.4757982083686951, 0.0], [0.0, 0.0, 0.0, 0.0, 0.017191064934532613, 0.0], [0.18584314622305917, 0.0, 0.09752888188048177, 0.0, 0.23004134181273805, 0.0], [0.15728651559957962, 0.0, 0.005399877317821853, 0.018595285241348767, 0.0, 0.12107779104435402], [0.0, 0.0, 0.0, 0.0, 0.0, 0.3750675325742661], [0.0, 0.0, 0.5802115057379464, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.6393933426962475, 0.0, 0.0, -0.31668326242327105, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.6272375491483757, -2.0145914692507825, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.23491622333482862, 0.4874523902441977, 0.0, -0.3335617667108837]]]","[[0.0, 0.0, 1.1828122886087418, 0.0, 0.0, 0.0], [0.1534589309885215, 0.0, 0.8180379993737148, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.2901708993680689], [0.0, 0.0, 0.0, 0.0, 0.0, 0.10138690896923122], [0.05530043957067081, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.12485180848215983]]","[[0.0, 0.0, 0.3304841478824579, 0.0, 0.0, 0.0], [0.06087979440979259, 0.0, 0.09713370105295499, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.1655427034575841], [0.0, 0.0, 0.0, 0.0, 0.0, 0.024633394924070767], [0.010668348737671758, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.061727815206612704]]","[[0.0, 0.0, 0.41380879735672865, 0.0, 0.0, 0.0], [0.06704004120168817, 0.0, 0.15868436306759565, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.17974739871136533], [0.0, 0.0, 0.0, 0.0, 0.0, 0.040001443047810586], [0.009469814153934096, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.07067193083205045]]","[[0.0, 0.0021854375047221483, 0.5147375896691628, 0.0, 0.0, 0.0], [0.09172776407805518, 0.0, 0.24052353190313303, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.2077430434142006], [0.0, 0.0, 0.0, 0.0, 0.0, 0.06538046915739124], [0.011286651018028792, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.08182026214952254]]"
"[[[0.0, -0.664614022914935, 0.0, -2.1706712176216554, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.7626034387466878, -0.11661268875288151, -0.25064754146633905, 0.0], [0.0, 0.0, -0.3492874306695508, 0.0, 0.0, -0.3343172152653715], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.17366069897214217, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.22127635903747822, 0.05940465701861685, 0.0], [1.1180460327962467, 0.0, 0.0, 0.008127855767032966, 0.0, 0.0], [0.0, 0.0, 0.0, 0.03750708275457832, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.047767661233237536, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.10730021524175688, 0.013621525189276777, 0.0], [0.5961088710314263, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.13426281041318128, 0.01934096982540492, 0.0], [0.6779472978103038, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0036848967462616185, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.1522395471055002, 0.037354265978221286, 0.0], [0.7344635113165038, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0018681668600398322, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.005886868624871856, 0.0]]"
"[[[0.0, 0.0, 0.0, 2.547799927174227, 0.0, 0.0], [0.34905903924836806, 0.0, 0.290462774290245, 0.0, 0.0, 0.0], [0.0, -0.16615458484954226, 0.0, 0.0, 0.16782886860005627, 0.0], [0.0, 0.0, 0.5029173481300298, 0.0, 0.0, 0.0], [0.0, 0.0, -0.7703087405670951, 0.3779588449777535, 0.0, 0.0], [-0.4027703839520051, 1.0280872842348734, 0.0, 0.0, -2.5272256266052686, 0.0]]]","[[0.0, 0.41530509642206537, 0.0, 0.0, 0.0, 0.48307122346532505], [0.0, 0.0, 0.02667227508830994, 0.0, 0.0, 0.5939382955157793], [0.0, 0.02898841482249571, 0.0, 0.11169336474381757, 0.20742213075601654, 0.0], [1.1598507440533037, 0.0, 0.0, 0.0, 0.07850380084848457, 0.0], [0.0, 0.0, 0.03212727280637347, 0.0, 0.0, 1.2606769086168663], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.26233137867184236, 0.0, 0.0, 0.0, 0.029565361993886187], [0.0, 0.0, 0.0, 0.0, 0.0, 0.021979686565824604], [0.0, 0.0, 0.0, 0.012488365485048161, 0.039108108890099164, 0.0], [0.2832019217452493, 0.0, 0.0, 0.0, 0.0011265239171290044, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.2911932468663867], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.28276729862896144, 0.0, 0.0, 0.0, 0.024491472198770178], [0.0, 0.0, 0.0, 0.0, 0.0, 0.07158445443268086], [0.0, 0.0, 0.0, 0.01794433757751902, 0.060433359652395144, 0.0], [0.3620194075412026, 0.0, 0.0, 0.0, 0.006510279271609858, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.3893311537422214], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.27819706776271746, 0.0, 0.0, 0.0, 0.03502455366525303], [0.0, 0.003271565974108735, 0.0, 0.0, 0.0, 0.10574195260058919], [0.0, 0.0, 0.0, 0.019361646266813522, 0.07632267029395959, 0.0], [0.4552420869852791, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.48558687267259654], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[[0.0, -0.4427596298503872, 0.0, 0.0, 0.0, -1.0409968574290187], [0.0, -0.25477526757557745, 0.524675992695029, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.5355044135012494, -0.5856705329329487, 0.0, 0.0], [0.37424668013125656, 0.0, 0.0, 0.0, 0.22864807867013534, 0.0], [0.11509988221731467, 0.0, -0.6623439771762747, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.15164223286896863, 0.010615207274426684], [0.11419448699790684, 0.05186552282924273, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1254604050528066, 0.0, 0.1316289252433292, 0.0, 0.18363469431295226], [0.0, 0.0, 0.0, 0.2418976253642094, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.02153476155564138, 0.0], [0.47956752756713433, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.08591624460706677, 0.0], [0.0, 0.0010486163065533585, 0.0, 0.0, 0.0, 0.0], [0.0, 0.06910154407803633, 0.0, 0.042828557422104105, 0.0, 0.10436030420291754], [0.0, 0.0, 0.0, 0.13534764263909094, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.2530168971127446, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.10818459271782822, 0.0], [0.013968335049180481, 0.03124360561101627, 0.0, 0.0, 0.0, 0.0], [0.0, 0.08812252333237551, 0.0, 0.048812815995403505, 0.0, 0.13103297310026651], [0.0, 0.0, 0.0, 0.1445295501204124, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.27919082692503944, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.09139559550832686, 0.0], [0.04345993343065252, 0.03430744125665145, 0.0, 0.0, 0.0, 0.0], [0.0, 0.08066757291149873, 0.0, 0.04795971407795578, 0.0, 0.1212791934816051], [0.0, 0.0, 0.0, 0.17440549761313773, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.32014357441007085, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.9693494635334459], [-0.6929198430610771, 0.0, 0.0, 0.26068202131122525, 0.2148165452930079, 0.0], [0.0, 0.7393473034901247, 0.14095368035381675, 0.0, 0.0, 0.0], [-0.776326018914082, 0.0, 0.0, 0.12792429122533125, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3451591915839382, 0.0, 0.0, 0.616713601679614]]]","[[0.0, 0.4886718936009345, 0.0, 0.5302894929868832, 0.0, 0.0], [0.0, 0.0, 0.5536515763588437, 0.0, 0.0, 0.0], [0.0, 0.0, 0.039274417749309024, 0.0, 0.0, 0.16693000410633352], [0.0, 0.09844585327628157, 0.0, 0.016873935636269217, 0.0, 0.0], [0.0, 0.019334965157154903, 0.0, 0.0, 0.0, 0.0], [0.5504629415410127, 0.0, 0.0, 0.0, 0.0, 0.3143439434227154]]","[[0.0, 0.2505138498207108, 0.0, 0.288626071781557, 0.0, 0.0], [0.0, 0.0, 0.22809634405157037, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.07688240620750816], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.27665859618348965, 0.0, 0.0, 0.0, 0.0, 0.13847621518088776]]","[[0.0, 0.26051271131128084, 0.0, 0.30052728166501314, 0.0, 0.0], [0.0, 0.0, 0.23679278907709875, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.08232729512543693], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.29456560085362155, 0.0, 0.0, 0.0, 0.0, 0.15738459404927652]]","[[0.0, 0.26762651346711835, 0.0, 0.3052719627144363, 0.0, 0.0], [0.0, 0.0, 0.25536178028211154, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.09842680942321368], [0.0, 0.01684847030228776, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.31285134362619216, 0.0, 0.0, 0.0, 0.0, 0.17151173688837926]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.9028737090728285, 0.6195782177225122, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.8539300154486438, 0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.28845242965996576], [0.0, 0.0, 0.0, 0.8179138846950172, 0.0, 0.0], [0.0, 0.0, 0.0, 0.6908006045747678, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.16424036017422053], [0.0, 0.0, 0.0, 0.3566555227082889, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2982163486229339, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.17110672081226225], [0.0, 0.0, 0.0, 0.437108165657218, 0.0, 0.0], [0.0, 0.0, 0.0, 0.34938711704599645, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.18132717884854105], [0.0, 0.0, 0.0, 0.478434325382803, 0.0, 0.0], [0.0, 0.0, 0.0, 0.38940295640987643, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.35342182749711765, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8385076592323472, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.8679512484840727]]]","[[0.0, 0.0, 0.2841122727961056, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.04979651686353494, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.7358287104669565]]","[[0.0, 0.0, 0.1732656157369212, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.009285763264580808, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.640904467909805]]","[[0.0, 0.0, 0.19299726827924715, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.010083413316544035, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.6686244526256133]]","[[0.0, 0.0, 0.1966359556490012, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.008704241012999926, 0.0, 0.0, 0.0, 0.0], [0.018956506889330024, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.6817949320868423]]"
