coefficients,di_exact,knn_sqrt,knn_sqrt_2,knn_sqrt_4
"[[['', 'cos', '', '', '', '0.044'], ['', '**0.964', 'tanh', '', '', ''], ['', '', '', 'sin', '', ''], ['cos', '', '', '', '', ''], ['-0.034', '', '', '', '', ''], ['', '', '', '**0.414', '', '']]]","[[0.0, 0.0, 0.0, 0.20724610471412486, 0.0028415497051262136, 0.0], [0.8787013953943548, 0.9764382437833982, 0.0, 0.0, 0.0, 0.0], [0.0, 0.24288760493203235, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.29038534549225425, 0.0, 0.0, 0.21140621053897338], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0021725880013688317, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.07243305373538478, 0.0, 0.0], [0.35526596266318367, 0.4150647982548084, 0.0, 0.0, 0.0, 0.0], [0.0, 0.06819964091185383, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.14888286237004567, 0.0, 0.0, 0.08404847967653731], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.09078552234590744, 0.0, 0.0], [0.3515235386490556, 0.4238612829543243, 0.0, 0.0, 0.0, 0.0], [0.0, 0.09169371713465595, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.17912180069126393, 0.0, 0.0, 0.08968649136738036], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.10614749029567216, 0.0, 0.0], [0.38839117636074794, 0.445916366703246, 0.0, 0.0, 0.0, 0.0], [0.0, 0.08568105585756555, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.20405142688967917, 0.0, 0.0, 0.09558491777894323], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[['', 'sin', '', 'sigm', '', ''], ['', 'sin', '', '', 'sigm', ''], ['', '', '', 'tanh', '', ''], ['', '', '**0.313', '', '', '**0.097'], ['tanh', '', '', '', '', ''], ['', '', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.04745708779428842, 0.0], [0.016460311201056746, 0.02368783651025677, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.2548955577565453, 0.0, 0.0], [0.3381727419756899, 0.0, 1.0701815558006855, 0.0, 0.0, 0.0], [0.0, 0.012881266492979528, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.2498818501132636, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2187168960699022, 0.0, 0.0], [0.24995687314517157, 0.0, 0.9573498651059978, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2006678993683047, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.3162946868782415, 0.0, 0.0], [0.2821022356886721, 0.0, 0.9625295123897107, 0.0, 0.0, 0.0], [0.0, 0.0005860052685192948, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2896679284049342, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.35260113316080943, 0.0, 0.0], [0.28384470186206906, 0.0, 0.9527331123616725, 0.0, 0.0, 0.0], [0.0, 0.010804852784147176, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.33272201399696943, 0.0, 0.0]]"
"[[['', '', '', '', '', ''], ['**0.568', '', '', 'log', '', ''], ['tanh', 'sigm', '', '', '', 'tanh'], ['sin', '', 'tanh', 'cos', '', ''], ['', '-0.085', '', '', '', 'log'], ['cos', '', 'sigm', '', '', '']]]","[[0.0, 0.6582845107352614, 0.29695035616006094, 0.3267747741449119, 0.0, 0.019113062462169143], [0.0, 0.0, 0.1920308081677505, 0.0, 0.04082496042526148, 0.0], [0.0, 0.0, 0.0, 0.08097548804238179, 0.0, 0.036088368885306914], [0.0, 1.1481432778771605, 0.0, 0.6832736495929824, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.012300310987816645, 0.0, 0.17712215248151356, 0.0]]","[[0.0, 0.1603069372978839, 0.10773523014382777, 0.08544603682741007, 0.0, 0.0], [0.0, 0.0, 0.029488956560292493, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.32334387141333587, 0.0, 0.31077291658808354, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.07063931480964004, 0.0]]","[[0.0, 0.22065117473526716, 0.14447312649695512, 0.12059585846829791, 0.0, 0.0], [0.0, 0.0, 0.05394255326713756, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.35900065093886413, 0.0, 0.3312693670108933, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.08119488882758971, 0.0]]","[[0.0, 0.28324156844568876, 0.1784772782224593, 0.1735335838094846, 0.0, 0.002386139592130527], [0.0, 0.0, 0.06683378724818681, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.3975500111985939, 0.0, 0.36668676243325826, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0050801001591170665], [0.0, 0.0, 0.0, 0.0, 0.09765371318251147, 0.012687340355673505]]"
"[[['', '', '', '', 'sigm', ''], ['sin', '', '0.169', '', '', ''], ['', 'sin', '-0.003', '', '', ''], ['sin', '', '', '', '', ''], ['', '', '', 'log', '', ''], ['tanh', '', '', '', '', '']]]","[[0.0, 0.41447280691620336, 0.0, 0.37678501393334324, 0.0, 0.3483456906296124], [0.0, 0.0, 0.54745805362422, 0.0, 0.0, 0.0], [0.0, 0.04784000895236223, 0.0001094269764540785, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.5481305543002826, 0.0], [0.1509588922741247, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.1760602648684401, 0.0, 0.17307630148208014, 0.0, 0.15997829042973488], [0.0, 0.0, 0.20298654434007102, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1395634076112056, 0.0], [0.05733640357678114, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.22460448998723972, 0.0, 0.21079332116561494, 0.0, 0.2000854555884877], [0.0, 0.0, 0.22493810963541544, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.20945631991543048, 0.0], [0.07930906930008762, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.261757343037146, 0.0, 0.23381476281555155, 0.0, 0.23095578737685316], [0.0, 0.0, 0.26020625596943864, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.2734998723895584, 0.0], [0.07800414309304496, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[['', '', '', '', '', ''], ['', '', '', '', '', '-0.126'], ['', '', '', '', '', ''], ['sin', '', '', '', '**0.202', ''], ['sin', '', '', '', '**0.148', ''], ['cos', 'log', '', '', '', '**0.722']]]","[[0.0, 0.0, 0.0, 0.34894771991152024, 0.38102497965984333, 0.023174078719297674], [0.0, 0.0, 0.0, 0.0, 0.0, 1.4733315490394847], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.3833563539809637, 1.4298154696207848, 0.0], [0.0, 0.14470279425920163, 0.0, 0.0, 0.0, 1.0501885289164368]]","[[0.0, 0.0, 0.0, 0.10855022428720583, 0.11994261480116689, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.12896004683625625], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.013207928076850946, 0.0, 0.0], [0.0, 0.038253044633136786, 0.0, 0.0, 0.0, 0.06859658573221576]]","[[0.0, 0.0, 0.0, 0.14155836949657846, 0.16200176667350608, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.22025045152069508], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.01887808260283004, 0.0, 0.0], [0.0, 0.04187869502724489, 0.0, 0.0, 0.0, 0.09693090820245698]]","[[0.0, 0.0, 0.0, 0.1733657091487973, 0.21383118209434746, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.30774808542350063], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.06852754171430979, 0.0, 0.0, 0.0, 0.16531347502852806]]"
"[[['', '', '', 'tanh', 'sin', ''], ['', '', '', '', '', 'cos'], ['sin', 'log', '', '', '', 'tanh'], ['', '', '', '', '', ''], ['', '**0.215', '', 'sigm', '', ''], ['log', '', '', 'log', '', 'log']]]","[[0.0, 0.0, 0.9991612978882837, 0.0, 0.0, 1.409819384330225], [0.0, 0.0, 1.4075841166344687, 0.0, 1.271774333100319, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.29493373193904765, 0.0, 0.0, 0.0, 0.03508063647165762, 1.530375076443686], [1.0046670743625048, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0702350140858632, 0.7073519525202757, 0.0, 0.0, 1.533162441878473]]","[[0.0, 0.0, 0.1953712953986205, 0.0, 0.0, 0.08009951352292251], [0.0, 0.0, 0.05101746617779644, 0.0, 0.4853883877352801, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.00706151052929686], [0.012348511697483074, 0.0, 0.0, 0.023527879719404874, 0.0, 0.0], [0.49409474207796344, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.5971714075143938, 0.03471812167089515, 0.0, 0.0, 0.32520621766477653]]","[[0.0, 0.0, 0.23173398987361818, 0.0, 0.0, 0.08202948986723055], [0.0, 0.0, 0.1010708447791638, 0.0, 0.5369425698046074, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.029802254042041353, 0.0, 0.0, 0.017418322374913257, 0.0, 0.0], [0.537453680567635, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.6726988421375982, 0.0, 0.0, 0.0, 0.24682727389215112]]","[[0.0, 0.0, 0.2804346579519557, 0.0, 0.0, 0.09928041713542216], [0.0, 0.0, 0.2147974835522683, 0.0, 0.5756062062953455, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.02921148669619427, 0.0, 0.0, 0.0, 0.0, 0.0], [0.57274207377508, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.7280888456412328, 0.0, 0.0, 0.0, 0.19115685269345406]]"
"[[['tanh', '', '', '', 'sin', ''], ['', '', '', 'tanh', '', ''], ['', '', '', '', '', ''], ['tanh', '', '', 'tanh', 'tanh', ''], ['', '', '', '', '', ''], ['', 'sin', '', 'tanh', '', 'tanh']]]","[[0.7624610687005099, 0.0, 0.0, 0.7505262735195909, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.020118964776405], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.1547736681541143, 0.0, 1.1011539672067463, 0.0, 1.1239172663620858], [0.35288456123517137, 0.0, 0.0, 0.3204019058486138, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.3216068338258662]]","[[0.13799275961429394, 0.0, 0.0, 0.16030493928568493, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.08002559963115141], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.14079877248176464, 0.0, 0.10492440542448478, 0.0, 0.150588693145298], [0.08683229367506147, 0.0, 0.0, 0.042926785158193786, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.2518569644330121]]","[[0.15341203557092345, 0.0, 0.0, 0.18336326051730778, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.10879984753932875], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.16191570334054536, 0.0, 0.10868509742303904, 0.0, 0.16040386355968383], [0.1205840243364317, 0.0, 0.0, 0.08812682114355998, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.25227867325915543]]","[[0.17061920821161713, 0.0, 0.0, 0.1948109665971769, 0.0, 0.0], [0.0, 0.0020526125194246037, 0.0, 0.0, 0.0, 0.1008981005806087], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1883829737573112, 0.0, 0.12521045631716926, 0.0, 0.1671199054800353], [0.1610661446434357, 0.0, 0.0, 0.1144761795014117, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.24958003383751626]]"
"[[['-0.158', '', 'cos', 'log', '', ''], ['log', '', '', 'log', '', 'sigm'], ['log', '', '', '', '', ''], ['tanh', '', '', '', '', ''], ['', '', '', '', '', ''], ['', '', '', '', '', '']]]","[[0.28178741194484574, 1.5422529140184646, 1.533797281077844, 1.0264301317518219, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8305163569184766, 0.0, 0.0, 0.0, 0.0, 0.0], [1.4104162835678906, 1.4460860221516234, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.024868957238243318, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.2636606998297359, 0.42851143361872646, 0.3713615828057309, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.05788660670146586, 0.0, 0.0, 0.0, 0.0, 0.0], [0.03993124381291792, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0014049612860917186]]","[[0.0, 0.31480423262577706, 0.5297619617768007, 0.38473607671797794, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.051239822421527595, 0.0, 0.0, 0.0, 0.0, 0.0], [0.11218004554735723, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.3349874677240524, 0.5432993331431956, 0.38351156124624247, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.030208092532931354, 0.0, 0.0, 0.0, 0.0, 0.0], [0.16558880524982075, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0014907416899677586, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[['', 'sin', '', '', '', ''], ['', '', 'log', '', '', 'tanh'], ['', '**0.632', '', 'log', '', '0.210'], ['', '', '', '', '', ''], ['sigm', '', '', '', '', ''], ['', '', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.16473176909735457, 0.0], [1.0911141263109594, 0.0, 1.4172733671698543, 0.0, 0.0, 0.0], [0.0, 1.5493746000506072, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.525301178976895, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.3274161400630311, 0.02278833209914098, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.018019711762475493, 0.0], [0.7933308609500705, 0.0, 0.4157740932033253, 0.0, 0.0, 0.0], [0.0, 0.7049261652296448, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.038775318985692524, 0.0], [0.8166126528659694, 0.0, 0.3404548133021458, 0.0, 0.0, 0.0], [0.0, 0.7212165446803173, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.03354485640558797, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.021786810031994175, 0.0], [0.8275354157437304, 0.0, 0.2877841067772216, 0.0, 0.0, 0.0], [0.0, 0.7149132947813254, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.04293057490711191, 0.0, 0.0, 0.0, 0.0]]"
"[[['', '', '', '', 'log', ''], ['', '', '', '', 'sigm', ''], ['sin', '', 'cos', '', 'sin', ''], ['', '', '', '', '', 'tanh'], ['', '', '', '-0.021', '', ''], ['**0.948', '', '', '', 'sin', 'tanh']]]","[[0.0, 0.0, 0.871571167631356, 0.0, 0.0, 1.4535832177086432], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.5601252566628023, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.0007477552374498971, 0.0], [1.4981459419696859, 0.03864151922169611, 0.32844337000508655, 0.0, 0.0, 0.3415241352339578], [0.0, 0.0, 0.0, 0.012676948848160794, 0.0, 0.010866479061769161]]","[[0.0, 0.0, 0.4152526451157173, 0.0, 0.0, 1.035598697776773], [0.0, 0.0, 0.0, 0.0, 0.0015869181496263967, 0.0], [0.0, 0.0, 0.09529849244363786, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.010058654277953391, 0.0519490356822889, 0.0, 0.0, 0.03713523923983505], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.4334006516982148, 0.0, 0.0, 1.0457059516381546], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.09963243867038127, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0002316675721519253, 0.06727998948132136, 0.0, 0.0, 0.044371344240842076], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.4658059004098659, 0.0, 0.0, 1.0880836183791935], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.12584020077325975, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0029148308518609166, 0.003935267585120249, 0.11134278024907569, 0.0, 0.0, 0.09942230688572942], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
