coefficients,di_exact,knn_subset_pairwise
"[[['', '', '-0.372'], ['', '**0.067', ''], ['', '', 'sin']]]","[[0.0, 0.0, 0.0], [0.0, 0.0020022003915104165, 0.0], [0.2542477100112048, 0.0, 0.7372108720351551]]","[[0.06235644332974146, 0.0033275800880965324, 0.0], [0.0, 0.0, 0.0], [0.1809561478003632, 0.0015781722799011208, 0.7229527058867468]]"
"[[['', '', ''], ['', 'sin', 'log'], ['', '0.272', '']]]","[[0.0, 0.0, 0.0], [0.0, 0.8120996801549706, 0.406165941202866], [0.0, 1.3766368974398695, 0.0]]","[[0.007010158341974455, 0.0, 0.0006546739268401099], [0.0, 0.20970251714492782, 0.372607929870438], [0.0, 0.6337934096913513, 0.0]]"
"[[['tanh', '', '**0.709'], ['', '**0.425', '**0.002'], ['', 'sigm', '']]]","[[0.01973256282218289, 0.0, 0.0], [0.0, 0.0506009369667818, 0.004006910367556358], [0.203664372936523, 0.032172812220687706, 0.0]]","[[0.01934826335653721, 0.013344754229390616, 0.012551783377691474], [0.0, 0.02312132158278874, 0.0], [0.19095874470035396, 0.0, 0.0017792989372814078]]"
"[[['sin', 'cos', ''], ['', 'cos', '0.059'], ['sin', 'sigm', '']]]","[[0.055851938004961896, 0.0, 0.06176837740019792], [0.31463340765706027, 0.2948896527815512, 0.03679393824609972], [0.0, 0.002119701996199172, 0.0]]","[[0.07207734508037207, 0.026800923721282472, 0.04240959123777649], [0.2550683401294543, 0.2766197442185904, 0.020908213423595494], [0.01931242222844841, 0.014923366141232292, 0.05707096253568946]]"
"[[['', '', '**0.305'], ['', '-0.254', ''], ['', '', '']]]","[[0.0, 0.0, 0.0], [0.0, 0.03785899342380498, 0.0], [0.9563849041468678, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.005033528664374723, 0.0504598011486029, 0.0], [0.6903511986374554, 0.0, 0.03746682055765744]]"
"[[['', '', 'cos'], ['', '**0.513', ''], ['', 'sin', '**0.512']]]","[[0.0, 0.0, 0.0], [0.0, 0.16757771163758972, 0.1813803513558744], [0.3681079389739261, 0.0, 0.10395059116560229]]","[[0.015099017742694575, 0.0, 0.01465741695213801], [0.02941506960539604, 0.1467217119535922, 0.14730157916681552], [0.31409785575983706, 0.0, 0.14467532672235797]]"
"[[['', '', 'log'], ['', '', ''], ['', '', '']]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [1.4871332491116451, 0.0, 0.0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.20789073829509508, 0.004060117041395987, 6.954694222750091e-05]]"
"[[['**0.628', '', 'tanh'], ['', '', ''], ['', '**0.958', 'log']]]","[[0.8182539826997487, 0.0, 0.0], [0.0, 0.0, 0.3818738628915413], [1.0139061130036187, 0.0, 1.5612923959133123]]","[[0.1896158199222835, 0.0, 0.0], [0.0, 0.019862690765216986, 0.14038241140017568], [0.750944372105392, 0.0, 1.0113857945060598]]"
"[[['', '', ''], ['', '', ''], ['', 'cos', '']]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.012878563482160254], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.016283069467300612], [0.017086461479182045, 0.0, 0.010631190203524127], [0.0049491002594864815, 0.012179905811199817, 0.0]]"
"[[['tanh', '', ''], ['**0.121', '', ''], ['', 'log', 'cos']]]","[[0.6640133082527782, 1.3121435881522818, 0.0], [0.0, 0.0, 0.6986316549661695], [0.0, 0.0, 0.3236599442571956]]","[[0.624686279400522, 0.36908479375802256, 0.01708003566431464], [0.0, 0.292829760289273, 0.396791843285224], [0.0, 0.0, 0.0864212004549398]]"
"[[['', '', ''], ['', 'cos', '-0.217'], ['sin', 'tanh', '']]]","[[0.0, 0.0, 0.3227601152985312], [0.0, 0.17582420952527184, 0.2767064033250404], [0.0, 0.06181659826681017, 0.0]]","[[0.0, 0.003353542570947571, 0.20090714811586685], [0.0, 0.09843744427907866, 0.1782352509559092], [0.019444479924013096, 0.06745285566775856, 0.0]]"
"[[['', '-0.334', '-0.332'], ['sin', '**0.501', ''], ['sin', '', 'cos']]]","[[0.0, 0.49558011957592396, 0.5133351370478518], [0.21396248141511034, 0.6734204930977119, 0.0], [0.16577782680120612, 0.0, 0.42648392024803106]]","[[0.0, 0.385939532439278, 0.42505082108429915], [0.20134471869839163, 0.17003400877046843, 0.026099487524273907], [0.1719929738869404, 0.03977723327530382, 0.11691262918265888]]"
"[[['', '', ''], ['', '', 'cos'], ['', '', '']]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.02331291051498287, 0.0]]","[[0.0, 0.0, 0.0], [0.004285395860267689, 0.012457670224466214, 0.026740204243407374], [0.01130699706763432, 0.01234186578376627, 0.0]]"
"[[['', 'sigm', '**0.108'], ['', '**0.558', '**0.387'], ['', 'cos', '']]]","[[0.0, 0.0, 0.0], [0.15787571005971626, 0.9297666068390116, 1.0206810033834932], [1.3128055466102182, 1.2107930584381668, 0.0]]","[[0.17414971331612025, 0.13796969051245278, 0.39954637287316325], [0.2148192591125378, 0.3894946877568869, 0.8151775900523351], [0.5312870715181016, 0.6605012142926395, 0.09319378098068432]]"
"[[['sin', 'log', ''], ['', '', ''], ['log', '', 'sin']]]","[[1.0042183913172924, 0.0, 1.228038930447686], [1.4812856668841439, 0.0, 0.0], [0.0, 0.0, 0.6872649403302099]]","[[0.20046814402282193, 0.0, 0.7257768449276868], [0.14227898309099, 0.0, 0.0], [0.0, 0.0, 0.2459619606141913]]"
"[[['cos', '**0.196', ''], ['-0.826', 'sigm', ''], ['', '', '']]]","[[0.781389349641259, 1.1105833904709062, 0.0], [1.2601112386252447, 0.16954120968012398, 0.0], [0.0, 0.0, 0.0]]","[[0.46539447574450926, 0.8256483550169313, 0.0], [0.4896086073227574, 0.12794675800746802, 0.0], [0.0, 0.0, 0.026916120055369478]]"
