coefficients,di_exact,knn_sqrt,knn_sqrt_2,knn_sqrt_4
"[[[0.0, -0.9309637277250301, 0.0, 0.0], [0.0, 0.7080808846400523, 0.0, 0.5586457324060674], [0.0, -0.11064988462932056, -0.31411875323011273, 0.0], [0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0], [0.5379096961815698, 0.3916816704231589, 0.01755229510970409, 0.0], [0.0, 0.0, 0.052915488931748196, 0.0], [0.0, 0.10469087659692924, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.28183820391481895, 0.19813311394196415, 0.0, 0.0], [0.0, 0.0, 0.022574723624114845, 0.0], [0.0, 0.03250049343539123, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.3004924589275628, 0.21395259474232542, 0.0, 0.0], [0.0, 0.0, 0.03407223630997122, 0.0], [0.0, 0.0339880231916443, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.33273992791823365, 0.25373337515212957, 0.0, 0.0], [0.0, 0.0, 0.03860447110408461, 0.0], [0.0, 0.06063822029488734, 0.0, 0.0022177017267663727]]"
"[[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.3607459584361323, 0.0], [-0.5064631911558155, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.10177512107440924], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0648396586008307, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.06860525953787772], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.027007695874211167, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.07631632023950537], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.03752837070106591, 0.0], [0.0, 0.0, 0.0, 0.006856377761129267]]","[[0.0, 0.0, 0.0, 0.06970172396388945], [0.0, 0.0033876742188177103, 0.0, 0.0], [0.0, 0.0, 0.049374976223158076, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0], [0.0, 0.6002010384406614, 0.0, 0.0], [0.0, 0.0, 0.37627328593830717, 0.0], [0.6133470058190208, 0.0, -1.283101055041465, 0.0]]]","[[0.0, 0.0, 0.0, 0.18766883160279], [0.0, 0.23832237910714463, 0.0, 0.0], [0.0, 0.0, 0.07538129121404635, 0.49578587795133316], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.06861941990143848], [0.0, 0.1833734082421082, 0.0, 0.0], [0.0, 0.0, 0.027738511495988605, 0.28652514761941394], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0869089536107066], [0.0, 0.19089410181944974, 0.0, 0.0], [0.0, 0.0, 0.03371007555513433, 0.3326382848533985], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.10095099152203835], [0.0, 0.17701218681046887, 0.0, 0.0], [0.0, 0.0, 0.039567923225703044, 0.3502005001763516], [0.0, 0.0, 0.0, 0.0]]"
"[[[0.0, 2.2537824198527363, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [-0.27160372797972854, 0.0, 0.0, 0.14162762296901443]]]","[[0.0, 0.0, 0.0, 0.21122473954073773], [0.9185555058037266, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.01871571064047695]]","[[0.0, 0.0, 0.0, 0.16567202755413465], [0.4646936685985082, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.20784944928773005], [0.5764133015273523, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.20953710017370086], [0.6597647832553271, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.3733307269153501, 0.5434209053794851], [-1.2610378580870663, 0.0, 0.0, 0.5221135102894082], [0.0, 1.033823360350413, 0.2782306961585722, 0.0], [0.4117912417472911, -1.33041052487263, 0.0, 0.0]]]","[[0.0, 0.7850894199101282, 0.0, 0.1555676886459219], [0.0, 0.0, 1.1696241601121273, 1.43063245724862], [0.4007074585969438, 0.0, 0.2766089170335901, 0.0], [0.8460869421030529, 0.7935524512230314, 0.0, 0.0]]","[[0.0, 0.24743785907778346, 0.0, 0.0], [0.0, 0.0, 0.6593498269259278, 0.7730521460471313], [0.0, 0.0, 0.0, 0.0], [0.14459725591218, 0.05867230343691908, 0.0, 0.0]]","[[0.0, 0.3558944872000308, 0.0, 0.0], [0.0, 0.0, 0.7040069214432997, 0.8451563457556504], [0.0, 0.0, 0.0, 0.0], [0.17163339411926423, 0.09740316603691657, 0.0, 0.0]]","[[0.0, 0.4401000428428716, 0.0, 0.0], [0.0, 0.0, 0.7709685031074474, 0.9378186803171793], [0.0016740866985674046, 0.0, 0.0, 0.0], [0.20584606257285304, 0.15198458438911436, 0.0, 0.0]]"
"[[[0.0, 0.7093614981423311, 0.0, 1.9377015519200735], [-0.7867491916899273, 0.0, 0.12653552605167612, 0.0], [-0.326872117430503, 0.27399651727978214, 0.0, 0.0], [0.0, 0.0, 0.0, 0.8139419045437083]]]","[[0.0, 0.9391784158349251, 0.3375954169475051, 0.0], [0.7157800382303978, 0.0, 0.18459537192857675, 0.0], [0.0, 0.02111089782712021, 0.0, 0.0], [1.2016554182820924, 0.0, 0.0, 0.47155871719643133]]","[[0.0, 0.558172118883109, 0.13608948962188658, 0.0], [0.04581301126480932, 0.0, 0.009485994777490125, 0.0], [0.0, 0.0, 0.0, 0.0], [0.36375196531448317, 0.0, 0.0, 0.15303196327808855]]","[[0.0, 0.6089069458562055, 0.1657223048075879, 0.0], [0.09378966428039322, 0.0, 0.0028247985791042406, 0.0], [0.0, 0.0, 0.0, 0.0], [0.48028514196902666, 0.0, 0.0, 0.20140634525357]]","[[0.0, 0.6389590929133913, 0.18204735159323537, 0.0], [0.1561356225416289, 0.0, 0.011841867116891648, 0.0], [0.0, 0.0, 0.0, 0.0], [0.5889855642725575, 0.0, 0.0, 0.23890444717407813]]"
"[[[0.0, -0.6005161789904827, 0.0, -1.0792445316534487], [0.49502774985281944, 0.0, -1.0900550328487675, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.2741016799281063, 0.0, 0.0], [0.37198951859680224, 0.0, 0.0, 0.0], [0.0, 0.4150576892228647, 0.0, 0.0], [0.4333376362256574, 0.0, 0.0, 0.0]]","[[0.0, 0.14038350842443686, 0.0, 0.0], [0.1959978688948562, 0.0, 0.0, 0.0], [0.0, 0.20838825416261067, 0.0, 0.0], [0.2317821422755795, 0.0, 0.0, 0.0]]","[[0.0, 0.18572696495846486, 0.0, 0.0], [0.23592262595444582, 0.0, 0.0, 0.0], [0.0, 0.275775518261441, 0.0, 0.0], [0.2793572380605693, 0.0, 0.0, 0.0]]","[[0.0, 0.20891006367006684, 0.0, 0.0], [0.2578771179830269, 0.0, 0.0, 0.0], [0.0, 0.3033522660335665, 0.0, 0.0], [0.3313284639656025, 0.0, 0.0032226739996365555, 0.001536238488964292]]"
"[[[0.0, 0.0, 0.0, -0.22240398885117896], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.6164093412581932, -0.6584407828240915], [0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.31475032793933316, 0.0], [0.03568564797574241, 0.0, 0.17080760518036653, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.24061338468842977, 0.0], [0.0, 0.0, 0.08832798540211664, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.0018867248952677933, 0.0, 0.0, 0.005246980895525187], [0.0, 0.0, 0.2935349826539996, 0.011255024408803795], [0.006757736737864593, 0.0, 0.11715832888901223, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.015455637196196427, 0.0, 0.008375330053802955, 0.02594643305473372], [0.0, 0.023640669924152057, 0.3069773463767407, 0.022785570572641696], [0.0035509527527635746, 0.0, 0.12078196582217199, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.8396164324607761, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.7538071347079011]]]","[[0.0, 0.0, 0.23448526814633983, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.4156608449401421]]","[[0.0, 0.0, 0.1522785303353357, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.3344069153025844]]","[[0.0, 0.0, 0.17899458148761196, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.005168139237315886, 0.0, 0.0], [0.0, 0.0, 0.0, 0.3606642589133088]]","[[0.0, 0.0, 0.2079098336274556, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.39179735991608833]]"
"[[[-0.6759397399528232, 0.0, 0.0, 0.44575355792418697], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]]","[[0.36585536129680485, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.06941692657761886, 0.0, 0.0, 0.0]]","[[0.29290507892302153, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.018375503389825257, 0.0, 0.0, 0.0]]","[[0.3044682482501541, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.042046562406086084, 0.0, 0.0, 0.0]]","[[0.36046849195842773, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.07361557824211869, 0.0, 0.0, 0.0]]"
