coefficients,di_exact,knn_subset_pairwise
"[[['', '', '', '', '', '', '', ''], ['', '', '', '', '', '', '', ''], ['', '', 'sin', '', '', 'sigm', '', '0.001'], ['', 'cos', '', '', '', '', 'sin', ''], ['', '', '', '', 'sin', '', 'tanh', 'log'], ['log', 'cos', '', '', '', '', '', ''], ['', 'log', '', '', '', '', '-0.122', ''], ['', 'tanh', '', '', 'sin', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.5374784107886257, 0.0, 0.0], [0.0, 0.0, 0.0, 0.017626141131724646, 0.0, 0.011037055174855828, 1.4895973856069344, 0.30589622681291917], [0.0, 0.0, 0.10614316463945675, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.7912036736754291, 0.0, 0.0, 0.8034823178408822], [0.0, 0.0, 0.16159852520483178, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.7986140272712086, 0.2879768306741999, 0.0, 0.13527471487860818, 0.0], [0.0, 0.0, 5.6972163573168176e-05, 0.0, 1.3037977426802654, 0.0, 0.0, 0.0]]","[[0.004996559060742196, 0.02554236912271133, 0.0, 0.0, 0.0, 0.22306202426465618, 0.0, 0.0], [0.0012696971871311972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2133995564163885, 0.11889784351472066], [0.0, 0.02648461224086216, 0.07083657898448661, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.012643076755298733, 0.0, 0.017406294639286325, 0.012645620801840118, 0.0, 0.0, 0.0024642076412662527], [0.0, 0.012484705193134677, 0.0, 0.0, 0.21448855297362582, 0.006294528730052994, 0.014299266340606565, 0.424618609528005], [0.0, 0.0, 0.11006354221103487, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.02503816552416572, 0.0, 0.5697946100593445, 0.10427679107014837, 0.0, 0.011047988393959781, 0.0], [0.0, 0.03146871420923163, 0.0, 0.0, 0.5769007411085129, 0.0, 0.0, 0.013548346055363312]]"
"[[['', 'log', '', '', 'sin', '', 'cos', '**0.974'], ['', '', 'log', '', '', '', '', ''], ['sigm', '', '', 'sin', 'sigm', '', '', ''], ['', '', '', '', '', 'tanh', '', ''], ['', '', '', '', '', '', '', ''], ['', '', '', '', '', '', '', ''], ['', 'tanh', '', 'log', '', '', '', '0.087'], ['', '', 'cos', '', '**0.669', '', '', 'cos']]]","[[0.0, 0.0, 0.4457406112228801, 0.0, 0.0, 0.0, 0.0, 0.0], [1.5498992128954487, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7798121579465465, 0.0], [0.0, 1.2394246128665367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6283527204750903], [0.0, 0.0, 0.48788722353504016, 0.0, 0.0, 0.0, 1.5111166332546908, 0.0], [0.3286894837793424, 0.0, 0.027305847262530047, 0.0, 0.0, 0.0, 0.0, 0.5499161189467522], [0.0, 0.0, 0.0, 0.29823629041789684, 0.0, 0.0, 0.0, 0.0], [0.9857666802328299, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.14866924069355, 0.0, 0.0, 0.0, 0.0, 0.0, 0.041311256907980244, 0.8061625137879725]]","[[0.023003964326316465, 0.0, 0.19788933227219904, 0.0, 0.0, 0.0, 0.0, 0.005092184102680286], [0.26150081774021555, 0.006524166090140616, 0.0, 0.0, 0.0, 0.0, 0.10585808554874292, 0.0], [0.0, 0.750519925815848, 0.0, 0.0, 0.0, 0.019670452227730822, 0.0, 0.25560960437003466], [0.0, 0.0, 0.2129474633485663, 0.0, 0.0005636989868526365, 0.006290652035249199, 0.19409546051783638, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1811592647935947], [0.0, 0.0, 0.0013207488034779496, 0.30121439208589484, 0.0, 0.0, 0.0, 0.0], [0.0720959274096108, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.14835481360211217, 0.0, 0.013027404112961216, 0.0, 0.0, 0.0, 0.022070880083803604, 0.28412721724893614]]"
"[[['**0.036', '', '-0.135', '', '', 'log', 'log', ''], ['', '', '', '', '', '', '', ''], ['', '', '', '0.145', '', 'tanh', '', ''], ['', '', '', 'sin', '', '', '', ''], ['', 'log', '', '', '', '', '', 'sigm'], ['cos', '-0.187', '', '', '', '', '', 'sin'], ['cos', '', 'cos', '', '', '', 'sigm', 'sigm'], ['cos', '', '0.009', '', 'log', '', '', 'sin']]]","[[1.3764592334956622, 0.0, 0.0, 0.0, 0.0, 1.0843353375806686, 1.1042662641697714, 1.0839349108781333], [0.0, 0.0, 0.0, 0.0, 1.4626897909271002, 0.01496890465116557, 0.0, 0.0], [0.05714268523223162, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27753506824459145, 0.0009542210863194206], [0.0, 0.0, 0.05206871232151507, 0.8267361360197875, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.540453160336806], [1.5405596040393337, 0.0, 0.9454399334402611, 0.0, 0.0, 0.0, 0.0, 0.0], [0.788708307561052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07801463539477373, 0.0], [0.0, 0.0, 0.0, 0.0, 0.37075019855847696, 1.041438243703181, 0.38096853339403713, 1.0546327377172795]]","[[0.21983045361921721, 0.0, 0.0, 0.0, 0.0, 0.39785564073420965, 0.6696969435898864, 0.21474512652584823], [0.0, 0.0, 0.0, 2.049797900057167e-05, 0.14315417165040162, 0.0, 0.0, 0.0], [0.0, 0.009758281626627879, 0.006621920856665454, 0.0, 0.0, 0.04313443363940639, 0.12901514935269123, 0.0], [0.0, 0.0, 0.0, 0.7938933409763564, 0.0, 0.018335299520306516, 0.00035182341139951436, 0.0], [0.0, 0.009910754356503897, 0.0, 0.0, 0.0, 0.0, 0.004218775947547328, 0.4435387345097739], [0.6914050344214673, 0.0, 0.77164340423221, 0.0, 0.0, 0.0010605590242303284, 0.0016027796528948117, 0.0], [0.2694753718582236, 0.0074668657729846325, 0.2970861281177066, 0.0, 0.0, 0.0023596478301035196, 0.02153892792228119, 0.0], [0.14938358242658561, 0.0, 0.21225015287674442, 0.0, 0.0022302886913825115, 0.24531771779877387, 0.05911400406314122, 0.08864526002593001]]"
"[[['', '', '', '', '0.128', 'tanh', '', ''], ['', '', '0.213', '', '-0.174', '', '-0.056', ''], ['', 'log', '', '', '', '', '', ''], ['', 'sin', '', '', '', 'log', '', ''], ['**0.286', '', '-0.051', '', '', 'tanh', '', '-0.033'], ['', 'log', '', 'log', '', '', '', ''], ['', '', '', '', '', '', '', ''], ['**0.345', '', '', '', '', 'log', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.6030539305426089, 0.0, 0.0, 0.5929109035758853], [0.0, 0.0, 1.5492888093321187, 0.5530302140884612, 0.0, 1.5232415898878782, 0.0, 0.0], [0.0, 0.3299524955574749, 0.0, 0.0, 0.024090157419333142, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.4899324376316925, 0.0, 0.0], [0.047678616699424976, 0.07172950836062753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.6025026731186486, 0.0, 0.0, 1.47831568888303, 0.5906419448319711, 0.0, 0.0, 1.448516805820706], [0.0, 0.00031310330755933874, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.010679729545912632, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.10012422589879733, 0.0, 0.0, 0.023872268900874846], [0.0, 0.0, 0.4604277680901324, 0.027803046833702244, 0.0033291265602337135, 0.09283835417810128, 0.0, 0.0], [0.15711918435275657, 0.24469943445282555, 0.0, 0.2241666822859544, 0.07737940424684417, 0.0, 0.0, 0.29858418945854814], [0.0, 0.0, 0.041452315022895675, 0.03634383924972441, 0.0, 0.2669672201192076, 0.0, 0.017022060833817264], [0.009215704908665277, 0.017515212895972913, 0.009322398455611518, 0.0, 0.0918601275199459, 0.0, 0.0, 0.002867908380017089], [0.41002736607923196, 0.10259062773915613, 0.009757399864662309, 0.6958796260275095, 0.24170279319064808, 0.015360743661596277, 0.0, 0.9083680345256177], [0.00048064793131127545, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007715125455814134, 0.0], [0.0, 0.0, 0.020278393169004087, 0.0, 0.0, 0.13427835275899933, 0.0, 0.0]]"
"[[['', '0.033', '**0.230', '', '', '', '', ''], ['', '', '', '', '', '', '', ''], ['', '', 'cos', 'cos', '', '', '', ''], ['sin', 'cos', '0.041', '', '', '', '', 'cos'], ['', '**0.974', '', '', '', 'tanh', '', ''], ['', '', '', '', '', '', '', ''], ['', '', '', '', '', '', 'sigm', ''], ['', '', 'sigm', '', 'log', '', '', '']]]","[[0.0, 0.0, 0.0, 1.1121943580309965, 0.0, 0.0, 0.0, 0.0], [0.0015918226231973129, 0.0, 0.0, 0.013912991344052364, 0.4135772433032734, 0.0, 0.0, 0.0], [1.2438835165310291, 0.0, 0.6722755600422335, 0.01363217598460918, 0.0, 0.0, 0.0, 0.2041296454046424], [0.0, 0.0, 1.07288177977582, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.510415933204173], [0.0, 0.0, 0.0, 0.0, 0.3698092827239074, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.031471263328935566, 0.0], [0.0, 0.0, 0.0, 0.9308429657360284, 0.0, 0.0, 0.0, 0.0]]","[[0.0882372184361463, 0.0, 0.0, 0.41890606785394396, 0.0, 0.0, 0.0, 0.0], [0.0, 0.001095811441524175, 0.0, 0.0, 0.20007551629137427, 0.004124903288770385, 0.0, 0.0], [0.641315198822671, 0.0, 0.23923011858307594, 0.0, 0.0, 0.0, 0.0, 0.03477766104261331], [0.0, 0.0, 0.8434775835093897, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.010162268339288384, 0.0, 0.0, 0.46823014854617484], [0.0, 0.0, 0.0, 0.0, 0.18541448506973662, 0.012986747605485049, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0638853653773769, 0.0], [0.0, 0.0, 0.0, 0.3294082091860932, 0.0, 0.0, 0.0, 0.0]]"
"[[['', '', '', '', '', '', '', '**0.793'], ['', '', '', '', '**0.260', '', '', 'log'], ['', 'sin', '', '', '', '', 'cos', ''], ['0.037', '', '', '0.014', '', '', '', 'cos'], ['', '', '', 'sin', '', 'cos', '', ''], ['', '', '', 'log', '', '', '**0.236', 'tanh'], ['log', '', 'sin', '', '', '', '', ''], ['', '', '', '', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0043681551597464455, 0.0, 0.0, 1.4714926265574106, 0.0], [0.0, 0.0, 0.806183519949402, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9369054438226238, 0.0], [0.0, 0.0, 0.0, 0.0002080250493890134, 0.14776252972394716, 0.41677795170346205, 0.0, 0.0], [0.0, 0.2782545191536417, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.672900101380845, 0.0, 0.0, 0.0], [0.0, 0.0, 0.9924514477217244, 0.0, 0.0, 0.7160004297594995, 0.0, 0.0], [0.46765614827944524, 1.5626342662901136, 0.0, 0.004507342421113763, 0.0, 0.29546614654517467, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.031226938260489112, 0.0, 0.17990183102537496, 0.007664846408572297], [0.0, 0.033282440066773146, 0.2110609121924312, 0.0, 0.002516991182736767, 0.0019103014458709481, 0.023922835473700933, 0.0], [0.0, 0.0, 0.004140722943898969, 0.0, 0.02421564425292742, 0.0008938952741652073, 0.1558262608503769, 0.0], [0.0, 0.0, 0.0, 0.0, 0.03427120224478941, 0.14106584179307524, 0.0, 0.0], [0.0, 0.0, 0.0, 0.01219260992351331, 0.0, 0.015363217971831274, 0.0, 0.011268731774193434], [0.0, 0.0, 0.0, 0.0, 0.5534569448946675, 0.0, 0.023497387658981995, 0.0], [0.0, 0.0, 0.4024371230564486, 0.0, 0.0, 0.23903580743158115, 0.003560165363760805, 0.0], [0.42828506229723107, 0.15658790052836247, 0.0, 0.0, 0.007605394617249464, 0.09080662632553116, 0.0, 0.0]]"
"[[['', '', '', '', 'sin', '', '', ''], ['', '', '', '**0.069', '', '', '', 'sin'], ['sin', 'sigm', 'cos', '', '', '', '', 'sigm'], ['', 'sin', 'log', 'tanh', '', '', '', 'tanh'], ['sigm', '0.084', '', '', '0.114', '', '', ''], ['', '', '', '', '', '', '', ''], ['', '', '', '', '', '', '', '0.005'], ['', '', 'cos', '', '', '', '', '']]]","[[0.0, 0.0, 0.26469314227251667, 0.0, 0.03772830650297885, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0885067181495658, 0.49299682803919237, 0.01368240955813451, 0.0, 0.0, 0.0], [0.0, 0.0, 0.8118316841556968, 0.6425330629318886, 0.0, 0.0, 0.0, 0.8360297109650946], [0.0, 0.2991174760595269, 0.0, 0.23395684859341803, 0.0, 0.0, 0.0, 0.0], [0.19793444158315407, 0.0, 0.0, 0.0, 0.008430119371308132, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.7897805008382133, 0.13039882067675823, 0.7516707039370224, 0.0, 0.0, -0.0001613270431008146, 0.0]]","[[0.0167211687980029, 0.006829729225802976, 0.19609385648916214, 0.0, 0.03774980983201874, 0.010799344132175395, 0.0, 0.0], [0.0, 0.1220125093219708, 0.003212964604840259, 0.025141947991666608, 0.011113340297281712, 0.0, 0.0, 0.0], [0.0, 0.16052333213140704, 0.5136423589551694, 0.39804915473147406, 0.02740833634304296, 0.01351643535179963, 0.0, 0.4840748500116315], [0.0, 0.08922455185126853, 0.0, 0.114233398437704, 0.033335824848909436, 0.0, 0.0, 0.0], [0.17336824259653993, 0.0, 0.021058263263062003, 0.0, 0.0, 0.016310581394721625, 0.0009626844298523616, 0.005091679372058872], [0.0, 0.0, 0.0, 0.0, 0.021986630286482334, 0.0, 0.001455776119216567, 0.0046166368744304685], [0.0, 0.0, 0.007270377341086091, 0.0, 0.01189099687150616, 0.019872853615917632, 0.0, 0.0], [0.0025201504127595384, 0.5264627176198806, 0.01002151650303134, 0.369350398273199, 0.024521933554791948, 0.0012045393735182993, 0.0012564583696166027, 0.30209162681827145]]"
"[[['', '', '', 'sigm', '', '', 'log', ''], ['', '', '', '', 'tanh', 'log', '0.019', ''], ['', '', '', '', '', '', '', ''], ['', '', '', '', '', '', '', ''], ['', '', 'sigm', 'sigm', 'sigm', 'sigm', '', ''], ['', '', '', '0.157', '', '', '0.188', '0.274'], ['cos', '', '', '', '', '', '-0.099', ''], ['', '', '', '', '', 'log', 'cos', '0.076']]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.297985985168201, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.037481146203287026, 0.0, 0.0, 0.0], [0.025295160183352313, 0.0, 0.0, 0.0, 0.025508639165172646, 0.015596478431864949, 0.0, 0.0], [0.0, 5.445852462881333e-05, 0.0, 0.0, 0.0019370267308386952, 0.0, 0.0, 0.0], [0.0, 1.5118213353893013, 0.0, 0.0, 0.08679628186157846, 0.0, 0.0, 1.4911687480104956], [0.8461499530025852, 0.00043928742404192024, 0.0, 0.0, 0.0, 0.040488609213023885, 0.01214855719026976, 0.24426460878704834], [0.0, 0.0, 0.0, 0.0, 0.0, 0.5232370108477225, 0.0, 0.0613278079290032]]","[[0.0, 0.004941670678009465, 0.0, 0.0, 0.0, 0.0, 0.20830910462861882, 0.016412599881989426], [0.005817217422571547, 0.0, 0.0, 0.0, 0.0, 0.346357753396274, 0.0, 0.0], [0.0009631504855728993, 0.0, 0.03959948234661036, 0.002121787940857764, 0.0, 0.0, 0.031230554662400583, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.00576503238170422, 0.02513890817555406, 0.0], [0.0, 0.0, 0.0, 0.0, 0.027097013582387718, 0.0, 0.03547885113450416, 0.0], [0.014865849968586444, 0.49308627460590204, 0.0, 0.028515663314430166, 0.037657929291022234, 0.006640435278623709, 0.004693244084966361, 0.4345156841546123], [0.5259650263178257, 0.0, 0.0, 0.01123933744141155, 0.0, 0.011983950966899587, 0.0, 0.0], [0.010382451940010263, 0.0, 0.0, 0.0, 0.0, 0.4264316038627119, 0.0, 0.0]]"
"[[['', '', '', '', '', '', 'log', ''], ['', '', '', '', '', '', '', ''], ['cos', 'sin', '', '', 'log', '', 'sigm', ''], ['', '', '', '', '', '', '', ''], ['', '**0.218', '', 'sigm', '', 'log', '', 'tanh'], ['', '', 'tanh', 'cos', '', 'sin', 'tanh', ''], ['', '', '', 'log', '', '', 'sin', ''], ['', '', '', '', '', 'sigm', '', 'sin']]]","[[0.0, 0.0, 0.5673023564331238, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2876998570422994, 0.0, 1.0355647301884852, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.5772120305096505, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.023608239094156973, 0.00867692475854594, 1.4951432931120994, 0.0], [0.0, 0.0, 0.9789961344232704, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.9002589402091452, 0.32664642596094184, 0.0, 0.05479409034100844], [1.1339962505889594, 0.0, 0.09687320177941842, 0.0, 0.0, 0.29088519022841225, 0.9797995711701749, 0.0], [0.0, 0.0, 0.0, 0.0, 0.011304501462042609, 0.0, 0.0, 0.032195977085866814]]","[[0.07763651628607687, 0.0, 0.10613689219945026, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.00578719901205521, 0.040788801228885584, 0.0, 0.38817096008346846, 0.0, 0.0, 0.0], [0.0, 0.0, 0.01368610744511872, 0.0, 0.0, 0.33259372998634074, 0.004605696996633493, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17215876070515654, 0.0], [0.0, 0.0, 0.3795830963817887, 0.0009821882401790114, 0.049238656195827776, 0.01413581713714546, 0.0, 0.0], [0.0, 0.0, 0.00819536773030154, 0.004976611505351596, 0.22267540077708944, 0.11805099673587721, 0.005206315181248197, 0.009395331568821285], [0.7474287536027072, 0.0, 0.0, 0.0, 0.0, 0.11049263836128063, 0.19623550802284967, 0.0], [0.0, 0.003102354785780123, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06835803457324768]]"
"[[['', '', '', 'sigm', '', '', '', ''], ['cos', 'sin', '', 'tanh', '', '', '', ''], ['', 'tanh', 'cos', '', 'log', '', '', 'log'], ['', '', '', '', '', '', '', ''], ['', '', '', '', '', '', '', ''], ['', '', '', '', '', '', '', ''], ['', '', '', '', '-0.118', 'tanh', '', 'sigm'], ['**0.586', '', '', '', '', 'cos', 'sin', 'sin']]]","[[0.0, 0.13049101447407985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36967997888009113], [0.0, 0.0980392338727912, 0.04267431606701081, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.8409186720778228, 0.0, 0.0, 0.0, 0.0, 0.0], [0.04166859322736514, 0.28626617905827295, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.5042214242398766, 0.0, 0.0, 0.0, 0.010568841423262303, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3304032120479509, 0.007705287136502301], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35536671362092953], [0.0, 0.0, 0.4130821317008807, 0.0, 0.0, 0.0, 0.03301434839756493, 0.8071973740626472]]","[[0.0, 0.08096315199111982, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14529840159750743], [0.0, 0.008841801305797781, 0.0, 0.0016024519043471137, 0.0021041728623032194, 0.0, 0.0, 0.0037143161290270482], [0.0, 0.004827514249361529, 0.1501673761072566, 0.0, 0.0, 0.0, 0.0, 0.0], [0.050938985213187585, 0.24482491085967348, 0.0, 0.0, 0.010227546969535607, 0.001953620657302422, 0.0, 0.0], [0.0, 0.011021058108123823, 0.08526185209326649, 0.0, 0.0, 0.0, 0.0, 0.017303817177370222], [0.029727219336576047, 0.003272126002042478, 0.0, 0.011299877180803844, 0.010963563795501726, 0.006594496408338989, 0.27835786799724554, 0.0], [0.008592662220348154, 0.02643877281619154, 0.0, 0.0, 0.0007832934750322266, 0.0, 0.00013553975190533802, 0.13809231572251723], [0.0, 0.013393215752575086, 0.0, 0.0, 0.0, 0.0, 0.012710155751110086, 0.44155491218453147]]"
