coefficients,di_exact,knn_subset_cor,knn_subset_mi,knn_subset_pc
"[[['', '', '', '', ''], ['', '', '', '', ''], ['sigm', '', '', '', ''], ['0.020', '', '0.417', '', 'cos'], ['', '', '', '', '']]]","[[0.0, 0.0, 0.043079359603249066, -0.0005993525434936077, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.08950835601232977, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.011487550166852115, 0.0]]","[[0.0, 0.03138345425376367, 0.06306152694654842, 0.008725006595186425, 0.0], [0.02039047827410016, 0.0, 0.0, 0.007607987677964016, 0.023238026758098294], [0.049824710870356746, 0.009043410822025703, 0.047761838489674066, 0.05432218236168519, 0.0], [0.04664757612882844, 0.0, 0.0, 0.0, 0.0], [0.039086430670904934, 0.029906479119922922, 0.0, 0.0, 0.006652412175495519]]","[[0.0, 0.03138345425376367, 0.06306152694654842, 0.008725006595186425, 0.03173340456547854], [0.02039047827410016, 0.0, 0.0, 0.007607987677964016, 0.023238026758098294], [0.049824710870356746, 0.009043410822025703, 0.047761838489674066, 0.05432218236168519, 0.014475609175144526], [0.04664757612882844, 0.0, 0.0, 0.0, 0.0], [0.039086430670904934, 0.029906479119922922, 0.0, 0.0, 0.0]]","[[0.0, 0.03138345425376367, 0.06306152694654842, 0.008725006595186425, 0.0], [0.02039047827410016, 0.0, 0.0, 0.007607987677964016, 0.023238026758098294], [0.049824710870356746, 0.009043410822025703, 0.047761838489674066, 0.05432218236168519, 0.0], [0.04664757612882844, 0.0, 0.0, 0.0, 0.0], [0.039086430670904934, 0.029906479119922922, 0.0, 0.0, 0.006652412175495519]]"
"[[['', '**0.692', '', '', ''], ['', '-0.051', '', '', ''], ['', '', '', '', '**0.807'], ['', '**0.996', '', '', ''], ['', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.5719942185093837, 0.0019265601869550572, 0.0, 0.3871713563999185, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.5224516416895562, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.007020203247213695], [0.4458191063730535, 0.0, 0.0, 0.27577011993758727, 0.002579199905479428], [0.0, 0.0, 0.0, 0.0, 0.003936162767710355], [0.0, 0.0, 0.0, 0.0, 0.0014514083521244133], [0.0, 0.0, 0.4873788938586422, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.007020203247213695], [0.5176840110473726, 0.00036565797094230754, 0.0, 0.36071148955576415, 0.002579199905479428], [0.0, 0.0, 0.0, 0.0, 0.003936162767710355], [0.0, 0.001279465263865596, 0.0, 0.0, 0.0014514083521244133], [0.0, 0.0, 0.4873788938586422, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.007020203247213695], [0.4458191063730535, 0.0, 0.0, 0.27577011993758727, 0.002579199905479428], [0.0, 0.0, 0.0, 0.0, 0.003936162767710355], [0.0, 0.0, 0.0, 0.0, 0.0014514083521244133], [0.0, 0.0, 0.4873788938586422, 0.0, 0.0]]"
"[[['', '', '0.351', '', 'sin'], ['', '**0.244', '**0.226', '', '**0.526'], ['', '', '', 'log', ''], ['', '', '', 'sigm', 'sigm'], ['', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0139348390506793, 0.0, 0.0, 0.0], [0.09941723748638562, 0.9731432400417592, 0.0, 0.0, 0.0], [0.0, 0.0, 0.25529923970102086, 0.013610494421366545, 0.0], [0.32504066503041007, 0.6848289718476531, 0.0, 0.026561470681108517, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0037445544991423782], [0.0, 0.1461709148471179, 0.0, 0.0, 0.0], [0.022913306318519937, 0.2996324956021485, 0.0, 0.0, 0.0], [0.0, 0.0, 0.1492149927598781, 0.030303719332384554, 0.0], [0.2313905592907735, 0.2318744107502793, 0.0, 0.033596120339551776, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0037445544991423782], [0.0, 0.1706094042827629, 0.0, 0.0, 0.007787615760509133], [0.04244584176164421, 0.29837617543169426, 0.0, 0.0, 0.005919878342291088], [0.0, 0.0, 0.21746151636600283, 0.0, 0.014956526004812471], [0.273775126705807, 0.2769469796524115, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0037445544991423782], [0.0, 0.14617091484711775, 0.0, 0.0, 0.0], [0.02291330631851995, 0.2996324956021485, 0.0, 0.0, 0.0], [0.0, 0.0, 0.14921499275987815, 0.030303719332384554, 0.0], [0.2313905592907735, 0.23187441075027942, 0.0, 0.033596120339551776, 0.0]]"
"[[['', 'cos', '', '0.248', 'log'], ['', '', '', '', ''], ['', '', '', '', ''], ['cos', '', '', '', 'sigm'], ['', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.9565536280828775, 0.0], [0.015292067906441262, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.1371836962399302, 0.0, 0.0, 0.0, 0.0], [1.511023223698258, 0.0, 0.0, 0.025987039404707514, 0.0]]","[[0.0, 0.0, 0.0, 0.7035678803564515, 0.0], [0.0, 0.0, 0.01122522058254045, 0.0, 0.0], [0.0, 0.006475396808456861, 0.01139793693976579, 0.0, 0.010314204330472808], [0.0, 0.0, 0.0, 0.0, 0.0035105880388443165], [0.003068957400160462, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.7205290504661387, 0.0], [0.0, 0.0, 0.01122522058254045, 0.0, 0.0], [0.0, 0.006475396808456861, 0.01139793693976579, 0.0, 0.010314204330472808], [0.0, 0.0, 0.0, 0.0, 0.0035105880388443165], [0.20404408129559387, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.7035678803564515, 0.0], [0.0, 0.0, 0.01122522058254045, 0.0, 0.0], [0.0, 0.006475396808456861, 0.01139793693976579, 0.0, 0.010314204330472808], [0.0, 0.0, 0.0, 0.0, 0.0035105880388443165], [0.003068957400160462, 0.0, 0.0, 0.0, 0.0]]"
"[[['', '', '', '', ''], ['', 'cos', '', '', ''], ['tanh', '', '', '', ''], ['', 'log', 'log', '', ''], ['sin', 'cos', '', '', '']]]","[[0.0, 0.0, 0.29181516112410194, 0.0, 0.3046786683982911], [0.0, 0.24723630511297037, 0.0, 1.091215644295146, 0.2250555219450236], [0.0, 0.0, 0.0, 1.486831169911734, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.2915049813149626, 0.0, 0.13850694639093764], [0.019360413868510618, 0.1390701765003582, 0.0, 0.0, 0.05155467494202271], [0.007898560277067056, 0.0, 0.0392626963344061, 0.11044272499634851, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.03466646950763201, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.003117258146364784, 0.2915049813149626, 0.0, 0.2557960754392833], [0.019360413868510618, 0.22253378542793897, 0.0, 0.046667603797924354, 0.1565992934978935], [0.007898560277067056, 0.004146784335245017, 0.0392626963344061, 0.21897208562556583, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.03466646950763201, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.2915049813149626, 0.0, 0.13850694639093764], [0.019360413868510618, 0.1390701765003583, 0.0, 0.0, 0.05155467494202268], [0.007898560277067056, 0.0, 0.0392626963344061, 0.11044272499634854, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.03466646950763201, 0.0, 0.0, 0.0, 0.0]]"
"[[['', '**0.284', '', '', ''], ['**0.488', '', '', '', ''], ['', '', '', '', ''], ['', 'log', '', 'tanh', ''], ['', '', '', '', '']]]","[[0.0, 1.4197992553943615, 0.0, 0.0, 0.0], [1.4190909767613222, 0.0, 0.0, 0.5417504207817849, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.8470369195824152, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.3298169193525662, 0.0, 0.0, 0.0], [0.26284044832896863, 0.0, 0.0, 0.3665403886764888, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.48474574609033816, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.005189932379955349, 0.3855642089897627, 0.02521859454675938, 0.0, 0.0], [0.3034609813619155, 0.0, 0.015747280603639963, 0.30233412669950355, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.020981633059795494, 0.6747422326510235, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.3298169193525662, 0.0, 0.0, 0.0], [0.26284044832896863, 0.0, 0.0, 0.3665403886764888, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.48474574609033816, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[['', '', 'tanh', 'tanh', ''], ['', '', 'log', '', ''], ['', '', '', '', ''], ['', '', 'cos', 'sin', 'log'], ['', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.33693103627551846, 1.4497134270754228, 0.0, 0.015761622843371525, 0.0], [0.633877299734676, 0.0, 0.0, 0.8889945378439296, 0.0], [0.0, 0.0, 0.0, 1.5452534810804681, 0.0]]","[[0.0, 0.0, 0.01380963939789248, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.16353119193551088, 0.2791196564447199, 0.0, 0.0, 0.02242437456811203], [0.3078059710353453, 0.0, 0.0, 0.1280207253487173, 0.0], [0.0, 0.0, 0.007590714749550976, 0.0, 0.0]]","[[0.0, 0.0, 0.01380963939789248, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.16353119193551088, 0.16462883519302748, 0.0, 0.0, 0.02242437456811203], [0.3078059710353453, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.007590714749550976, 0.14807824933842173, 0.0]]","[[0.0, 0.0, 0.01380963939789248, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.16353119193551088, 0.2791196564447199, 0.0, 0.0, 0.02242437456811203], [0.3078059710353453, 0.0, 0.0, 0.1280207253487173, 0.0], [0.0, 0.0, 0.007590714749550976, 0.0, 0.0]]"
"[[['', 'cos', '', '', ''], ['cos', '', '', '', ''], ['sin', '0.168', '', '', ''], ['', '', '', '', ''], ['', '**0.024', '', '', '']]]","[[0.0, 0.24102100114172895, 0.29340251598328215, 0.0, 0.0], [0.2531963759240388, 0.0, 0.03017755380202992, 0.0, 0.3323065080315143], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.2672990155589274, 0.2342019966229931, 0.0, 0.0], [0.17844638511274757, 0.005583688818640179, 0.0, 0.0, 0.025901239859642763], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.04095381484567219, 0.2672990155589274, 0.27772258165296837, 0.0, 0.0], [0.2742704727452777, 0.005583688818640179, 0.0, 0.0, 0.036931164186977374], [0.0, 0.0, 0.0044608265501290024, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.004206071278643292, 0.0]]","[[0.0, 0.2672990155589274, 0.2342019966229931, 0.0, 0.0], [0.17844638511274757, 0.005583688818640179, 0.0, 0.0, 0.025901239859642763], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[['', '', 'log', '**0.884', '0.007'], ['', '', '', '', ''], ['', '', 'sigm', '', 'tanh'], ['tanh', '', 'tanh', '', ''], ['cos', 'sigm', '', '', '']]]","[[0.0, 0.0, 0.0, 0.779856715810925, 0.9581551766896815], [0.0, 0.0, 0.0, 0.0, 0.03266746330123403], [1.2045822202246446, 0.0, 0.08404488650544789, 0.36538748029366375, 0.0], [0.9038862462281069, 0.0, 0.0, 0.0, 0.0], [0.0005945224416307609, 0.0, 0.6810324791273331, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.22108597032689875, 0.6017894656197915], [0.0, 0.01953129398328515, 0.0, 0.0, 0.0], [0.4879472616252252, 0.009977776494381595, 0.0, 0.15960273920369206, 0.0], [0.22667126630468576, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.38779804149350533, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.2685411751963076, 0.6434906460711554], [0.0, 0.01953129398328515, 0.0, 0.0, 0.0], [0.5746833736158042, 0.009977776494381595, 0.0, 0.18621089904258678, 0.0], [0.29608360421928365, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.38779804149350533, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.2210859703268988, 0.6017894656197917], [0.0, 0.01953129398328515, 0.0, 0.0, 0.0], [0.4879472616252252, 0.009977776494381595, 0.0, 0.159602739203692, 0.0], [0.22667126630468576, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.38779804149350544, 0.0, 0.0]]"
"[[['', '', 'cos', '', ''], ['', '0.213', '', 'cos', '0.122'], ['', '', '', '', ''], ['0.114', '', '', '', ''], ['sigm', '', '', '', '']]]","[[0.0, 0.0, 0.0, 0.004286413942452284, 0.024555622438213322], [0.0, 0.026008367590002697, 0.0, 0.0, 0.0], [0.020308759223172566, 0.0, 0.0, 0.0, 0.0], [0.0, 0.026728342786207355, 0.0, 0.0, 0.0], [0.0, 0.003773649581211588, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.005207416604158907, 0.031204595464597522], [0.0, 0.013749350838806474, 0.0, 0.0, 0.0], [0.0016729577876235231, 0.0, 0.022797641804841638, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0011813333334762199, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.031204595464597522], [0.0, 0.050866552307285505, 0.0, 0.0, 0.0], [0.004325472622483688, 0.0, 0.022797641804841638, 0.0, 0.0], [0.0, 0.0, 0.0, 0.012324247312898537, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.005207416604158907, 0.031204595464597522], [0.0, 0.01374935083880647, 0.0, 0.0, 0.0], [0.0016729577876235231, 0.0, 0.022797641804841638, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0011813333334762199, 0.0, 0.0, 0.0]]"
