coefficients,di_exact,knn_subset_pairwise
"[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [-1.0232442587248658, 0.0, -0.48329923343449904, 0.0, 0.0, 0.0, 0.0], [0.0, 0.5881989372931582, 0.0, 0.21526772064344496, 0.0, -0.9849927024187792, -0.26202999764496276], [-0.9386212580268322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9409969403838749], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.35088698950787295, 0.0, 0.31044814237538887, 0.0, 0.0], [0.0, 0.0, 0.0, 0.1828413470295464, 0.0, 0.0, 0.0], [0.0, 0.0, 0.256890262767509, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.07533385968519436, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5470555748917727, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.036672137366398815, 0.0, 0.3493895629124661, 0.0]]","[[0.0, 0.0, 0.32894078845169367, 0.0, 0.30025961635346776, 0.01956396696793264, 0.0], [0.027410953287450177, 0.01959579310082872, 0.0, 0.03854532896301153, 0.001585047797057046, 0.007871262890026934, 0.0], [0.027628987585224012, 0.0, 0.14516649984809588, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.036923734419690726, 0.006962164531897582, 0.0025390942751874605, 0.0], [0.007652384175794311, 0.01004502601194642, 0.0, 0.0, 0.0, 0.0, 0.0], [0.019970914280878188, 0.0, 0.0, 0.39206716502242894, 0.003105440840373834, 0.0, 0.0], [0.017958397770896663, 0.0, 0.0, 0.0, 0.0, 0.33529398010028894, 0.0005653999224593205]]"
"[[[0.0, 0.0, 0.0, 0.0, 1.918859061079625, 0.0, 0.0], [0.0, 0.730490590760943, 0.0, 0.16614379855683525, -0.694531561429385, 0.0, -0.5294475720991244], [0.0, -1.3418135128922415, -0.20930756169897777, 0.0, 0.0, 0.0, 0.9599269849055005], [0.0, -0.4908548240000798, -0.8736143388341556, 0.0, 0.3641823597872542, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.692800568979089, 1.1817845678907648, 0.40165253564392944, 0.0, 0.0, 0.0], [0.0, 0.0, 0.1658995353036832, 1.0297508701456526, 0.0, 0.0, 0.0], [0.0, 0.051974152634854213, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8237669911286665, 0.22748019223573154, 0.0, 0.0702967341724268, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.12727177641247037, 0.3199067167358929, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.06613601465257861, 0.0, 0.0, 0.0, 0.002674813402963696], [0.023426500635203597, 0.5026162370405467, 0.45704211424004176, 0.06358997478929222, 0.0, 0.0, 0.012505323543328565], [0.010431122735414116, 0.0, 0.2300678900822692, 0.4807293466411503, 0.0, 0.0, 0.0], [0.006362736162303417, 0.008191966392061607, 0.0, 0.03012119872593749, 0.0, 0.0, 0.005750182357212665], [0.7249600596334128, 0.11716670268332786, 0.0, 0.0, 0.02829500772080347, 0.022547760948309965, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017669888022982087], [0.0, 0.07520440446435843, 0.030332865710569652, 0.004815379215650641, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, 1.0595533571627067, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.18302109694455676, 0.0], [0.0, 0.0, 0.0, 2.2723248194549694, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -0.1631784916042428, 0.2619257934457968, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.208297810955978, 0.0, 0.0, 0.0, 0.700557066341882, 0.0, -0.6001308498436724], [0.0, 0.0, 0.0, 0.0, 0.0, 0.8371499791706817, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.90170703686693, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.081847815328546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.9776060657176078, 0.019451172527591595, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.028690301486412304, 0.0, 0.20700922608895975, 0.0], [0.0, 0.5037689369749597, 0.0, 0.0, 0.0, 0.0, 1.8240278715345495], [0.0, 0.0, 0.0, 0.0, 0.0, 1.3721917150865681, 0.0]]","[[0.023944456249956458, 0.005734844486271891, 0.00896535085493001, 0.01308261963820542, 0.0, 0.5491150976585534, 0.0], [0.0, 0.004091446326012051, 0.0, 0.004304114790101314, 0.0, 0.0, 0.0], [0.9759865196768354, 0.0, 0.002200585565691648, 0.0, 0.0011192395989628764, 0.0, 0.0], [0.0, 0.0, 0.784835435473146, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0359106389702743, 0.006472073373156487, 0.0, 0.0], [0.0029504038208950697, 0.44293014613236414, 0.0, 0.0, 0.0, 0.0, 1.512750545332768], [0.0, 0.0, 0.0, 0.0, 0.0, 0.12716770970038585, 0.007814175576386268]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.2941003648839425, -1.022126353599842, -1.4901184201698845, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [-0.1204702671730092, 0.0, 0.3833385123504165, 0.0, 0.0, 0.0, -0.6295533721723983], [-0.8917985542893799, 0.0, 0.0, 0.0, -0.9708085802643287, 0.49250728163281143, 0.0], [1.778746019800647, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8743918755995165]]]","[[0.0, 0.0, 0.0, 0.0, 0.012530880649385888, 0.29467684949137674, 0.754470736220837], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.03191279553772155, 0.0, 0.0, 0.06012658941871816, 0.0, 0.0], [0.0, 0.33755891178630487, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.5777214684538, 0.0, 0.0, 0.0, 1.1505300516094985, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.5222221626433428, 0.0], [0.0, 0.0, 0.0, 0.0, 1.1716284215668604, 0.0, 1.4210834085648925]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.022585884101548534, 0.5337151983930658], [0.0007247521137275105, 0.29619816298078216, 0.0, 0.0, 0.0, 0.07955772061833113, 0.0], [0.012993627835061068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.02296212808868067, 0.006302657331618879, 0.001685906483482104, 0.006221927832526606, 0.0, 0.0, 0.0], [0.015621013675277334, 0.7864120390551312, 0.0, 0.0, 0.4662029085663368, 0.6234921744824574, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0033435827637829287, 0.004655273951558192], [0.0, 0.18737859716091274, 0.0, 0.0, 0.5851812235642438, 0.26613802340089404, 0.7379180030154386]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -0.6154631829629794, -0.3941160181857994, 1.1335476631088988, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.6181831717182984, 0.0, -0.39546243387205654, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -0.3871548170939063, 0.0, 0.0, 0.0, 0.0, 0.4136834246526001]]]","[[0.0, 0.0, 0.0, 0.0, 0.15988150817691507, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18858104130681091], [0.0, 0.0, 0.0, 0.0, 0.06079000935466147, 0.0, 0.0], [0.0, 0.16948581106628433, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1274137929505574, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.4145564510178162, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1562845055950182]]","[[0.006389966931586392, 0.02378723999246074, 0.0012725860646929392, 0.0, 0.1250203988835021, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0035587721354119178, 0.0, 0.1968946662541207], [0.0, 0.017725912465682156, 0.0, 0.00944569440519413, 0.03453692479999894, 0.0, 0.0], [0.0, 0.10454659227206882, 0.003039832724096929, 0.0, 0.0, 0.0, 0.0], [0.0, 0.08902362649366612, 0.0, 0.003165742975529011, 0.0, 0.015493307331109017, 0.0], [0.0, 0.2984916473007178, 0.00526430076551578, 0.0, 0.0006434445962208142, 0.014349575605063431, 0.0], [0.00192779132929969, 0.041900928027042365, 0.027121400259849115, 0.0, 0.011433187021874385, 0.0, 0.11632595918991956]]"
"[[[0.0, -0.49461073712544573, 0.3326315170354345, -0.22922333755499158, 0.0, 0.0, 0.0], [0.0, 0.0, -1.3245858392526455, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.7888830456083326, -0.8126031099613358, 0.0, 0.0], [0.0, 0.0, -0.6787882062339762, 0.0, -0.9402376032451584, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.13020079508577517, 0.0], [0.0, 0.0, 0.0, 1.1221861397528639, -0.4274262459369036, 0.0, 0.0], [0.11713171819589058, 0.0, 0.35471220558969824, 0.0, -0.6944569028322205, 1.3820254645478611, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04779044990552787], [0.6373434910312553, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.24276401643467937, 1.1081530856494624, 0.0, 0.5826888694914208, 0.0, 0.0, 0.23435807984814233], [0.11050542088443222, 0.0, 0.7190672770212646, 0.0, 0.0, 0.9305378443131925, 0.0], [0.0, 0.0, 0.33836341101313994, 0.38376259872598645, 0.0, 0.1122443699213466, 0.1923294297829056], [0.0, 0.0, 0.0, 0.0, 0.052578288704380645, 0.0, 1.3255886769923908], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.19909015644647707, 0.02660360125517289, 0.043164352697870736, 0.013584769798615302, 0.06509412076554451, 0.14475911173405787], [0.6785021653636506, 0.0, 0.2470360049226839, 0.035182529874633786, 0.0003219977919262485, 0.2585882430666736, 0.0], [0.13961530897053734, 1.0464242218469717, 0.0, 0.33224464048327773, 0.015589075260273538, 0.0, 0.5095603823643033], [0.19444290480776083, 0.05887895717488471, 0.5008306010901127, 0.0024632896015175402, 0.0023010976313364703, 0.8004567349688764, 0.0], [0.0, 0.0, 0.1500242322895883, 0.1396820461659091, 0.0, 0.041908692048122774, 0.0], [0.16383610771520998, 0.4481115748551118, 0.0, 0.2427784287987798, 0.039166104527571605, 0.025346250929127036, 1.0259443962198371], [0.29830660504874135, 0.011952506462882786, 0.18032510374811084, 0.047174698384840646, 0.0, 0.1556749899966511, 0.054242427586057664]]"
"[[[-0.5059561524302869, 0.0, 0.0, 0.0, 0.0, 0.6012257604745048, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0543208801318356, 0.0, 0.0], [-1.7917284029259866, -2.114953550832514, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.2626765847188191, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -0.3223801257781833, 0.5965308453150181, 0.0, 0.0, -0.8068755387094685, 0.0]]]","[[0.19327440966512346, 0.0, 0.9806239230722688, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.4817913413794008, 0.0, 0.0, 0.0, 0.17146722049516175], [0.0, 0.0, 0.0, 0.0, 0.48468419071377383, 0.0, 1.098403269570436], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.6723055201635555, 0.0, 0.0, 0.0, 0.0, 0.0], [0.1394080395204389, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2611356833820294], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.14058715991829052, 0.0, 0.03846436428720103, 0.0, 0.03583392266798339, 0.006431016396856421, 0.051554755501761515], [0.0019071638621031266, 0.01597167861082387, 0.5375184626025037, 0.0, 0.02558672270991399, 0.01225658890570341, 0.03436939885578919], [0.0, 0.0, 0.0033855815681472896, 0.0, 0.46759280313157403, 0.0, 0.7718488934454609], [0.0, 0.0, 0.0, 0.010155099271200863, 0.0, 0.018361100316799082, 0.0], [0.0, 0.6354364314669131, 0.0, 0.0, 0.0, 0.0034596311407307217, 0.0], [0.12144580113125442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017638275200209436], [0.0, 0.20495057552074025, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[[0.3634476403106184, 0.0, 0.0, 0.0, 0.0, 1.129855666473425, -0.5346587131560337], [0.0, -0.2716732260186789, 0.0, 0.0, -0.8081068809940207, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.49401325306760446, 1.2141919895005453, 0.6703612210339458, 0.9907185331064011, 0.0], [0.0, 0.0, 0.0, 1.4555556263650689, 0.0, 0.0, 0.0], [0.0, -0.5856285164178293, 0.4052430830378675, 0.0, 0.0, -1.8021118513159404, 0.0]]]","[[0.48999442613931715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.22071212869867052, 0.0, 0.0, 0.0, 0.0, 0.6381154334053134], [0.0, 0.0, 0.0, 0.0, 0.1114874982977707, 0.0, 0.09541390939861316], [0.0, 0.0, 0.0, 0.0, 0.4666319019271848, 0.5655119177110927, 0.0], [0.0, 1.1505124102533473, 0.0, 0.0, 1.00083846549301, 0.0, 0.0], [0.8270505322023046, 0.0, 0.0, 0.0, 0.73167158111189, 0.0, 1.2189686286123869], [0.8127677287778804, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.208765975844061, 0.04063264849324237, 0.0, 0.0, 0.0, 0.016970692538393766, 0.04090956152639025], [0.01739616270216309, 0.18311267627620548, 0.0, 0.0, 0.0, 0.0, 0.11450193179102008], [0.0, 0.0, 0.018688476883212894, 0.0028880814642769786, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.06291916945766546, 0.5390972626054725, 0.0], [0.020899162493984002, 0.7554170638762193, 0.0, 0.0, 0.4905066573319418, 0.0, 0.011923631214996292], [0.28950194967961584, 0.021304908132389767, 0.0, 0.006718813458609414, 0.2916424023931316, 0.0, 0.5976735302197274], [0.22316023522656703, 0.061868447093067255, 0.0, 0.0, 0.0, 0.012696547414183914, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.40655026733818206, 0.0, 0.0], [1.1546535723885238, 0.0, 0.0, 0.0, 0.6357582438238376, 0.0, 1.3639168132809205], [0.0, 0.0, -0.13447962999982405, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.5062031628844793, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.01672374891356997, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.08701982937212369, 0.17883696609237265, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.5134575533868673, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.2177756361208055, 0.0, 0.0, 0.0, 0.0, 0.0029297808768888878], [0.0033403804539672995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012054022589852463], [0.009780218074792478, 0.0, 0.00607545135948583, 0.0, 0.0, 0.011773505265656918, 0.0], [0.011344645222127858, 0.0, 0.0035840539509659013, 0.0, 0.0, 0.003498991066856256, 0.002242999443337809], [0.0963518715377622, 0.0, 0.007609698761275286, 0.0, 0.01755414979322123, 0.014292571950291922, 0.0158502180807517], [0.0, 0.0, 0.014449519923637924, 0.0, 0.0, 0.0, 0.000831490845125412], [0.02228880538190663, 0.1681028964307563, 0.0, 0.0, 0.010865182971767811, 0.006650458342911426, 0.0]]"
"[[[0.0, 0.12598143859123118, 0.0, 0.0, 0.20817903495796894, 1.0400657967539686, -0.26191869020217623], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 2.3985017691950836, 0.0, -2.0218814030752728], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.2943063165960718, 0.0, 0.7285854037412163], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.006056450796639469, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.022304411572817286, 0.0, 1.207509246865059, 0.0, 0.08118857165958665, 0.0, 0.0], [0.3825705997068683, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.030895997540948315, 0.0, 0.8138425424745395, 0.0, 0.21576977151265522, 0.0, 0.0]]","[[0.0, 0.0012488340101105768, 0.012625781145705102, 0.029100641827296988, 0.0, 0.013442630779844355, 0.0], [0.022878372283523577, 0.03699197128015236, 0.0, 0.01860136143494272, 0.02388583861424019, 0.009514146527775434, 0.009884583873452937], [0.02139108008688818, 0.0, 0.08761058302737766, 0.0060296574461682784, 0.0, 0.0033475985378495234, 0.0], [0.031119877652892584, 0.0, 0.0, 0.0, 0.008415319999521673, 0.013456398024432418, 0.009844253396272033], [0.0, 0.0, 0.35410679370242615, 0.022740564589816607, 0.05067650878610859, 0.0, 0.0], [0.36393278167439375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.01953395234647717, 0.0, 0.1691835654659831, 0.005314408620000267, 0.20069968454650436, 0.019205651687276372, 0.0]]"
