coefficients,di_exact,knn_subset_pairwise
"[[['cos', '', '', ''], ['', '', '', ''], ['', '', '', ''], ['', '', '0.290', '']]]","[[0.22161265114718193, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.02367660117833368], [0.0, 0.0, 0.0, 0.0]]","[[0.24402899605556808, 0.0, 0.0, 0.004285409522972096], [0.0, 0.0, 0.0, 0.011168674435154248], [0.0, 0.0, 0.022737524515270793, 0.05745822639962521], [0.0, 0.006579199546136271, 0.0, 0.0]]"
"[[['', '**0.150', 'sigm', ''], ['', 'sin', 'tanh', ''], ['', '', '', 'sigm'], ['', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0], [0.018761385534480278, 0.08046897905100635, 0.0, 0.0], [0.024439954460086784, 0.26474016751860446, 0.0, 0.0], [0.0, 0.0, 0.023604271117289945, 0.0]]","[[0.020878039829909198, 0.005671295367677133, 0.011447927442494642, 0.0], [0.03526559983013965, 0.05514366434100817, 0.008281105664332673, 0.00011108787753036611], [0.012929594761038584, 0.2551484694576279, 0.0, 0.0], [0.009729714856070106, 0.0, 0.035867867766289196, 0.01130765753843534]]"
"[[['', '', 'sin', ''], ['', '0.147', 'log', ''], ['0.560', '', '', '**0.898'], ['', '**0.817', '', 'log']]]","[[0.0, 0.0, 0.668108649314594, 0.0], [0.0, 0.1854837663774421, 0.0, 1.404115126809087], [1.1153035184317521, 1.5185191662577098, 0.0, 0.0], [0.0, 0.0, 1.6882564560053441, 1.483180441112143]]","[[0.018092859127484127, 0.0, 0.09842223264269696, 0.04749271679316919], [0.0, 0.0, 0.0, 0.7867964758783078], [0.8688459031101472, 0.9847378355485681, 0.16427432642503742, 0.0], [0.0, 0.16024470399529786, 0.8624925212043693, 0.34142346526512324]]"
"[[['', '**0.662', '', 'log'], ['', '', '', ''], ['', '', '0.059', ''], ['', '', 'sigm', 'cos']]]","[[0.0, 0.0, 0.0, 0.0], [0.5926263983052882, 0.0, 0.0, 0.0], [0.0, 0.0, -0.00196282995594949, 0.03413279356195352], [0.8366972854084177, 0.0, 0.0, 0.4396900949515311]]","[[0.09409237605285843, 0.0, 0.008077714628012116, 0.0], [0.18722277777291071, 0.02337095937193616, 0.002148073365655132, 0.0], [0.0, 0.0, 0.0, 0.00888839825097587], [0.23894502150836788, 0.0, 0.00885939219772178, 0.4249648422234988]]"
"[[['', '', '', ''], ['tanh', '', '', 'sin'], ['tanh', '', '', 'sigm'], ['', '', '', '']]]","[[0.0, 0.30684061019569064, 0.32490750798178025, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.35202670203392405, 0.02957364875907514, 0.0]]","[[0.0, 0.19109064332086872, 0.29243004088648333, 0.0], [0.003241120898859254, 0.0, 0.0, 0.002804138284963528], [0.008903911694995935, 0.017002327750067246, 0.013242561312156556, 0.0], [0.020093111517091575, 0.24585419358760785, 0.005351871524430478, 0.0]]"
"[[['', 'cos', '', ''], ['', '', '', 'cos'], ['', '', '', ''], ['', '', '', '']]]","[[0.0, 0.0, 0.0, 0.0], [0.259065526843942, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.021869736078421964, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0], [0.22567487372705894, 0.0006921142310315211, 0.0014494248121076317, 0.0], [0.0, 0.0, 0.02072148694059064, 0.00511719893493763], [0.0, 0.016043319879534845, 0.0, 0.0]]"
"[[['cos', '', '', ''], ['', '', '', ''], ['', '-0.267', '', ''], ['cos', '', 'sin', '']]]","[[0.24619961586726638, 0.0, 0.0, 0.24233554913329505], [0.0, 0.0, 0.04022788649856945, 0.0], [0.0, 0.0, 0.0, 0.34254071377674955], [0.0, 0.0, 0.0, 0.0]]","[[0.22921123478620314, 0.05149547864132908, 0.005384488221316792, 0.10075226428768065], [0.015442538800346642, 0.0, 0.033587433690979655, 0.0], [0.0049465771167092245, 0.012873642202577662, 0.0, 0.22674191216712283], [0.0, 0.010078106321450122, 0.0, 0.0]]"
"[[['log', 'cos', '', ''], ['', '', '', ''], ['', '', '', ''], ['0.282', '', '0.246', '']]]","[[1.2269962763674716, 0.0, 0.0, 0.31480738058161417], [0.01143084890100855, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.03344606990411717], [0.0, 0.0, 0.0, 0.0]]","[[0.9044553820575838, 0.0, 0.014098479410895271, 0.21921545879220553], [0.0, 0.0, 0.002047265769152137, 0.0], [0.0, 0.0, 0.0, 0.01209606326987448], [0.0, 0.01636376528218107, 0.0, 0.03493544667458962]]"
"[[['', '', '', 'sigm'], ['', '', '', ''], ['log', '', '**0.977', ''], ['sin', '', '', 'log']]]","[[0.0, 0.0, 1.4448105784334007, 0.4135176840048366], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 2.0852980727469004, 0.0], [0.27387914810052283, 0.0, 0.0, 1.5895054476506054]]","[[0.021802449685920676, 0.0, 0.4466363689963383, 0.10738069672007382], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.9623359586366753, 0.0], [0.1957281529443195, 0.0, 0.0, 0.9332438390788205]]"
"[[['tanh', '', '', '-0.034'], ['tanh', '', '', ''], ['', '', '-0.341', ''], ['', '', '', '']]]","[[0.6203892613079703, 0.6248807880854849, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.04955342330746584, 0.0], [-0.0014283793087673357, 0.0, 0.0, 0.0]]","[[0.6104300526215134, 0.3892317569371052, 0.00753647370967357, 0.0], [0.0, 0.23061339387739616, 0.0, 0.001237966518917877], [0.0, 0.0, 0.04115139639161176, 0.017616960130234015], [0.0, 0.0, 0.02312135893368105, 0.0]]"
