coefficients,di_exact,knn_subset_pairwise
"[[['sigm', ''], ['', '']]]","[[0.02501027497894796, 0.0], [0.0, 0.0]]","[[0.00023729131886940258, 0.0], [0.005964526181724247, 0.04586081914992587]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.024235943614888438], [0.017397052229703586, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.009350678660164369], [0.00886300017624687, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.027612688345206086], [0.004647334016722672, 0.0]]"
"[[['', ''], ['', 'sigm']]]","[[0.0, 0.0], [0.0, 0.02298646272985365]]","[[0.0, 0.023383328990979765], [0.008256529074380499, 0.004832855098090705]]"
"[[['', ''], ['', 'log']]]","[[0.0, 0.0], [0.0, 1.6266474195713652]]","[[0.026888569620668788, 0.0], [0.0, 1.3129075607100926]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 0.0]]"
"[[['', 'sigm'], ['', '']]]","[[0.0, 0.0], [0.02504830087949503, 0.0]]","[[0.0, 0.023573548131791265], [0.011819784879282228, 0.0]]"
"[[['sigm', ''], ['', '-0.432']]]","[[0.03041000722829826, 0.0], [0.0, 0.11831286203240214]]","[[0.024793807185565456, 0.0017684019069853939], [0.017115879489788224, 0.12039510987482685]]"
"[[['-0.193', ''], ['log', '']]]","[[0.024794527507880568, 1.6181703144091009], [0.0, 0.0]]","[[0.0, 0.21153399728078212], [0.0, 0.0]]"
"[[['', ''], ['', '-0.345']]]","[[0.0, 0.0], [0.0, 0.07137348004522676]]","[[0.0, 0.0], [0.0, 0.08532225262409593]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.011671904725981078, 0.01523724348578146]]"
"[[['sigm', ''], ['', '']]]","[[0.016880838493899444, 0.0], [0.0, 0.0]]","[[0.015124246264905468, 0.0], [0.005578433803727094, 0.0]]"
"[[['', ''], ['sigm', '']]]","[[0.0, 0.023955923166205345], [0.0, 0.0]]","[[0.0, 0.007956056444960273], [0.0, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.005581297838973771], [0.0, 0.0]]"
"[[['sin', ''], ['', 'sin']]]","[[0.8581991189380893, 0.0], [0.0, 0.7685892230832299]]","[[0.8126573670531568, 0.0], [0.0, 0.6946508618647594]]"
"[[['', ''], ['sin', '']]]","[[0.0, 0.3412760082530725], [0.0, 0.0]]","[[0.0, 0.33989339076079894], [0.03117618294342824, 0.0]]"
"[[['', '**0.857'], ['', '']]]","[[0.0, 0.0], [0.4780171018566434, 0.0]]","[[0.007501325851152872, 0.01875264611850833], [0.44253172780276545, 0.0]]"
"[[['**0.219', ''], ['', '']]]","[[0.023390938114455057, 0.0], [0.0, 0.0]]","[[0.02273400486424993, 0.0], [0.0, 0.006867718497650853]]"
"[[['', ''], ['', 'tanh']]]","[[0.0, 0.0], [0.0, 0.6139086353258625]]","[[0.0, 0.0], [0.0, 0.6206653414160861]]"
"[[['sin', ''], ['cos', '']]]","[[0.8075796274026382, 0.15384345116502146], [0.0, 0.0]]","[[0.7693478480943967, 0.11755043961212128], [0.0018735583322232491, 0.02533939559067766]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.015787034030314465, 0.017895193536332694], [0.0, 0.0]]"
"[[['', ''], ['', '-0.781']]]","[[0.0, 0.0], [0.0, 0.46555686038509353]]","[[0.0, 0.0], [0.0, 0.4791488384778243]]"
"[[['', ''], ['', 'log']]]","[[0.0, 0.0], [0.0, 1.6406778218357523]]","[[0.0, 0.0], [0.0, 1.2882559439258368]]"
"[[['sigm', ''], ['', 'sigm']]]","[[0.014602481710333758, 0.0], [0.0, 0.017222500261436804]]","[[0.009538329761524404, 0.0], [0.0, 0.027692180969926414]]"
"[[['', 'log'], ['', '']]]","[[0.0, 0.0], [1.4841414594632207, 0.0]]","[[0.0, 0.0], [0.22186072639209556, 0.0]]"
"[[['', ''], ['', '']]]","[[0.0, 0.0], [0.0, 0.0]]","[[0.0, 0.003408115002829852], [0.014475429147000661, 0.0]]"
"[[['**0.227', ''], ['', '']]]","[[0.044466126436556064, 0.0], [0.0, 0.0]]","[[0.025324431469801116, 0.0], [0.013821083593747813, 0.0019527761287452606]]"
