coefficients,di_exact,knn_subset_pairwise
"[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0588028246316676, 0.0], [0.0, 0.0, 0.0, 0.0, -1.0034587086166542, -0.9869696244913801, 0.5315865165602792, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6601033101369762, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.8159564623423463, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -0.46920437510341506, 0.6065347278807003, 0.0, 0.0, 0.23825443903956559]]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.2922391739265551, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1640331441925708], [0.0, 0.32834167206044895, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12852651387457617], [0.0, 0.534304500117389, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.42133941729342966, 0.13281175430146155, 0.0, 0.18475678111797855, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.050937921230967353]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.019017853551772282, 0.0, 0.05571858425903987], [0.0, 0.0, 0.0, 0.0, 0.016117976636040657, 0.0, 4.609722425588317e-05, 0.004641560031991862], [0.021883634383251516, 0.0, 0.008749305729158807, 0.010734450614264772, 0.01576067070622013, 0.30059432714523987, 0.0, 0.02437725492870238], [0.0, 0.0, 0.0, 0.0, 0.019665494792794454, 0.0, 0.0003970331068971595, 0.13992067607128045], [0.0, 0.11680259545157604, 0.0, 0.008064843046511293, 0.0011256599676337919, 0.010838706154151966, 0.0, 0.10818917576414183], [0.005350855401523705, 0.27819297410643823, 0.0, 0.0, 0.010716793300910072, 0.0, 0.0, 0.013376460227117196], [0.41932900306354953, 0.05883264103376024, 0.0, 0.18156728108999545, 0.006448352742247135, 0.0, 0.0, 0.0034460479519068], [0.022117630845542666, 0.011073364621966944, 0.0, 0.01132277668891592, 0.0, 0.0, 0.0, 0.0]]"
"[[[0.5359518478000506, -0.10266534601863565, 0.0, 0.0, 0.0, 0.6304761999142188, 0.0, -1.1136963972206881], [-0.9943912463303327, 0.0, 0.0, 0.0, 0.5634620712328577, -0.7273691455295209, -1.0064149721269295, 0.0], [0.0, 0.0, -0.7000404369182829, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -0.7450319012759623, 0.0, 0.0, 0.0, -0.9708998742357737, 0.0, -0.7172405901374717], [0.0, -0.7085813827229505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1.6441452013443512, 0.46956789533703397, 0.0]]]","[[0.7909971052891104, 1.2902352208550467, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.07452879888491552, 0.0, 0.0, 1.0405632451768256, 1.030308708690839, 0.0, 0.0, 0.0], [0.0, 0.0, 0.35867275524777825, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.5778453193979279, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.16433463936410167, 0.20195494128467786, 0.0, 0.32962113235746154, 0.0, 0.0, 0.0, 0.6365080639643378], [0.0, 0.3472026062601963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1132462576171719], [0.8709604020303006, 0.0, 0.0, 0.5704161690153163, 0.0, 0.0, 0.0, 0.0]]","[[0.33946263304385327, 0.33923838148693297, 0.0, 0.18297846252699262, 0.19472580637485734, 0.0, 0.0, 0.0], [0.0, 0.11347282719610943, 0.0, 0.5325222771925032, 0.9146809118711484, 0.0, 0.0, 0.0], [0.010044110415557687, 0.0, 0.3174858719541522, 0.012429451009342472, 0.02028083220509421, 0.0, 0.0, 0.0], [0.06858004325890381, 0.012534487276326927, 0.0038554143716437966, 0.01797022515807242, 0.0, 0.0, 0.0, 0.0], [0.02246114969398245, 0.024187701121484523, 0.0, 0.026511394136001693, 0.02885303487504304, 0.0, 0.0, 0.0], [0.013770516203221632, 0.0, 0.0, 0.006417554287277954, 0.0, 0.0, 0.004590282092754483, 0.48467025799042135], [0.0, 0.014322522362834642, 0.0, 0.0, 0.007848357393865902, 0.0, 0.0, 0.0], [0.6635905546798729, 0.00458934917287077, 0.0, 0.1652510724835546, 0.04832881496166799, 0.014512300953347842, 0.0, 0.042942046122487865]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.42898113307335284], [0.0, 0.0, 0.0, 0.2987884967926834, -1.7985488383464971, 0.0, -0.6680352453925934, -0.5946664729703904], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.17864133857349382, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.19880989782953468, -0.4274049879279051, -0.25071096936010095, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.029578996063966714], [0.0, 0.0, 0.0, 0.250069616029945, 0.0, 0.0, 0.0, 0.4256243105747463], [0.0, 0.0, 0.0, 0.7538605247185142, 0.0, 0.014787606121759054, 0.0, 0.025250699682625923], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.16816996631104536, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.18801605975790797, 0.29774753977820734, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0293453086010476, 0.0, 0.0, 0.0, 0.013195518285967468, 0.018139115335060765], [0.017526953613795103, 0.0034450192850334297, 0.0, 0.0, 0.005514948863018371, 0.0016094545609447444, 0.0, 0.017278008939081116], [0.03941181835153041, 0.0, 0.0, 0.0, 0.03240589726833272, 0.0, 0.013389852578495209, 0.01610306064322099], [0.0, 0.0, 0.0, 0.0999385642686909, 0.0, 0.005851964864510878, 0.010544361106866748, 0.36623239227226045], [0.0003628849669318299, 0.0, 0.004806392138964967, 0.40834681060874056, 0.0, 0.01049252437046642, 0.014035782452612522, 0.036655519057232154], [0.0071463407004470824, 0.005868189321689031, 0.0, 0.0, 0.00745409033069827, 0.0, 0.0015234225265346613, 0.030237417960033125], [0.013205879323779007, 0.0, 0.0014183861719538995, 0.007514307904347727, 0.001913712481956074, 0.0, 0.0, 0.0], [0.025095526769533003, 0.007669507212966147, 0.18090091712001705, 0.020412911873606374, 0.004003104566715191, 0.014994354090298914, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.5078094373356337, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, -0.16269960825319307, 0.0, 0.0, 0.0, -2.335721714205812, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1.2992859982670801, 0.0, 0.0], [0.0, 0.8204970990002756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2330874995306517], [0.16505848891904346, 0.0, 0.0, 0.0, 0.9148959704925754, 0.4222348742744272, -0.767300261993359, 0.0], [0.0, 2.3054947401831627, 0.0, 0.0, -0.6022204635063582, 0.0, 0.0, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010475337338519361, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.5334976638778188, 0.0, 1.3361715691883864], [0.0, 0.0, 0.0, 0.014740997238011444, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.4479015074160054, 0.0, 0.0, 0.0, 0.0, 0.9235416551910803, 0.5993981320774388], [0.0, 0.0, 0.0, 0.0, 0.9143164662353427, 0.0, 0.22705683698990659, 0.0], [0.0, 0.0, 0.0, 2.1527456977322497, 0.0, 0.0, 1.0844128706283478, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.2734872814528171, 0.0, 0.0]]","[[0.0, 0.003517659439328831, 0.0, 0.0, 0.0, 0.022927269037990562, 0.0, 0.0], [0.006497019882260406, 0.010128138998404748, 0.0, 0.1244656284629438, 0.010359559873508785, 0.40505694539330983, 0.02263814668338448, 0.6250574116896485], [0.0, 0.0, 0.0, 0.0, 0.0, 0.014379338424065378, 0.0, 0.0], [0.0, 0.0, 0.0, 0.3860617630301671, 0.0, 0.010170970239306487, 0.0, 0.0], [0.0236004744543723, 0.41202079118711177, 0.0, 0.0, 0.03144880519561881, 0.04357922051633568, 0.6031369387883772, 0.01348999777517952], [5.650157983151095e-05, 0.03296489014783819, 0.0012475447554067818, 0.0, 0.7939340281564014, 0.03096864717002918, 0.004882557136745223, 0.0074801120236762985], [0.0, 0.0014528469233095575, 0.0, 1.0865131951990883, 7.758478363808893e-05, 0.0351117156422776, 0.3775557137569439, 0.08574237800511245], [0.0043937561248594955, 0.0, 0.0, 0.0, 0.22170627914686375, 0.047048808374561234, 0.01648204006609771, 0.015205512112270928]]"
"[[[0.0, 1.178043758718006, 0.26635472602081467, 0.6116433417241154, -1.013655856321107, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.689014329454637, 0.0, -0.7364429759268957, -1.246720743381167, 0.0, 0.0, 0.0], [0.0, -0.9276500769262133, 0.0, 0.0, 0.0, 0.0, 0.6441707824068338, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.588057213588427, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.109748216423762, 1.5772139293314802, 0.5650950882385877, 0.0, 0.0, 0.0, 2.3983880701772238, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9179645714658067], [0.4470818020364481, 0.0, 0.0, 0.6299617640725139, 0.2685046963497631, 0.0, 0.0, 0.6057509250331374], [0.02972993046001122, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1459777969762256], [0.7220565796497508, 0.0, 0.0, 0.8526826436994878, 0.0, 0.0, 0.0, 0.0], [0.5673011629582649, 0.0, 0.0, 0.7599257845005013, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.22143657675100623, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.16890124213705407, 0.0, 0.0, 0.9669101113716395], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0042646556308701174, 0.024064904410333005, 0.0, 0.0, 0.7198136509048038], [0.06749922807236315, 0.0, 0.0, 0.16973027669191992, 0.20036775579009158, 0.001877889462007249, 0.0, 0.0], [0.012026698648511224, 0.0, 0.008258186069104102, 0.0, 0.021386586495131303, 0.0, 0.0, 0.0], [0.41783608538156575, 0.0, 0.0, 0.1310236567389529, 0.0040622239549797925, 0.0, 0.0, 0.0], [0.27652302900154946, 0.01648150336389855, 0.0, 0.2664805892625943, 0.0, 0.0, 0.0, 0.0], [0.03339482675216348, 0.011895184967151425, 0.0, 0.0, 0.022303848556997703, 0.21032687546612888, 0.0, 0.0], [0.0, 0.024126504353767057, 0.0, 0.0, 0.0965500265506487, 0.009830165898583605, 0.010409935979097187, 0.0], [0.04258753870140249, 0.0, 0.0, 0.0, 0.004737264554761376, 0.0, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.656031731932438, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2762331891845602], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [-0.11125193633822077, 0.0, 0.0, 0.0, 1.40034122223567, 0.0, -2.1851899788653215, 0.0], [0.0, 0.2784019266499087, 0.0, 0.0, 0.0, 0.19357222324613904, 1.0647882718565689, 0.7583724221637347], [-0.8817467992149831, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2038047641648481, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.006201827944749767, 0.0, 0.304986068079336], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07233890609775719, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.18975290420249474, 0.0, 0.0, 0.0, 0.5346768140554395, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.408884452599937, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.7719685173167092, 1.1240346717812144, 0.1304480098669672], [0.0, 0.0, 0.7288852538238972, 0.0, 0.0, 0.0, 0.4117086717447877, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.009272530832507625, 0.0, 0.0, 0.23370043421961956], [0.005907513458645652, 0.0, 0.0, 0.0, 0.008325123092128827, 0.0, 0.0, 0.0], [0.0, 0.0, 0.017907745729157376, 0.0, 0.005181082086502833, 0.13473835944931442, 0.03324781902712566, 0.014089408520824161], [0.0, 0.0, 0.0, 0.0, 0.0071295280798936034, 0.0, 0.0, 0.0051783130455504926], [0.016648664692427165, 0.19913685591448455, 0.0, 0.006520324169314873, 0.0, 0.0, 0.0, 0.003839662994228995], [0.0, 0.0, 0.013754293384530564, 0.0, 0.004568591691762248, 0.2550168329460943, 0.12114635225021202, 0.008110713807513945], [0.0, 0.022550835462106997, 0.0, 0.0, 0.004369083759792412, 0.7863869661593765, 0.3444913748852501, 0.06714551197358548], [0.0, 0.0, 0.6520240337827304, 0.0, 0.005297700087779019, 0.0, 0.2956554735802194, 0.0]]"
"[[[-1.1197159019655873, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2874666199984444, 0.725059973856537], [-0.9180861463722179, -0.8175560701328148, 0.10817088320535302, 0.0, 0.0, 0.0, 0.0, 1.3860627925245839], [0.3779873779384206, 0.0, 0.0, 0.0, 0.0, -0.2410348795150153, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -0.30499180344565524, 0.0, 0.0, 0.0, 0.0], [-1.6545471183928633, 0.0, -0.4684273603335259, 0.6495165538779034, 0.0, 0.0, 1.2863322609203778, 0.0], [0.0, 0.0, 0.0, 0.0, 0.12754389395740867, 0.0, 0.0, 0.0], [0.0, -0.44945915240881407, 0.0, 0.148014237845387, -0.6461211639088235, 0.0, 0.0, 0.726533356723435]]]","[[1.2558094043595047, 1.0888962574330774, 0.42104387891126316, 0.0, 0.0, 1.6160062042234362, 0.0, 0.0], [0.0, 1.516146468391366, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9275702755446661], [0.0, 0.013221785903345945, 0.0, 0.0, 0.0, 0.1414656949336177, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.04253543164764362, 0.17944136969617308, 0.0, 0.002743547998037642], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008087055992162348, 0.1506823321021038], [0.0, 0.0, 0.4846835974494018, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0386579366325244, 0.0, 0.0, 0.0, 0.0, 0.491892065764215, 0.0, 0.0], [0.5562847266380198, 1.1313371445210119, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5655599754245094]]","[[0.6456999946457552, 0.23986427927488624, 0.013905708472958743, 0.010513736053000246, 0.0, 0.5876247925668634, 0.0037607405887552553, 0.2469117001727512], [0.03945377975347605, 0.6315230394045197, 0.0, 0.0, 0.0028628390716262104, 0.12249096446050156, 0.0, 0.49986935805055094], [0.0, 0.0015157301297733195, 0.0, 0.008400069524782417, 0.008734502743892043, 0.0, 0.0, 0.02430304339694365], [0.010387358274228332, 0.0, 0.01880035773443881, 0.0, 0.05788121199959762, 0.0, 0.0, 0.0006437079300221318], [0.0, 0.0, 0.008677804863528461, 0.0, 0.0, 0.0, 0.0008531309370544077, 0.07113835750927354], [0.0, 0.014654909283006059, 0.034055503865785486, 0.0, 0.0, 0.317244758661898, 0.0, 0.23840265615519174], [0.008255518207405799, 0.0, 0.00956112998466538, 0.0, 0.026878209986230257, 0.0039883030224501115, 0.005676347371736164, 0.015012689286744535], [0.35716763416845815, 0.28857964506885714, 0.0036336792895778915, 0.0, 0.014091932929028385, 0.02302026680309243, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19699845970256744], [0.0, 0.0, 0.0, 0.0, -0.7346817703388359, 0.0, 0.0, 0.0], [0.3923752483086045, -1.0810825454259685, 0.0, 0.0, -0.14435279318616107, 0.0, 0.0, 0.27087175079619824], [-0.13733731032912214, 0.0, -0.7004061482580242, 0.0, 0.0, 0.0, 0.0, 0.0], [-1.5395672853577087, 2.2029752791559565, 0.0, 0.0, -0.5793933378137089, 0.0, 0.5227013753314433, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2330352635693983]]]","[[0.0, 0.0, 0.0, 0.053169866924745145, 0.008167097014122413, 0.6214751885918153, 0.0, 0.0], [0.0, 0.0, 0.0, 0.427747584505114, 0.0, 0.9734076276517214, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.36495852418487323, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.36373457315115115, 0.01924624435827282, 0.0, 0.25364020779078084, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.14711933582496864, 0.0, 0.0], [0.0, 0.01662867706054543, 0.0, 0.03042064347593449, 0.0, 0.0, 0.0, 0.025909984595469414]]","[[0.004212087272340942, 0.0, 0.011321134275777658, 0.019098459809079687, 0.03694524933390954, 0.09514137604720935, 0.0, 0.0], [0.0, 0.01674885289346495, 0.0, 0.33388752181568104, 0.03990008555473557, 0.34209026498162626, 0.014569624496699813, 0.0024614888475269713], [0.014330185811681221, 0.0, 0.0, 0.0, 0.3853780781665911, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.04098357775385691, 0.0, 0.0, 0.0], [0.0, 0.0, 0.35831057135114647, 0.008854377019865016, 0.0, 0.0, 0.0, 0.0], [0.012453228002863524, 0.0, 0.0, 0.0, 0.045032770061448166, 0.008287640070751686, 0.0, 0.0], [0.0, 0.02031948678188527, 0.005451798760604595, 0.0013168706398820824, 0.02542112585258248, 0.0, 0.010032865271425818, 0.0], [0.0, 0.0, 0.0024307261481457823, 0.024935033875261654, 0.02322890203489467, 0.0, 0.0, 0.015567587315900598]]"
"[[[-0.2005507863257096, 0.0, 0.0, 0.0, 0.0, -0.44609957037292164, 0.0, 0.18358191288466905], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.236492511338048, 0.0], [-0.3505503970793953, 0.6125078511642253, 0.4695403433729015, 0.0, 0.0, 0.6846067064045344, 0.0, 0.0], [0.9813193263573872, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1791650409352523, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.14743083384195793, 0.0, 0.0], [-1.8887552349455854, -1.6280678993359248, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.7537662002723204, 0.0, 0.0]]]","[[0.02495363553569173, 0.0, 0.0, 0.09609077276065618, 0.4099255309342239, 0.0, 0.92144324537381, 0.0], [0.0, 0.0, 0.0, 0.1397544900956501, 0.0, 0.0, 0.6736641327695683, 0.0], [0.0, 0.0, 0.0, 0.18922905629226633, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.09313846959852999, 0.0, 0.0, 0.2175380487888384, 0.0, 0.011391036792847677, 0.0, 0.30209407191551985], [0.0, 0.0, 0.22034487489277366, 0.0, 0.12910770690862308, 0.0, 0.0, 0.0], [0.03240096922955181, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.003634051311050803, 0.0018434424355595808, 0.31247088657869504, 0.01737601603001784, 0.3686714462093617, 0.0], [0.005508251619229985, 0.00295738841015653, 0.0, 0.041939504780457396, 0.0, 0.009730776691119805, 0.13890188371890086, 0.0], [0.03464333808231435, 0.0, 0.00987069973016814, 0.06767728932608415, 0.0, 0.024530382055716053, 0.0, 0.0], [0.0059705247362417365, 0.0, 0.0, 0.023764137861297423, 0.0022633872507573437, 0.0, 0.0, 0.0], [0.0046412221593728166, 0.0, 0.009362293395560153, 0.0, 0.008735280566378973, 0.0, 0.0, 0.0015406667705148726], [0.09247315472950761, 0.0, 0.0, 0.10435727524614173, 0.0, 0.0007949196965615088, 0.0, 0.31319874967962613], [0.006085188969559787, 0.0, 0.18416346215790327, 0.0, 0.0, 0.0, 0.0, 0.0], [0.023658289766956643, 0.0, 0.0, 0.0, 0.017892513396399003, 0.025973770472180854, 0.0, 0.0034877010697046424]]"
"[[[0.0, 1.712056969378651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.37128993885414335, -0.17532388140434663, 1.1423070183840238, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.2534023407447035, 1.4675926694770463, 0.0, -0.19138655459043225, 0.0, -0.34113576997696854, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -0.8857719668138049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24541829616217586, 0.0], [0.0, 0.0, 0.12379513406079336, 0.0, 0.0, 0.0, 0.21588975123165555, 0.0]]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.077404275732648, 0.0, 0.0, 0.8370626057961956, 0.0, 0.6086297061757502, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5701756342208416, 0.0, 0.0, 0.0, -0.0004924796877451711], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.056743999597862874, 0.0, 0.023182853512599962, 0.0, 0.0, 0.0, 0.0], [0.0, 0.052358532326110506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.43953274381608604, 0.0, 0.056971731509514234, 0.0, 0.0, 0.033377907243521944, 0.02260409950352643], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.020368820365464228, 0.0, 0.0, 0.0006213081945161739, 0.0, 0.0, 0.0], [0.9848670377330939, 0.0, 0.0, 0.37622776222498094, 0.007863437846687707, 0.5763322852538002, 0.0, 0.0], [0.021554461486812563, 0.0, 0.022401016701567005, 0.13042454895220854, 0.0, 0.0001964226390044362, 0.0, 0.0], [0.027339167734166777, 0.017147448935333494, 0.0, 0.0, 0.005193900278446844, 0.0, 0.0, 0.015108505177778857], [0.011248071901465982, 0.014377698141931853, 0.0, 0.003692218187575417, 0.0, 0.0, 0.006354671895515788, 0.0], [0.01050212196754569, 0.025867605262349515, 0.0, 0.013270683487071428, 0.003315678197341616, 0.00607800991929299, 0.018770796814252665, 0.0], [0.019248784166945088, 0.36200924544630686, 0.0, 0.0, 0.012921274879835666, 0.0036367943880608123, 0.04131999152138952, 0.03456987309966858], [0.020936273140932635, 0.0, 0.0, 0.012743651501667034, 0.010009285246475284, 0.0, 0.0, 0.0]]"
