coefficients,di_exact,knn_subset_pairwise
"[[[-0.17568678285374018, 0.0], [0.0, 0.0]]]","[[0.01565382080269717, 0.0], [0.0, 0.0]]","[[0.06122937124373185, 0.01967932553180648], [0.0, 0.0]]"
"[[[0.0, 0.0], [0.0, -0.20559549203187258]]]","[[0.0, 0.0], [0.0, 0.02757388476069667]]","[[0.0068656098661790425, 0.0032097991672516007], [0.0, 0.0021250794264436926]]"
"[[[0.0, 0.9477247182477496], [0.0, 0.8226674782580871]]]","[[0.0, 0.0], [0.6213546242163865, 0.5118901361537455]]","[[0.23932299886462172, 0.0], [0.38249197391743395, 0.4985014247242333]]"
"[[[0.0, 0.0], [0.0, 0.543113959189002]]]","[[0.0, 0.0], [0.0, 0.15057417607966841]]","[[0.018838262002914198, 0.0], [0.0, 0.16144196915558862]]"
"[[[0.784017011082438, 0.0], [0.6127998710978528, 0.0]]]","[[0.46139729871480795, 0.3399797986135305], [0.0, 0.0]]","[[0.45337883495877906, 0.25640814480278723], [0.0, 0.059906650408522485]]"
"[[[0.4090450692830177, 0.0], [0.0, 0.0]]]","[[0.08557081636438187, 0.0], [0.0, 0.0]]","[[0.03886396628528955, 0.046678212391389355], [0.014499960572297134, 0.0]]"
"[[[-0.1346598130267035, 0.0], [0.0, 0.0]]]","[[0.007827708766221011, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [0.007602282445558884, 0.0]]"
"[[[0.0, 0.5285311400079153], [-0.44603841035553976, 0.0]]]","[[0.0, 0.09150817194794476], [0.14959290041169968, 0.0]]","[[0.0, 0.06719089916963107], [0.15759621361574003, 0.0]]"
"[[[-0.12913538153255913, 0.0], [1.447731139251404, 0.0]]]","[[0.011042586663071938, 0.5734989797828162], [0.0, 0.0]]","[[0.016410954830799594, 0.5176084964598898], [0.0, 0.0]]"
"[[[0.0, 0.0], [0.0, 0.7146336419491688]]]","[[0.0, 0.0], [0.0, 0.3427962945970672]]","[[0.0, 0.0], [0.012246904092896076, 0.34185561324332153]]"
"[[[0.0, -0.1645350311533729], [0.4547772586711143, 0.0]]]","[[0.0, 0.09744150212389933], [0.012315144161914487, 0.0]]","[[0.022872463627751912, 0.1067262053952328], [0.0, 0.0]]"
"[[[0.0, 0.4598092631308642], [0.12826968219740123, 0.0]]]","[[0.0, 0.00868051520580751], [0.10196947825079043, 0.0]]","[[0.0, 0.01203285841198767], [0.10152384181635367, 0.0]]"
"[[[-0.4847195749852426, 0.0], [0.0, -0.44220518878269716]]]","[[0.09578469417105866, 0.0], [0.0, 0.09996207301338776]]","[[0.08924500829509913, 0.005888965552980514], [0.0, 0.08744035588843468]]"
"[[[0.0, 0.0], [0.0, -0.2877162075069766]]]","[[0.0, 0.0], [0.0, 0.05034319666347843]]","[[0.0, 0.015804536861824512], [0.027687966497201552, 0.020251824356206927]]"
"[[[0.0, -0.12129431903786485], [0.5791297117806008, 0.0]]]","[[0.0, 0.143114744847372], [0.015764004345993878, 0.0]]","[[0.006922603185768596, 0.11177132134290484], [0.0, 0.007331320969520206]]"
"[[[0.0, 0.0], [0.0, 0.704193724467257]]]","[[0.0, 0.0], [0.0, 0.32711869675230865]]","[[0.0, 0.0], [0.020014894852607722, 0.31603335424861473]]"
"[[[0.0, 1.424285328690031], [0.0, -0.34640616782474604]]]","[[0.0, 0.0], [0.601735350145438, 0.08564743817861967]]","[[0.03755360020429789, 0.0], [0.49737651788119674, 0.10155484927759878]]"
"[[[0.0, 0.0], [0.0, -0.35125725224737964]]]","[[0.0, 0.0], [0.0, 0.0671123005775909]]","[[0.0, 0.004138088397278268], [0.0, 0.05790744718754996]]"
"[[[0.0, 0.0], [0.0, 0.2004650788053554]]]","[[0.0, 0.0], [0.0, 0.023914011919862435]]","[[0.0, 0.01761900199191643], [0.028859334540500395, 0.0]]"
"[[[0.0, -0.3925792807866028], [0.0, -0.186932981966648]]]","[[0.0, 0.0], [0.05894514909820027, 0.02197134329349358]]","[[0.02620426046143221, 0.007114787208263441], [0.050701782794576905, 0.0]]"
"[[[0.0, -0.19866211803119205], [1.4683017686209774, 0.0]]]","[[0.0, 0.5956157136726443], [0.07748005154117858, 0.0]]","[[0.0, 0.5461705197769526], [0.0533847880135189, 0.023736024793193772]]"
"[[[0.8018701039586681, 0.0], [0.0, 0.0]]]","[[0.5075575756278708, 0.0], [0.0, 0.0]]","[[0.5228964069642743, 0.0], [0.0, 0.0]]"
"[[[-0.3264296006567289, 0.0], [-0.609890481823422, 0.0]]]","[[0.047261368605098227, 0.14829048393769517], [0.0, 0.0]]","[[0.023687340095828145, 0.1690504807071285], [0.03470597662149529, 0.0]]"
"[[[-0.7514721922752553, 0.0], [0.0, 0.0]]]","[[0.4467234243842734, 0.0], [0.0, 0.0]]","[[0.4543707918315875, 0.0], [0.0, 0.0]]"
"[[[0.0, 0.0], [0.0, -0.48029648182758783]]]","[[0.0, 0.0], [0.0, 0.10909627986632922]]","[[0.0, 0.026220311686209006], [0.0127036064680776, 0.10064333953973202]]"
"[[[-0.6495487069535218, 0.0], [-1.3036312134980992, 0.0]]]","[[0.29575609829429933, 0.6882217744791318], [0.0, 0.0]]","[[0.29619179919391236, 0.5508765638540635], [0.0, 0.06943012566325324]]"
"[[[-0.25186689018327857, 0.0], [0.0, 0.0]]]","[[0.03030598751583474, 0.0], [0.0, 0.0]]","[[0.07072672870662694, 0.015286145659403482], [0.0, 0.0]]"
"[[[0.4108449436829214, 0.0], [0.0, 0.0]]]","[[0.0881379103515553, 0.0], [0.0, 0.0]]","[[0.0664039987381733, 0.002401878474423837], [0.0, 0.0]]"
"[[[0.0, -0.376429060414605], [0.0, -0.5103595337053729]]]","[[0.0, 0.0], [0.0962872614913685, 0.15700876781308196]]","[[0.02005707763935421, 0.0], [0.06740027905486434, 0.17413491665278194]]"
"[[[0.0, 2.005982405891609], [0.1480437393254391, 0.0]]]","[[0.0, 0.038361142485912866], [0.8435730867071454, 0.0]]","[[0.0, 0.012064105708831029], [0.7685293962903463, 0.017648479464071217]]"
"[[[-0.6130000227741605, 0.0], [0.0, 0.0]]]","[[0.2381993646044004, 0.0], [0.0, 0.0]]","[[0.24759811650234304, 0.0], [0.009849650926127879, 0.03960169565730985]]"
"[[[0.36521440967575863, 0.0], [0.0, 0.0]]]","[[0.06769979162406634, 0.0], [0.0, 0.0]]","[[0.0572721780963686, 0.00012600779258987695], [0.0, 0.0]]"
