coefficients,di_exact,knn_subset_cor,knn_subset_mi,knn_subset_pc
"[[[0.0, 0.49396479596247145, -0.7083758131889681], [0.0, 0.7638854932044641, 0.0], [0.0, -0.4726595912634761, 0.7110567670370833]]]","[[0.0, 0.0, 0.0], [0.19376199818207226, 0.42885886144901597, 0.22058280977227493], [0.6681303228831633, 0.0, 0.7199587559094573]]","[[0.0, 0.0, 0.0], [0.10355366106705793, 0.2982562747566176, 0.09518885199887701], [0.27957622869577436, 0.0, 0.26360936548706987]]","[[0.0, 0.0, 0.0], [0.10355366106705793, 0.2982562747566176, 0.09518885199887701], [0.27957622869577436, 0.0, 0.26360936548706987]]","[[0.0, 0.0, 0.0], [0.10355366106705793, 0.29825627475661765, 0.09518885199887701], [0.27957622869577436, 0.0, 0.26360936548706987]]"
"[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, -0.4089064584640588]]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.07304105493796574]]","[[0.022198398643883635, 0.01836400608896456, 0.0], [0.0, 0.0, 0.0], [0.0, 0.023708285799657686, 0.05728599710201137]]","[[0.022198398643883635, 0.01836400608896456, 0.0], [0.0, 0.0, 0.0], [0.0, 0.023708285799657686, 0.04895180910151205]]","[[0.022198398643883635, 0.01836400608896456, 0.0], [0.0, 0.0, 0.0], [0.0, 0.023708285799657686, 0.05728599710201137]]"
"[[[0.4563544886105047, 0.46738655914682015, 0.0], [0.0, 0.0, 0.0], [0.0, -0.13053551416284845, 0.0]]]","[[0.13504114583315413, 0.0, 0.0], [0.1267058753308462, 0.0, 0.014824359274886567], [0.0, 0.0, 0.0]]","[[0.12865434933744604, 0.0, 0.0], [0.09726071005791477, 0.008247192864010836, 0.006416710849442592], [0.0, 0.0, 0.0]]","[[0.12865434933744604, 0.0, 0.0], [0.09726071005791477, 0.008247192864010836, 0.006416710849442592], [0.0, 0.0, 0.0]]","[[0.12865434933744604, 0.0, 0.0], [0.09726071005791477, 0.008247192864010836, 0.006416710849442592], [0.0, 0.0, 0.0]]"
"[[[0.7541592921514126, 0.0, 0.0], [0.0, -0.14540240551949876, 0.0], [0.0, 0.0, 0.0]]]","[[0.34763768569196724, 0.0, 0.0], [0.0, 0.012038980468048164, 0.0], [0.0, 0.0, 0.0]]","[[0.36056358952936307, 0.0, 0.017294871846712426], [0.0, 0.009254442471544326, 0.01648774850792912], [0.0, 0.017959747434359703, 0.0]]","[[0.36056358952936307, 0.0, 0.017294871846712426], [0.0, 0.009254442471544326, 0.01648774850792912], [0.0, 0.017959747434359703, 0.0]]","[[0.36056358952936307, 0.0, 0.017294871846712426], [0.0, 0.009254442471544326, 0.01648774850792912], [0.0, 0.017959747434359703, 0.0]]"
"[[[0.7595786238688832, 0.0, -1.5166252417028128], [0.4832715518787841, 0.0, 0.13722495510612842], [0.0, 0.0, 0.0]]]","[[0.8601212177375002, 0.5558803359695509, 0.0], [0.0, 0.0, 0.0], [0.6218532059628525, 0.0079717912498834, 0.0]]","[[0.5036413043078978, 0.37924289562472124, 0.0], [0.0, 0.0, 0.017359701660399005], [0.41301550218119004, 0.0, 0.0]]","[[0.5036413043078978, 0.4091792461475861, 0.0], [0.0, 0.0, 0.017359701660399005], [0.41301550218119004, 0.0, 0.0]]","[[0.5036413043078977, 0.37924289562472124, 0.0], [0.0, 0.0, 0.017359701660399005], [0.41301550218119004, 0.0, 0.0]]"
"[[[0.0, 0.0, 0.0], [0.0, -0.16068092480542112, 0.0], [1.7175056618204438, 0.4651304258746503, 0.0]]]","[[0.0, 0.0, 0.6815448181576992], [0.0, 0.016296796677801526, 0.10716610988804268], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.5159825200243753], [0.0, 0.0, 0.010892430302113388], [0.03478893175250241, 0.0, 0.0]]","[[0.0, 0.0, 0.5459562000156392], [0.004271823731563812, 0.0, 0.010892430302113388], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.5159825200243753], [0.0, 0.0, 0.010892430302113388], [0.03478893175250241, 0.0, 0.0]]"
"[[[-0.3670697109183655, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.7358058597254102, 0.0]]]","[[0.06752935313750939, 0.0, 0.0], [0.0, 0.0, 0.24066587170176587], [0.0, 0.0, 0.0]]","[[0.07466905038828235, 0.0, 0.0], [0.0, 0.021545023065556636, 0.2540915598921443], [0.008782167877521828, 0.011533553798227703, 0.0178280798205305]]","[[0.029738851473835773, 0.0, 0.0], [0.0, 0.021545023065556636, 0.2540915598921443], [0.0, 0.011533553798227703, 0.0178280798205305]]","[[0.07466905038828235, 0.0, 0.0], [0.0, 0.021545023065556636, 0.2540915598921443], [0.008782167877521828, 0.011533553798227703, 0.0178280798205305]]"
"[[[0.0, 0.0, -1.889173145996185], [0.0, 0.0, 0.0], [0.0, 0.8917954249867166, 0.49001484730992373]]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.3016974056640678], [1.1617565924879385, 0.0, 0.24191413806360412]]","[[0.0, 0.0, 0.0], [0.0, 0.011259849520236235, 0.22154383872568556], [0.7438441785779139, 0.0, 0.11324024789946005]]","[[0.0, 0.0, 0.0], [0.0, 0.011259849520236235, 0.2995603360534555], [0.849865214622432, 0.0, 0.2111884265163353]]","[[0.0, 0.0, 0.0], [0.0, 0.011259849520236235, 0.22154383872568556], [0.7438441785779139, 0.0, 0.11324024789946005]]"
"[[[-0.7315707912748118, 0.0, 0.0], [0.0, 0.0, -1.1106776195419323], [0.0, 0.0, 0.0]]]","[[0.37018442702639126, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.3703244423080172, 0.0]]","[[0.39185659119957705, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.33400136450285867, 0.0]]","[[0.39185659119957705, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.33400136450285867, 0.0]]","[[0.39185659119957705, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.33400136450285867, 0.0]]"
"[[[0.0, 1.2422095471786085, 0.0], [0.0, 0.8369549211692952, 0.0], [-0.18404662235592198, 0.0, 0.0]]]","[[0.0, 0.0, 0.09484239340272162], [0.9380516395918532, 0.6354959022067711, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.02242295391203727], [0.4921281325355175, 0.2822170165099695, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.02242295391203727], [0.5301390512238078, 0.31632162169243416, 0.0], [0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.02242295391203727], [0.4921281325355175, 0.2822170165099694, 0.0], [0.0, 0.0, 0.0]]"
